@RELATION led7digit

@ATTRIBUTE Led1 real [0.0, 1.0]
@ATTRIBUTE Led2 real [0.0, 1.0]
@ATTRIBUTE Led3 real [0.0, 1.0]
@ATTRIBUTE Led4 real [0.0, 1.0]
@ATTRIBUTE Led5 real [0.0, 1.0]
@ATTRIBUTE Led6 real [0.0, 1.0]
@ATTRIBUTE Led7 real [0.0, 1.0]
@ATTRIBUTE  class {0,1,2,3,4,5,6,7,8,9}
%@inputs Led1, Led2, Led3, Led4, Led5, Led6, Led7
%@outputs Number
@Data
0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 0.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2
0.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3
0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 4
0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 6
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 7
1.000000, 1.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 7
0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 8
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 9
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1
1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 2
0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
1.000000, 0.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 3
0.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 4
0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 4
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 0.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 5
1.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 5
