% Data from J. Handl
% http://personalpages.manchester.ac.uk/mbs/Julia.Handl/generators.html
%
@RELATION 2d-3c-no123

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2}

@DATA
-0.499261,-0.0612356,0
-1.51369,0.265446,0
-1.60321,0.362039,0
-1.69928,-0.384246,0
-2.29929,-0.358038,0
-1.63458,-0.129039,0
-1.48285,-0.450253,0
-1.56683,0.241292,0
-2.25832,-0.118366,0
-1.48695,-0.226327,0
-0.711746,-0.655026,0
-1.18149,-0.117645,0
-0.748501,0.0398234,0
-1.54619,0.271163,0
-2.23412,-0.0707176,0
-2.09035,-0.580596,0
-2.19918,-0.364972,0
-2.29264,-0.384073,0
-1.71823,-0.411015,0
-2.45656,-0.528023,0
-0.551482,-0.289495,0
-0.136403,-0.443648,0
-1.79109,-0.20819,0
-1.23299,-0.0566847,0
-2.16965,-0.398822,0
-2.04045,0.429838,0
-1.68399,-0.201117,0
-1.46419,-0.0441746,0
-1.13619,-0.892017,0
-1.51035,-0.921798,0
-1.50599,-0.752517,0
-1.23767,0.389077,0
-2.43665,-0.218041,0
-1.35069,-0.3323,0
-1.01149,-0.0714108,0
-2.36843,-0.587694,0
-0.475282,-0.558479,0
-1.7325,-0.249313,0
-1.07224,-0.201785,0
-2.81079,-0.242085,0
-0.451435,-0.318935,0
-2.45931,-0.296224,0
-1.09573,0.178281,0
-0.798153,0.105336,0
-1.40704,-0.694274,0
-2.04748,0.124415,0
-0.388075,-0.210231,0
-2.45275,0.0894885,0
-2.47512,0.22881,0
-0.777604,-0.128458,0
-1.61801,-0.215364,0
-2.34644,-0.129468,0
-0.587985,0.0297594,0
-2.54921,-0.272282,0
-2.33773,0.265582,0
-1.08436,-0.233094,0
-1.7235,0.240157,0
-1.112,-0.195613,0
-0.577581,-0.428117,0
-2.51468,-0.24391,0
-2.31301,-0.294402,0
-1.30393,0.114933,0
-1.17892,0.00162141,0
-2.17878,-0.0703754,0
-0.380086,0.278372,0
-0.685583,-0.466433,0
-0.450885,-0.596072,0
-1.08188,0.165561,0
-2.07714,-0.7923,0
-1.18183,-0.747411,0
-1.70054,-0.616073,0
-0.458942,-0.326455,0
-1.87041,0.173688,0
-2.18208,-0.276524,0
-0.72682,-0.28366,0
-1.44688,-0.309433,0
-0.425964,-0.395437,0
-1.79028,-0.371134,0
-1.05989,0.336678,0
-1.22423,0.385848,0
-1.01251,-0.0440229,0
-2.1894,-0.800676,0
-0.610214,-0.166977,0
-1.19969,-0.296873,0
-1.1779,-0.460586,0
-1.23628,0.338048,0
-2.59617,0.000440827,0
