% Data from J. Handl
% http://personalpages.manchester.ac.uk/mbs/Julia.Handl/generators.html
%
@RELATION 2d-4c.arff

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2,3}

@DATA
2.74531,41.5491,0
-0.628169,41.1591,0
2.77995,40.7192,0
1.13716,41.8618,0
2.0932,41.3531,0
2.00509,41.3275,0
1.345,41.0071,0
2.26561,41.4549,0
-0.376379,41.4281,0
1.20464,41.574,0
1.00007,40.9378,0
0.99736,41.1714,0
0.134799,41.8113,0
2.47585,41.6346,0
-3.0587,41.3887,0
0.73266,41.4888,0
0.35745,41.8429,0
0.157674,41.7513,0
2.69103,41.8298,0
0.536346,41.5344,0
2.46873,41.4813,0
-1.91946,40.8824,0
3.44394,41.3349,0
2.88157,41.1534,0
-0.53933,41.4057,0
-0.0276636,41.1127,0
0.0933292,41.0051,0
0.209173,41.7993,0
-0.0668266,41.7829,0
1.79969,42.3177,0
0.510155,41.6298,0
0.138588,41.1531,0
-0.0175984,41.694,0
0.618498,41.4093,0
-2.63433,41.9534,0
2.01141,41.222,0
5.57577,41.5869,0
1.40539,41.53,0
3.55797,41.8688,0
2.68052,41.3868,0
2.95654,41.486,0
-0.391807,41.2361,0
4.00381,41.4221,0
1.44796,41.0426,0
0.201187,41.4562,0
0.795719,41.6564,0
0.502018,41.5292,0
0.290078,41.6987,0
1.19913,40.799,0
-1.28096,41.1171,0
0.030134,41.4093,0
1.99597,41.7064,0
3.11367,41.4872,0
0.546399,41.5257,0
-1.00433,41.3616,0
1.22587,42.0243,0
-0.202468,41.863,0
-1.40362,40.9709,0
0.977844,40.6544,0
2.66858,41.613,0
3.87692,41.5591,0
2.62824,41.4168,0
2.06543,41.3289,0
-1.63482,41.3223,0
2.00123,41.8628,0
3.64504,42.0131,0
-2.36311,41.4501,0
2.6411,41.6433,0
-2.92099,40.9228,0
1.66685,41.3844,0
1.35976,41.4936,0
2.40343,42.0717,0
-0.156466,41.3901,0
-0.149501,41.3361,0
2.31285,41.3771,0
2.73428,41.6682,0
0.703931,40.8069,0
2.65785,41.2811,0
4.18733,41.6706,0
0.21038,41.3822,0
-2.37222,41.5596,0
2.14842,42.1958,0
3.90696,41.487,0
0.805582,40.9885,0
2.88554,41.7446,0
0.4224,41.6881,0
4.28893,41.7292,0
0.709065,41.6168,0
-1.114,41.4017,0
0.00767159,41.3293,0
2.98833,41.0246,0
-0.895292,41.5051,0
3.71451,41.4277,0
-0.34788,40.9151,0
3.6333,41.5624,0
3.86924,41.0564,0
-0.228855,40.791,0
3.10995,41.9408,0
2.41484,41.1329,0
3.09267,41.8441,0
-1.40569,40.9844,0
2.83167,41.5767,0
-2.08925,41.8549,0
-0.0413047,41.4111,0
0.99321,41.2289,0
5.49799,42.229,0
4.56593,41.3131,0
2.62767,41.2001,0
1.86702,41.0572,0
0.99447,40.9706,0
1.35799,41.9985,0
0.965753,41.2944,0
5.09559,41.0741,0
1.36247,41.1762,0
1.69922,41.2959,0
3.16355,41.7048,0
5.25389,41.8303,0
0.531934,41.5568,0
3.28948,41.5843,0
0.10212,41.6421,0
-2.09836,41.0296,0
1.1946,41.225,0
0.0879961,41.7027,0
-0.344577,41.9871,0
-0.195498,41.2088,0
2.2287,41.8828,0
3.68595,41.7489,0
2.78496,41.4375,0
-1.03866,41.3832,0
0.83488,40.8743,0
1.10206,41.6165,0
2.73045,42.2562,0
1.85942,42.4662,0
-2.90953,41.7232,0
3.17061,41.78,0
-1.28675,41.7713,0
3.19275,41.3024,0
2.44799,41.3377,0
1.01221,41.3916,0
2.86381,41.3201,0
2.53895,41.8226,0
0.652358,41.6833,0
2.95625,41.2105,0
2.05624,41.7799,0
2.73907,41.5838,0
0.19292,41.4039,0
-1.90824,41.2266,0
3.31292,41.8747,0
