% Data generated using R package 'mlbench'
%
% > library("mlbench")
% > set.seed(1234)
% > data <- mlbench.2dnormals(1000)
%
@relation 2dnormals

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2}

@data
0.5806994504,-0.9703880325,2
-0.0599597537,-1.2848864783,2
2.131430232,0.9484920275,1
-1.2136959007,1.536374738,2
-0.0421610953,0.0677335196,2
-1.3708096295,0.3149232878,1
-2.2532586094,-0.142809299,2
-1.1748479516,-1.7184410282,2
-0.8914884071,-2.7098888029,2
1.5169204543,2.282978225,1
-0.2783656141,-0.8555099689,2
-1.4599438328,-0.9435053732,2
-1.4816115465,-1.7096206674,2
0.6507246777,2.2424535014,1
0.4382340282,1.1925622436,1
0.8752973016,2.2973821251,1
1.8775523279,1.3498521908,1
1.4633469136,1.5645578334,1
-1.4393653363,-1.8660613337,2
-1.6924172925,-0.7571536357,2
-1.1044527936,-2.0609526396,2
-1.2079999126,-3.4215592875,2
2.2193084122,1.9416075639,1
-1.270435699,2.432884144,1
-1.973452669,-0.5816826194,2
-0.378809741,-0.73199086,2
1.6625616723,1.3840522706,1
0.3490097513,-0.8271594846,1
-1.2087370686,-1.9797396482,2
2.7969116471,0.3426598879,1
-0.0987784149,0.8171963192,1
2.7777420918,1.3645084294,1
1.3169444081,2.234796536,1
0.0495764216,0.5720382238,2
0.473719215,1.0369733989,1
-2.1202125363,-0.3516432184,2
1.3982594941,0.7287811168,1
-0.578693197,-0.8415384847,2
-1.4251536491,-0.104279537,2
0.123008994,1.4724880129,1
0.2999966043,-1.4904902974,2
-2.3367867565,-0.3444646823,2
2.4292424297,1.8496976621,1
0.4053068799,0.3636649594,1
-2.8826864578,-0.4867075859,2
1.1803112317,-0.0433435205,2
-0.6212227214,-0.1902897062,2
-2.0693128287,-1.1764551599,2
0.6248550184,1.8266331414,1
0.2052022815,2.3405966568,1
1.3151228687,0.0037830508,1
-0.8660606143,-3.1775436624,2
-0.2405515756,1.9125059225,1
-0.7435194631,-1.7850171704,2
