% Dataset from: http://lasid.sor.ufscar.br/2sp2globBPCollection/
%
% Jane Piantoni, Katti Faceli, Tiemi C. Sakata, Julio C. Pereira and Marcílio C. P. de Souto.
% Impact of Base Partitions on Multi-objective and Traditional Ensemble Clustering Algorithms.
% Accepted for 22nd International Conference on Neural Information Processing (ICONIP2015). Author's version.
%
@RELATION 2sp2glob

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4}

@DATA
10.5,9,1
10.56717,9.268445,1
8.27532,11.38221,1
8.227458,11.37764,1
8.179511,11.37211,1
8.1315,11.36561,1
8.083443,11.35814,1
8.035361,11.3497,1
7.98727,11.34027,1
7.9392,11.32987,1
7.89116,11.31848,1
7.84317,11.30611,1
10.57166,9.29981,1
7.79526,11.29275,1
7.74744,11.2784,1
7.69974,11.26305,1
7.65217,11.24672,1
7.60476,11.22939,1
7.55752,11.21107,1
7.51048,11.19176,1
7.46366,11.17146,1
7.41707,11.15017,1
7.37075,11.12789,1
10.57552,9.331439,1
7.3247,11.10463,1
7.27896,11.08039,1
7.23353,11.05516,1
7.18845,11.02896,1
7.14373,11.00179,1
7.09939,10.97365,1
7.05546,10.94454,1
7.01195,10.91448,1
6.96888,10.88347,1
6.92628,10.85151,1
10.57873,9.363319,1
6.88417,10.81862,1
6.84256,10.78479,1
6.80148,10.75003,1
6.76095,10.71436,1
6.72098,10.67778,1
6.6816,10.64031,1
6.64282,10.60194,1
6.60467,10.56269,1
6.56716,10.52257,1
6.53032,10.48159,1
10.58131,9.395437,1
6.49417,10.43975,1
6.45871,10.39709,1
6.42398,10.35359,1
6.38998,10.30928,1
6.35675,10.26417,1
6.32429,10.21826,1
6.29262,10.17159,1
6.26177,10.12415,1
6.23175,10.07596,1
6.20257,10.02704,1
10.58323,9.42778,1
6.17426,9.977395,1
6.14683,9.927051,1
6.1203,9.876019,1
6.09468,9.824315,1
6.06999,9.771955,1
6.04624,9.718957,1
6.02345,9.665337,1
6.00164,9.611113,1
5.98082,9.556302,1
5.96101,9.500922,1
10.58448,9.460335,1
5.94221,9.444993,1
5.92444,9.388533,1
5.90772,9.331561,1
5.89206,9.274096,1
5.87747,9.216158,1
5.86397,9.157767,1
5.85155,9.0989439,1
5.84025,9.0397087,1
5.83006,8.9800824,1
5.821,8.9200863,1
10.58508,9.493089,1
5.81308,8.859742,1
5.80631,8.79907,1
5.8007,8.738094,1
5.79626,8.676835,1
5.79299,8.615316,1
5.7909,8.553559,1
5.79001,8.491588,1
5.79032,8.429425,1
5.79183,8.367093,1
5.79456,8.304617,1
10.58499,9.526028,1
5.79851,8.242019,1
5.80368,8.179323,1
5.81007,8.116554,1
5.81771,8.053736,1
5.82658,7.99089,1
5.83669,7.92805,1
5.84805,7.86523,1
5.86065,7.80246,1
5.87451,7.73976,1
5.88962,7.67716,1
10.58422,9.559137,1
5.90598,7.61468,1
5.92359,7.55235,1
5.94245,7.49019,1
5.96257,7.42824,1
5.98395,7.3665,1
6.00657,7.30502,1
6.03044,7.24381,1
6.05556,7.1829,1
6.08192,7.12231,1
6.10953,7.06207,1
10.50973,9.0284611,1
10.58277,9.592403,1
6.13837,7.00221,1
6.16844,6.94275,1
6.19974,6.88372,1
6.23226,6.82513,1
6.266,6.76703,1
6.30095,6.70942,1
6.33711,6.65234,1
6.37445,6.59582,1
6.41299,6.53986,1
6.4527,6.48451,1
10.58062,9.625812,1
6.49359,6.42979,1
6.53563,6.37571,1
6.57882,6.32231,1
6.62316,6.26961,1
6.66862,6.21763,1
6.7152,6.1664,1
6.76289,6.11593,1
6.81167,6.06626,1
6.86153,6.01741,1
6.91245,5.9694,1
10.57777,9.659349,1
6.96443,5.92225,1
7.01744,5.87599,1
7.07148,5.83063,1
7.12652,5.7862,1
7.18256,5.74273,1
7.23957,5.70023,1
7.29754,5.65873,1
7.35644,5.61824,1
7.41628,5.57878,1
7.47701,5.54039,1
10.57421,9.692999,1
7.53864,5.50307,1
7.60113,5.46685,1
7.66446,5.43174,1
7.72863,5.39778,1
7.7936,5.36496,1
7.85936,5.33332,1
7.92588,5.30287,1
7.99315,5.27363,1
8.061141,5.24561,1
8.129829,5.21884,1
10.56995,9.726748,1
8.199194,5.19332,1
8.269213,5.16908,1
8.339861,5.14613,1
8.411116,5.12449,1
8.482952,5.10416,1
8.555346,5.08517,1
8.628272,5.06753,1
8.701706,5.05125,1
8.775621,5.03635,1
8.849993,5.02283,1
10.56497,9.760581,1
8.9247947,5.01071,1
9,5,1
9.0755822,4.99071,1
9.151515,4.98286,1
9.22777,4.97644,1
9.30432,4.97148,1
9.381139,4.96797,1
9.458197,4.96594,1
9.535467,4.96538,1
9.61292,4.9663,1
10.55926,9.794483,1
9.690529,4.96871,1
9.768263,4.97262,1
9.846095,4.97803,1
9.923996,4.98495,1
10.00193,4.99338,1
10.07988,5.00332,1
10.15781,5.01478,1
10.23569,5.02776,1
10.31349,5.04227,1
10.39119,5.0583,1
10.55283,9.828439,1
10.46874,5.07586,1
10.54612,5.09494,1
10.62331,5.11555,1
10.70027,5.13768,1
10.77696,5.16134,1
10.85337,5.18652,1
10.92946,5.21322,1
11.0052,5.24144,1
11.08056,5.27117,1
11.15551,5.30241,1
10.54567,9.862433,1
11.23002,5.33515,1
11.30406,5.36939,1
11.37759,5.40512,1
11.4506,5.44234,1
11.52305,5.48103,1
11.59491,5.5212,1
11.66615,5.56283,1
11.73673,5.6059,1
11.80664,5.65043,1
11.87585,5.69638,1
10.53778,9.896449,1
11.94431,5.74375,1
12.01201,5.79254,1
12.07891,5.84272,1
12.14499,5.89429,1
12.21021,5.94723,1
12.27456,6.00152,1
12.33799,6.05716,1
12.40049,6.11413,1
