@RELATION spiral.arff

% Handl, Julia, and Joshua Knowles. "Multiobjective clustering with automatic determination of the number of clusters."
% UMIST, Manchester, Tech. Rep. TR-COMPSYSBIO-2004-02 (2004).

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1}

@DATA
1.5,0,0
1.50973,0.0284611,0
1.51892,0.0572891,0
1.52755,0.0864734,0
1.53562,0.116003,0
1.54312,0.145868,0
1.55003,0.176056,0
1.55635,0.206556,0
1.56207,0.237356,0
1.56717,0.268445,0
1.57166,0.29981,0
1.57552,0.331439,0
1.57873,0.363319,0
1.58131,0.395437,0
1.58323,0.42778,0
1.58448,0.460335,0
1.58508,0.493089,0
1.58499,0.526027,0
1.58422,0.559137,0
1.58277,0.592403,0
1.58062,0.625812,0
1.57777,0.659349,0
1.57421,0.692999,0
1.56995,0.726748,0
1.56497,0.760581,0
1.55926,0.794483,0
1.55283,0.828439,0
1.54567,0.862433,0
1.53778,0.896449,0
1.52916,0.930473,0
1.51979,0.964488,0
1.50968,0.998479,0
1.49883,1.03243,0
1.48723,1.06632,0
1.47488,1.10015,0
1.46179,1.13388,0
1.44794,1.16751,0
1.43334,1.20101,0
1.41799,1.23438,0
1.40189,1.2676,0
1.38504,1.30064,0
1.36744,1.3335,0
1.34909,1.36615,0
1.32999,1.39858,0
1.31015,1.43078,0
1.28956,1.46272,0
1.26823,1.49439,0
1.24616,1.52577,0
1.22336,1.55685,0
1.19983,1.58761,0
1.17557,1.61803,0
1.15059,1.6481,0
1.12489,1.6778,0
1.09848,1.70712,0
1.07136,1.73603,0
1.04353,1.76452,0
1.01502,1.79258,0
0.985813,1.82018,0
0.955926,1.84732,0
0.925365,1.87398,0
0.894137,1.90014,0
0.86225,1.92578,0
0.829712,1.95089,0
0.796533,1.97546,0
0.762721,1.99946,0
0.728287,2.02289,0
0.693238,2.04573,0
0.657587,2.06797,0
0.621342,2.08958,0
0.584515,2.11055,0
0.547118,2.13088,0
0.509161,2.15055,0
0.470656,2.16954,0
0.431615,2.18783,0
0.392052,2.20542,0
0.351978,2.2223,0
0.311406,2.23844,0
0.270351,2.25384,0
0.228825,2.26849,0
0.186843,2.28236,0
0.144418,2.29546,0
0.101566,2.30777,0
0.0583018,2.31927,0
0.0146397,2.32995,0
-0.0294045,2.33982,0
-0.0738153,2.34884,0
-0.118577,2.35702,0
-0.163672,2.36434,0
-0.209086,2.3708,0
-0.254801,2.37638,0
-0.3008,2.38108,0
-0.347066,2.38488,0
-0.393582,2.38778,0
-0.44033,2.38977,0
-0.487292,2.39085,0
-0.534451,2.391,0
-0.581788,2.39021,0
-0.629284,2.38849,0
-0.676921,2.38583,0
-0.72468,2.38221,0
-0.772542,2.37764,0
-0.820489,2.37211,0
-0.8685,2.36561,0
