% Dataset from: http://mail.tku.edu.tw/chchou/others/others.htm
%
% M. C. Su, C. H. Chou, and C. C. Hsieh, “Fuzzy C-Means Algorithm with a Point Symmetry Distance,” 
% International Journal of Fuzzy Systems, vol. 7, no. 4, pp. 175-181, 2005.
%
@RELATION 3MC

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3}

@DATA
-3.053,0.787,1
-2.535,1.088,1
-2.667,0.611,1
-2.598,1.323,1
2.173,0.864,1
0.606,0.742,1
-1.686,0.854,1
2.307,1.196,1
0.520,1.155,1
-0.484,0.985,1
-1.857,1.337,1
-3.460,0.868,1
-0.324,1.237,1
0.319,1.149,1
0.714,1.399,1
-2.184,1.529,1
0.128,1.446,1
2.357,0.693,1
0.605,1.402,1
-0.770,1.401,1
1.199,1.135,1
-4.580,1.124,1
2.693,1.038,1
-1.969,0.901,1
0.597,1.031,1
-3.557,1.064,1
4.359,1.041,1
-4.393,1.371,1
-3.509,0.876,1
-0.494,0.743,1
2.767,1.281,1
0.926,1.275,1
0.161,0.716,1
3.213,0.846,1
3.715,1.502,1
3.889,0.644,1
-1.021,1.156,1
-3.313,1.288,1
-0.105,0.834,1
-4.164,1.255,1
3.566,1.288,1
-0.949,0.628,1
-2.198,1.493,1
0.898,1.260,1
-2.996,0.668,1
2.913,1.001,1
-0.088,0.893,1
-3.480,1.211,1
-0.642,0.825,1
1.870,0.805,1
-0.952,1.485,1
-2.330,0.901,1
-0.390,1.052,1
4.044,1.107,1
1.593,1.549,1
-1.297,0.868,1
-1.516,1.203,1
-3.205,1.021,1
-1.776,1.122,1
-1.997,1.535,1
-4.031,0.632,1
3.695,1.299,1
-0.956,1.342,1
0.106,1.458,1
-0.767,1.219,1
-3.211,1.330,1
3.486,1.483,1
-0.581,1.541,1
-1.476,0.938,1
3.407,1.408,1
-2.110,1.324,1
-0.363,0.971,1
1.960,0.668,1
-0.857,0.981,1
-3.693,0.845,1
-0.163,1.078,1
-3.014,1.023,1
-3.621,0.854,1
-1.842,0.731,1
3.689,0.960,1
-1.173,0.894,1
-0.394,0.854,1
-2.588,0.670,1
-1.131,1.172,1
2.051,1.406,1
-1.009,0.669,1
-4.418,0.845,1
1.451,0.751,1
-2.588,0.978,1
2.061,0.894,1
0.667,1.170,1
3.679,1.513,1
4.367,0.964,1
3.106,0.746,1
-1.707,1.024,1
3.860,0.743,1
3.876,1.023,1
2.310,1.506,1
-1.027,1.042,1
2.032,0.653,1
-1.256,1.459,1
-1.520,1.517,1
1.011,0.822,1
-3.825,0.975,1
0.767,0.768,1
2.720,0.655,1
1.578,0.824,1
-1.978,1.305,1
3.468,1.542,1
-2.352,1.554,1
-3.453,1.371,1
-2.643,0.616,1
1.373,0.827,1
0.956,0.744,1
-3.831,1.061,1
3.003,1.040,1
2.012,0.927,1
3.975,1.353,1
0.404,1.233,1
-2.932,0.790,1
1.747,8.187,2
0.219,6.065,2
2.688,4.617,2
2.133,3.011,2
1.824,5.002,2
1.923,3.626,2
0.973,6.264,2
0.668,8.206,2
0.342,5.024,2
3.114,4.254,2
0.876,10.907,2
0.796,9.325,2
2.320,4.555,2
1.078,7.116,2
1.585,7.640,2
2.943,5.737,2
0.332,4.140,2
2.468,6.952,2
1.476,6.637,2
0.571,9.919,2
0.749,5.690,2
2.514,3.799,2
1.243,5.416,2
1.129,10.721,2
1.928,6.846,2
1.788,3.957,2
0.293,4.847,2
2.405,10.802,2
1.880,7.830,2
1.001,8.210,2
2.999,4.535,2
2.298,3.020,2
1.724,9.077,2
1.493,3.438,2
0.665,7.631,2
2.501,4.667,2
2.397,6.431,2
1.063,7.043,2
1.664,3.796,2
3.159,5.441,2
2.683,4.207,2
1.971,6.905,2
1.291,9.276,2
0.910,9.106,2
1.343,5.651,2
1.567,5.681,2
1.400,8.526,2
1.875,10.264,2
1.961,7.116,2
2.256,10.813,2
0.446,10.470,2
2.515,9.902,2
3.177,5.489,2
2.244,6.245,2
0.779,5.556,2
1.120,5.287,2
0.888,9.323,2
1.695,3.234,2
1.342,5.436,2
1.855,8.774,2
2.366,5.688,2
1.441,7.651,2
0.228,3.285,2
2.602,5.893,2
2.259,3.498,2
1.860,8.525,2
1.804,9.068,2
2.341,10.513,2
2.601,4.711,2
1.712,10.293,2
1.389,5.120,2
1.811,3.722,2
1.158,5.225,2
2.673,10.470,2
2.405,5.605,2
0.848,10.885,2
2.317,6.270,2
2.501,3.168,2
1.410,8.452,2
0.543,5.644,2
0.707,8.583,2
0.393,4.949,2
1.211,9.303,2
0.468,7.002,2
0.284,4.603,2
1.803,4.395,2
0.621,10.415,2
3.024,7.522,2
1.054,5.603,2
3.135,3.071,2
0.769,10.032,2
1.562,4.295,2
1.899,9.309,2
0.844,3.742,2
1.434,10.706,2
3.058,5.795,2
1.033,6.619,2
1.159,5.389,2
1.930,5.792,2
2.286,10.883,2
3.091,10.019,2
1.141,8.064,2
0.324,9.338,2
0.687,4.007,2
1.008,4.495,2
2.690,10.724,2
0.673,9.237,2
2.571,7.941,2
0.760,5.068,2
2.015,6.743,2
0.581,8.696,2
1.107,10.245,2
0.372,9.437,2
1.678,4.845,2
1.786,7.423,2
0.484,6.979,2
0.454,5.400,2
2.958,9.131,2
3.138,3.289,2
1.560,9.042,2
0.627,8.294,2
3.003,8.206,2
0.454,4.940,2
2.212,6.070,2
1.422,6.469,2
2.772,10.307,2
0.851,5.806,2
2.250,7.591,2
1.269,10.759,2
0.382,3.245,2
0.554,3.051,2
1.351,9.427,2
2.212,7.378,2
1.006,10.661,2
0.494,7.172,2
2.467,4.570,2
2.855,5.279,2
1.113,3.059,2
3.167,4.364,2
2.958,10.706,2
2.346,7.550,2
3.093,6.424,2
1.804,4.460,2
1.343,3.587,2
2.676,9.423,2
0.759,3.910,2
1.106,10.270,2
0.773,6.442,2
