% Dataset from: http://mail.tku.edu.tw/chchou/others/others.htm
%
% M. C. Su, C. H. Chou, and C. C. Hsieh, “Fuzzy C-Means Algorithm with a Point Symmetry Distance,”
% International Journal of Fuzzy Systems, vol. 7, no. 4, pp. 175-181, 2005.
%
@RELATION DS-577

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3}

@DATA
4.489013,3.949385,1
3.234519,3.032182,1
2.339381,3.233512,1
3.067888,3.272515,1
3.337977,3.214286,1
1.623692,1.968673,1
4.459075,3.803079,1
2.746071,2.881115,1
3.022935,3.244224,1
2.634098,2.410794,1
2.209555,2.269341,1
2.938520,4.243461,1
3.307581,3.077136,1
4.325037,3.338618,1
2.868755,2.639683,1
2.849528,2.990066,1
3.360591,3.146077,1
1.935163,2.120289,1
3.001328,3.005997,1
2.815287,2.893017,1
1.970595,2.479919,1
3.990677,3.728278,1
3.402707,3.298334,1
3.945814,2.965621,1
2.735176,2.449980,1
3.608432,3.170064,1
3.252739,3.002152,1
2.484497,3.060198,1
3.994705,3.673803,1
2.799814,2.734718,1
2.907117,2.647374,1
3.115223,4.262139,1
2.973952,2.696356,1
3.986648,3.551485,1
3.326075,3.389431,1
1.859722,1.628361,1
2.762185,2.475341,1
2.888989,3.010208,1
2.817301,3.156148,1
3.017533,2.841655,1
3.685522,3.447386,1
3.414609,3.078967,1
2.412534,2.670171,1
3.551576,3.318201,1
3.119800,3.169698,1
3.662816,3.273339,1
1.914106,2.575411,1
2.720985,2.346248,1
3.747047,3.591311,1
4.447722,3.787515,1
2.788827,2.815561,1
3.065783,2.989334,1
3.015519,3.216941,1
2.533937,2.938429,1
2.929548,3.161733,1
3.606601,3.310785,1
3.961470,3.833018,1
3.200095,3.341090,1
3.943892,3.325709,1
2.584658,2.652593,1
3.367641,3.577944,1
2.175130,2.389279,1
3.093066,3.129780,1
2.019761,2.741035,1
4.233482,4.221580,1
2.910321,2.896588,1
1.983322,2.480926,1
3.507996,2.276940,1
3.990402,4.059343,1
1.925916,1.847545,1
3.645787,3.182974,1
4.467864,3.664098,1
3.275536,3.071001,1
