% Dataset from: http://mail.tku.edu.tw/chchou/others/others.htm
%
% M. C. Su, C. H. Chou, and C. C. Hsieh, “Fuzzy C-Means Algorithm with a Point Symmetry Distance,”
% International Journal of Fuzzy Systems, vol. 7, no. 4, pp. 175-181, 2005.
%
@RELATION DS-850
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {0,1,2,3,4}
%
@DATA
4.489013,3.949385,2
3.234519,3.032182,2
2.339381,3.233512,2
3.067888,3.272515,2
3.337977,3.214286,2
1.623692,1.968673,2
4.459075,3.803079,2
2.746071,2.881115,2
3.022935,3.244224,2
2.634098,2.410794,2
2.209555,2.269341,2
2.93852,4.243461,2
3.307581,3.077136,2
4.325037,3.338618,2
2.868755,2.639683,2
2.849528,2.990066,2
3.360591,3.146077,2
1.935163,2.120289,2
3.001328,3.005997,2
2.815287,2.893017,2
1.970595,2.479919,2
3.990677,3.728278,2
3.402707,3.298334,2
3.945814,2.965621,2
2.735176,2.44998,2
3.608432,3.170064,2
3.252739,3.002152,2
2.484497,3.060198,2
3.994705,3.673803,2
2.799814,2.734718,2
2.907117,2.647374,2
3.115223,4.262139,2
2.973952,2.696356,2
3.986648,3.551485,2
3.326075,3.389431,2
1.859722,1.628361,2
2.762185,2.475341,2
2.888989,3.010208,2
2.817301,3.156148,2
3.017533,2.841655,2
3.685522,3.447386,2
3.414609,3.078967,2
2.412534,2.670171,2
3.551576,3.318201,2
3.1198,3.169698,2
3.662816,3.273339,2
1.914106,2.575411,2
2.720985,2.346248,2
3.747047,3.591311,2
4.447722,3.787515,2
2.788827,2.815561,2
3.065783,2.989334,2
3.015519,3.216941,2
2.533937,2.938429,2
2.929548,3.161733,2
3.606601,3.310785,2
3.96147,3.833018,2
3.200095,3.34109,2
3.943892,3.325709,2
2.584658,2.652593,2
3.367641,3.577944,2
2.17513,2.389279,2
3.093066,3.12978,2
2.019761,2.741035,2
4.233482,4.22158,2
2.910321,2.896588,2
1.983322,2.480926,2
3.507996,2.27694,2
3.990402,4.059343,2
1.925916,1.847545,2
3.645787,3.182974,2
4.467864,3.664098,2
3.275536,3.071001,2
4.161977,3.177847,2
3.09508,2.91792,2
4.149342,2.954726,2
3.058275,2.963149,2
3.212088,3.750984,2
2.805124,2.793954,2
4.023911,3.317652,2
1.784738,2.587313,2
2.851543,2.983566,2
3.440977,3.477416,2
3.884014,3.279107,2
2.566988,1.667821,1
3.63187,3.683508,2
4.088458,3.490051,2
3.419828,3.19982,2
1.620579,2.594363,2
2.707251,2.4476,2
3.235984,3.104053,2
3.289636,3.267296,2
2.4129,2.971023,2
3.734321,3.365169,2
3.03209,3.086383,2
3.335414,2.976608,2
3.027696,2.906568,2
4.230003,3.549654,2
2.794412,2.961592,2
2.394681,2.819956,2
3.058641,2.859142,2
4.406613,3.409665,2
2.688025,2.837901,2
3.278008,2.598025,2
3.077044,3.235527,2
2.397153,2.696722,2
3.55121,3.163015,2
4.190451,3.168416,2
3.975661,3.483825,2
2.23281,2.231712,2
3.067614,2.632267,2
4.437742,3.717017,2
3.95735,3.623539,2
1.619938,2.30633,2
2.358333,2.488342,2
2.216697,3.00325,2
1.918134,2.094745,2
4.448454,3.367367,2
4.092486,3.572451,2
3.174734,3.003067,2
2.684088,3.011216,2
2.024979,1.756264,2
3.234336,3.186087,2
2.188406,3.151204,2
3.201285,3.398129,2
3.079424,3.077868,2
3.771584,3.194418,2
3.158528,4.194937,2
3.240745,2.722175,2
3.004074,2.656713,2
4.359004,3.983718,2
3.045457,3.725257,2
3.311518,3.196341,2
3.102863,3.114399,2
2.70423,2.82728,2
2.041917,2.068468,2
