% The variant allele frequencies of somatic single nucleotide variants
% from whole genome sequencing of a AML patient at two time points
%
% Miller, C. A., White, B. S., Dees, N. D., Griffith, M., Welch, J. S., Griffith, O. L.,
% Vij, R., Tomasson, M. H., Graubert, T. A., Walter, M. J., et al. (2014).
% SciClone: Inferring clonal architecture and tracking the spatial and temporal patterns
% of tumor evolution. PLoS Comput. Biol., 10(8).
% 
@relation aml28

@ATTRIBUTE tumor REAL
@ATTRIBUTE relapse REAL
@ATTRIBUTE class {1,2,3,4,5}

@data
45.0536,44.0387,1
0.516351,32.5674,4
48.1301,40.1408,1
1.53453,30.3079,4
44.4234,40.9797,1
42.623,43.6877,1
50.7795,39.0957,1
41.5673,0,3
47.7401,45.9898,1
46.2963,38.2423,1
46.4583,42.2741,1
41.6981,46.0733,1
41.6442,42.9694,1
44.1654,44.1498,1
43.913,11.0262,2
45.4123,42.439,1
45.5118,40.1282,1
46.8196,38.9807,1
45.6628,44.6254,1
42.9355,42.7265,1
41.8224,1.93861,3
50.2857,48.3755,1
46.519,42.7184,1
48.0769,43.4109,1
46.0064,0.176056,3
41.6,43.1235,1
46.3023,40.7494,1
1.36571,32.106,4
41.25,37.7637,1
46.5409,41.6179,1
47.0457,11.1241,2
44.0541,41.2,1
45.4359,41.5616,1
45.614,46.7089,1
0.720721,23.9915,4
43.9153,42.9596,1
44.9468,42.8571,1
42.4818,11.2903,2
38.5714,36.9439,1
45.5712,42.7046,1
0.907912,30.0366,4
44.5669,38.2865,1
42.6099,40,1
39.3035,41.3318,1
46.2445,41.9238,1
45.1005,44.3796,1
46.1806,41.1134,1
47,42.3575,1
45.2967,43.4494,1
44.5438,41.5842,1
44.8795,38.5542,1
50.1938,45.9184,1
45.6989,42.6307,1
39.2857,33.5135,1
0.806452,33.3611,4
45.614,38.5491,1
37.5394,0.420521,3
40.2624,39.8644,1
42.0319,39.6779,1
49.4208,42.7793,1
46.3138,41.8244,1
42.9592,42.1578,1
32.0087,31.0056,1
0.651163,27.3041,4
46.1047,43.9126,1
42.7211,44.3972,1
43.4679,10.9356,2
39.2694,37.1758,1
42.3024,44.306,1
43.8819,44.8513,1
41.8557,42.906,1
44.9301,36.9146,1
45.0113,40.2116,1
0.880503,27.9614,4
0.84317,30.2428,4
51.4504,46.5628,1
47.1545,42.1384,1
0.947867,24.4737,4
48.3759,12.1212,2
41.8605,39.0857,1
0.339751,30.6709,4
40.3718,11.8436,2
43.2133,42.521,1
45.3659,42.9213,1
43.5858,38.2521,1
44.2945,40.9009,1
47.8599,40.4343,1
46.256,42.9882,1
