% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: different variances and linear not separable
%
@relation atom

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE z REAL
@ATTRIBUTE class {1,2}

@data
-4.82249,-50.40217,4.020861,1
-44.46012,20.96467,-11.49206,1
50.00102,0.7807481,9.13446,1
-41.69908,-22.31006,16.31412,1
4.425242,-4.666664,50.22374,1
27.26058,23.38604,35.06772,1
-19.988,-6.638056,45.86818,1
47.5704,-1.571324,15.8721,1
41.8764,10.83021,24.64421,1
15.85935,14.686,44.09609,1
-33.77252,-36.60115,3.766672,1
3.218305,-44.84079,22.52914,1
4.31406,-2.829593,-50.04402,1
22.7331,-33.76487,28.55148,1
5.453126,4.356794,48.95405,1
6.473627,49.40687,0.3539394,1
-21.38691,44.32754,-9.408566,1
34.33926,-11.68791,34.82704,1
-2.538081,-40.3518,29.40645,1
14.16785,-35.62283,-32.61538,1
33.07119,-28.15823,-23.45108,1
-45.86114,2.049557,21.06677,1
-45.06056,16.24832,15.40648,1
11.35568,-8.953778,-49.02086,1
26.94642,-32.28738,25.70605,1
23.97626,43.49894,8.875034,1
-22.61322,1.12052,43.846,1
-46.64605,13.00358,14.79079,1
-43.8916,-18.32661,19.00224,1
-7.45989,-12.62892,-48.4261,1
48.77461,-10.88641,-0.9436041,1
-45.7206,-20.06,-9.225777,1
-31.63734,-22.73955,31.27342,1
-42.95419,22.21346,11.99868,1
0.7238982,-0.5390864,50.49664,1
-36.67465,-11.73224,31.75296,1
-26.96182,-42.71378,-4.202611,1
-12.54398,-44.17073,17.12193,1
-3.791277,10.2348,47.8953,1
-2.104881,-2.757672,49.14903,1
15.93932,-40.4724,22.66677,1
20.82794,22.35719,38.69671,1
34.87016,27.49711,20.86706,1
7.022449,10.49432,-48.06278,1
16.93301,-46.36226,-10.05664,1
48.95567,-9.864451,0.3758181,1
-10.47965,-23.89419,43.89176,1
-3.377526,-43.36406,-23.22464,1
-17.27796,39.43855,24.45212,1
-20.78939,44.21985,3.80786,1
19.70845,-23.33272,-40.17329,1
-18.0635,-12.48334,-45.34063,1
11.00464,28.33156,-39.06953,1
-12.04288,-35.05996,-33.67099,1
-5.762872,35.68634,34.41024,1
32.77245,-26.81582,-27.31609,1
4.349359,-15.73848,-46.58156,1
-37.4316,-13.33147,-29.36227,1
1.095149,-28.95145,41.19409,1
20.81152,-45.09924,6.71862,1
-16.63654,40.85904,23.28948,1
-49.46474,-9.365017,4.165513,1
-32.93833,37.47076,5.488567,1
-34.69399,-13.47161,-33.68293,1
-1.700924,3.878389,-50.18907,1
9.342566,-48.16571,5.786603,1
-0.7621773,0.242945,50.54068,1
-22.53897,-1.074838,-45.07567,1
-43.22574,-19.92554,-14.80758,1
0.146423,-2.590253,-49.4474,1
35.09462,35.27068,3.152403,1
-13.35171,-41.21441,25.29178,1
5.15683,16.4838,-46.40707,1
17.57125,-27.34733,37.69288,1
40.25838,21.12824,-22.4371,1
39.77912,-27.23688,-13.81376,1
-10.20641,12.49038,47.36394,1
-28.97766,-9.167267,-40.12533,1
5.347855,9.703275,48.8182,1
-29.34843,-29.73358,-27.20795,1
7.751599,-1.21041,48.48497,1
-20.17439,34.00705,-29.97805,1
-1.591191,-9.64301,-48.89731,1
-47.99001,-3.734926,-13.51071,1
-31.08115,22.26071,-31.88627,1
-24.65025,-38.61415,20.05759,1
2.615159,23.41465,44.5257,1
29.87216,-38.8878,3.377874,1
-22.57602,-14.56696,-41.73751,1
7.257201,14.53641,47.57259,1
28.67004,41.82245,4.503478,1
-44.33257,-11.93141,21.89896,1
12.6086,14.71034,45.88678,1
34.84005,33.95954,-10.87016,1
0.6930852,47.70752,15.27311,1
-40.55072,10.0782,-27.85772,1
36.46811,25.91996,-22.74993,1
46.04884,-18.70015,-9.746982,1
-11.2556,14.99203,46.56661,1
-26.34762,28.01287,31.83715,1
27.7089,-31.65224,27.68707,1
4.957815,2.793576,49.31642,1
12.02478,-30.42038,-37.49503,1
-33.9034,33.37337,13.62383,1
-0.6913066,50.59888,-3.136346,1
-21.28546,31.15772,32.29716,1
5.779592,-4.921898,49.71489,1
47.65302,2.013214,17.81435,1
-11.25033,-32.35077,36.86448,1
-26.76125,38.64196,-17.24929,1
48.96192,-13.58528,-0.6522584,1
-41.06392,-8.996117,25.71,1
-26.52002,-41.99598,-8.558903,1
-38.85771,31.28569,9.822041,1
-2.515191,-46.94446,-15.17955,1
6.50394,-8.794935,-48.28183,1
14.96289,-9.978585,46.97517,1
-2.025608,0.04964101,50.5298,1
40.88566,16.21842,-24.76219,1
-14.3098,16.65692,45.46714,1
-3.27665,50.2128,6.63532,1
-27.98439,12.86504,-39.89967,1
-44.5204,20.09092,-11.79887,1
-30.49969,16.16691,-35.79538,1
-13.12977,44.15611,-17.2343,1
15.69404,46.58119,-10.78499,1
4.421565,-0.4555505,49.46495,1
28.2317,-31.7384,24.18817,1
-22.90543,-40.52252,18.15122,1
10.99909,33.17303,36.23688,1
47.35365,-16.80534,2.047461,1
-33.60902,-31.43792,20.79608,1
1.020812,-2.477213,50.5857,1
-25.79635,6.522167,43.05138,1
-2.533395,4.720672,-49.26161,1
38.90562,11.80128,30.41467,1
-8.89362,-44.05494,20.70422,1
-36.85225,-10.28442,-31.86347,1
-44.43241,0.7083098,22.80296,1
-17.25394,22.097,41.54161,1
-6.064972,-16.46601,-46.84798,1
47.50892,-11.84642,7.375438,1
19.13517,40.67304,-23.05783,1
-17.02271,11.34864,-45.25962,1
44.37608,-18.80899,-15.02566,1
-2.487963,0.9622863,-50.34179,1
21.9998,-43.85001,5.786808,1
12.12234,-28.15303,39.30494,1
-31.38082,27.30521,-29.55518,1
-14.69619,-45.58635,-14.8987,1
-1.570841,-1.131274,-50.39623,1
23.83922,16.03683,40.23738,1
10.23427,-1.183003,-48.35214,1
17.72995,-39.4835,-25.10024,1
-23.2807,-29.6062,-31.71901,1
-22.85635,-43.16858,9.428436,1
19.38618,40.13338,-24.0397,1
8.098991,-8.90821,-49.00687,1
32.80908,-34.0526,15.72066,1
-6.456641,1.122958,-50.14607,1
10.61215,9.583215,-48.09697,1
28.89482,35.19984,20.01794,1
6.838639,2.594893,48.91467,1
16.24363,13.01361,-44.43923,1
33.33504,8.206512,-35.21809,1
15.09552,41.48158,24.88161,1
16.69818,-44.23849,17.47795,1
-0.3559351,-1.865036,50.10813,1
-38.98961,-9.487279,-28.06464,1
-43.20009,-24.29032,-1.564957,1
-30.52187,20.42487,33.02506,1
23.48271,-34.72635,28.37988,1
12.52884,28.36919,-40.08085,1
7.496297,27.39054,-41.32372,1
-11.35721,-32.35619,-37.36999,1
-8.301093,8.04872,47.99522,1
-32.83114,-34.61644,15.94803,1
34.09921,-30.94227,-18.8846,1
21.62079,-5.983094,44.65717,1
3.491038,-5.590563,-49.57293,1
-39.16634,-30.02453,-9.61393,1
-48.47684,-0.9443744,-8.961936,1
18.24831,-31.17883,-33.83826,1
20.80812,-27.43795,35.95826,1
-48.67136,-10.729,3.423902,1
6.568269,44.86672,21.62113,1
-6.752613,4.428355,49.64736,1
-44.87937,10.24572,18.68548,1
-35.09465,-16.77224,32.60057,1
-24.77118,-42.13846,-12.20059,1
29.18215,35.27971,20.0137,1
0.9745382,-1.076707,49.32918,1
-41.6554,-16.53109,22.05314,1
24.75164,43.64613,3.542096,1
-46.88357,17.48583,-2.534842,1
13.39536,10.85655,46.0423,1
11.16815,-2.346825,-48.95842,1
20.26882,-33.53818,30.6549,1
23.55002,-3.955634,-44.27267,1
-19.29657,-46.71972,-7.68587,1
35.46157,-22.90718,-25.87966,1
-46.48111,13.37205,-14.28129,1
-28.49779,22.64155,34.17736,1
24.69414,-38.03717,-22.43411,1
-24.70609,-16.40013,-41.74278,1
20.02143,-4.044525,-44.81512,1
-2.168572,48.94227,6.657756,1
-31.92266,5.88428,-37.10368,1
15.04082,-30.53569,-35.32828,1
-5.382507,2.117309,49.83157,1
19.26804,-45.46831,-3.429013,1
30.95699,34.95664,-16.28408,1
-16.55415,-17.9403,43.40404,1
-17.59724,4.095142,45.98448,1
36.35111,-34.58334,-0.95707,1
40.0404,-22.59247,-21.29191,1
-9.102509,-2.622652,-48.89323,1
-26.14375,31.42785,-27.50999,1
-21.7382,33.06834,31.3796,1
31.98738,-36.17371,11.84347,1
18.59285,-43.36289,-15.83322,1
-3.811619,5.949773,49.23386,1
49.76361,0.04336323,3.636998,1
26.83767,-6.235159,-42.08913,1
-3.206753,-40.77514,28.55627,1
-44.50087,1.440294,-22.84606,1
15.59361,-24.10409,-41.79011,1
-25.90782,9.968161,-41.97255,1
9.414464,-47.31675,-8.793803,1
-44.87765,-15.92584,12.69684,1
14.20206,-44.84281,17.31598,1
-22.17526,42.26628,14.5148,1
-19.8821,-32.87743,32.40931,1
-7.091579,37.44145,32.20222,1
2.3646,7.391677,48.66939,1
38.44342,22.12334,25.31603,1
2.365793,0.8129662,-50.1924,1
29.318,-29.17177,-28.00311,1
41.60221,3.430297,27.88026,1
14.27009,7.708516,-47.86103,1
17.78474,46.87565,1.343949,1
-30.60782,19.16917,-34.75742,1
-35.13651,-34.40076,12.50067,1
38.15176,1.3047,-30.47795,1
39.68217,20.87902,22.40266,1
33.49055,-13.76336,-34.23562,1
-46.07051,14.35748,11.63906,1
20.13949,-13.85247,-44.29513,1
-14.16664,37.641,29.96453,1
5.311071,1.981352,49.42998,1
-27.91478,3.326468,40.03162,1
-48.79479,-7.853357,7.005214,1
6.928665,38.10239,-33.10926,1
-33.92357,-24.50821,-27.33945,1
-46.46928,-20.22653,-1.50004,1
-25.74115,33.7682,-26.11377,1
-11.62565,-21.11612,44.55823,1
46.17046,12.95738,13.59058,1
-27.06898,39.63657,-16.8676,1
8.794248,3.027069,49.47441,1
-4.247651,8.789343,-49.0567,1
-0.8666983,-28.31705,-41.55359,1
-10.67849,12.457,-46.94552,1
41.50206,-28.7027,-4.970166,1
-6.271647,-25.36591,-43.41453,1
25.29207,-28.03253,-32.76368,1
-21.24144,-30.16006,-34.22664,1
10.36366,-9.062661,48.69894,1
36.28288,35.08028,-4.018332,1
-28.14774,-33.01025,27.13286,1
-6.204708,-4.217845,49.81495,1
-5.061931,-45.69232,-18.42893,1
16.2768,-21.03139,41.71322,1
2.083891,5.838801,50.16167,1
18.29273,-43.5623,17.23676,1
4.772465,-6.594583,-48.75218,1
3.675565,-32.59256,-38.73641,1
-27.68478,34.71555,-24.40825,1
-23.7102,8.074168,42.35586,1
-28.65841,-15.43324,-37.15577,1
-14.10338,-5.827681,-48.74629,1
-1.673709,12.11732,-47.82571,1
10.2283,43.29045,-21.3484,1
-3.916615,-1.481448,-50.59212,1
-3.65934,-50.46101,1.383157,1
-15.41431,-14.20952,45.30973,1
23.12736,14.88019,42.09711,1
22.19725,28.39519,34.92551,1
-43.62921,-8.788146,20.91679,1
-6.123117,-10.98347,47.53668,1
15.07826,45.03738,-16.53673,1
-35.32299,-19.63147,30.21394,1
-28.18722,36.92129,-17.21705,1
-11.91392,-17.66227,-45.26736,1
-26.40349,41.55071,8.600806,1
30.85129,-3.649354,38.53956,1
-38.55605,-3.145174,30.59207,1
1.118891,-26.31832,-41.69631,1
-32.91517,-21.91888,-32.06323,1
0.7997207,-1.614539,49.20648,1
2.548724,5.762376,50.24814,1
-17.6683,-11.11593,-46.2383,1
23.21439,4.272787,-44.92996,1
43.24806,18.23998,-17.74841,1
-18.89171,4.005896,-45.73183,1
6.317842,-5.627168,-50.04882,1
-2.02899,12.3768,-47.26368,1
4.811247,-2.576305,49.32997,1
-22.83097,-5.172263,-44.96045,1
-10.96187,44.4455,20.04965,1
-40.77551,-3.840934,28.09662,1
-2.422117,-0.4205238,-49.94691,1
-4.763024,-24.28322,43.34423,1
-1.692692,-22.40035,44.05213,1
-40.13388,-23.88943,14.24961,1
-42.20175,-14.22269,21.99311,1
-49.02459,-3.948233,4.017968,1
12.23806,-9.352941,46.67156,1
29.34727,-2.915915,-41.25044,1
10.49566,-40.20741,28.20718,1
-1.676561,-1.926316,-50.43314,1
-44.47906,19.08395,16.20009,1
42.65319,23.04041,15.27074,1
-15.96402,38.35168,-27.47054,1
-43.91615,25.51323,-5.422202,1
13.50486,-26.76754,-39.62078,1
-16.50981,-34.14365,33.08603,1
30.2339,28.53781,28.49641,1
7.178304,-15.8783,47.62733,1
-14.43792,-38.43511,29.94253,1
-27.2406,-20.58386,37.23562,1
-37.56518,24.63804,-20.95346,1
-1.183901,12.50498,49.26622,1
46.7896,-5.428576,13.04613,1
-13.2169,-3.617789,49.09214,1
14.313,45.24936,-19.42335,1
-12.53725,-6.122769,-48.20183,1
14.4142,5.507587,-48.08541,1
24.72322,-36.96659,-23.56403,1
11.93249,10.63697,47.17158,1
43.47521,3.129027,24.45635,1
-28.55507,-38.59994,-17.70492,1
-17.6162,39.166,-27.34132,1
-14.66631,47.50269,7.730248,1
0.7349299,22.86023,45.28497,1
5.590621,-3.165642,-49.04724,1
1.801536,-10.81482,-49.2775,1
39.10788,-31.22524,-9.286197,1
16.43955,-38.30058,28.88626,1
37.26142,24.40814,-21.32443,1
-26.56257,-9.801281,41.74282,1
-4.503966,-1.384816,-49.21838,1
-27.8525,-17.26728,-37.13444,1
-4.881838,-0.8021143,50.04124,1
-44.20992,12.75119,19.74027,1
-36.51986,18.76769,28.56282,1
-29.10923,28.74427,29.49907,1
0.7703682,13.37954,-47.96614,1
10.06615,5.934258,49.29639,1
-20.505,-29.27766,34.81064,1
4.140492,7.276366,-49.53939,1
-11.08649,10.98255,-48.64085,1
14.27564,30.85341,37.31859,1
9.463121,38.41169,30.69383,1
-21.24122,-41.14747,-18.88702,1
48.54252,8.97072,2.144794,1
-25.95555,7.511405,40.59191,1
-5.926018,-8.151059,48.5188,1
43.22695,17.74809,-19.63619,1
22.50138,-32.4333,-31.44645,1
-1.676615,-19.41668,45.2155,1
-11.84379,-3.100888,-48.7344,1
10.12314,-35.97861,33.17212,1
-5.88182,-2.488278,49.388,1
4.442041,13.9605,-48.2819,1
-47.06148,-12.1271,14.46822,1
6.110267,48.82202,-2.239585,1
40.88596,21.04953,20.69693,1
14.90146,47.77287,7.962387,1
48.04972,17.27542,-1.823311,1
-22.02923,-44.69981,-5.498068,1
-38.88169,-27.00149,15.16309,1
-37.48659,33.50115,-7.571599,1
-14.29629,-14.51095,-46.20447,1
43.32907,13.10979,-20.56149,1
-32.87598,-11.18051,36.63614,1
45.57623,10.69727,-16.31074,1
-27.99436,12.55625,40.24353,1
15.24113,14.0065,46.0521,1
43.90917,1.319353,22.99316,1
40.11679,-26.44239,-14.69514,1
35.23984,2.785888,-35.64861,1
9.095878,-43.90266,-23.68047,1
23.85557,-14.64062,-41.78517,1
16.40414,-37.68288,27.68875,1
25.97567,31.85128,27.67197,1
3.486008,35.42002,-36.70013,1
15.33379,46.17612,14.36294,1
-10.78011,-7.045256,49.25292,1
8.018622,-1.023863,-49.54882,1
0.6857508,0.882203,-0.8854096,2
0.211911,2.566241,4.355553,2
2.439457,2.259743,3.084992,2
5.971988,1.003704,2.859852,2
-2.646234,-2.439604,4.711721,2
-1.080572,1.800438,-3.650148,2
-0.1465547,1.11926,0.6701577,2
1.994454,1.20906,1.886642,2
-3.052135,5.57863,3.890948,2
1.801007,0.04444109,1.405029,2
2.314274,-1.492039,0.4027197,2
-0.5953394,-1.798263,3.080695,2
2.154614,-3.375758,1.969941,2
3.472002,-6.171456,4.908502,2
7.372167,-1.635844,-1.170528,2
3.706295,-2.422915,2.789299,2
-3.93839,0.2432051,2.127694,2
-4.051334,-0.99387,-0.4394743,2
-0.8531086,1.039651,2.009814,2
-2.838916,-4.764276,-0.6343368,2
0.4749569,-1.280334,2.969757,2
-1.474658,3.5688,-1.376201,2
1.969728,3.915431,0.7574453,2
-0.939271,0.8140218,-4.359775,2
7.361267,-1.438232,0.4968328,2
2.010779,-1.53542,-0.6623068,2
0.2196354,7.214851,0.48745,2
0.3656419,5.426153,-1.8866,2
-2.273953,-0.4099031,-4.951911,2
-2.389804,-4.922831,1.633307,2
5.022775,-1.923718,-2.293836,2
6.548579,5.189726,2.173688,2
-1.363253,1.107519,-1.807876,2
-4.743645,0.6285966,-4.060351,2
-1.009205,0.8447483,-4.389114,2
1.64609,2.341043,5.935584,2
-1.91998,-0.9656597,-2.265899,2
3.395606,0.3341458,-3.703464,2
-3.118424,-0.8117026,-2.579345,2
2.699059,1.217836,3.775685,2
2.336222,4.177088,2.855681,2
-1.838001,-2.447912,3.127455,2
2.208435,-2.749863,-0.4662627,2
-2.247011,-1.219582,1.979178,2
-3.249057,1.615225,-1.808627,2
3.699544,-2.479789,-1.165336,2
-2.78142,2.796381,-0.6005492,2
1.187184,2.394058,-0.3659764,2
2.643978,-1.123777,5.55275,2
3.735515,-5.618837,1.988665,2
-3.583686,-0.2521519,-3.036507,2
2.129532,-4.943742,3.97886,2
-2.315981,-0.7033198,-1.306295,2
-0.2686535,1.509548,1.798599,2
-0.1068473,-2.140609,0.6526674,2
2.333638,2.643679,2.12281,2
2.219055,1.809333,-5.719382,2
0.7201211,-1.480367,3.346304,2
1.64071,4.98128,-0.3555101,2
-3.731598,-0.2800017,-3.759777,2
1.011045,0.9160681,-1.268644,2
-1.954354,1.419827,-2.185898,2
0.2046087,3.442643,4.993592,2
-8.378955,-2.165526,-4.408032,2
-0.7973953,-2.390583,-4.636713,2
5.478362,0.1766405,-3.420528,2
0.5565598,2.612871,0.4986837,2
-0.8348679,-2.317563,-0.947733,2
0.2320126,1.858847,-1.703241,2
-1.565779,2.008856,-2.741294,2
1.08985,1.484981,-2.12336,2
0.9376637,-1.428467,5.058846,2
5.681549,3.124042,6.992235,2
-1.441338,-0.1767457,-1.848403,2
1.792972,5.29798,0.820409,2
-1.91641,-2.142672,0.2845976,2
0.5039803,-3.089233,-0.501618,2
-0.4613391,2.884551,3.511664,2
