@relation banana1

@attribute x numeric
@attribute y numeric
@attribute class {Class 1, Class 2}

@data
0.228,0.559,Class 1
0.216,0.528,Class 1
0.221,0.552,Class 1
0.215,0.538,Class 1
0.224,0.548,Class 1
0.232,0.553,Class 1
0.216,0.525,Class 1
0.225,0.538,Class 1
0.206,0.554,Class 1
0.219,0.582,Class 1
0.216,0.575,Class 1
0.212,0.567,Class 1
0.241,0.551,Class 1
0.238,0.538,Class 1
0.232,0.524,Class 1
0.240,0.545,Class 1
0.223,0.528,Class 1
0.222,0.527,Class 1
0.233,0.562,Class 1
0.190,0.546,Class 1
0.209,0.558,Class 1
0.239,0.559,Class 1
0.240,0.540,Class 1
0.222,0.557,Class 1
0.220,0.539,Class 1
0.233,0.548,Class 1
0.221,0.558,Class 1
0.212,0.564,Class 1
0.244,0.584,Class 1
0.236,0.558,Class 1
0.229,0.532,Class 1
0.230,0.547,Class 1
0.238,0.551,Class 1
0.244,0.540,Class 1
0.238,0.542,Class 1
0.234,0.559,Class 1
0.232,0.534,Class 1
0.226,0.527,Class 1
0.199,0.590,Class 1
0.223,0.552,Class 1
0.226,0.525,Class 1
0.241,0.537,Class 1
0.214,0.517,Class 1
0.213,0.556,Class 1
0.226,0.532,Class 1
0.214,0.565,Class 1
0.223,0.573,Class 1
0.225,0.552,Class 1
0.258,0.554,Class 1
0.208,0.594,Class 1
0.222,0.535,Class 1
0.212,0.547,Class 1
0.210,0.553,Class 1
0.211,0.545,Class 1
0.236,0.551,Class 1
0.229,0.568,Class 1
0.241,0.565,Class 1
0.235,0.546,Class 1
0.220,0.562,Class 1
0.196,0.552,Class 1
0.226,0.539,Class 1
0.211,0.582,Class 1
0.237,0.552,Class 1
0.223,0.560,Class 1
0.226,0.562,Class 1
0.246,0.543,Class 1
0.219,0.551,Class 1
0.232,0.571,Class 1
0.227,0.545,Class 1
0.213,0.566,Class 1
0.235,0.561,Class 1
0.237,0.574,Class 1
0.218,0.523,Class 1
0.227,0.573,Class 1
0.244,0.551,Class 1
0.232,0.555,Class 1
0.239,0.563,Class 1
0.234,0.575,Class 1
0.219,0.564,Class 1
0.253,0.560,Class 1
0.241,0.567,Class 1
0.231,0.532,Class 1
0.228,0.576,Class 1
0.214,0.548,Class 1
0.230,0.587,Class 1
0.234,0.539,Class 1
0.227,0.536,Class 1
0.216,0.544,Class 1
0.228,0.563,Class 1
0.235,0.549,Class 1
0.234,0.589,Class 1
0.203,0.575,Class 1
0.248,0.567,Class 1
0.226,0.537,Class 1
0.213,0.594,Class 1
0.223,0.534,Class 1
0.250,0.579,Class 1
0.207,0.523,Class 1
0.233,0.576,Class 1
0.242,0.584,Class 1
0.221,0.556,Class 1
0.234,0.568,Class 1
0.231,0.580,Class 1
0.228,0.559,Class 1
0.215,0.545,Class 1
0.244,0.573,Class 1
0.225,0.572,Class 1
0.248,0.544,Class 1
0.239,0.550,Class 1
0.230,0.579,Class 1
0.244,0.600,Class 1
0.229,0.571,Class 1
0.224,0.574,Class 1
0.251,0.578,Class 1
0.224,0.560,Class 1
0.260,0.600,Class 1
0.206,0.570,Class 1
0.208,0.589,Class 1
0.218,0.561,Class 1
0.220,0.562,Class 1
0.231,0.607,Class 1
0.203,0.562,Class 1
0.229,0.546,Class 1
0.256,0.553,Class 1
0.245,0.576,Class 1
0.227,0.600,Class 1
0.237,0.559,Class 1
0.236,0.607,Class 1
0.245,0.586,Class 1
0.231,0.581,Class 1
0.215,0.557,Class 1
0.245,0.568,Class 1
0.212,0.560,Class 1
0.213,0.579,Class 1
0.227,0.578,Class 1
0.224,0.593,Class 1
0.221,0.584,Class 1
0.211,0.579,Class 1
0.215,0.610,Class 1
0.230,0.569,Class 1
0.223,0.553,Class 1
0.216,0.578,Class 1
0.222,0.568,Class 1
0.244,0.588,Class 1
0.238,0.557,Class 1
0.240,0.576,Class 1
0.240,0.603,Class 1
0.231,0.591,Class 1
0.239,0.625,Class 1
0.219,0.622,Class 1
0.230,0.565,Class 1
0.227,0.615,Class 1
0.215,0.606,Class 1
0.217,0.613,Class 1
0.234,0.591,Class 1
0.236,0.596,Class 1
0.223,0.559,Class 1
0.229,0.579,Class 1
0.236,0.594,Class 1
0.213,0.595,Class 1
0.243,0.587,Class 1
0.236,0.610,Class 1
0.231,0.591,Class 1
0.216,0.577,Class 1
0.227,0.636,Class 1
0.214,0.598,Class 1
0.237,0.598,Class 1
0.238,0.619,Class 1
0.222,0.591,Class 1
0.226,0.590,Class 1
0.252,0.608,Class 1
0.230,0.582,Class 1
0.228,0.606,Class 1
0.223,0.638,Class 1
0.221,0.616,Class 1
0.226,0.598,Class 1
0.220,0.585,Class 1
0.230,0.589,Class 1
0.210,0.621,Class 1
0.216,0.572,Class 1
0.220,0.589,Class 1
0.237,0.597,Class 1
0.238,0.555,Class 1
0.213,0.608,Class 1
0.223,0.581,Class 1
0.209,0.575,Class 1
0.218,0.590,Class 1
0.252,0.623,Class 1
0.221,0.647,Class 1
0.236,0.582,Class 1
0.218,0.610,Class 1
0.240,0.591,Class 1
0.229,0.612,Class 1
0.210,0.570,Class 1
0.228,0.615,Class 1
0.220,0.628,Class 1
0.225,0.598,Class 1
0.223,0.608,Class 1
0.211,0.603,Class 1
0.211,0.594,Class 1
0.212,0.602,Class 1
0.230,0.571,Class 1
0.259,0.627,Class 1
0.247,0.595,Class 1
0.208,0.625,Class 1
0.218,0.630,Class 1
0.208,0.641,Class 1
0.218,0.602,Class 1
0.226,0.553,Class 1
0.211,0.622,Class 1
0.218,0.600,Class 1
0.219,0.603,Class 1
0.237,0.626,Class 1
0.213,0.609,Class 1
0.215,0.614,Class 1
0.218,0.610,Class 1
0.244,0.592,Class 1
0.221,0.599,Class 1
0.240,0.609,Class 1
0.216,0.613,Class 1
0.231,0.638,Class 1
0.224,0.640,Class 1
0.242,0.595,Class 1
0.261,0.642,Class 1
0.243,0.627,Class 1
0.236,0.609,Class 1
