x,y,class
0.228,0.559,1
0.216,0.528,1
0.221,0.552,1
0.215,0.538,1
0.224,0.548,1
0.232,0.553,1
0.216,0.525,1
0.225,0.538,1
0.206,0.554,1
0.219,0.582,1
0.216,0.575,1
0.212,0.567,1
0.241,0.551,1
0.238,0.538,1
0.232,0.524,1
0.24,0.545,1
0.223,0.528,1
0.222,0.527,1
0.233,0.562,1
0.19,0.546,1
0.209,0.558,1
0.239,0.559,1
0.24,0.54,1
0.222,0.557,1
0.22,0.539,1
0.233,0.548,1
0.221,0.558,1
0.212,0.564,1
0.244,0.584,1
0.236,0.558,1
0.229,0.532,1
0.23,0.547,1
0.238,0.551,1
0.244,0.54,1
0.238,0.542,1
0.234,0.559,1
0.232,0.534,1
0.226,0.527,1
0.199,0.59,1
0.223,0.552,1
0.226,0.525,1
0.241,0.537,1
0.214,0.517,1
0.213,0.556,1
0.226,0.532,1
0.214,0.565,1
0.223,0.573,1
0.225,0.552,1
0.258,0.554,1
0.208,0.594,1
0.222,0.535,1
0.212,0.547,1
0.21,0.553,1
0.211,0.545,1
0.236,0.551,1
0.229,0.568,1
0.241,0.565,1
0.235,0.546,1
0.22,0.562,1
0.196,0.552,1
0.226,0.539,1
0.211,0.582,1
0.237,0.552,1
0.223,0.56,1
0.226,0.562,1
0.246,0.543,1
0.219,0.551,1
0.232,0.571,1
0.227,0.545,1
0.213,0.566,1
0.235,0.561,1
0.237,0.574,1
0.218,0.523,1
0.227,0.573,1
0.244,0.551,1
0.232,0.555,1
0.239,0.563,1
0.234,0.575,1
0.219,0.564,1
0.253,0.56,1
0.241,0.567,1
0.231,0.532,1
0.228,0.576,1
0.214,0.548,1
0.23,0.587,1
0.234,0.539,1
0.227,0.536,1
0.216,0.544,1
0.228,0.563,1
0.235,0.549,1
0.234,0.589,1
0.203,0.575,1
0.248,0.567,1
0.226,0.537,1
0.213,0.594,1
0.223,0.534,1
0.25,0.579,1
0.207,0.523,1
0.233,0.576,1
0.242,0.584,1
0.221,0.556,1
0.234,0.568,1
0.231,0.58,1
0.228,0.559,1
0.215,0.545,1
0.244,0.573,1
0.225,0.572,1
0.248,0.544,1
0.239,0.55,1
0.23,0.579,1
0.244,0.6,1
0.229,0.571,1
0.224,0.574,1
0.251,0.578,1
0.224,0.56,1
0.26,0.6,1
0.206,0.57,1
0.208,0.589,1
0.218,0.561,1
0.22,0.562,1
0.231,0.607,1
0.203,0.562,1
0.229,0.546,1
0.256,0.553,1
0.245,0.576,1
0.227,0.6,1
0.237,0.559,1
0.236,0.607,1
0.245,0.586,1
0.231,0.581,1
0.215,0.557,1
0.245,0.568,1
0.212,0.56,1
0.213,0.579,1
0.227,0.578,1
0.224,0.593,1
0.221,0.584,1
0.211,0.579,1
0.215,0.61,1
0.23,0.569,1
0.223,0.553,1
0.216,0.578,1
0.222,0.568,1
0.244,0.588,1
0.238,0.557,1
0.24,0.576,1
0.24,0.603,1
0.231,0.591,1
0.239,0.625,1
0.219,0.622,1
0.23,0.565,1
0.227,0.615,1
0.215,0.606,1
0.217,0.613,1
0.234,0.591,1
0.236,0.596,1
