% Data generated using R package 'mlbench'
%
% > library("mlbench")
% > set.seed(1234)
% > cassini <- mlbench.cassini(1000)
%
@relation cassini

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3}

@data
-1.0763473569,-1.1043209523,1
0.3044747827,-1.1025928933,1
1.0056271024,-1.0755030315,1
0.4627631189,-1.2771981739,1
0.5394080127,-1.2280402631,1
-0.6053745746,-0.6225064252,1
-0.5786753053,-0.760326995,1
-0.5956511376,-1.673086752,1
-0.8728917293,-1.7284385432,1
-0.5109770713,-1.6156906068,1
-0.7835155154,-0.8030423161,1
-0.122343345,-1.675701325,1
-0.5442464783,-1.2883090079,1
-0.8885692066,-0.8845269833,1
-0.832419686,-1.6859042902,1
0.1486046502,-1.0657502495,1
-0.524318401,-1.105089283,1
-0.4743154011,-1.2968040433,1
0.4934426861,-1.3240140174,1
-0.7134971882,-0.8752643399,1
0.6053894171,-1.2927265406,1
-0.9668572395,-1.2937064189,1
-0.0168268235,-0.8980796847,1
-0.9065309203,-0.7425721433,1
-0.727158814,-0.9696086124,1
-0.5347101345,-1.2863238949,1
-1.2492576697,-1.196688256,1
-1.0546787416,-0.6714617893,1
-1.1425004734,-1.2692960307,1
-0.4997427048,-1.0304073647,1
1.1880897713,-1.3449444462,1
-0.9957893545,-1.229168392,1
-0.8465557812,-0.6622712173,1
-0.3078893735,-1.6026067525,1
-0.9472702082,-0.6661026407,1
-0.9295349305,-0.6593206462,1
-1.0997968033,-1.2814662702,1
-0.5303838815,-0.9126085486,1
-1.2943679511,-1.1958782207,1
-0.6122729756,-1.7732858937,1
-1.0205220027,-1.578908921,1
-0.7811274134,-0.639059573,1
-1.049131448,-0.8245432649,1
0.6806354043,-0.634441242,1
-0.038631243,-1.6464647315,1
-0.6922741118,-1.2947917268,1
-0.0084532237,-1.5904867046,1
1.2879024371,-1.0854410108,1
-1.0380911688,-1.4231248099,1
1.1544210423,-1.3515322667,1
1.1372913811,-1.143610746,1
-0.4893173814,-1.3298000824,1
-0.3984803015,-1.0960357055,1
0.6731763471,-1.1944530923,1
1.3396268585,-1.1770996232,1
-0.1698485784,-1.734240488,1
-1.1642429025,-0.7395761251,1
-0.3466204105,-1.2117973905,1
-0.1965919615,-1.1785955507,1
-0.1880562412,-1.7402467776,1
-1.156366879,-1.0803227846,1
0.8425899262,-1.5795547146,1
0.716890547,-1.1651655722,1
0.5818941974,-1.4168387737,1
-0.4358570944,-0.8854080237,1
-0.2116764351,-1.2025803939,1
-1.0695700058,-1.6151651237,1
-0.0590625797,-1.5482711252,1
0.9521164483,-1.088092082,1
-0.5291391365,-0.911889014,1
-1.0357607147,-0.6868166756,1
0.8639927059,-0.7850381147,1
0.9325899751,-0.9276284471,1
1.3459170338,-1.0772726677,1
0.4479144543,-1.2546249952,1
-0.5085212984,-0.8714312494,1
0.0733039774,-0.9283169851,1
-0.5359055135,-1.453322798,1
0.1847632368,-1.6513997678,1
-0.8775367162,-0.8871017661,1
0.3864444804,-0.978802985,1
-0.6738817361,-1.5642484244,1
-1.021049259,-1.3007257834,1
0.8418476873,-1.560554811,1
0.0248557222,-1.3088983011,1
0.8276855594,-1.1928657673,1
-1.0958699941,-0.8077624876,1
0.1869959568,-1.7604145154,1
0.6954086033,-1.60845064,1
-0.2114563988,-1.7089551926,1
-0.7881542601,-0.9974119894,1
1.3380280719,-1.3367471371,1
0.7621253621,-1.1810992885,1
1.2982588505,-0.8249218546,1
0.0888979019,-1.1454019822,1
-0.6578887246,-1.652731666,1
-1.2117631562,-1.1990698457,1
0.2494220707,-1.2679181363,1
0.2779897065,-1.6705283687,1
-1.2553471069,-0.9038019422,1
-0.3977820869,-0.8856668863,1
-0.3456257879,-0.8208596658,1
-1.3215735086,-1.2898263197,1
0.8950470045,-1.2283894781,1
-0.6500926443,-1.5485802848,1
-0.3645181487,-1.4131966647,1
1.1661165349,-0.8450482953,1
0.6626756451,-1.6507638019,1
-0.1202949909,-1.6399397735,1
0.5469304623,-0.7867899228,1
0.4323079688,-1.4383925162,1
0.3028316702,-0.8872776497,1
0.3786938976,-1.6055594105,1
0.1083399674,-1.3895458192,1
1.2520813219,-1.3760266058,1
0.1350125643,-0.8698947728,1
1.1519266226,-1.0086207967,1
-0.2584275694,-1.447852321,1
-0.8576044253,-1.446536959,1
-0.4229045781,-0.7647314426,1
-0.8403552211,-0.7211115047,1
-0.2864750111,-1.8547939729,1
-0.4478085252,-1.5125112966,1
-0.2023453856,-1.8018609531,1
0.6517045802,-0.6882891655,1
-0.0762986404,-1.4823189504,1
1.1963226207,-1.4431531589,1
-0.3630677741,-1.6033112973,1
-1.29784276,-1.031894644,1
-0.8327412438,-0.9103761852,1
-1.029388273,-0.9657862499,1
0.2588603397,-0.9299269818,1
-0.0369628815,-0.8709568065,1
-1.384397595,-1.2072939228,1
-0.1107416313,-1.5724557679,1
