% Data generated using R package 'mlbench'
%
% > library("mlbench")
% > set.seed(1234)
% > data <- mlbench.circle(1000, 2)
%
% The inputs of the circle problem are uniformly distributed on
% the \code{d}-dimensional cube with corners \eqn{\{\pm 1\}}{\{+-1\}}. 
% This is a 2-class problem: The first class is a \code{d}-dimensional
% ball in the middle of the cube, the remainder forms the second
% class. The size of the ball is chosen such that both classes have equal
% prior probability 0.5.
%
@relation circle
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2}
%
@data
-0.1584552736,0.525841496,1
-0.8893322079,0.7873871517,2
-0.9175817803,-0.0128405746,2
0.0072217691,-0.6884298264,1
0.9545450881,0.2373079644,2
0.5432475661,0.1147152972,1
-0.1773290909,-0.8354510963,2
0.978337083,-0.0903340294,2
0.734986451,0.1867268765,1
-0.5360895577,0.6417670171,2
-0.6647719722,0.589072444,2
0.331461017,-0.4053909704,1
-0.7776894132,-0.8353567407,2
-0.8953186506,0.8694784753,2
-0.3365742997,-0.149483386,1
-0.3674599328,0.4486957425,1
0.0806732154,-0.7672634153,1
-0.4657338914,0.6721745287,2
-0.1881574597,0.3426909321,1
0.2925837473,0.3834044435,1
-0.9537784252,0.4783849381,2
-0.989598732,-0.4861229155,2
-0.6906265449,0.5348384045,2
-0.5887597608,-0.7166629657,2
0.5196146164,0.6014347663,1
0.4913410451,-0.3542708806,1
-0.4632900208,-0.6243000766,1
0.9492946072,-0.8867121981,2
-0.3644460239,0.6099613449,1
0.9558445415,0.3897544476,2
-0.9406261146,0.4051566757,2
-0.5324094724,-0.4171942729,1
-0.3838899541,-0.1001604809,1
0.8028563699,-0.3767822166,2
-0.8324204427,-0.4245355632,2
0.8569239448,0.8541191942,2
0.7052518534,0.6179752965,2
-0.5628862507,0.765999781,2
-0.6377393478,0.3139009424,1
0.2177836872,-0.4384908089,1
0.0977849416,0.3542706002,1
-0.7201860906,0.4046188029,2
0.5156644131,-0.87703308,2
-0.9640503074,-0.0247175819,2
-0.1197144561,0.6764411083,1
0.6233383804,-0.2704649339,1
-0.486144504,0.8836955577,2
-0.726926398,-0.193480337,1
0.8568920549,-0.7240422689,2
0.9635130507,-0.3494646009,2
-0.2223884547,0.629938642,1
-0.4631574764,0.6780316103,2
-0.2715402548,-0.7411481254,1
-0.3138495409,0.7776237838,2
-0.7018654454,0.4977294081,2
0.7451022193,0.1381415958,1
-0.4472194416,-0.3678659722,1
0.2916647089,0.4924822911,1
0.7836430077,0.6141625037,2
0.7073874027,-0.2106866185,1
-0.5839453838,-0.5474101333,2
0.9359918609,-0.3656559302,2
-0.0147765996,0.8512436356,2
0.1891599502,0.5947597367,1
0.6871343781,0.5692025465,2
0.4456242933,0.5559668788,1
0.4747294462,-0.5878709485,1
-0.2245220989,-0.014752584,1
0.0861676824,0.488897867,1
0.6063416279,-0.9031131133,2
0.6741069173,-0.913440851,2
-0.0635783356,0.6001844271,1
-0.8310635607,-0.3440247197,2
0.3929275325,-0.9497893206,2
0.2554110331,-0.2211612011,1
-0.4701108322,0.9796740259,2
-0.6624334091,-0.183985197,1
-0.2838488743,-0.4278355232,1
-0.7358936947,-0.3389399084,2
0.0309866527,0.7572002839,1
0.4118950316,0.3924211706,1
-0.9279480563,0.3360612481,2
0.6570633054,-0.0676659257,1
-0.7071330892,0.1433289815,1
0.3029198973,0.0631182864,1
0.3176482837,-0.5484092725,1
-0.1395119419,0.0036681518,1
0.7003550758,-0.3465928338,1
0.7759701759,-0.1655074493,1
-0.627681029,0.2729813452,1
-0.1265799315,-0.9618056924,2
-0.6634520711,-0.2326816241,1
0.2666507754,0.4393030908,1
-0.5780319483,-0.8977178349,2
0.4708807338,-0.7629891443,2
0.8135971297,0.2954450641,2
-0.4007241875,-0.1765867183,1
0.2301106537,-0.2846041592,1
0.8218300533,0.1377004022,2
-0.8472408629,-0.1300594979,2
-0.364976563,-0.5403381768,1
0.8507628767,-0.3140109852,2
0.3200522088,-0.0169282597,1
0.4524960904,-0.0494066766,1
0.5889032301,-0.3520638174,1
0.9330897839,0.7031680564,2
0.1693499405,0.6924155601,1
-0.3732134094,-0.2598356409,1
-0.8841475612,0.6034600995,2
-0.5565481326,-0.036362445,1
0.5823738552,-0.9986292012,2
-0.0776573238,-0.929417761,2
-0.9958458063,0.3449579626,2
-0.934418899,0.6856669523,2
-0.0033781859,0.7650641617,1
-0.0876281704,-0.193716059,1
0.1731410795,0.9069108688,2
-0.0227332343,-0.8917782679,2
-0.8793065562,-0.5228809244,2
-0.2724724822,-0.8520133551,2
0.0467427135,-0.9538992066,2
-0.403084435,-0.9923723326,2
-0.0713428543,0.5767942313,1
-0.0308637801,0.1273691994,1
0.0697058621,0.397725055,1
0.6320767212,-0.802345247,2
-0.6175492206,0.8162899506,2
0.4628656926,-0.9426594633,2
-0.7147268942,-0.1396164349,1
-0.6049807966,0.1269495548,1
-0.5493460535,0.4509078241,1
-0.3863731325,0.7128616604,2
-0.5771637768,0.8973371433,2
0.7397355498,-0.6058622994,2
-0.6620071414,0.8979871324,2
-0.8838902172,-0.7260285998,2
-0.6765048211,-0.9507836932,2
0.0637213616,-0.8013731688,2
-0.6395684998,0.5227186517,2
-0.8146442529,-0.1191056557,2
-0.1894132625,-0.293629677,1
0.573384915,-0.5914095188,2
-0.5197684406,0.2276910585,1
0.2064999971,-0.7726269858,2
-0.0140940263,-0.4350431971,1
0.8817310063,0.0733477585,2
0.0796576771,0.1973204068,1
0.1917477273,-0.1573778009,1
-0.8112331461,0.370137142,2
-0.3650674499,0.1487096883,1
0.561316594,-0.4408138534,1
0.1653664615,0.1863686517,1
-0.3853030661,0.7029185914,2
0.714369236,-0.588921675,2
0.7313803458,0.8338079401,2
-0.9124820437,-0.7714696992,2
-0.9029104104,-0.1336246179,2
0.9464695356,0.8386102668,2
0.1750123687,-0.2332627038,1
-0.3420283445,0.3167074826,1
0.6207720181,0.8340401929,2
-0.0174192712,-0.1019380526,1
-0.1514851488,0.1719838199,1
-0.1197170732,0.327814322,1
-0.6792441546,0.1171557885,1
0.2860632674,-0.9721090244,2
0.5257243542,-0.5079081026,1
0.0200101277,-0.3919501575,1
-0.0486386507,-0.1124609313,1
0.0116475164,0.3861700362,1
-0.2486012266,0.9728059415,2
0.8835223233,-0.2901667915,2
0.9440447595,0.6360741141,2
0.7240448128,-0.2820085073,1
-0.9461580878,-0.7372898301,2
-0.3284899429,-0.7126803314,1
-0.4076435524,-0.6737185474,1
-0.5436440604,0.4147925712,1
-0.3047686727,-0.891240296,2
-0.2652584501,0.9588247202,2
0.1949682436,-0.2565182084,1
0.525736121,-0.5211296263,1
0.0423963089,-0.1779760439,1
0.8292781287,-0.377648057,2
0.9893502393,0.5536292107,2
-0.3372611515,0.2405528715,1
0.0149597912,0.7549007544,1
0.2940298854,-0.3363600592,1
0.9171300158,0.3175870311,2
0.2450624136,0.4833640815,1
0.4494415419,0.1011541234,1
0.1500542746,-0.7359137414,1
0.711966346,-0.8258404117,2
-0.3425843837,0.6185161024,1
0.5905932686,-0.0504865097,1
0.2087690518,0.0139180534,1
-0.3727293108,-0.6067489632,1
0.3843706222,-0.3312883717,1
0.8871208793,-0.3594476404,2
-0.2970395898,-0.4988016924,1
0.5669980696,0.5309885778,1
0.5631917259,-0.9475636594,2
-0.0731521416,0.5633178563,1
-0.0359676857,0.5681279432,1
0.4361530039,0.9371974249,2
-0.8134183493,0.4888678794,2
0.8232153803,0.6569511238,2
-0.1232670955,-0.1758627798,1
0.091094574,-0.2084733308,1
0.8645411478,0.3245153138,2
-0.5247442573,0.7155725094,2
-0.5839768681,0.674999055,2
-0.6891053761,0.5819427553,2
0.7290772842,0.5016206647,2
0.7947439188,-0.3046545368,2
-0.758559797,-0.1024400531,1
0.053341046,0.4501951751,1
-0.84256852,0.8615456196,2
0.4179854086,0.4209880293,1
-0.213913938,0.4199378043,1
-0.8627818399,-0.9131523571,2
0.3368435125,0.6554436954,1
0.1118100439,-0.4767070017,1
-0.2454314372,0.532520398,1
-0.3512022588,-0.1582833338,1
0.3725651358,-0.3001113674,1
-0.3536617667,-0.8241787911,2
0.6940968912,0.8563580769,2
-0.4911541948,-0.8193334877,2
0.39652063,0.6036394429,1
0.5158650605,0.645393698,2
-0.0354059064,-0.0998882148,1
-0.1333851777,-0.9945318708,2
-0.8145867339,-0.7705032467,2
0.3088798546,0.3097072747,1
0.1148298471,-0.6361830872,1
0.6519532525,0.6067818617,2
-0.9582720492,-0.7985053151,2
0.7761581568,0.2039676821,2
0.5278116539,-0.1099348902,1
0.5318394997,-0.2249479066,1
-0.5720628528,-0.938292332,2
