% source: G. Karypis, "CLUTO A Clustering Toolkit," Dept. of Computer Science, University of Minnesota,
% Tech. Rep. 02-017, 2002, available at http://www.cs.umn.edu/~cluto
%
@RELATION cluto-t4-8k
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,noise}
%
@DATA
68.601997,102.491997,0
454.665985,264.80899,2
101.283997,169.285995,noise
372.61499,263.140991,2
300.989014,46.555,5
100.904999,205.776993,noise
110.170998,55.647999,0
118.856003,47.445999,0
355.247009,76.431,5
276.085999,182.048004,1
143.376007,117.737999,1
204.207001,133.410004,0
78.260002,139.326996,0
158.722,211.529999,1
68.433998,59.125,0
407.505005,160.498001,4
416.434998,150.445999,4
507.549011,190.889008,3
149.841003,204.709,1
498.759003,181.947998,3
274.61499,232.733994,1
84.023003,90.084,0
362.240997,242.054993,2
505.821014,159.210007,3
420.803986,134.830002,4
504.035004,314.125,noise
356.670013,199.093994,4
326.54599,91.766998,5
214.477005,63.821999,0
351.351013,86.885002,5
216.041,242.024994,1
441.700012,277.333008,2
68.678001,203.095001,0
547.051025,99.218002,3
405.983002,141.934006,4
402.23999,247.876007,2
197.134003,260.622009,1
163.141006,66.302002,0
561.950989,172.966995,3
340.036987,115.315002,5
63.076,78.059998,0
261.072998,268.122009,1
319.376007,65.832001,5
494.333008,148.839005,3
537.507019,279.666992,noise
430.949005,114.013,noise
393.601013,118.588997,4
320.429993,57.284,5
77.561996,152.847,0
361.268005,272.518005,2
417.06601,120.683998,4
79.098,128.404999,0
76.775002,83.792,0
136.695999,213.328003,1
423.141998,161.445999,4
88.132004,84.512001,0
201.807999,97.972,0
200.869003,200.106003,0
351.790009,207.098999,4
127.745003,218.070007,1
561.827026,150.697006,3
144.490997,171.658005,1
571.211975,245.481995,3
559.039001,230.925995,3
289.503998,114.581001,1
209.492996,54.874001,0
431.458008,269.970001,2
429.272003,284.454987,2
45.702999,139.164993,noise
279.834991,156.0,1
321.253998,75.781998,5
199.570999,159.617004,0
179.005997,238.615005,1
57.527,198.425995,0
359.072998,279.493988,2
289.561005,274.976013,1
366.042999,43.703999,5
493.071014,137.214996,3
74.259003,114.186996,0
