% source: G. Karypis, "CLUTO A Clustering Toolkit," Dept. of Computer Science, University of Minnesota,
% Tech. Rep. 02-017, 2002, available at http://www.cs.umn.edu/~cluto
%
% Karypis, George, Eui-Hong Han, and Vipin Kumar.
% "Chameleon: Hierarchical clustering using dynamic modeling." Computer 32.8 (1999): 68-75.
%
@RELATION cluto-t7-10k
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,6,7,8,noise}
%
@DATA
539.512024,411.975006,1
542.241028,147.626007,2
653.468994,370.727997,0
598.585999,284.882996,1
573.062988,294.562988,1
139.570007,401.381012,6
228.970001,281.992004,6
305.747009,94.350998,7
610.617004,167.190002,1
500.450012,118.780998,2
341.804993,361.755005,5
128.582993,81.598999,7
39.105,381.265991,6
294.911987,421.480011,6
189.214005,322.730011,4
251.889008,69.384003,7
116.098999,296.382996,6
86.839996,307.89801,6
509.272003,429.165985,1
90.306999,73.486,7
269.270996,163.341995,8
137.112,289.688995,6
63.613998,406.865997,6
224.473007,92.762001,7
345.226013,306.391998,5
188.507996,282.093994,6
531.218994,468.524994,noise
47.276001,338.063995,6
543.882019,319.738007,1
379.937988,97.189003,noise
84.786003,158.792007,8
542.72998,307.096008,1
430.753998,387.63501,6
578.630005,455.946991,1
374.859009,346.17099,5
185.274002,91.510002,7
561.465027,397.192993,1
164.585999,286.822998,6
131.626999,166.382004,8
377.093994,66.892998,noise
386.608002,289.194,6
531.517029,393.152008,1
157.626999,205.548004,noise
181.292999,148.632996,8
496.5,219.106995,2
596.487,299.589996,1
545.252991,396.721985,1
388.901001,386.545013,6
512.94397,271.19101,noise
589.398987,453.752991,1
310.587006,434.139008,6
228.186005,404.265991,6
506.63501,61.938,3
90.807999,151.570999,8
506.355988,340.463989,1
253.466995,414.664001,6
572.642029,309.684998,1
456.951996,309.30899,6
656.77301,117.589996,1
99.839996,113.858002,7
536.731018,342.661987,1
563.982971,190.306,2
320.544006,334.019012,5
129.748001,415.173004,6
564.97699,405.80899,1
626.16803,325.358002,0
170.098007,278.631989,6
243.063004,441.615997,6
441.855988,166.511993,3
641.458008,402.427002,1
165.677002,258.368011,6
615.776001,123.528999,1
47.348,173.026993,8
286.177002,342.243988,noise
42.349998,154.636002,8
163.807999,359.445007,4
148.070007,264.644989,6
473.192993,318.136993,6
110.273003,148.951004,8
154.587997,342.123993,4
216.731003,284.403015,6
188.031006,106.501999,7
626.596985,408.743011,1
145.341003,168.382004,8
617.981018,186.985001,1
223.218002,98.852997,7
646.952026,121.884003,1
613.054993,198.557007,1
217.100006,353.244995,noise
238.944,336.570007,noise
476.220001,155.419998,3
169.203995,62.771,7
21.128,311.597992,6
75.241997,182.811005,8
353.394989,417.424011,6
129.201004,68.598,7
170.356995,371.300995,4
320.928009,424.826996,6
516.401978,86.344002,3
359.776001,423.584015,6
638.393982,86.559998,1
150.483002,75.369003,7
600.05603,427.462006,1
547.299988,454.506012,1
135.699997,272.295013,6
369.291992,363.919006,5
127.582001,87.001999,7
558.185974,327.880005,1
297.020996,261.791992,6
160.970993,335.471008,4
228.677002,408.656006,6
303.339996,79.885002,7
199.936996,144.559998,8
126.147003,426.477997,6
536.09198,243.266998,2
211.455994,169.444,8
628.419006,173.817001,1
555.273987,280.162994,1
284.822998,433.441986,6
205.843994,156.134995,8
252.940002,342.634003,noise
289.777008,85.092003,7
161.942001,107.855003,7
678.869995,439.984985,1
668.520996,441.214996,1
496.812988,353.347992,1
473.494995,40.794998,3
136.164993,234.908997,noise
331.536987,277.278992,6
227.753998,161.722,8
29.653999,94.833,7
59.145,134.664993,8
567.411011,281.058014,1
345.661011,333.121002,5
410.20401,399.162994,6
427.972992,313.82901,6
544.440979,446.593994,1
199.862,417.181,6
314.30899,322.428986,5
50.758999,82.452003,7
584.98999,401.860992,1
435.265991,158.348999,3
43.442001,345.700989,6
105.735001,266.322998,6
167.479004,175.306,8
154.638,357.752991,4
390.036987,278.677002,6
590.210022,288.769012,1
639.905029,111.399002,1
606.062988,138.800003,1
561.278015,295.947998,1
318.694,369.30899,5
242.164993,274.343994,6
644.638,102.209999,1
102.455002,162.998001,8
419.838989,290.972992,6
539.109009,215.755005,2
188.621994,417.372986,6
375.708008,399.623993,6
361.789001,349.989014,5
605.15802,394.075012,1
30.992001,171.520996,8
221.783005,106.579002,7
205.268997,138.574005,8
185.667999,335.604004,4
424.294006,97.509003,3
523.036011,399.070007,1
631.953003,90.276001,1
177.535004,415.957001,6
334.993011,339.56601,5
513.419983,414.022003,1
201.416,163.787994,8
75.614998,461.57901,noise
645.271973,89.614998,1
503.428986,236.263,2
312.492004,210.246994,noise
606.664001,427.973999,1
481.533997,161.421997,3
517.442017,406.076996,1
237.694,108.414001,7
447.132996,312.509003,6
522.184021,366.365997,1
428.716003,279.231995,6
657.953979,380.846008,0
125.621002,323.664001,4
203.886993,440.687012,6
138.916,419.429993,6
530.117004,253.397995,2
162.988007,421.220001,6
423.479004,292.575989,6
525.344971,249.365005,2
445.312012,133.772995,3
52.852001,51.333,noise
652.184021,369.588989,0
522.461975,396.860992,1
560.739014,344.040009,1
68.316002,152.404007,8
113.525002,399.234985,6
361.20401,261.708008,6
35.911999,370.350006,6
631.922974,124.433998,1
426.097992,131.962997,3
29.856001,350.19101,6
444.186005,74.773003,3
517.953003,434.911011,1
330.317993,93.491997,7
89.978996,99.889999,7
368.223999,83.125,noise
368.832001,354.847992,5
260.459991,243.822006,6
257.160004,281.057007,6
435.975006,303.593994,6
403.571991,402.153015,6
403.13501,307.951996,6
324.640015,316.003998,5
526.518982,373.040009,1
613.237976,177.156998,1
349.595001,361.018005,5
368.64801,321.57901,5
466.888,218.477997,2
209.759003,90.274002,7
194.893997,145.770996,8
544.416992,304.859985,1
606.672974,393.790009,1
336.544006,378.734009,5
598.466003,375.536987,noise
40.381001,148.067993,8
217.701004,69.130997,7
623.314026,416.785004,1
309.382996,352.445007,5
79.310997,284.882996,6
151.524994,100.473,7
576.856995,319.355988,1
220.875,78.129997,7
119.988998,91.217003,7
315.947998,355.893005,5
346.309998,345.015015,5
426.153015,292.544006,6
440.257996,101.383003,3
247.341995,162.660995,8
659.093018,306.937012,0
324.884003,170.819,8
66.556,173.718994,8
571.239014,104.254997,noise
210.753006,253.785995,6
637.757996,346.757996,0
603.078979,404.593994,1
74.904999,410.269012,6
229.238007,179.164993,8
512.989014,248.854996,2
183.524994,168.171005,8
528.343994,223.132996,2
571.421021,153.628006,2
322.877991,181.177002,8
208.623993,105.845001,7
257.717987,412.964996,6
191.507996,423.796997,6
544.46698,205.031006,2
183.649002,69.685997,7
269.04599,415.209015,6
657.117004,452.665009,1
341.696014,375.322998,5
113.268997,397.28299,6
632.650024,178.970993,1
253.363007,93.762001,7
521.940002,319.312012,1
512.971008,346.678009,1
242.242004,70.839996,7
343.147003,94.478996,noise
667.140015,364.03299,0
156.889999,150.130997,8
173.425995,425.682007,6
462.584991,46.923,3
205.884003,183.192993,8
582.677002,215.259003,noise
321.800995,253.264008,6
517.664978,70.057999,3
257.065002,103.917999,7
443.221985,101.127998,3
261.802002,258.218994,6
377.427002,277.386993,6
637.02301,204.921005,1
613.468994,239.093002,1
288.195007,413.503998,6
583.867004,453.852997,1
549.935974,207.559006,2
163.863007,272.687988,6
535.0,155.746002,2
330.765015,363.645996,5
665.755005,327.566986,0
152.292007,347.648987,4
337.131012,362.05899,5
631.010986,443.962006,1
245.641998,426.362,6
95.161003,416.279999,6
376.446014,211.813004,noise
508.174011,429.858002,1
608.848999,248.307007,1
480.692993,159.154999,3
601.304016,87.805,noise
40.584,245.417007,noise
108.983002,81.510002,7
178.016006,402.902008,6
518.534973,439.873993,1
311.152008,344.179993,5
305.458008,38.550999,noise
275.852997,415.115997,6
271.557007,391.984985,noise
