% source: G. Karypis, "CLUTO A Clustering Toolkit," Dept. of Computer Science, University of Minnesota,
% Tech. Rep. 02-017, 2002, available at http://www.cs.umn.edu/~cluto
%
% Karypis, George, Eui-Hong Han, and Vipin Kumar.
% "Chameleon: Hierarchical clustering using dynamic modeling." Computer 32.8 (1999): 68-75.
%
@RELATION cluto-t8-8k
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,6,7,noise}
%
@DATA
84.768997,33.368999,1
569.791016,55.458,2
657.622986,47.035,4
217.057007,362.065002,5
131.723999,353.368988,5
146.774994,77.421997,1
368.502991,154.195999,0
391.971008,154.475998,0
370.949005,60.969002,1
416.92099,8.361,noise
395.640991,57.213001,1
364.238007,350.080994,5
80.044998,72.875999,1
165.343994,62.451,1
383.097992,241.973007,7
534.528015,98.429001,4
226.837997,125.291,0
584.614014,359.845001,4
513.591003,233.738998,3
320.148987,245.128006,7
253.957001,352.431,5
454.470001,125.014999,0
593.575012,60.258999,2
263.424011,154.389999,0
104.670998,131.177994,0
409.455994,395.993988,5
22.503,275.391998,7
321.587006,243.537003,7
207.826004,144.104996,0
133.755005,93.224998,1
619.84198,172.75,4
237.182007,136.436005,0
163.684998,77.011002,1
281.02301,337.286011,5
157.270004,69.360001,1
533.072021,242.257996,3
156.837997,226.537994,noise
251.759003,185.154007,6
204.832001,251.716995,7
69.941002,67.454002,1
370.130005,69.723999,1
440.248993,117.888,0
280.239014,133.910995,0
138.207993,250.878998,7
323.490997,273.785004,7
468.654999,352.671997,5
76.362999,223.197006,7
556.645996,93.600998,4
169.130005,392.662994,5
72.233002,100.092003,1
69.214996,106.764,noise
605.689026,81.980003,2
392.868988,335.279999,5
589.653992,37.613998,2
648.013977,49.983002,4
341.48999,322.576996,5
500.55899,185.182999,3
382.665009,290.872009,7
316.484009,49.23,1
417.442993,61.105999,1
197.679993,324.520996,5
51.422001,238.311005,7
143.903,205.927994,noise
64.903,396.755005,5
601.414978,303.703003,4
190.248993,135.046005,0
281.617004,59.714001,1
171.975006,253.748993,7
635.283997,156.746994,4
390.591003,326.187988,5
103.982002,319.440002,noise
317.335999,279.334991,7
199.222,60.944,1
357.092987,332.927002,5
124.990997,331.509003,5
651.033997,102.030998,4
203.373993,66.095001,1
466.578003,363.653992,5
511.313995,234.093002,3
395.85199,135.214996,0
359.006989,213.453995,noise
33.826,32.112,1
358.276001,77.191002,1
595.35199,167.910004,4
6.853,139.455994,0
324.690002,149.584,0
300.421997,148.738998,0
240.248001,338.417999,5
578.781006,71.148003,2
231.524994,240.324997,7
285.535004,44.249001,1
155.048004,286.330994,7
401.342987,76.107002,1
563.367004,336.190002,4
360.787994,271.746002,7
303.001007,212.360992,6
531.356995,229.429993,3
580.044006,219.852997,4
510.533997,342.821991,3
574.526001,75.114998,2
191.158997,243.658005,7
246.315994,119.444,0
580.666992,56.525002,2
425.29599,114.781998,0
293.355011,324.01001,5
299.07901,109.867996,0
311.588013,156.401001,0
47.73,265.82901,7
531.607971,249.257996,3
310.600006,388.644989,5
48.882,96.461998,1
255.623993,291.362,5
556.973999,103.401001,4
400.174011,238.492004,7
345.640015,72.763,1
185.979004,381.036987,5
248.235001,343.25,5
461.237,345.003998,5
94.467003,256.29599,7
190.556,56.93,1
111.220001,345.925995,5
164.447998,146.123001,0
240.044006,264.26001,7
191.673996,64.508003,1
319.571014,364.31601,5
250.626007,76.031998,1
186.511002,242.977997,7
617.70697,231.134003,4
318.57901,339.878998,5
179.167007,275.914001,7
329.287994,340.404999,5
285.095001,110.859001,0
242.707001,86.625999,1
392.158997,245.636993,7
55.751999,131.059998,0
546.065002,275.871002,3
61.542,148.227005,0
486.225006,295.179993,3
194.947998,85.250999,1
189.056,120.448997,0
288.514008,157.688004,0
22.17,244.408005,7
580.632996,44.737,2
37.188,279.653992,7
596.224976,177.266006,4
226.242996,191.190994,6
95.198997,35.962002,1
584.919983,321.480011,4
576.304016,76.634003,2
595.658997,175.996002,4
571.015991,147.929001,4
375.997009,128.037994,0
299.807007,263.045013,7
537.328979,309.338013,3
599.409973,157.429993,4
569.034973,54.921001,2
314.42099,263.390015,7
585.598999,365.484009,4
81.043999,107.056,noise
242.302002,193.324005,6
179.112,65.519997,1
208.828003,347.434998,5
182.722,251.106995,7
596.955017,317.252991,4
289.915009,321.589996,5
324.947998,366.022003,5
27.569,63.438999,1
413.229004,275.967987,7
248.591003,292.214996,5
105.542,353.088989,5
365.424988,374.503998,5
338.360992,366.542999,5
639.155029,349.166992,noise
