% from http://www2.cs.uh.edu/~ml_kdd/Complex&Diamond/complex&diamond.htm
% Salvador, S. and Chan, P.,Determining the Number of Clusters/Segments in Hierarchical clustering/Segmentation Algorithm, ICTAI 2004,576-584.
@RELATION complex8

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4,5,6,7}

@DATA
563.225,56.748,0
564.887,58.119,0
565.434,68.061,0
565.926,79.953,0
566.762,69.405,0
567.99,81.669,0
569.194,62.483,0
569.791,55.458,0
570.576,73.136,0
572.167,73.306,0
573.101,47.248,0
573.649,88.769,0
575.847,55.477,0
576.019,55.179,0
576.686,66.819,0
577.379,44.799,0
577.513,51.055,0
578.727,80.574,0
579.476,39.921,0
580.633,44.737,0
581.278,65.616,0
582.023,54.002,0
583.593,76.708,0
583.796,79.86,0
584.366,53.483,0
586.459,59.779,0
587.023,85.774,0
587.679,71.899,0
588.232,39.995,0
588.672,51.99,0
589.312,38.724,0
591.027,44.019,0
591.4,91.172,0
592.217,89.381,0
593.16,66.805,0
594.063,66.893,0
594.76,74.765,0
595.356,80.827,0
595.79,75.361,0
596.355,83.586,0
596.668,86.122,0
598.529,58.733,0
599.626,59.223,0
600.848,85.828,0
601.795,80.356,0
602.177,43.649,0
603.088,68.333,0
604.009,86.323,0
605.044,65.636,0
605.162,87.564,0
605.689,81.98,0
606.666,65.305,0
609.273,46.702,0
609.805,79.983,0
610.426,66.076,0
611.214,67.693,0
612.12,50.623,0
612.611,80.34,0
615.622,67.058,0
616.511,69.774,0
185.148,187.84,1
186.379,210.891,1
190.146,203.939,1
192.725,200.574,1
193.58,191.945,1
196.524,209.577,1
198.153,194.02,1
199.639,189.935,1
200.871,193.293,1
202.992,198.882,1
206.631,195.446,1
208.041,192.715,1
209.812,189.853,1
211.981,200.95,1
214.217,207.195,1
216.775,196.353,1
218.926,212.944,1
220.754,190.068,1
221.351,191.195,1
222.246,185.421,1
223.856,211.078,1
224.959,201.679,1
226.243,191.191,1
227.497,199.323,1
232.63,208.815,1
233.817,198.346,1
236.097,201.321,1
241.224,206.679,1
242.439,191.389,1
244.763,189.957,1
245.674,206.491,1
247.434,208.13,1
249.004,200.664,1
249.977,198.39,1
250.814,208.034,1
253.545,215.389,1
256.788,192.156,1
257.962,208.085,1
260.626,210.016,1
264.383,201.5,1
265.424,194.869,1
267.976,208.111,1
272.218,187.568,1
275.199,196.881,1
281.512,193.436,1
282.56,198.533,1
283.104,202.56,1
284.464,215.55,1
286.95,198.506,1
288.923,213.113,1
289.933,208.837,1
290.501,200.067,1
292.782,209.527,1
295.307,185.377,1
296.686,208.971,1
300.462,210.472,1
301.987,213.201,1
303.553,213.944,1
13.354,264.529,2
16.103,255.247,2
17.339,249.372,2
18.137,258.655,2
19.608,265.248,2
21.247,262.794,2
22.098,281.747,2
22.758,242.831,2
23.345,251.326,2
23.635,245.377,2
24.691,273.256,2
26.117,244.136,2
27.203,257.622,2
28.94,244.752,2
29.936,234.543,2
30.809,233.232,2
31.169,284.702,2
32.489,266.777,2
32.93,271.838,2
33.591,283.933,2
33.773,281.922,2
34.513,276.181,2
34.652,252.158,2
35.524,243.571,2
35.876,243.583,2
37.343,233.625,2
38.62,246.751,2
40.455,255.385,2
41.524,284.287,2
42.817,248.056,2
44.067,281.238,2
45.476,271.387,2
46.187,286.244,2
47.739,252.702,2
48.338,258.763,2
48.994,234.513,2
49.857,253.511,2
50.245,237.932,2
50.976,267.189,2
51.328,270.145,2
51.66,262.632,2
53.837,292.781,2
54.617,291.696,2
54.983,230.195,2
55.211,290.125,2
56.785,252.76,2
58.204,276.242,2
59.035,272.023,2
59.624,282.485,2
60.396,231.942,2
61.014,242.437,2
61.448,245.848,2
62.185,263.182,2
62.725,245.593,2
63.76,274.755,2
64.487,237.96,2
64.713,252.737,2
65.05,227.462,2
65.823,290.489,2
66.296,267.64,2
67.832,281.385,2
68.888,226.002,2
69.967,246.5,2
70.286,260.492,2
71.834,228.468,2
72.206,243.232,2
72.789,287.178,2
73.157,293.775,2
73.85,264.688,2
74.708,264.807,2
75.394,254.897,2
76.311,243.142,2
76.972,287.451,2
77.989,230.004,2
78.233,266.766,2
78.502,237.794,2
79.202,287.122,2
79.272,242.156,2
79.722,264.361,2
80.199,298.082,2
81.069,261.888,2
81.534,276.974,2
81.913,237.585,2
83.034,247.402,2
83.679,240.902,2
83.855,297.607,2
84.888,253.396,2
85.499,236.795,2
86.941,232.489,2
87.406,299.783,2
88.392,237.048,2
88.701,250.651,2
88.982,299.489,2
89.319,226.7,2
90.41,257.448,2
90.58,231.072,2
91.23,262.604,2
92.209,222.15,2
92.786,227.418,2
93.554,293.737,2
93.768,293.591,2
94.697,258.708,2
95.536,237.686,2
96.182,228.088,2
96.715,223.257,2
97.527,273.821,2
97.685,278.438,2
98.38,284.748,2
99.108,296.813,2
99.767,224.9,2
100.165,222.073,2
100.778,278.911,2
101.931,266.622,2
102.84,240.178,2
103.131,239.699,2
103.347,251.559,2
103.919,268.385,2
104.593,279.342,2
104.851,266.407,2
105.187,268.4,2
105.396,267.244,2
105.877,248.509,2
106.187,280.048,2
106.267,221.253,2
106.699,250.833,2
107.251,233.71,2
107.427,264.254,2
107.743,239.853,2
108.98,262.284,2
109.713,272.873,2
109.967,298.248,2
110.534,224.346,2
110.823,229.572,2
111.309,226.288,2
111.731,278.228,2
113.107,268.624,2
113.726,289.755,2
113.971,233.849,2
114.502,226.788,2
114.867,299.812,2
115.386,274.375,2
116.25,285.816,2
116.901,239.932,2
117.588,279.468,2
117.808,296.526,2
117.991,296.388,2
118.793,226.169,2
119.412,292.521,2
119.916,279.182,2
120.435,281.88,2
121.329,271.627,2
122.254,274.67,2
122.962,272.851,2
123.476,263.763,2
123.817,290.177,2
124.895,225.312,2
125.876,237.528,2
126.299,248.847,2
127.881,277.424,2
128.782,258.494,2
129.474,259.443,2
129.986,263.765,2
130.248,254.418,2
130.953,288.629,2
132.874,236.928,2
133.637,287.142,2
134.173,262.139,2
135.02,242.398,2
135.631,288.789,2
136.99,279.42,2
137.468,248.605,2
