% Data generated using R package 'mlbench'
%
% > library("mlbench")
% > set.seed(1234)
% > data <- mlbench.cuboids(1000)
%
% The inputs of the cuboids problem are uniformly distributed on
% a 3-dimensional space within 3 cuboids and a small
% cube in the middle of them. 
%
% Authors: Evgenia Dimitriadou and Andreas Weingessel
%
@relation cuboids
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE z REAL
@ATTRIBUTE class {1,2,3,4}
%
@data
0.2879883684,0.9822007461,0.7704912612,1
0.3641037794,0.7838999255,0.9295960217,1
0.5193094776,0.7859589314,0.8900013182,1
0.4057092168,0.9052338219,0.8360648726,1
0.1244934578,0.9567129919,0.9007867163,1
0.3052759608,0.8460619275,0.8244228271,1
0.3177433445,0.7511925687,0.8436319386,1
0.4826061958,0.7582144133,0.9786560111,1
0.0619281265,0.7969327057,0.9959058573,1
0.4444691159,0.8437332406,0.9952480937,1
0.1768552072,0.8483483755,0.9495360412,1
0.5791280968,0.8647889462,0.8151654056,1
0.6161618228,0.9921292655,0.886313103,1
0.2380379145,0.8028891675,0.7609452255,1
0.6378911785,0.8297633177,0.9927431598,1
0.9104522343,0.972901937,0.8654326788,1
0.8502344373,0.8691314408,0.8222902187,1
0.7928788743,0.8645232034,0.8261005268,1
0.6711485717,0.8426838735,0.8628362804,1
0.7487968057,0.8549470133,0.8469559976,1
0.1202097577,0.8222295282,0.94809323,1
0.9749812281,0.7586693788,0.908208373,1
0.3512126685,0.7668892304,0.8341262956,1
0.2610681071,0.8657224055,0.778958267,1
0.1045476755,0.868175817,0.919053853,1
0.8734905121,0.7562641608,0.8935360654,1
0.9626796308,0.7707775685,0.7842329768,1
0.1597907734,0.985287512,0.8531656188,1
0.811152824,0.7629577577,0.9815901638,1
0.5310773,0.7920924912,0.9294300174,1
0.3795820763,0.7988600165,0.8585302894,1
0.2680680009,0.8528443352,0.9127375371,1
0.8344686793,0.8894036391,0.8689859856,1
0.0420017049,0.8235630117,0.8376046729,1
0.7004414913,0.8733475422,0.9923411835,1
0.7781701528,0.9225743907,0.9330694957,1
0.0750694268,0.8214682127,0.8983604754,1
0.1448748955,0.8412187599,0.977516142,1
0.7719001081,0.9763532184,0.9828345592,1
0.4929918724,0.7651576132,0.8901847667,1
0.7248908987,0.9780313868,0.9439551794,1
0.2290821627,0.9128316089,0.9689221218,1
0.1040507169,0.9547632402,0.7853290084,1
0.3335760715,0.9714001992,0.8517545381,1
0.7289059504,0.8776078916,0.9314159598,1
0.1756481717,0.849206753,0.9347761666,1
0.5865972678,0.9486217865,0.8014965244,1
0.8993188532,0.9249899773,0.8701634799,1
0.0197939642,0.9532362881,0.8990634282,1
0.0066820732,0.7608251099,0.9672275669,1
0.1344651808,0.9957511518,0.8832217481,1
0.8837029075,0.8468392246,0.7623607192,1
0.8241261037,0.9001373954,0.790576117,1
0.6082148682,0.7822896679,0.9474103927,1
0.845643366,0.9126618666,0.9131528029,1
0.2283771071,0.7701592154,0.7502253472,1
0.6809791005,0.7669091421,0.9596738494,1
0.6623917643,0.9431392907,0.8732730094,1
0.6287424662,0.8540966559,0.9207844269,1
0.9777856765,0.8177988642,0.9358858949,1
0.0344993768,0.9778902681,0.9299317148,1
0.3114453256,0.9514652465,0.8006391738,1
0.0856773367,0.8814839501,0.8248788823,1
0.3804773078,0.7854031433,0.7597468866,1
0.3393212182,0.9083348106,0.9152878445,1
0.5462512868,0.9774552931,0.7732667731,1
0.7480847945,0.7681676972,0.8781378252,1
0.8209165772,0.8895016328,0.8283551504,1
0.7327729941,0.77578348,0.9749902102,1
0.3612347839,0.8206419803,0.8940392679,1
0.3476571976,0.8774070378,0.9211006222,1
0.6281246878,0.9988752801,0.8174424581,1
0.341720866,0.8803529257,0.8083214638,1
0.3398630198,0.9682158271,0.8128848745,1
0.6116938652,0.8006662095,0.7988083105,1
0.7431059422,0.9360568519,0.7964524709,1
0.5588826614,0.8566667057,0.8942425838,1
0.243762139,0.8951501357,0.9052833345,1
0.0582491308,0.9661250749,0.85281067,1
0.4847503991,0.8256542346,0.7615201643,1
0.9166662933,0.9881406466,0.8063266946,1
0.2448305332,0.9033689873,0.7960638256,1
0.1935320997,0.8333583922,0.794982939,1
0.7376524985,0.9434217004,0.9759062247,1
0.6715648801,0.7966266687,0.8096703393,1
0.3435452527,0.8154794165,0.9600038767,1
0.9923572142,0.8704582181,0.8377803293,1
0.356283312,0.9735966071,0.8795650501,1
0.7759323486,0.8375568204,0.8623724385,1
0.0254949266,0.9324824839,0.910872538,1
0.2813103264,0.8242755113,0.9600254527,1
0.7228289889,0.7811096908,0.9260154816,1
0.6926004156,0.9966878394,0.9273746752,1
0.3749383537,0.7901298793,0.7793540791,1
0.0524569682,0.8002903389,0.9651136841,1
0.8473817608,0.838177261,0.9933273678,1
0.1442377302,0.7690917341,0.8501047836,1
0.3074335642,0.8874222829,0.7980817894,1
0.4301377551,0.7850774446,0.9565831049,1
0.4591021624,0.8207196028,0.8273375737,1
0.0195738119,0.8467550526,0.8933531935,1
0.1982439929,0.9334204174,0.7723942155,1
0.0445204051,0.8907085151,0.9025330063,1
0.8923643003,0.934875651,0.9867129567,1
0.8187472066,0.8051099295,0.9257382695,1
0.758237381,0.7648631323,0.7533982159,1
0.7011043117,0.8701339707,0.8291829741,1
0.8381166174,0.8457889428,0.8956091881,1
0.6882549487,0.9684513899,0.7956160712,1
0.8668883839,0.763244663,0.769405248,1
0.3844629612,0.8676914078,0.7828258573,1
0.7622300249,0.8628266389,0.8604987907,1
0.9905541937,0.8194323704,0.8568667232,1
0.4093753395,0.9066660103,0.7510546556,1
0.2997759967,0.810472855,0.9611274638,1
0.7778818351,0.9204610924,0.7553478606,1
0.6085290217,0.9589903182,0.966744733,1
0.2089855552,0.8709448634,0.7551366024,1
0.377899464,0.8989500552,0.8796087769,1
0.4775095154,0.9666648998,0.8657389077,1
0.6702839269,0.9410996042,0.9369895949,1
0.8753870989,0.8951529808,0.9859650087,1
0.1064317103,0.8224542518,0.7807049424,1
0.572352153,0.7991189569,0.8166798226,1
0.5786944695,0.8969056752,0.8727466643,1
0.4812044932,0.9178304462,0.9544391218,1
0.8904740568,0.7524065622,0.786817648,1
0.6018900431,0.8903574508,0.9010872471,1
0.9349996997,0.8894395151,0.9213240261,1
0.8268518392,0.8207755228,0.8433746051,1
0.0446223221,0.8643320817,0.9630861171,1
0.2560747003,0.8750212252,0.7686348084,1
0.7628911706,0.8949071717,0.8185557677,1
0.0148595751,0.7547852038,0.9499616251,1
0.4308889708,0.7979044433,0.8119680674,1
0.9203089799,0.8949833594,0.8395729604,1
0.8491524453,0.9299814359,0.8293078613,1
0.9774441486,0.8424260728,0.9717377081,1
0.1029301567,0.857755891,0.9339707303,1
0.4661961375,0.8800831649,0.8371954673,1
0.0063097393,0.8597702572,0.8686013535,1
0.7793757217,0.8876557599,0.8616097298,1
0.4738937959,0.925422586,0.8327164738,1
0.1690149461,0.8621323981,0.8418590752,1
0.7211699875,0.9954209505,0.8809391996,1
0.8743125722,0.920294497,0.8579723041,1
0.1800234036,0.8369398256,0.9219505408,1
0.1721898017,0.9710751954,0.8617834035,1
0.1470152645,0.8013040287,0.8866089961,1
0.4053097798,0.9874024073,0.9767445222,1
0.4324438262,0.9552846087,0.9486040746,1
0.1877435513,0.9594116125,0.8980951827,1
0.1692099394,0.8312866629,0.8373575745,1
0.4154822798,0.8716868649,0.9009742874,1
0.3360331494,0.9817551746,0.9875670396,1
0.2063933737,0.9329884947,0.9347417126,1
0.4119962291,0.9593209974,0.9870105264,1
0.5992675235,0.8425148113,0.9132074207,1
0.5648206659,0.9654130859,0.9982387945,1
0.1081589963,0.8533637491,0.751517517,1
0.1391264792,0.882305336,0.9428740449,1
0.3658525029,0.758985483,0.8613556807,1
0.8675522257,0.8785462442,0.8330240571,1
0.5882672051,0.9918611178,0.8541446083,1
0.3351884137,0.846276572,0.8514157633,1
0.0521028889,0.9818643433,0.828803193,1
0.2255359415,0.8871566481,0.7561822482,1
0.4981667069,0.866597059,0.8426902714,1
0.1272496136,0.9252494358,0.9221198091,1
0.0634910313,0.8860271754,0.8049968322,1
0.2936162383,0.9156620968,0.9152680534,1
0.1254834218,0.9661033876,0.9477247423,1
0.5151982999,0.8660044396,0.9536340806,1
0.8788098507,0.9593236713,0.7543733219,1
0.7229732792,0.8634000862,0.946523709,1
0.289017447,0.9044052314,0.8199552153,1
0.7566323415,0.9272263593,0.7732165296,1
0.870922507,0.9672893037,0.8911630677,1
0.8270335137,0.7796404951,0.8997404341,1
0.3230768335,0.9314308855,0.8915130514,1
0.7863923898,0.8518812135,0.9112843341,1
0.0496732262,0.9250985654,0.8207939004,1
0.863868925,0.8473230393,0.8898635642,1
0.1274758826,0.7668838133,0.9898296781,1
0.3552384232,0.8524964012,0.91626523,1
0.7071697037,0.9210821216,0.9552146296,1
0.3568949685,0.8556939716,0.8089843137,1
0.1717539176,0.7834343549,0.9830850256,1
0.4074107883,0.7656883222,0.8045899767,1
0.9211381448,0.9946929357,0.9990095522,1
0.8475866078,0.937823287,0.9570217894,1
0.848089268,0.9509175578,0.7978296956,1
0.3184384571,0.9522992919,0.9302011855,1
0.4909541989,0.9640657451,0.9708409602,1
0.6206802912,0.9669128883,0.8348915776,1
0.3047093914,0.9496539664,0.8126268526,1
0.3428358841,0.8212265205,0.9539879741,1
0.7811453617,0.796156605,0.9407946938,1
0.6293736787,0.8537088714,0.7991435574,1
0.3681429529,0.9053004633,0.8949521883,1
0.7015812914,0.8886303277,0.9339494919,1
0.3369404087,0.8451798416,0.7527196018,1
0.3865048147,0.9043285271,0.7859007794,1
0.5322093118,0.9211775031,0.84914283,1
