@RELATION cure-t1-2000n-2D

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2}

@DATA
-0.845336,-0.533192,0
-0.731757,0.0996577,0
0.0183806,-0.751005,0
-0.867887,-0.365326,0
0.131603,-0.834194,0
0.139864,-0.168765,0
-0.511138,-0.421097,0
-0.464374,-0.232739,0
-0.946491,-0.473429,0
-0.684512,-0.48909,0
0.238993,-0.160429,0
-0.195673,-0.911223,0
-0.817743,-0.174156,0
-0.472617,-0.808901,0
-0.466596,-0.306017,0
-0.0059443,-0.1782,0
-0.829379,-0.0239821,0
0.0597428,-0.632937,0
-0.895687,-0.66457,0
-0.889686,-0.659984,0
-0.337966,-0.318005,0
0.221706,-0.251809,0
-0.603826,-0.0394047,0
0.108968,0.0268664,0
-0.596781,-0.69778,0
-0.570381,-0.62692,0
-0.1068,-0.695916,0
-0.727975,-0.74717,0
-0.0499491,-0.242626,0
-0.494243,0.171228,0
-0.754713,-0.636687,0
-0.502568,-0.0750076,0
-0.904765,-0.162216,0
-0.362562,-0.101634,0
0.364112,-0.397585,0
-0.329505,-0.781368,0
-0.875226,-0.295195,0
-0.160097,-0.0918583,0
-0.277217,-0.699183,0
-0.299431,-0.753466,0
-0.520871,-0.47465,0
-0.133016,0.180602,0
-0.343126,0.383888,0
-0.288447,-0.25641,0
-0.416981,-0.895924,0
-0.295424,-0.586521,0
0.205391,-0.41047,0
-0.613013,0.066293,0
-0.301609,0.268155,0
-0.411882,-0.0766718,0
-0.111058,-0.229829,0
-0.16962,0.103149,0
0.268755,-0.0354978,0
-0.501309,-0.149498,0
-0.404219,0.369042,0
0.184264,0.099545,0
-0.294125,0.0613403,0
-0.339992,0.252625,0
0.359872,-0.337897,0
-0.804468,-0.452948,0
0.0597215,-0.447657,0
-0.0294261,-0.0909801,0
-0.807597,-0.0477664,0
0.167056,-0.704272,0
-0.512349,-0.349746,0
0.198536,-0.184669,0
-0.129309,-0.144206,0
0.24612,-0.656467,0
-0.0120307,-0.0150062,0
0.06104,-0.336989,0
0.261726,-0.673188,0
-0.859827,0.00533362,0
0.107754,-0.649024,0
-0.389748,-0.00271722,0
0.242503,-0.23928,0
-0.0893898,-0.00126011,0
-0.0255801,0.143496,0
-0.714719,-0.493871,0
-0.189286,0.191492,0
-0.107693,-0.179578,0
-0.959185,-0.333448,0
0.105632,0.0489216,0
-0.183026,0.190697,0
-0.249358,-0.61646,0
-0.317514,-0.362865,0
-0.485969,-0.2444,0
-0.585835,-0.0695504,0
-0.979734,-0.258728,0
-0.381425,0.0924572,0
0.123565,-0.3974,0
-0.440491,-0.207423,0
0.383511,-0.408729,0
-0.174329,-0.28078,0
0.113398,-0.42585,0
-0.434579,-0.319234,0
-0.236767,0.364845,0
0.0530904,-0.0369481,0
-0.375727,-0.885929,0
-0.666157,-0.160435,0
-0.78591,0.0650706,0
0.321019,-0.541853,0
-0.734661,-0.629417,0
-0.270034,0.136157,0
-0.333731,0.317522,0
-0.418482,-0.906161,0
0.0739774,-0.526218,0
-0.120947,-0.735114,0
-0.779168,-0.309669,0
-0.812292,-0.19952,0
-0.480483,-0.206175,0
-0.057066,-0.0544293,0
-0.531684,0.25593,0
0.331246,-0.398609,0
-0.529684,-0.29144,0
0.119724,-0.858658,0
-0.134439,-0.805333,0
-0.175285,-0.135894,0
-0.62127,-0.207734,0
-0.601012,-0.133853,0
-0.798208,0.0108812,0
-0.196359,0.258321,0
-0.170273,-0.781005,0
-0.119861,-0.412407,0
-0.401321,-0.746075,0
-0.168275,-0.620361,0
-0.303688,-0.752197,0
-0.592528,-0.178122,0
-0.845345,-0.429146,0
-0.973842,-0.305254,0
-0.535246,0.00503671,0
0.288929,-0.31473,0
0.22196,0.136243,0
-0.225646,0.0986858,0
-0.825397,-0.474693,0
-0.241729,-0.226563,0
-0.740672,-0.456177,0
-0.715589,-0.479733,0
-0.47244,-0.106996,0
-0.341394,0.25254,0
-0.23505,-0.8264,0
-0.453618,-0.472866,0
0.0374289,-0.590282,0
-0.582366,-0.749589,0
-0.0283509,0.27238,0
-0.730476,-0.143248,0
-0.797196,0.143052,0
-0.350351,-0.297192,0
-0.629091,-0.242187,0
-0.5175,0.0661452,0
-0.949218,-0.491068,0
-0.151406,-0.151549,0
-0.600725,-0.474877,0
-0.903375,-0.0242168,0
-0.322776,-0.420263,0
-0.866341,-0.632617,0
0.0224708,-0.348856,0
-0.134815,-0.834705,0
-0.381838,-0.843906,0
-0.219416,-0.923288,0
-0.00718427,0.290802,0
-0.00818175,-0.480234,0
-0.0498723,-0.259256,0
0.303312,-0.560571,0
-0.787875,-0.0851004,0
-0.479842,-0.551641,0
-0.691298,-0.149375,0
-0.334675,-0.322751,0
-0.313351,-0.998131,0
0.0879341,-0.00950871,0
-0.383935,0.085593,0
0.111073,-0.085525,0
-0.657081,0.235665,0
-0.744904,-0.325409,0
0.0900768,-0.0202703,0
-0.234966,-0.239148,0
-0.105845,-0.262108,0
-0.607309,-0.425996,0
-0.468871,0.285194,0
-0.284429,0.0587517,0
-0.394906,-0.927364,0
-0.727719,-0.83011,0
-0.256181,0.341078,0
-0.141431,0.180632,0
-0.615083,0.315792,0
-0.00780828,-0.848889,0
-0.274844,-0.665489,0
0.186394,-0.0781547,0
-0.686011,-0.773018,0
-0.610973,-0.032065,0
-0.0131184,-0.0162505,0
-0.117475,0.185686,0
-0.00599974,0.248172,0
0.198043,-0.556729,0
0.0994229,-0.723239,0
-0.409157,-0.709934,0
0.0994195,0.107188,0
