@RELATION cure-t2-4k

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4,5,noise}

@DATA
-0.590353,-0.566736,0
-0.147896,-0.257437,0
0.0554175,-0.760445,0
-0.619365,-0.81719,0
-0.55372,-0.329719,0
-0.623149,-0.0693254,0
-0.0304975,0.310295,0
-0.771859,0.00436378,0
0.0363532,-0.0271469,0
-0.12448,-0.230267,0
-0.728251,-0.523934,0
-0.413924,0.231446,0
-0.739494,-0.668529,0
0.22555,-0.136087,0
-0.419842,-0.674177,0
0.131428,0.212703,0
-0.753607,-0.538087,0
-0.859821,0.0159097,0
-0.246242,0.280654,0
-0.101881,-0.83754,0
-0.159756,-0.632868,0
-0.134943,-0.468011,0
-0.769734,0.0354122,0
-0.226786,-0.4967,0
-0.831374,0.128236,0
-0.183741,-0.284105,0
-0.654905,-0.214161,0
-0.339083,-0.505677,0
0.120308,-0.424478,0
-0.0453352,-0.906498,0
-0.605506,-0.627796,0
-0.956438,-0.228154,0
0.0054546,-0.533362,0
-0.051429,-0.451626,0
0.118633,-0.807592,0
0.230406,-0.296434,0
-0.10253,-0.320387,0
-0.0453318,-0.858963,0
-0.200003,-0.611264,0
-0.317149,-0.556796,0
0.195414,-0.781258,0
0.128375,-0.64397,0
-0.428799,0.140714,0
-0.367854,-0.151063,0
-0.353013,0.312472,0
-0.350015,-0.466724,0
-0.478442,-0.585955,0
0.290796,-0.600338,0
-0.20309,-0.333909,0
-0.582982,-0.745122,0
-0.874671,-0.233067,0
-0.444086,-0.0929195,0
0.0438461,-0.894403,0
0.301041,0.0540828,0
0.000434993,-0.163903,0
-0.26669,-0.666484,0
-0.469953,-0.949347,0
-0.726297,-0.320855,0
-0.309394,0.0418541,0
-0.265321,0.179025,0
-0.906713,-0.0382791,0
-0.00503287,-0.0286831,0
-0.249517,0.0201011,0
-0.664682,0.2783,0
-0.399247,-0.861496,0
-0.413328,0.345039,0
0.343788,-0.455331,0
-0.440747,-0.856001,0
0.32132,-0.0974025,0
-0.266467,-0.256084,0
-0.668913,0.166772,0
-0.167169,-0.631487,0
-0.364264,-0.607945,0
0.0549001,-0.481164,0
-0.983094,-0.215513,0
-0.607556,0.250722,0
0.0310692,0.0407995,0
-0.574746,-0.53145,0
0.0482034,0.097027,0
0.0243542,-0.63885,0
-0.614393,-0.863738,0
-0.909936,-0.0540048,0
0.363498,-0.102157,0
-0.0415349,0.0946566,0
-0.189353,-0.892563,0
0.282281,-0.157533,0
0.0584294,-0.717148,0
0.0224513,-0.31435,0
0.1296,-0.195239,0
-0.0787636,-0.855512,0
0.209478,-0.13065,0
-0.84749,0.0581845,0
-0.0812732,-0.90019,0
0.275837,-0.0859193,0
0.0753628,-0.00443303,0
-0.250862,0.0226575,0
-0.892103,-0.26983,0
-0.466186,0.0496478,0
-0.767438,-0.562191,0
-0.000451888,-0.627022,0
0.250498,-0.644295,0
0.167404,-0.370509,0
-0.971987,-0.309751,0
-0.573048,0.340027,0
-0.747656,0.0815372,0
-0.852828,-0.190035,0
-0.390851,0.174841,0
-0.891726,-0.0273364,0
-0.938541,-0.250743,0
-0.771833,-0.49935,0
-0.199263,-0.580271,0
-0.23781,0.141309,0
-0.345488,0.282457,0
-0.240033,0.171709,0
-0.748198,-0.326801,0
-0.35171,0.349434,0
-0.383032,0.0415288,0
-0.429906,-0.655125,0
-0.145354,0.182946,0
-0.169341,-0.681928,0
0.338489,-0.440503,0
-0.522624,-0.47094,0
-0.0292015,-0.116976,0
-0.138263,-0.615811,0
-0.402965,0.0115957,0
-0.925521,-0.0829293,0
0.388407,-0.206274,0
0.036662,-0.382975,0
-0.763326,-0.694777,0
0.090005,0.201843,0
-0.745538,-0.502092,0
-0.758295,-0.545834,0
-0.489624,-0.295936,0
-0.0360281,0.311047,0
0.36129,-0.464947,0
0.109651,0.150396,0
-0.32736,-0.301318,0
-0.214574,0.294144,0
-0.247107,-0.77831,0
-0.140322,-0.502455,0
-0.661053,-0.584954,0
-0.40036,-0.758585,0
0.270654,-0.52738,0
-0.303261,-0.375775,0
-0.194537,0.0737495,0
0.257459,0.00437355,0
0.0213069,-0.818781,0
-0.690956,-0.456435,0
-0.376981,-0.383117,0
-0.101305,-0.562514,0
-0.59085,0.290113,0
-0.624713,-0.914442,0
-0.207133,-0.545739,0
-0.300592,-0.532291,0
-0.874334,-0.0365301,0
-0.0175115,-0.258857,0
-0.0888609,-0.523929,0
-0.426005,-0.308447,0
-0.422197,-0.346672,0
-0.871573,0.0248619,0
0.197369,-0.259524,0
-0.214249,0.00206892,0
0.139388,-0.817973,0
0.214971,-0.150423,0
0.0431965,0.123908,0
-0.421433,0.234504,0
-0.397172,-0.0874468,0
-0.299736,-0.800608,0
-0.653093,-0.843162,0
-0.688261,0.148065,0
-0.587488,-0.835331,0
0.210482,-0.388183,0
-0.404009,-0.25728,0
0.257416,-0.217701,0
0.18243,0.0617035,0
0.0351149,-0.578269,0
-0.576781,0.319746,0
-0.439956,0.297213,0
-0.74426,-0.302635,0
-0.736385,0.205751,0
-0.00594738,-0.234839,0
-0.521327,0.116235,0
0.304334,-0.237808,0
-0.519784,0.245443,0
-0.586194,0.0455737,0
0.186625,-0.477597,0
0.00201079,-0.399155,0
-0.865291,-0.0836463,0
-0.328277,-0.642781,0
0.174608,-0.0127429,0
0.0610467,-0.630948,0
-0.842805,0.0976148,0
-0.717255,0.164957,0
0.14307,0.163868,0
-0.116118,0.340762,0
-0.161432,0.1974,0
0.262256,-0.341503,0
0.0633291,-0.537405,0
-0.216993,-0.44656,0
-0.363444,-0.496584,0
-0.136639,0.215535,0
0.10755,-0.566607,0
-0.524428,-0.17316,0
-0.769591,-0.235041,0
-0.128627,-0.72914,0
-0.477244,-0.358723,0
-0.448195,0.320386,0
0.24373,-0.409404,0
-0.151148,-0.456062,0
0.0257612,-0.577296,0
-0.574547,-0.617513,0
-0.0652002,0.0403959,0
-0.679953,-0.388507,0
-0.474528,-0.698047,0
0.0539052,-0.466543,0
-0.730289,-0.18988,0
-0.508175,0.158579,0
-0.641558,-0.694397,0
0.2269,0.0615651,0
-0.364931,-0.786861,0
-0.83418,-0.670951,0
-0.0257692,-0.0479257,0
-0.630723,0.283817,0
-0.773068,-0.0810164,0
0.0757199,-0.866262,0
-0.306467,0.115672,0
-0.724635,0.212695,0
0.266944,-0.0803415,0
-0.332941,-0.951982,0
-0.193533,0.169426,0
-0.14373,-0.0384657,0
0.247137,-0.0441783,0
0.22629,-0.626199,0
-0.199171,-0.59004,0
-0.212715,-0.0631543,0
-0.364262,0.142442,0
-0.446785,-0.365355,0
0.208437,-0.32347,0
-0.764914,-0.675091,0
-0.764332,-0.0589663,0
-0.404121,-0.976919,0
0.320908,-0.282748,0
-0.508233,0.288937,0
-0.178983,-0.499619,0
-0.0986425,-0.211831,0
0.100277,-0.301659,0
0.200645,-0.604936,0
-0.669845,-0.661494,0
-0.28098,-0.333386,0
-0.845541,-0.173057,0
0.335635,-0.513331,0
-0.0779654,-0.614359,0
-0.0961021,0.173891,0
0.15372,-0.74725,0
-0.451136,-0.0354162,0
0.258486,-0.290092,0
-0.878029,-0.120048,0
-0.0245374,0.334776,0
-0.775434,-0.494266,0
0.092988,0.0295557,0
-0.604337,-0.687033,0
-0.0432385,-0.89216,0
-0.65014,-0.76962,0
-0.90026,-0.369966,0
0.117543,-0.660393,0
-0.431747,0.366406,0
0.0614768,-0.839125,0
-0.115994,0.0474672,0
0.187745,-0.243267,0
-0.303154,-0.62883,0
-0.53698,-0.467441,0
0.209003,-0.744174,0
-0.206513,-0.849799,0
-0.170888,-0.966842,0
-0.123645,-0.615583,0
-0.720942,0.158588,0
-0.246385,-0.128018,0
-0.480278,-0.152836,0
-0.183466,0.230501,0
-0.67508,0.244915,0
-0.452594,0.0251268,0
-0.740413,-0.437726,0
-0.219235,0.222101,0
-0.18201,0.202391,0
-0.453913,-0.877277,0
-0.424871,0.380342,0
-0.368409,-0.104185,0
-0.161459,-0.868551,0
-0.818694,-0.659452,0
-0.97734,-0.400688,0
-0.283068,0.0147696,0
0.0673263,-0.305451,0
-0.367184,-0.128094,0
-0.54928,0.0903793,0
0.0970441,-0.67387,0
-0.840845,-0.335435,0
-0.670421,-0.306558,0
0.0763722,-0.819806,0
-0.730009,-0.629318,0
-0.348456,-0.580986,0
-0.826811,-0.137444,0
0.157641,-0.612379,0
0.106952,-0.683583,0
-0.160061,-0.0262904,0
-0.705592,-0.369392,0
-0.275977,-0.873201,0
-0.406724,0.117801,0
-0.310768,-0.392819,0
-0.49469,0.145707,0
-0.756927,0.22117,0
-0.0601468,0.252858,0
-0.215051,-0.519568,0
-0.364486,-0.531335,0
0.0105021,-0.179032,0
-0.378042,-0.936392,0
-0.0981113,-0.586945,0
-0.412735,-0.0061675,0
-0.398547,-0.672598,0
-0.829788,-0.734133,0
-0.124925,-0.873383,0
-0.0981161,-0.366059,0
0.130932,0.0610803,0
-0.794436,-0.525153,0
-0.418079,-0.31958,0
0.111702,-0.164051,0
0.103755,0.146144,0
-0.0323731,0.250144,0
-0.697946,-0.833248,0
-0.418411,-0.109054,0
-0.762601,-0.505984,0
0.164877,-0.0962553,0
0.0876201,-0.553187,0
-0.33966,0.086034,0
-0.663254,-0.566164,0
0.364945,-0.363345,0
0.12905,-0.454554,0
-0.0173829,0.0388627,0
-0.41105,0.0120604,0
-0.336247,-0.000646974,0
0.24535,-0.0212976,0
-0.262554,-0.681247,0
0.0329997,0.115658,0
0.216901,-0.241239,0
-0.161799,-0.960388,0
0.25044,-0.0298271,0
-0.4139,-0.318581,0
0.276035,-0.0329448,0
-0.199758,0.196004,0
-0.443601,-0.0678637,0
-0.697419,-0.69632,0
-0.622542,-0.876933,0
-0.477333,-0.529583,0
0.200203,-0.379371,0
-0.171535,-0.249198,0
-0.533411,0.183823,0
0.178051,0.0902436,0
-0.376046,0.0246753,0
-0.228725,-0.143609,0
-0.0919674,-0.487965,0
-0.636934,-0.437767,0
-0.306675,-0.96554,0
-0.734269,-0.0743262,0
-0.773029,-0.404264,0
-0.0420219,-0.834843,0
-0.74225,-0.0512184,0
-0.0711392,-0.728915,0
-0.6597,0.138237,0
-0.173099,0.0340681,0
-0.47164,-0.638427,0
-0.367443,-0.986342,0
-0.267942,0.217551,0
-0.380022,0.328415,0
-0.929089,-0.499036,0
-0.148545,-0.0721657,0
-0.616454,-0.14789,0
0.195939,-0.406452,0
-0.892821,0.0342781,0
-0.248822,-0.260969,0
-0.180893,-0.476309,0
-0.92734,-0.352141,0
-0.429636,-0.00690075,0
-0.380037,-0.418846,0
-0.102928,-0.53475,0
