@RELATION dartboard2.arff

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2,3}

@DATA
-0.3,0.5,0
-0.300063,0.505026,0
-0.300253,0.510049,0
-0.300568,0.515065,0
-0.30101,0.520072,0
-0.301577,0.525067,0
-0.30227,0.530045,0
-0.303087,0.535005,0
-0.304029,0.539942,0
-0.305095,0.544854,0
-0.306283,0.549738,0
-0.307594,0.55459,0
-0.309027,0.559408,0
-0.31058,0.564189,0
-0.312253,0.568929,0
-0.314045,0.573625,0
-0.315954,0.578275,0
-0.317979,0.582875,0
-0.320119,0.587423,0
-0.322373,0.591916,0
-0.324739,0.596351,0
-0.327215,0.600725,0
-0.329801,0.605035,0
-0.332494,0.609279,0
-0.335293,0.613454,0
-0.338197,0.617557,0
-0.341202,0.621586,0
-0.344308,0.625538,0
-0.347511,0.629411,0
-0.350812,0.633202,0
-0.354206,0.636909,0
-0.357693,0.64053,0
-0.361269,0.644062,0
-0.364933,0.647503,0
-0.368683,0.65085,0
-0.372515,0.654103,0
-0.376428,0.657258,0
-0.380419,0.660313,0
-0.384485,0.663268,0
-0.388625,0.666119,0
-0.392835,0.668866,0
-0.397112,0.671505,0
-0.401455,0.674037,0
-0.405859,0.676458,0
-0.410323,0.678768,0
-0.414844,0.680965,0
-0.419419,0.683048,0
-0.424044,0.685015,0
-0.428718,0.686866,0
-0.433436,0.688598,0
-0.438197,0.690211,0
-0.442996,0.691704,0
-0.447832,0.693076,0
-0.4527,0.694326,0
-0.457599,0.695454,0
-0.462524,0.696457,0
-0.467473,0.697337,0
-0.472442,0.698092,0
-0.477429,0.698722,0
-0.48243,0.699227,0
-0.487442,0.699605,0
-0.492462,0.699858,0
-0.497487,0.699984,0
-0.502513,0.699984,0
-0.507538,0.699858,0
-0.512558,0.699605,0
-0.51757,0.699227,0
-0.522571,0.698722,0
-0.527558,0.698092,0
-0.532527,0.697337,0
-0.537476,0.696457,0
-0.542401,0.695454,0
-0.5473,0.694326,0
-0.552168,0.693076,0
-0.557004,0.691704,0
-0.561803,0.690211,0
-0.566564,0.688598,0
-0.571282,0.686866,0
-0.575956,0.685015,0
-0.580581,0.683048,0
-0.585156,0.680965,0
-0.589677,0.678768,0
-0.594141,0.676458,0
-0.598545,0.674037,0
-0.602888,0.671505,0
-0.607165,0.668866,0
-0.611375,0.666119,0
-0.615515,0.663268,0
-0.619581,0.660313,0
-0.623572,0.657258,0
-0.627485,0.654103,0
-0.631317,0.65085,0
-0.635067,0.647503,0
-0.638731,0.644062,0
-0.642307,0.64053,0
-0.645794,0.636909,0
-0.649188,0.633202,0
-0.652489,0.629411,0
-0.655692,0.625538,0
-0.658798,0.621586,0
-0.661803,0.617557,0
-0.664707,0.613454,0
-0.667506,0.609279,0
-0.670199,0.605035,0
-0.672785,0.600725,0
-0.675261,0.596351,0
-0.677627,0.591916,0
-0.679881,0.587423,0
-0.682021,0.582875,0
-0.684046,0.578275,0
-0.685955,0.573625,0
-0.687747,0.568929,0
-0.68942,0.564189,0
-0.690973,0.559408,0
-0.692406,0.55459,0
-0.693717,0.549738,0
-0.694905,0.544854,0
-0.695971,0.539942,0
-0.696913,0.535005,0
-0.69773,0.530045,0
-0.698423,0.525067,0
-0.69899,0.520072,0
-0.699432,0.515065,0
-0.699747,0.510049,0
-0.699937,0.505026,0
-0.7,0.5,0
-0.699937,0.494974,0
-0.699747,0.489951,0
-0.699432,0.484935,0
-0.69899,0.479928,0
-0.698423,0.474933,0
-0.69773,0.469955,0
-0.696913,0.464995,0
-0.695971,0.460058,0
-0.694905,0.455146,0
-0.693717,0.450262,0
-0.692406,0.44541,0
-0.690973,0.440592,0
-0.68942,0.435811,0
-0.687747,0.431071,0
-0.685955,0.426375,0
-0.684046,0.421725,0
-0.682021,0.417125,0
-0.679881,0.412577,0
-0.677627,0.408084,0
-0.675261,0.403649,0
-0.672785,0.399275,0
-0.670199,0.394965,0
-0.667506,0.390721,0
-0.664707,0.386546,0
-0.661803,0.382443,0
-0.658798,0.378414,0
-0.655692,0.374462,0
-0.652489,0.370589,0
-0.649188,0.366798,0
-0.645794,0.363091,0
-0.642307,0.35947,0
-0.638731,0.355938,0
-0.635067,0.352497,0
-0.631317,0.34915,0
-0.627485,0.345897,0
-0.623572,0.342742,0
-0.619581,0.339687,0
-0.615515,0.336732,0
-0.611375,0.333881,0
-0.607165,0.331134,0
-0.602888,0.328495,0
-0.598545,0.325963,0
-0.594141,0.323542,0
-0.589677,0.321232,0
-0.585156,0.319035,0
-0.580581,0.316952,0
-0.575956,0.314985,0
-0.571282,0.313134,0
-0.566564,0.311402,0
-0.561803,0.309789,0
-0.557004,0.308296,0
-0.552168,0.306924,0
-0.5473,0.305674,0
-0.542401,0.304546,0
