% from http://www2.cs.uh.edu/~ml_kdd/Complex&Diamond/complex&diamond.htm
% Salvador, S. and Chan, P.,Determining the Number of Clusters/Segments in Hierarchical clustering/Segmentation Algorithm, ICTAI 2004,576-584.
@RELATION diamond9

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8}

@DATA
-1.98666,-0.00228882,0
-1.95108,0.0324707,0
-1.92679,-0.046936,0
-1.86688,-0.0678101,0
-1.84698,0.00881958,0
-1.8064,-0.108795,0
-1.784,-0.0264893,0
-1.75729,-0.185059,0
-1.7399,-0.0408325,0
-1.73489,-0.0914001,0
-1.71658,-0.0308838,0
-1.70807,-0.2211,0
-1.70673,-0.13623,0
-1.68668,0.270081,0
-1.66971,-0.298492,0
-1.66492,0.0975952,0
-1.64252,-0.310272,0
-1.63068,-0.00253296,0
-1.62112,0.0897827,0
-1.61554,0.166321,0
-1.61407,-0.382355,0
-1.6066,0.347351,0
-1.60306,-0.199371,0
-1.595,0.07901,0
-1.59195,0.360779,0
-1.58936,0.0223999,0
-1.58804,0.362732,0
-1.58438,-0.113831,0
-1.57388,0.262939,0
-1.57239,-0.361328,0
-1.56573,0.375122,0
-1.5614,-0.254486,0
-1.55902,-0.278778,0
-1.5528,0.357086,0
-1.54498,0.242676,0
-1.54111,0.337036,0
-1.53464,0.228302,0
-1.52863,0.0557861,0
-1.51288,-0.059082,0
-1.51059,-0.361603,0
-1.50552,0.48938,0
-1.49927,0.184265,0
-1.49515,-0.0307922,0
-1.48807,0.451355,0
-1.48346,0.173767,0
-1.47598,-0.3526,0
-1.46555,0.50119,0
-1.46384,0.35965,0
-1.45856,0.42926,0
-1.45395,-0.180267,0
-1.44376,-0.00686646,0
-1.44016,0.107635,0
-1.43466,0.224274,0
-1.42972,-0.295868,0
-1.42075,-0.220917,0
-1.4133,0.225006,0
-1.40979,0.18042,0
-1.40314,0.413483,0
-1.40115,-0.119781,0
-1.39865,0.140106,0
-1.38828,-0.548767,0
-1.38297,0.533112,0
-1.37769,-0.435028,0
-1.37555,0.324554,0
-1.37039,-0.0731506,0
-1.36783,-0.517639,0
-1.34933,-0.0012207,0
-1.34558,0.603424,0
-1.33566,-0.0579529,0
-1.33243,-0.315948,0
-1.33029,-0.0121155,0
-1.32767,0.430023,0
-1.32068,-0.307617,0
-1.31607,-0.201385,0
-1.31107,-0.000244141,0
-1.30746,-0.573303,0
-1.29886,-0.345551,0
-1.29474,-0.344635,0
-1.29062,0.605804,0
-1.27979,0.546448,0
-1.27356,0.584534,0
-1.27148,-0.499481,0
-1.26971,0.453003,0
-1.2674,0.291962,0
-1.26077,-0.0504761,0
-1.25916,-0.0043335,0
-1.25595,0.410278,0
-1.25195,-0.203003,0
-1.25006,0.443298,0
-1.24643,-0.546661,0
-1.23843,-0.454926,0
-1.23621,0.260803,0
-1.22723,0.599945,0
-1.22549,0.632782,0
-1.22211,-0.634735,0
-1.22003,-0.143372,0
-1.21259,-0.475494,0
-1.20874,0.383606,0
-1.20563,-0.649017,0
-1.20206,-0.109741,0
-1.19711,0.629974,0
-1.1936,0.618256,0
-1.19183,-0.107513,0
-1.19003,-0.0169373,0
-1.18143,0.624878,0
-1.18051,-0.701538,0
-1.17413,0.072113,0
-1.16898,-0.657288,0
-1.16473,0.209076,0
-1.15799,-0.423492,0
-1.15488,-0.326904,0
-1.15408,-0.142853,0
-1.15207,-0.651978,0
-1.14667,-0.37439,0
-1.14481,0.630157,0
-1.13977,-0.423279,0
-1.13577,0.51651,0
-1.13055,0.545013,0
-1.12375,0.577179,0
-1.12106,-0.0520935,0
-1.11835,0.618256,0
-1.11377,0.454498,0
-1.11166,0.0415955,0
-1.10962,-0.70105,0
-1.10846,0.593353,0
-1.10416,-0.105408,0
-1.10339,0.57724,0
-1.10254,-0.0229187,0
-1.0983,-0.545349,0
-1.08801,0.614258,0
-1.08545,-0.551971,0
-1.08353,-0.284119,0
-1.08078,-0.181244,0
-1.07422,0.556244,0
-1.07123,-0.917023,0
-1.06671,0.491211,0
-1.06152,-0.0592957,0
-1.0538,0.0814209,0
-1.05173,-0.187347,0
-1.04953,0.211029,0
-1.04865,-0.655731,0
-1.0477,-0.788391,0
-1.04697,-0.877838,0
-1.04449,-0.377136,0
-1.03946,-0.881714,0
-1.03857,-0.252075,0
-1.03311,-0.966339,0
-1.03137,0.125153,0
-1.02905,0.259277,0
-1.02667,0.041626,0
-1.02185,0.929871,0
-1.02042,0.94223,0
-1.01749,-0.813538,0
-1.01392,-0.205414,0
-1.0123,0.658447,0
-1.00879,-0.918762,0
-1.00308,0.639313,0
-1.00085,-0.768555,0
-0.998718,-0.864166,0
-0.995728,-0.417908,0
-0.99411,-0.707855,0
-0.992645,0.576233,0
-0.986542,-0.103149,0
-0.98468,-0.821777,0
-0.983765,0.3284,0
-0.980164,-0.204102,0
-0.979126,0.73291,0
-0.974945,-0.215393,0
-0.972198,-0.355072,0
-0.969818,0.465332,0
-0.966797,0.880554,0
-0.962799,0.741272,0
-0.959106,-0.173523,0
-0.956635,0.699219,0
-0.953094,0.818298,0
-0.94986,-0.881592,0
-0.947357,0.168427,0
-0.946045,-0.908447,0
-0.944305,-0.571228,0
-0.941193,0.00820923,0
-0.936005,-0.361206,0
-0.929291,0.607727,0
-0.928223,-0.294739,0
-0.925385,0.00518799,0
-0.92334,0.186066,0
-0.919403,-0.846313,0
-0.918518,-0.806519,0
-0.915344,0.309265,0
-0.906464,0.825958,0
