% -b 0.3 -g 0.03
@RELATION disk-1000n

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1}

@DATA
6.77101,0.29793,0
-6.85514,5.68313,0
-6.3068,1.59655,0
-1.08697,-8.63115,0
4.03184,3.17779,0
5.38353,0.931514,0
-4.0468,5.43281,0
6.00508,7.41909,0
-7.32808,-3.01134,0
1.24065,-8.45068,0
9.45564,1.02474,0
2.76399,-5.54772,0
-8.72038,-3.38741,0
-3.906,-8.18853,0
-4.56221,2.92588,0
-4.73956,2.21574,0
4.80481,-5.5315,0
2.4231,4.95831,0
-5.68924,0.877061,0
-0.852782,7.28705,0
-6.51762,-1.66816,0
3.20632,8.59146,0
-6.96047,-4.57366,0
0.930105,-7.73284,0
-5.79074,-4.89515,0
5.02067,2.43065,0
-8.07435,-5.52144,0
1.13114,-8.97512,0
-3.6464,-4.97373,0
6.46487,-4.97292,0
0.204998,5.3987,0
5.30721,-1.65576,0
-8.33677,3.88621,0
-5.03855,-2.85397,0
-3.44116,4.48913,0
-4.5299,5.96743,0
-5.35617,-1.11369,0
2.16015,5.58681,0
-5.64747,3.02682,0
3.99759,7.55882,0
1.0504,-5.87017,0
5.70626,5.04071,0
0.819446,-7.57104,0
-6.39758,-4.19984,0
-6.74962,-0.870044,0
-2.82221,7.07469,0
5.36167,-6.48099,0
-6.01856,6.00392,0
7.85395,1.35534,0
-0.756292,8.99325,0
4.71325,-4.45005,0
7.93979,3.99343,0
-2.39124,-9.5002,0
-0.0994007,9.37171,0
-1.37607,-7.66584,0
0.433914,-7.20904,0
-2.32369,5.6998,0
-1.92861,5.88528,0
-6.14497,1.56885,0
7.26364,0.0201162,0
8.55115,-0.769498,0
7.04681,-4.23247,0
4.95968,-2.64794,0
-3.98238,8.16655,0
5.7454,2.85895,0
1.55581,8.53966,0
6.03125,7.3008,0
4.57753,-5.42894,0
-8.24422,-0.602235,0
-1.76627,-5.75834,0
-0.482413,-7.9128,0
-8.76073,-1.50834,0
-9.32217,2.25578,0
-7.11846,-0.00987719,0
-6.00598,-2.49346,0
5.52285,2.61328,0
5.24913,2.19627,0
-7.36258,-2.83933,0
-0.621709,-9.06785,0
-3.41209,-7.07453,0
-1.54388,-8.05265,0
-0.927682,8.45312,0
-8.99294,-4.26355,0
1.8819,9.17027,0
4.72919,3.53845,0
-3.82295,7.72379,0
-6.25371,-6.02267,0
-9.25349,-3.48499,0
-5.04796,-1.01801,0
1.00479,7.4562,0
-3.72798,3.76373,0
-6.25338,-0.617935,0
-5.63294,7.19139,0
5.63136,6.19739,0
7.45509,-2.2818,0
9.76013,-1.48208,0
-2.78178,6.63629,0
-3.8156,-8.77203,0
8.44284,-1.12366,0
-5.41885,5.31331,0
7.78211,-6.0548,0
-3.03772,5.04164,0
-5.22151,2.07053,0
-0.553028,5.26041,0
6.27079,-6.77415,0
6.79487,1.45586,0
8.65692,-3.07468,0
3.85989,-6.82004,0
-4.37,-6.63784,0
0.990617,9.30166,0
-7.05211,-4.84539,0
3.50474,4.216,0
4.0393,8.53556,0
-2.78601,-4.47034,0
6.97947,3.96106,0
1.87988,-4.77551,0
-2.01159,-8.76183,0
-8.63936,-1.71279,0
-6.92206,0.918511,0
-2.57781,-5.30284,0
-4.7723,-8.05503,0
-0.942812,-5.84236,0
7.41329,-4.75119,0
-5.53964,-4.74967,0
-7.70272,0.346356,0
-5.6783,4.79329,0
0.906422,-5.77102,0
6.45721,6.26547,0
3.68389,-4.93154,0
-4.37169,4.97858,0
-5.00395,-1.32844,0
-7.09682,3.67242,0
4.91886,-8.64298,0
-2.61963,-8.18922,0
-7.08965,4.27693,0
2.37124,-6.5461,0
-1.78197,-9.4868,0
-4.57534,2.19096,0
-8.42528,-3.69965,0
-0.0863859,8.11279,0
1.23709,-8.28327,0
2.50544,8.92227,0
-3.49114,4.39522,0
0.680244,-7.13656,0
-7.69099,-2.38844,0
-2.54026,5.88461,0
2.62686,9.56572,0
-9.01034,3.18959,0
5.06465,1.63201,0
-7.78377,-1.87203,0
-3.25171,8.48718,0
3.95577,4.59621,0
-4.68272,-2.48057,0
9.06862,-3.68895,0
7.68108,-4.07765,0
6.94023,4.47283,0
-5.06785,4.57125,0
9.01306,2.52799,0
7.93987,5.34364,0
2.70997,6.49358,0
-6.51649,-2.66386,0
8.525,-0.340971,0
-1.50586,-8.95478,0
-3.02454,6.59723,0
-0.392256,7.35181,0
-3.33501,8.56979,0
-7.50044,0.0771779,0
-2.87094,8.07723,0
-5.9845,-1.42673,0
0.896717,-8.87819,0
4.2451,7.31509,0
4.70651,2.24838,0
8.53462,1.30455,0
5.51392,-7.51949,0
-8.74848,4.21874,0
4.31535,8.1461,0
-8.49438,-5.03471,0
1.63703,-6.41022,0
3.48751,-5.45108,0
-2.20326,9.73882,0
0.37528,7.33759,0
-5.57027,0.479658,0
1.60448,6.55694,0
2.46292,-5.72386,0
-5.51711,-6.05295,0
-6.44255,0.109108,0
-6.22087,5.81056,0
7.19487,4.12188,0
-3.51216,-8.93107,0
-4.47999,4.84418,0
-3.88852,5.61478,0
7.68149,2.73004,0
7.1629,6.82504,0
8.4717,3.81696,0
-8.37481,4.52929,0
3.77658,-7.02293,0
5.67528,4.36098,0
-7.94228,-5.83211,0
-0.208887,9.23249,0
6.97303,-4.28843,0
4.36408,7.14418,0
-7.74711,-5.60039,0
-5.83071,3.26067,0
7.3183,-1.29076,0
6.14035,0.818295,0
-1.32998,7.00024,0
-6.94499,-4.50967,0
5.98514,-7.735,0
-1.26691,7.01794,0
-5.40391,-3.46352,0
5.70038,6.36695,0
6.83548,3.86517,0
1.94116,5.14667,0
0.00277099,6.57198,0
-4.66099,2.81052,0
-3.67257,-4.84261,0
5.03445,-6.06316,0
-3.47049,-8.52142,0
9.21178,2.34216,0
4.76069,-7.08609,0
4.04081,-6.14018,0
1.92735,-6.993,0
-7.127,-3.42715,0
3.76485,-4.09325,0
4.70849,-4.33349,0
-5.94177,-3.38177,0
6.89945,-0.993143,0
2.47466,-8.43627,0
-8.46896,2.14997,0
-5.47257,2.43377,0
-3.92785,4.66522,0
2.36049,-7.18809,0
-5.06559,2.67362,0
-4.52687,-3.18512,0
7.76113,1.32829,0
4.54825,2.36225,0
2.25768,4.84427,0
-2.31386,-8.98224,0
-4.52769,3.13658,0
-3.46196,-5.20542,0
-7.46032,-5.59392,0
-9.82933,-1.56272,0
-4.71334,2.82608,0
-2.03083,7.90221,0
-7.51114,0.298432,0
-4.2486,-6.21838,0
7.7001,-4.3606,0
-9.27962,-2.49374,0
7.66314,-5.62343,0
6.99348,-0.564466,0
9.8018,-1.13066,0
4.20726,-8.60011,0
-4.76955,-1.76018,0
-6.98035,1.32224,0
2.84692,8.26666,0
7.26614,2.07918,0
-1.90668,-5.52404,0
-5.66573,-3.99898,0
5.17838,-6.92804,0
-6.92292,6.51611,0
-6.59327,6.83093,0
-0.734989,7.03478,0
-6.52032,-6.98894,0
-3.18651,4.4038,0
-5.30816,5.80047,0
-5.70977,-4.14827,0
8.27022,-2.40211,0
5.58262,7.17536,0
-3.67151,-7.00052,0
8.0862,4.71866,0
6.54495,0.971947,0
-4.4949,-5.7294,0
5.99437,7.3683,0
-0.535938,-7.51231,0
-4.20444,-3.95174,0
3.03411,-5.73826,0
5.31991,-8.29344,0
-7.78717,1.06779,0
-4.08005,6.53237,0
7.49061,-5.29543,0
-9.27947,-0.027967,0
-1.69855,-7.51515,0
-7.0805,-2.00504,0
1.32967,7.81135,0
5.28372,3.51737,0
-3.5036,-4.97737,0
-4.04152,-5.88519,0
7.63041,4.30334,0
6.16895,1.60718,0
-8.04198,-1.56655,0
1.90667,5.48115,0
1.6475,9.45988,0
-7.73699,4.43452,0
-7.29545,5.33665,0
-6.90744,6.60186,0
3.07881,5.57707,0
3.0444,7.31247,0
0.662048,7.03805,0
8.4629,-4.04288,0
-8.66806,-4.13239,0
6.98621,-2.71108,0
-5.13161,-6.99175,0
