@RELATION disk-3000n

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1}

@DATA
-8.54736,4.57022,0
0.088762,-8.17733,0
3.61808,9.01027,0
-4.4044,-4.71429,0
6.90803,3.26187,0
5.01426,-5.33767,0
-5.32044,-0.557561,0
-2.9112,-8.55246,0
-1.24295,9.77026,0
8.70326,-4.32073,0
4.00858,-7.81713,0
-2.16012,-5.05478,0
4.37718,7.2544,0
4.68343,-5.51002,0
-6.96347,4.94375,0
0.811156,-6.89966,0
5.02155,-2.82369,0
2.2723,-9.53389,0
-3.82542,6.18346,0
5.36666,-2.6155,0
1.35011,-8.70872,0
4.04787,-7.44985,0
-9.63883,0.184434,0
1.94262,9.53488,0
-7.20333,-6.3472,0
2.53411,-9.23495,0
8.2656,-0.0874303,0
-5.19679,-2.38964,0
-2.73761,8.9455,0
7.08397,0.343264,0
9.23541,-0.403384,0
-6.97178,5.27734,0
4.8439,-8.56697,0
-5.04421,1.93198,0
-4.92541,-1.33378,0
6.46084,7.37908,0
7.74046,-6.14998,0
-2.78485,-4.9747,0
0.147875,5.32922,0
7.4669,-3.84264,0
-3.48349,-7.02974,0
3.61913,6.75453,0
3.33039,-6.1036,0
-3.16687,-5.54678,0
-4.73699,5.42121,0
-5.74507,2.6455,0
-7.65633,0.118674,0
-5.44486,8.17709,0
-7.60724,5.07027,0
-3.90215,-3.42,0
0.08037,-9.22134,0
-3.0158,-6.61296,0
-8.0351,-5.85165,0
3.3562,7.60577,0
8.17307,4.74428,0
-2.41156,8.88333,0
2.0569,-9.60221,0
-4.16201,9.08293,0
-3.68686,-5.07458,0
-8.43338,0.151574,0
7.50503,-2.96897,0
0.513332,7.57495,0
-7.80175,-3.95408,0
-4.66321,5.42192,0
6.19375,-1.7202,0
-5.94962,4.80213,0
0.494731,-5.04827,0
-6.33383,7.23559,0
8.52363,-3.33782,0
1.2932,-5.18652,0
-6.01436,-3.38392,0
-3.32503,-3.84995,0
-6.1809,-2.3066,0
-6.99716,-1.31582,0
8.71913,2.38065,0
3.11348,8.29033,0
-4.44602,-4.26585,0
-5.37976,2.45018,0
0.193322,9.15688,0
6.32718,0.937648,0
-0.948003,6.91585,0
-5.35718,1.82545,0
0.305018,6.43285,0
-3.03392,8.83922,0
0.843073,9.52704,0
-6.52589,-0.606408,0
8.09928,4.66077,0
2.56751,-7.88658,0
-9.48052,0.956358,0
-6.48918,-3.67923,0
3.12542,8.93605,0
8.2439,-4.836,0
1.4188,5.84416,0
2.85174,9.27021,0
-7.17644,5.60778,0
4.34174,-8.34185,0
-1.47036,7.63244,0
-1.55601,8.20066,0
8.47998,3.0825,0
7.68408,6.30648,0
-6.97953,-4.92026,0
5.23243,1.52623,0
-8.67475,3.53558,0
0.351889,-5.80567,0
4.09331,-3.68841,0
8.9688,-1.40003,0
2.52212,9.23432,0
8.75818,-1.23867,0
-1.00638,5.71485,0
3.80622,-8.85652,0
8.4275,1.01093,0
0.40863,7.84572,0
3.00861,5.7627,0
7.86912,-3.66029,0
1.42746,-8.71278,0
4.27602,7.00839,0
1.70938,9.54476,0
-1.27397,8.39131,0
-7.23633,-1.01999,0
4.31628,3.64622,0
2.09504,-8.6941,0
-4.69405,7.14175,0
-8.67401,-4.0482,0
-5.41243,-6.63286,0
1.52975,-9.48611,0
6.99673,-6.03549,0
1.51305,9.79361,0
1.21196,9.35325,0
-0.742036,8.59567,0
7.40886,0.764469,0
8.42605,-3.34082,0
-9.12098,3.62813,0
-2.01184,6.93336,0
-4.55792,-5.00406,0
-3.23291,4.49781,0
-5.32668,-5.4979,0
-4.2608,8.75876,0
8.55603,1.26494,0
3.58264,-6.60414,0
4.27414,-4.57617,0
-6.95769,2.15368,0
-3.12052,-6.53112,0
-8.45725,-0.941868,0
-2.76269,7.45044,0
-2.19342,-4.87732,0
3.15191,-5.83229,0
-3.24928,9.43255,0
-7.16725,0.0724434,0
-2.44336,-5.55313,0
8.47158,1.77897,0
-8.71777,0.388451,0
-1.97238,-9.77308,0
3.76783,5.85636,0
7.81074,-4.93407,0
-0.243606,5.70872,0
6.53424,1.05186,0
-1.44501,-6.25713,0
5.64256,-5.41423,0
3.04904,5.18453,0
-1.07047,8.65868,0
-8.20472,3.33919,0
-1.05583,-5.3709,0
-7.25639,1.85477,0
-6.93394,1.29632,0
7.2442,-6.66866,0
7.2254,-2.75959,0
-6.78372,6.02184,0
9.07369,1.43784,0
5.76329,3.5407,0
8.474,2.5423,0
8.49319,4.99983,0
-7.85166,-2.76618,0
8.86678,3.94468,0
-1.73446,8.93607,0
3.16509,-4.37703,0
-4.73446,7.85359,0
-4.68834,3.13295,0
-8.34533,0.0503812,0
6.75641,-4.97187,0
-2.27708,9.06066,0
2.52553,6.5066,0
6.21258,-5.1827,0
-5.60566,5.68906,0
-2.47588,7.9362,0
3.64821,-4.50671,0
-4.33698,8.37524,0
-7.15693,-6.49881,0
-5.56549,0.808259,0
-6.68153,3.56913,0
-3.60996,7.47879,0
6.27867,5.56239,0
7.14685,-2.81482,0
-2.12094,-6.58179,0
3.5909,-7.80301,0
-5.16088,1.14927,0
7.34939,1.24492,0
3.36503,-4.01582,0
7.52992,-4.61463,0
7.32915,1.02748,0
2.19004,7.97586,0
4.86426,-6.37384,0
5.18363,1.29142,0
4.9767,3.34825,0
-5.94387,1.4376,0
1.78796,-9.76341,0
6.30665,-4.20571,0
-5.29738,6.87073,0
-3.69402,-5.31046,0
7.0504,-3.96488,0
8.05051,4.89962,0
7.86218,-0.293232,0
-8.35261,-2.36311,0
3.16602,-8.71318,0
-2.37452,-8.54246,0
6.8587,-5.86275,0
4.74605,6.82484,0
5.07631,-2.53705,0
8.0383,-0.276323,0
-4.16102,5.69221,0
8.96188,2.39623,0
-3.40743,-8.65618,0
-4.47576,-4.06954,0
3.31816,8.30786,0
-7.45745,2.6918,0
9.2701,2.50663,0
8.97937,-3.7092,0
-9.84468,0.524598,0
-5.24627,5.87502,0
-9.36499,2.64883,0
-1.09446,5.45713,0
-7.4645,4.21027,0
2.07141,-5.89189,0
-5.00106,7.16359,0
-1.27003,-5.38602,0
-4.13024,3.01287,0
-2.70319,7.51173,0
-9.28185,-0.0193052,0
-4.46194,8.20192,0
-3.58805,-4.36551,0
8.87614,1.22575,0
-7.33871,-1.6562,0
4.27514,-7.78579,0
4.15636,-4.06719,0
0.751734,-5.60464,0
2.78247,5.00293,0
6.86035,1.9038,0
-6.81265,-0.276814,0
4.75503,-2.12952,0
9.1416,2.82708,0
-5.27473,7.67587,0
8.37157,1.05788,0
7.28488,-3.04454,0
-4.95825,6.76302,0
5.17436,5.50191,0
-7.0479,5.9845,0
1.53348,-6.72129,0
-4.66521,-8.2573,0
-0.559816,-8.81988,0
4.29843,3.69718,0
-1.51218,4.86643,0
-9.88872,0.312072,0
4.99796,0.795284,0
6.3315,-6.50236,0
-0.907514,7.41959,0
4.49241,3.86443,0
0.500564,-7.01376,0
2.63313,-5.02389,0
3.4738,4.14421,0
3.14082,7.69085,0
-4.61155,-6.37389,0
-6.04661,-5.39208,0
-4.63242,2.93417,0
-5.42627,0.61358,0
-7.56678,5.13762,0
8.01437,-2.53527,0
9.75777,-1.09744,0
-4.6537,5.20445,0
-8.84655,-3.91069,0
-7.04577,1.7305,0
4.77433,2.16752,0
-7.42929,-4.00179,0
-9.56272,-0.631042,0
-5.92254,-0.0852581,0
7.067,-4.93087,0
6.87324,-1.52742,0
-7.13011,4.23134,0
-3.87022,-6.84804,0
5.06657,-6.13431,0
0.703802,8.8004,0
8.38966,5.01919,0
8.97118,-1.33575,0
4.0117,4.60952,0
5.5144,0.598805,0
4.12052,-6.34325,0
9.03336,3.6741,0
-2.12357,9.12706,0
-5.90975,-5.09756,0
5.38444,-3.63598,0
3.12529,6.79335,0
-4.17174,5.53889,0
-7.81431,4.8299,0
4.82547,1.73812,0
4.07887,-6.35078,0
3.02281,4.37978,0
-9.07978,-3.90442,0
-1.62379,8.89057,0
3.84679,-6.94278,0
-7.261,4.30327,0
5.12335,8.15869,0
-6.72851,-6.11074,0
-3.25405,9.15497,0
7.64768,-5.51101,0
6.54753,4.29387,0
7.14684,-3.14103,0
8.76162,-3.52107,0
1.34156,7.67975,0
-6.35948,-3.77337,0
1.00844,8.83356,0
5.59099,7.8304,0
5.56474,6.51365,0
-5.10971,1.13937,0
2.50462,-4.78014,0
0.149378,-9.40288,0
5.86819,6.71071,0
6.93682,7.14938,0
-0.44333,8.94937,0
-8.0132,2.17429,0
3.27553,-8.24336,0
-8.10883,-5.15205,0
-2.32479,7.18793,0
5.31243,5.99723,0
-4.5709,-3.1868,0
-0.536985,-5.11381,0
-7.83943,2.73424,0
-5.55332,5.3559,0
-3.41449,-7.29361,0
-3.71413,-3.35499,0
-7.26363,0.241441,0
-2.10087,-9.35684,0
-0.463744,5.85057,0
2.69916,4.73383,0
1.41896,8.47288,0
-4.18603,5.36781,0
-3.16493,6.95347,0
6.97432,-2.58152,0
-7.68823,3.84161,0
5.91279,-3.7014,0
-5.85507,-6.14422,0
-5.85323,4.73128,0
-1.38674,-6.93634,0
0.902706,-8.21872,0
8.03032,5.61493,0
-3.71933,9.24216,0
-7.08178,-3.53945,0
-7.52516,4.65522,0
-4.54256,-6.75704,0
-5.57604,3.53849,0
-8.5776,-3.65432,0
5.49299,0.653909,0
-6.77897,5.82811,0
-6.94684,4.46879,0
7.02352,4.33731,0
