% disk in disk: -b 0.3 -g 0.03
@RELATION disk-4500n

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1}

@DATA
4.78031,2.69832,0
-2.27371,5.75018,0
-4.81717,-2.20961,0
-9.52694,0.65936,0
1.8644,-5.01951,0
-2.85048,-8.05652,0
-5.97138,-1.05809,0
7.73969,0.972351,0
2.30778,6.91606,0
-1.85958,6.06297,0
-9.35552,1.69959,0
5.08206,-5.83099,0
0.103985,7.67717,0
-8.97817,3.90937,0
4.80198,6.82955,0
4.18118,-6.97415,0
5.49419,0.79147,0
2.2351,5.3203,0
3.79795,-7.8519,0
-6.90539,1.16139,0
-0.598121,7.38377,0
-1.00045,5.45395,0
4.50081,5.19363,0
1.27485,6.3808,0
2.1807,-9.04647,0
-4.00049,3.81642,0
2.56413,-4.66031,0
-5.84124,6.20034,0
9.07849,2.17341,0
-5.54683,-5.50789,0
5.6075,5.28521,0
8.52278,2.36027,0
9.13915,1.6477,0
-7.13158,-0.399496,0
5.66444,2.30617,0
-0.282613,-9.8732,0
1.11096,-8.13396,0
6.15362,3.93321,0
5.498,4.81446,0
-3.41202,-5.7899,0
9.06866,-2.99507,0
3.07794,-9.00941,0
-4.32871,7.43855,0
5.23116,0.125178,0
3.87433,-4.10586,0
-7.1305,-2.36801,0
0.836058,-8.36782,0
2.10233,-6.12424,0
9.93871,-0.16088,0
-3.9169,8.70386,0
5.77732,-0.537473,0
2.96143,-7.27359,0
-7.25288,0.864495,0
9.57337,-0.359075,0
5.02789,3.71402,0
1.45944,8.81134,0
-7.85048,-2.96108,0
-0.0566195,8.39638,0
-2.05303,-5.31855,0
-8.93699,-4.06428,0
-8.27971,2.8708,0
6.01549,2.36818,0
2.08052,7.23995,0
1.77704,6.6824,0
-8.90001,-2.50874,0
-4.43642,-2.97847,0
0.0514873,5.34764,0
-2.21765,7.94158,0
0.403894,8.23934,0
6.37694,-2.70945,0
2.21372,6.04002,0
-5.33039,-7.81005,0
-2.25927,8.4448,0
-0.853558,-5.75184,0
2.91353,7.71859,0
6.31918,6.39203,0
2.86591,7.38123,0
-3.61832,6.95164,0
7.94642,-4.43588,0
6.11671,3.51563,0
7.2491,-4.32242,0
-6.89795,6.17355,0
9.28679,3.09058,0
3.77501,6.62005,0
9.69231,-1.31857,0
-4.82398,3.32661,0
-3.81932,8.65051,0
-3.45168,7.65779,0
5.10018,-1.28583,0
9.08781,-1.19558,0
5.8629,-2.19403,0
5.01712,2.70716,0
-5.54458,-7.72985,0
