% disk-in-disk generator -b 0.2 -g 0.03
@RELATION disk-5000n

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1}

@DATA
2.2565,4.93117,0
4.42265,-8.5116,0
5.54271,-3.64513,0
7.69184,-3.31826,0
-5.82767,-5.607,0
3.2136,-9.00788,0
4.5712,8.21211,0
4.51613,2.6073,0
-7.56383,-5.27419,0
-4.66035,-6.57051,0
9.50924,1.77457,0
5.15412,5.28854,0
4.53063,6.23356,0
7.50637,-0.413218,0
-4.95048,-2.77438,0
-8.94854,1.87949,0
-2.9719,-8.75053,0
9.8137,-1.06284,0
-3.07448,7.17968,0
3.57512,7.03757,0
-6.81279,-2.58403,0
7.79921,1.31664,0
1.67587,6.41464,0
-9.22121,-0.908162,0
4.13436,6.18194,0
6.25084,-2.12171,0
0.402645,7.25621,0
-4.82879,2.57444,0
-4.88156,-4.33962,0
4.05451,4.18219,0
7.14664,-6.47569,0
3.14084,8.16325,0
-0.306645,6.21524,0
-0.48959,-8.54344,0
-8.35811,5.26523,0
-5.21304,4.40902,0
2.46144,9.47938,0
0.00881616,8.17313,0
5.75091,-4.45728,0
5.74312,4.54871,0
8.21117,5.07856,0
6.29535,5.9787,0
4.00393,-5.91428,0
-1.2846,9.73972,0
-4.54174,6.9629,0
5.98885,-5.36071,0
2.49625,-5.5748,0
4.279,-2.91599,0
-9.10208,1.31846,0
-7.34955,-3.94643,0
-7.57874,4.1707,0
-2.98638,7.99245,0
1.94711,5.08126,0
0.527539,6.35435,0
-2.50061,-7.81604,0
-4.10277,4.67975,0
-7.47201,-2.15522,0
-5.06911,3.41626,0
-2.8898,-8.88212,0
-1.71273,-5.80978,0
-4.93104,4.05058,0
-1.94609,-7.89252,0
-3.90835,-7.57207,0
-3.75819,-3.95226,0
-5.58742,-7.76568,0
2.23642,7.42839,0
7.86361,3.69569,0
-6.61666,-6.26584,0
-1.81414,9.79248,0
2.25696,-7.27736,0
8.97499,2.58393,0
-6.7111,6.54679,0
7.0659,-3.39093,0
-6.1629,0.0950748,0
4.93292,7.51552,0
3.15256,5.06061,0
-6.32498,-3.96791,0
-8.74063,-3.83118,0
5.96181,0.102544,0
3.45158,-9.23512,0
5.3772,-5.42352,0
6.85803,2.9158,0
5.86541,-0.0861238,0
-7.48285,-4.20205,0
-3.86915,-8.81467,0
-8.19274,4.53699,0
-6.83522,0.413504,0
-2.87591,4.54029,0
-7.93111,1.85769,0
2.19578,4.49988,0
4.87098,6.52513,0
7.9219,3.34596,0
-4.43066,-6.15861,0
