@RELATION donut3.arff

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2}

@DATA
-0.263573,0.72294,0
-0.248011,0.692245,0
-0.266319,0.708402,0
-0.26449,0.714163,0
-0.248526,0.693369,0
-0.254865,0.703397,0
-0.269865,0.695185,0
-0.279757,0.703903,0
-0.280183,0.712842,0
-0.260677,0.709206,0
-0.250033,0.708696,0
-0.263806,0.688634,0
-0.250896,0.690484,0
-0.264622,0.708063,0
-0.259449,0.696423,0
-0.252722,0.7104,0
-0.253923,0.69326,0
-0.250385,0.70271,0
-0.259496,0.690104,0
-0.260396,0.692989,0
-0.257952,0.692667,0
-0.262485,0.687109,0
-0.258512,0.713972,0
-0.242786,0.715323,0
-0.268774,0.676755,0
-0.246396,0.688547,0
-0.253849,0.69611,0
-0.259035,0.687182,0
-0.262777,0.709995,0
-0.264291,0.699998,0
-0.26332,0.694839,0
-0.249463,0.690954,0
-0.236427,0.708997,0
-0.252006,0.698943,0
-0.246314,0.700978,0
-0.261345,0.704031,0
-0.263253,0.707465,0
-0.253208,0.713635,0
-0.266256,0.68532,0
-0.238615,0.688666,0
-0.265058,0.687448,0
-0.2768,0.694762,0
-0.249905,0.697302,0
-0.237335,0.703676,0
-0.270765,0.708563,0
-0.283308,0.698937,0
-0.269364,0.690528,0
-0.257304,0.703368,0
-0.267129,0.686391,0
-0.25482,0.69232,0
-0.267086,0.688725,0
-0.267592,0.691745,0
-0.243758,0.706381,0
-0.275654,0.710587,0
-0.279522,0.730134,0
-0.26737,0.699369,0
-0.261092,0.697099,0
-0.26471,0.7013,0
-0.260737,0.691204,0
-0.256826,0.694491,0
-0.271499,0.694623,0
-0.243872,0.701807,0
-0.250547,0.702444,0
-0.271048,0.695832,0
-0.261703,0.694328,0
-0.249681,0.684412,0
-0.257744,0.71666,0
-0.256482,0.703148,0
-0.26161,0.69184,0
-0.250471,0.697024,0
-0.266872,0.712757,0
-0.266746,0.702967,0
-0.241541,0.712407,0
-0.287675,0.701506,0
-0.26725,0.709069,0
-0.269459,0.691275,0
-0.251862,0.69533,0
-0.270322,0.694677,0
-0.249503,0.671557,0
-0.265605,0.705278,0
-0.260938,0.698398,0
-0.267459,0.684429,0
-0.249959,0.697713,0
-0.257282,0.699661,0
-0.27112,0.703197,0
-0.251157,0.691685,0
-0.258479,0.691335,0
-0.253348,0.693741,0
-0.243203,0.713748,0
-0.262485,0.694455,0
-0.275539,0.691744,0
-0.251941,0.699007,0
-0.247037,0.683256,0
-0.255975,0.698592,0
-0.263164,0.69983,0
-0.24582,0.704174,0
-0.248296,0.701021,0
-0.246246,0.686573,0
-0.265035,0.682667,0
-0.254259,0.687549,0
-0.255796,0.707476,0
-0.258457,0.701812,0
-0.264339,0.707868,0
-0.256362,0.708925,0
-0.263472,0.68771,0
-0.260099,0.701863,0
-0.267088,0.706239,0
-0.266857,0.698315,0
-0.266125,0.690026,0
-0.259551,0.704458,0
-0.269911,0.702762,0
-0.262642,0.716823,0
-0.256562,0.694523,0
-0.258808,0.697819,0
-0.244172,0.701984,0
-0.239263,0.710624,0
-0.261009,0.680438,0
-0.269871,0.704423,0
-0.24986,0.723268,0
-0.24838,0.714437,0
-0.248767,0.702447,0
-0.252953,0.687318,0
-0.278011,0.714956,0
-0.259515,0.699965,0
-0.248876,0.710562,0
-0.245738,0.716134,0
-0.278918,0.692102,0
-0.250244,0.704342,0
-0.250651,0.705796,0
-0.271385,0.695465,0
-0.249472,0.69129,0
-0.267263,0.670364,0
-0.267401,0.698341,0
-0.257373,0.704374,0
-0.240599,0.689916,0
-0.246742,0.694207,0
-0.254588,0.674561,0
-0.26611,0.695772,0
-0.256151,0.71046,0
-0.246996,0.694051,0
-0.269887,0.709621,0
-0.260556,0.702843,0
-0.25557,0.700643,0
-0.261102,0.699691,0
-0.2626,0.713231,0
-0.25958,0.693732,0
-0.254688,0.703253,0
-0.256403,0.690443,0
-0.280125,0.700513,0
-0.25281,0.671217,0
-0.262007,0.695527,0
-0.27261,0.692958,0
-0.243527,0.704017,0
-0.253408,0.701956,0
-0.237212,0.697515,0
-0.268922,0.680554,0
-0.246939,0.713583,0
-0.259401,0.716429,0
-0.268285,0.683945,0
-0.275537,0.69027,0
-0.274595,0.690679,0
-0.260934,0.686178,0
-0.262149,0.701982,0
-0.273426,0.71514,0
-0.246651,0.687191,0
-0.240677,0.707335,0
-0.261078,0.701597,0
-0.25901,0.691104,0
-0.260348,0.708316,0
-0.253987,0.693785,0
-0.251646,0.688262,0
-0.236323,0.706217,0
-0.239931,0.710663,0
-0.260114,0.702565,0
-0.251608,0.706249,0
-0.256205,0.704334,0
-0.273247,0.697121,0
-0.254061,0.702221,0
-0.267389,0.704285,0
-0.263769,0.677359,0
-0.271398,0.70085,0
-0.248285,0.685245,0
-0.250117,0.695584,0
-0.260523,0.712861,0
-0.255307,0.688355,0
-0.256159,0.718269,0
-0.267802,0.71245,0
-0.249422,0.695016,0
-0.267659,0.69583,0
-0.262882,0.713117,0
-0.250146,0.716513,0
-0.259291,0.690809,0
-0.258048,0.706112,0
-0.244413,0.691664,0
-0.250594,0.711957,0
-0.232147,0.696348,0
-0.254008,0.686447,0
-0.256112,0.704693,0
-0.266902,0.685253,0
-0.241826,0.692043,0
-0.260771,0.695125,0
-0.254646,0.711648,0
-0.271519,0.701898,0
-0.260631,0.707299,0
-0.264858,0.70532,0
-0.264252,0.707857,0
-0.269769,0.691018,0
-0.267728,0.681694,0
-0.257314,0.722815,0
-0.263217,0.726148,0
-0.259609,0.700033,0
-0.258662,0.701229,0
-0.254046,0.688845,0
-0.257815,0.706674,0
-0.257691,0.701581,0
-0.252211,0.709395,0
-0.249038,0.694791,0
-0.248815,0.695316,0
-0.247273,0.692206,0
-0.262674,0.695082,0
-0.275997,0.702822,0
-0.252215,0.701663,0
-0.253944,0.725686,0
-0.246007,0.716011,0
-0.253887,0.695225,0
-0.255964,0.692506,0
-0.268358,0.697868,0
-0.272203,0.697073,0
-0.253622,0.688038,0
-0.268184,0.705992,0
-0.253969,0.719482,0
-0.256456,0.692041,0
-0.265248,0.699204,0
-0.262719,0.710516,0
-0.261153,0.686116,0
-0.273378,0.694725,0
-0.255906,0.702616,0
-0.264628,0.691699,0
-0.245236,0.70279,0
-0.246336,0.700349,0
-0.250032,0.699209,0
-0.252084,0.708898,0
-0.243772,0.691922,0
-0.24933,0.700239,0
-0.253021,0.714812,0
-0.252257,0.696192,0
-0.242481,0.701617,0
-0.269276,0.690039,0
-0.249124,0.710167,0
-0.257288,0.711719,0
-0.259976,0.698973,0
-0.264906,0.686316,0
-0.270709,0.693576,0
-0.252302,0.702523,0
-0.256504,0.703167,0
-0.255324,0.718386,0
-0.243635,0.700119,0
-0.246811,0.689725,0
-0.249471,0.697663,0
-0.250983,0.693194,0
-0.251409,0.696589,0
-0.254178,0.709129,0
-0.268855,0.678431,0
-0.249195,0.707725,0
-0.277054,0.710076,0
-0.237237,0.719436,0
-0.266305,0.710437,0
-0.261841,0.688825,0
-0.272073,0.698897,0
-0.264638,0.695144,0
-0.258123,0.697147,0
-0.273378,0.68984,0
-0.243399,0.700162,0
-0.268612,0.691506,0
-0.250758,0.700056,0
-0.26048,0.693067,0
-0.279796,0.697953,0
-0.261869,0.697552,0
-0.252648,0.714566,0
-0.26941,0.707058,0
-0.25675,0.707505,0
-0.262405,0.698388,0
-0.265326,0.686451,0
-0.272187,0.703373,0
-0.259127,0.685272,0
-0.260117,0.72518,0
-0.264074,0.69972,0
-0.262115,0.697876,0
-0.272377,0.675436,0
-0.277269,0.701383,0
-0.253102,0.689592,0
-0.255909,0.697488,0
-0.27398,0.700175,0
-0.264503,0.70263,0
-0.256117,0.699294,0
-0.275961,0.720496,0
-0.250681,0.686274,0
-0.257907,0.699564,0
-0.258619,0.694454,0
-0.253388,0.687934,0
-0.24376,0.696501,0
-0.245781,0.686111,0
-0.260737,0.67848,0
-0.25051,0.69215,0
-0.256625,0.698311,0
-0.272101,0.698014,0
-0.252482,0.678257,0
-0.254602,0.713796,0
-0.27067,0.718857,0
-0.245267,0.716025,0
-0.266245,0.701999,0
-0.234036,0.72297,0
-0.2319,0.699254,0
-0.258257,0.716109,0
-0.24029,0.678397,0
-0.257205,0.680099,0
-0.249181,0.690376,0
-0.255228,0.705257,0
-0.267731,0.691262,0
-0.248151,0.686252,0
-0.278952,0.689553,0
-0.264353,0.694792,0
-0.279271,0.704066,0
-0.246644,0.704098,0
-0.268047,0.694245,0
-0.250444,0.699769,0
-0.245617,0.702196,0
-0.257712,0.70858,0
-0.275007,0.696199,0
-0.263853,0.719675,0
-0.251778,0.691745,0
-0.261173,0.707238,0
-0.261525,0.695462,0
-0.344372,0.705034,1
-0.345876,0.685225,1
-0.340635,0.692676,1
