@RELATION donutcurves.arff

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2,3}

@DATA
0.0464265,0.72294,0
0.0619887,0.692245,0
0.0436812,0.708402,0
0.0455098,0.714163,0
0.0614739,0.693369,0
0.0551352,0.703397,0
0.040135,0.695185,0
0.030243,0.703903,0
0.0298174,0.712842,0
0.0493234,0.709206,0
0.0599673,0.708696,0
0.0461936,0.688634,0
0.0591041,0.690484,0
0.0453783,0.708063,0
0.0505511,0.696423,0
0.057278,0.7104,0
0.0560773,0.69326,0
0.0596147,0.70271,0
0.0505042,0.690104,0
0.0496045,0.692989,0
0.0520478,0.692667,0
0.0475154,0.687109,0
0.0514875,0.713972,0
0.0672136,0.715323,0
0.0412261,0.676755,0
0.0636039,0.688547,0
0.0561505,0.69611,0
0.050965,0.687182,0
0.0472229,0.709995,0
0.0457087,0.699998,0
0.0466797,0.694839,0
0.0605373,0.690954,0
0.073573,0.708997,0
0.0579941,0.698943,0
0.0636856,0.700978,0
0.0486554,0.704031,0
0.0467465,0.707465,0
0.056792,0.713635,0
0.0437437,0.68532,0
0.0713848,0.688666,0
0.0449419,0.687448,0
0.0332,0.694762,0
0.0600951,0.697302,0
0.0726652,0.703676,0
0.0392351,0.708563,0
0.0266919,0.698937,0
0.0406356,0.690528,0
0.0526959,0.703368,0
0.0428712,0.686391,0
0.0551799,0.69232,0
0.0429143,0.688725,0
0.0424076,0.691745,0
0.066242,0.706381,0
0.034346,0.710587,0
0.0304781,0.730134,0
0.0426301,0.699369,0
0.048908,0.697099,0
0.0452896,0.7013,0
0.0492631,0.691204,0
0.0531735,0.694491,0
0.0385012,0.694623,0
0.066128,0.701807,0
0.0594525,0.702444,0
0.0389518,0.695832,0
0.0482975,0.694328,0
0.0603192,0.684412,0
0.0522561,0.71666,0
0.0535184,0.703148,0
0.0483898,0.69184,0
0.0595295,0.697024,0
0.0431278,0.712757,0
0.0432545,0.702967,0
0.0684589,0.712407,0
0.0223254,0.701506,0
0.0427497,0.709069,0
0.0405412,0.691275,0
0.0581378,0.69533,0
0.0396783,0.694677,0
0.0604974,0.671557,0
0.0443954,0.705278,0
0.0490617,0.698398,0
0.0425411,0.684429,0
0.0600409,0.697713,0
0.052718,0.699661,0
0.0388805,0.703197,0
0.0588434,0.691685,0
0.0515213,0.691335,0
0.0566517,0.693741,0
0.0667965,0.713748,0
0.0475145,0.694455,0
0.0344608,0.691744,0
0.0580593,0.699007,0
0.0629631,0.683256,0
0.0540253,0.698592,0
0.0468358,0.69983,0
0.0641802,0.704174,0
0.0617041,0.701021,0
0.0637542,0.686573,0
0.0449648,0.682667,0
0.0557409,0.687549,0
0.0542043,0.707476,0
0.0515431,0.701812,0
0.045661,0.707868,0
0.0536381,0.708925,0
0.0465283,0.68771,0
0.0499011,0.701863,0
0.0429115,0.706239,0
0.0431428,0.698315,0
0.0438745,0.690026,0
0.0504485,0.704458,0
0.0400892,0.702762,0
0.0473585,0.716823,0
0.0534382,0.694523,0
0.0511917,0.697819,0
0.065828,0.701984,0
0.0707374,0.710624,0
0.0489912,0.680438,0
0.0401286,0.704423,0
0.0601398,0.723268,0
0.0616196,0.714437,0
0.0612325,0.702447,0
0.0570473,0.687318,0
0.031989,0.714956,0
0.0504845,0.699965,0
0.0611237,0.710562,0
0.0642623,0.716134,0
0.0310819,0.692102,0
0.0597558,0.704342,0
0.0593487,0.705796,0
0.0386151,0.695465,0
0.0605283,0.69129,0
0.0427365,0.670364,0
0.0425986,0.698341,0
0.0526268,0.704374,0
0.0694012,0.689916,0
0.0632579,0.694207,0
0.0554118,0.674561,0
0.0438904,0.695772,0
0.053849,0.71046,0
0.0630039,0.694051,0
0.0401131,0.709621,0
0.0494438,0.702843,0
0.0544304,0.700643,0
0.0488983,0.699691,0
0.0474002,0.713231,0
0.0504201,0.693732,0
0.0553123,0.703253,0
0.0535975,0.690443,0
0.0298753,0.700513,0
0.0571902,0.671217,0
0.0479934,0.695527,0
0.0373901,0.692958,0
0.0664727,0.704017,0
0.0565923,0.701956,0
0.0727879,0.697515,0
0.041078,0.680554,0
0.0630611,0.713583,0
0.050599,0.716429,0
0.0417145,0.683945,0
0.034463,0.69027,0
0.0354052,0.690679,0
0.0490659,0.686178,0
0.0478505,0.701982,0
0.0365741,0.71514,0
0.0633487,0.687191,0
0.0693226,0.707335,0
0.0489222,0.701597,0
0.0509896,0.691104,0
0.0496522,0.708316,0
0.0560129,0.693785,0
0.0583539,0.688262,0
0.0736767,0.706217,0
0.0700689,0.710663,0
0.0498858,0.702565,0
0.0583918,0.706249,0
0.0537946,0.704334,0
0.0367528,0.697121,0
0.0559392,0.702221,0
0.0426105,0.704285,0
0.0462312,0.677359,0
0.0386015,0.70085,0
0.0617147,0.685245,0
0.0598825,0.695584,0
0.0494772,0.712861,0
0.054693,0.688355,0
0.0538415,0.718269,0
0.0421979,0.71245,0
0.0605783,0.695016,0
0.0423407,0.69583,0
0.0471182,0.713117,0
0.0598541,0.716513,0
0.0507087,0.690809,0
0.0519523,0.706112,0
0.0655865,0.691664,0
0.0594059,0.711957,0
0.0778528,0.696348,0
0.0559917,0.686447,0
0.0538883,0.704693,0
0.0430984,0.685253,0
0.0681742,0.692043,0
0.0492294,0.695125,0
0.0553535,0.711648,0
0.0384811,0.701898,0
0.0493692,0.707299,0
0.0451424,0.70532,0
0.045748,0.707857,0
0.0402314,0.691018,0
0.0422723,0.681694,0
0.0526863,0.722815,0
0.0467833,0.726148,0
0.0503914,0.700033,0
0.0513381,0.701229,0
0.0559543,0.688845,0
0.0521848,0.706674,0
0.0523093,0.701581,0
0.0577888,0.709395,0
0.0609622,0.694791,0
0.0611848,0.695316,0
0.0627274,0.692206,0
0.0473256,0.695082,0
0.0340034,0.702822,0
0.0577846,0.701663,0
0.0560564,0.725686,0
0.0639933,0.716011,0
0.0561129,0.695225,0
0.0540364,0.692506,0
0.0416415,0.697868,0
0.0377972,0.697073,0
0.0563778,0.688038,0
0.0418161,0.705992,0
0.0560312,0.719482,0
0.0535444,0.692041,0
0.0447522,0.699204,0
0.0472811,0.710516,0
0.048847,0.686116,0
0.0366221,0.694725,0
0.0540939,0.702616,0
0.045372,0.691699,0
0.064764,0.70279,0
0.0636639,0.700349,0
0.0599683,0.699209,0
0.0579157,0.708898,0
0.0662282,0.691922,0
0.0606697,0.700239,0
0.056979,0.714812,0
0.0577435,0.696192,0
0.0675187,0.701617,0
0.0407245,0.690039,0
0.0608762,0.710167,0
0.0527119,0.711719,0
0.1,0.4,1
0.099998,0.400628,1
0.0999921,0.401257,1
0.0999822,0.401885,1
0.0999684,0.402513,1
0.0999507,0.403141,1
0.0999289,0.403769,1
0.0999033,0.404397,1
0.0998737,0.405024,1
0.0998402,0.405652,1
0.0998027,0.406279,1
0.0997613,0.406906,1
0.0997159,0.407533,1
0.0996666,0.408159,1
0.0996134,0.408785,1
0.0995562,0.409411,1
0.0994951,0.410036,1
0.0994301,0.410661,1
0.0993611,0.411286,1
0.0992883,0.41191,1
0.0992115,0.412533,1
0.0991308,0.413156,1
0.0990461,0.413779,1
0.0989576,0.414401,1
0.0988652,0.415023,1
0.0987688,0.415643,1
0.0986686,0.416264,1
0.0985645,0.416883,1
0.0984564,0.417502,1
0.0983445,0.418121,1
0.0982287,0.418738,1
0.0981091,0.419355,1
0.0979855,0.419971,1
0.0978581,0.420586,1
0.0977268,0.421201,1
0.0975917,0.421814,1
0.0974527,0.422427,1
0.0973099,0.423039,1
0.0971632,0.42365,1
0.0970127,0.42426,1
