a0,a1,class
0.046427,0.72294,0
0.061989,0.692245,0
0.043681,0.708402,0
0.04551,0.714163,0
0.061474,0.693369,0
0.055135,0.703397,0
0.040135,0.695185,0
0.030243,0.703903,0
0.029817,0.712842,0
0.049323,0.709206,0
0.059967,0.708696,0
0.046194,0.688634,0
0.059104,0.690484,0
0.045378,0.708063,0
0.050551,0.696423,0
0.057278,0.7104,0
0.056077,0.69326,0
0.059615,0.70271,0
0.050504,0.690104,0
0.049605,0.692989,0
0.052048,0.692667,0
0.047515,0.687109,0
0.051487,0.713972,0
0.067214,0.715323,0
0.041226,0.676755,0
0.063604,0.688547,0
0.05615,0.69611,0
0.050965,0.687182,0
0.047223,0.709995,0
0.045709,0.699998,0
0.04668,0.694839,0
0.060537,0.690954,0
0.073573,0.708997,0
0.057994,0.698943,0
0.063686,0.700978,0
0.048655,0.704031,0
0.046747,0.707465,0
0.056792,0.713635,0
0.043744,0.68532,0
0.071385,0.688666,0
0.044942,0.687448,0
0.0332,0.694762,0
0.060095,0.697302,0
0.072665,0.703676,0
0.039235,0.708563,0
0.026692,0.698937,0
0.040636,0.690528,0
0.052696,0.703368,0
0.042871,0.686391,0
0.05518,0.69232,0
0.042914,0.688725,0
0.042408,0.691745,0
0.066242,0.706381,0
0.034346,0.710587,0
0.030478,0.730134,0
0.04263,0.699369,0
0.048908,0.697099,0
0.04529,0.7013,0
0.049263,0.691204,0
0.053173,0.694491,0
0.038501,0.694623,0
0.066128,0.701807,0
0.059452,0.702444,0
0.038952,0.695832,0
0.048298,0.694328,0
0.060319,0.684412,0
0.052256,0.71666,0
0.053518,0.703148,0
0.04839,0.69184,0
0.059529,0.697024,0
0.043128,0.712757,0
0.043255,0.702967,0
0.068459,0.712407,0
0.022325,0.701506,0
0.04275,0.709069,0
0.040541,0.691275,0
0.058138,0.69533,0
0.039678,0.694677,0
0.060497,0.671557,0
0.044395,0.705278,0
0.049062,0.698398,0
0.042541,0.684429,0
0.060041,0.697713,0
0.052718,0.699661,0
0.03888,0.703197,0
0.058843,0.691685,0
0.051521,0.691335,0
0.056652,0.693741,0
0.066796,0.713748,0
0.047515,0.694455,0
0.034461,0.691744,0
0.058059,0.699007,0
0.062963,0.683256,0
0.054025,0.698592,0
0.046836,0.69983,0
0.06418,0.704174,0
0.061704,0.701021,0
0.063754,0.686573,0
0.044965,0.682667,0
0.055741,0.687549,0
0.054204,0.707476,0
0.051543,0.701812,0
0.045661,0.707868,0
0.053638,0.708925,0
0.046528,0.68771,0
0.049901,0.701863,0
0.042911,0.706239,0
0.043143,0.698315,0
0.043874,0.690026,0
0.050449,0.704458,0
0.040089,0.702762,0
0.047358,0.716823,0
0.053438,0.694523,0
0.051192,0.697819,0
0.065828,0.701984,0
0.070737,0.710624,0
0.048991,0.680438,0
0.040129,0.704423,0
0.06014,0.723268,0
0.06162,0.714437,0
0.061233,0.702447,0
0.057047,0.687318,0
0.031989,0.714956,0
0.050485,0.699965,0
0.061124,0.710562,0
0.064262,0.716134,0
0.031082,0.692102,0
0.059756,0.704342,0
0.059349,0.705796,0
0.038615,0.695465,0
0.060528,0.69129,0
0.042736,0.670364,0
0.042599,0.698341,0
0.052627,0.704374,0
0.069401,0.689916,0
0.063258,0.694207,0
0.055412,0.674561,0
0.04389,0.695772,0
0.053849,0.71046,0
0.063004,0.694051,0
0.040113,0.709621,0
0.049444,0.702843,0
0.05443,0.700643,0
0.048898,0.699691,0
0.0474,0.713231,0
0.05042,0.693732,0
0.055312,0.703253,0
0.053597,0.690443,0
0.029875,0.700513,0
0.05719,0.671217,0
0.047993,0.695527,0
0.03739,0.692958,0
0.066473,0.704017,0
0.056592,0.701956,0
0.072788,0.697515,0
0.041078,0.680554,0
0.063061,0.713583,0
0.050599,0.716429,0
0.041715,0.683945,0
0.034463,0.69027,0
0.035405,0.690679,0
0.049066,0.686178,0
0.04785,0.701982,0
0.036574,0.71514,0
0.063349,0.687191,0
0.069323,0.707335,0
0.048922,0.701597,0
0.05099,0.691104,0
0.049652,0.708316,0
0.056013,0.693785,0
0.058354,0.688262,0
0.073677,0.706217,0
0.070069,0.710663,0
0.049886,0.702565,0
0.058392,0.706249,0
0.053795,0.704334,0
0.036753,0.697121,0
0.055939,0.702221,0
0.042611,0.704285,0
0.046231,0.677359,0
0.038601,0.70085,0
0.061715,0.685245,0
