@RELATION ds2c2sc13
%
% Katti Faceli, Tiemi C. Sakata, Marcilio C. P. de Souto, and Andr\&\#233; C. P. L. F. de Carvalho. 2010. 
% Partitions selection strategy for set of clustering solutions. Neurocomput. 73, 16-18 (October 2010), 
% 2809-2819. DOI=10.1016/j.neucom.2010.03.028 http://dx.doi.org/10.1016/j.neucom.2010.03.028
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10,11,12,13}

@DATA
0.22896,0.30303,1
0.22896,0.28956,1
0.22896,0.27273,1
0.23232,0.25926,1
0.23569,0.24242,1
0.24242,0.23232,1
0.25926,0.22222,1
0.27609,0.21212,1
0.2963,0.21212,1
0.32323,0.21212,1
0.35017,0.21886,1
0.37037,0.21886,1
0.38721,0.23569,1
0.39731,0.24916,1
0.40404,0.26936,1
0.40404,0.2862,1
0.40404,0.3064,1
0.39731,0.3266,1
0.21886,0.3165,1
0.21886,0.29966,1
0.21886,0.28956,1
0.22559,0.26936,1
0.22222,0.2862,1
0.22896,0.25253,1
0.22896,0.23906,1
0.24242,0.22896,1
0.24916,0.21212,1
0.26936,0.20202,1
0.2862,0.20202,1
0.30303,0.20202,1
0.31987,0.20202,1
0.32997,0.20202,1
0.34343,0.20202,1
0.3569,0.20875,1
0.38384,0.20875,1
0.39731,0.22559,1
0.37037,0.22559,1
0.40741,0.23569,1
0.41751,0.25589,1
0.41751,0.26936,1
0.41751,0.28956,1
0.42088,0.3064,1
0.41077,0.31987,1
0.20875,0.31313,1
0.20875,0.2862,1
0.20875,0.2963,1
0.21549,0.27946,1
0.20875,0.26936,1
0.21549,0.25253,1
0.21549,0.26599,1
0.21886,0.23569,1
0.22222,0.22559,1
0.22896,0.21886,1
0.23569,0.20539,1
0.25589,0.19529,1
0.26599,0.19192,1
0.27273,0.19192,1
0.28956,0.18855,1
0.3064,0.18855,1
0.31987,0.18855,1
0.34343,0.18519,1
0.36364,0.18519,1
0.38384,0.20202,1
0.37037,0.20202,1
0.35354,0.19192,1
0.33333,0.19192,1
0.367,0.19865,1
0.36364,0.21212,1
0.39394,0.21212,1
0.40404,0.22222,1
0.41414,0.23569,1
0.42088,0.24579,1
0.42424,0.26599,1
0.42761,0.2862,1
0.42761,0.29966,1
0.42424,0.3165,1
0.41077,0.32997,1
0.32997,0.18182,1
0.30976,0.17845,1
0.28956,0.17845,1
0.27946,0.17845,1
0.26263,0.18182,1
0.23906,0.19192,1
0.22896,0.19865,1
0.37374,0.23569,1
0.39731,0.23906,1
0.41077,0.25253,1
0.22222,0.20875,1
0.21549,0.21886,1
0.20875,0.23232,1
0.20202,0.24579,1
0.19865,0.25926,1
0.19865,0.26599,1
0.19865,0.27609,1
0.19865,0.2862,1
0.19529,0.29966,1
0.19529,0.31313,1
0.20202,0.30303,1
0.39057,0.21886,1
0.38047,0.22222,1
0.39731,0.26263,1
0.38721,0.24579,1
0.34007,0.21549,1
0.36364,0.22896,1
0.40067,0.27609,1
0.40067,0.2963,1
0.42088,0.33333,1
0.42761,0.32323,1
0.29293,0.2963,2
0.28283,0.2862,2
0.2862,0.27609,2
0.2862,0.26599,2
0.29966,0.25926,2
0.31313,0.25926,2
0.3266,0.27273,2
0.3266,0.2963,2
0.31313,0.3064,2
0.30303,0.3064,2
0.30303,0.29293,2
0.29293,0.28956,2
0.30303,0.27609,2
0.3165,0.28283,2
0.30976,0.28283,2
0.3165,0.29293,2
0.2963,0.27609,2
0.30976,0.26599,2
0.31987,0.27273,2
0.32997,0.28956,2
0.33333,0.27946,2
0.29966,0.26599,2
0.31987,0.26263,2
0.32997,0.26599,2
0.2862,0.33333,3
0.2963,0.32997,3
0.31313,0.3266,3
0.32997,0.33333,3
0.3367,0.36364,3
0.31987,0.38047,3
0.29966,0.38047,3
0.2862,0.367,3
0.2862,0.34343,3
0.2963,0.3367,3
0.30976,0.3367,3
0.3165,0.3367,3
0.31987,0.3468,3
0.29966,0.35354,3
0.30303,0.367,3
0.30976,0.36027,3
0.31987,0.36364,3
0.30976,0.37374,3
0.3266,0.37374,3
0.3367,0.35017,3
0.3064,0.3468,3
0.29293,0.36364,3
0.28283,0.3569,3
0.32997,0.3569,3
0.32997,0.34007,3
0.32323,0.32997,3
0.3064,0.32997,3
0.30976,0.40067,4
0.31987,0.40067,4
0.33333,0.40741,4
0.29966,0.40404,4
0.2862,0.41414,4
0.27609,0.43771,4
