@RELATION ds3c3sc6
%
% Katti Faceli, Tiemi C. Sakata, Marcilio C. P. de Souto, and Andr\&\#233; C. P. L. F. de Carvalho. 2010. 
% Partitions selection strategy for set of clustering solutions. Neurocomput. 73, 16-18 (October 2010), 
% 2809-2819. DOI=10.1016/j.neucom.2010.03.028 http://dx.doi.org/10.1016/j.neucom.2010.03.028
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6}

@DATA
0.05896,0.1562,1
0.06569,0.1562,1
0.07579,0.1562,1
0.08589,0.14609,1
0.07242,0.15956,1
0.05559,0.15956,1
0.07579,0.15956,1
0.08253,0.15283,1
0.08589,0.12926,1
0.08926,0.13936,1
0.09599,0.12589,1
0.09263,0.11916,1
0.08926,0.11579,1
0.07242,0.10906,1
0.06232,0.10906,1
0.07916,0.10906,1
0.08926,0.12253,1
0.09263,0.13599,1
0.09263,0.14946,1
0.08253,0.15956,1
0.06232,0.1663,1
0.05559,0.16293,1
0.06906,0.16293,1
0.07579,0.16293,1
0.08926,0.15283,1
0.08926,0.13599,1
0.08926,0.11916,1
0.07579,0.11579,1
0.06906,0.10906,1
0.06232,0.10906,1
0.07242,0.10569,1
0.08253,0.11916,1
0.06232,0.10569,1
0.08589,0.11579,1
0.06232,0.11579,1
0.05559,0.12253,1
0.04549,0.12589,1
0.04886,0.11916,1
0.05222,0.11579,1
0.06232,0.11242,1
0.09263,0.13263,1
0.09599,0.14273,1
0.08589,0.1562,1
0.08589,0.1663,1
0.06569,0.17303,1
0.05896,0.16966,1
0.07242,0.16966,1
0.08253,0.16966,1
0.08589,0.16293,1
0.09263,0.15956,1
0.09263,0.14609,1
0.09263,0.12589,1
0.09936,0.13936,1
0.09599,0.14946,1
0.05559,0.10906,1
0.05559,0.11579,1
0.06569,0.11916,1
0.09599,0.13263,1
0.09936,0.15283,1
0.09263,0.16293,1
0.09936,0.14609,1
0.06906,0.11579,1
0.09936,0.12926,1
0.10273,0.13936,1
0.10273,0.14609,1
0.10273,0.14946,1
0.09936,0.15956,1
0.10273,0.13263,1
0.07916,0.10906,1
0.07579,0.11242,1
0.08589,0.11242,1
0.09599,0.11579,1
0.09599,0.11916,1
0.10273,0.12589,1
0.10273,0.13263,1
0.09936,0.12253,1
0.09263,0.11242,1
0.08589,0.10906,1
0.07916,0.10569,1
0.05222,0.14273,2
0.04886,0.14946,2
0.04212,0.15956,2
0.03875,0.16293,2
0.04549,0.14273,2
0.04549,0.15283,2
0.04212,0.1562,2
0.03875,0.15956,2
0.03875,0.17303,2
0.03875,0.1764,2
0.04212,0.18313,2
0.04886,0.18987,2
0.05896,0.19323,2
0.07579,0.19323,2
0.09599,0.19323,2
0.10273,0.1865,2
0.10946,0.17976,2
0.11283,0.17303,2
0.1162,0.1663,2
0.12293,0.1562,2
0.12293,0.14273,2
0.11956,0.12926,2
0.11283,0.11916,2
0.10273,0.10569,2
0.08926,0.09896,2
0.09599,0.10232,2
0.10273,0.10906,2
0.10946,0.11242,2
0.1162,0.12589,2
0.12293,0.13599,2
0.12293,0.14273,2
0.12293,0.14946,2
0.12293,0.15956,2
0.1162,0.17303,2
0.10946,0.18313,2
0.10609,0.18987,2
0.09599,0.19323,2
0.08253,0.1966,2
0.07916,0.1966,2
0.07242,0.1966,2
0.06569,0.1966,2
0.05559,0.1966,2
0.04549,0.18987,2
0.04212,0.1865,2
0.03875,0.17976,2
0.03875,0.1764,2
0.03539,0.16966,2
0.04549,0.14946,2
0.04212,0.14946,2
0.03539,0.15956,2
0.03202,0.16966,2
0.03875,0.15283,2
0.03202,0.1562,2
0.02865,0.16293,2
0.03202,0.16293,2
0.03539,0.14609,2
0.03539,0.15283,2
0.03202,0.1764,2
0.03202,0.18313,2
0.03875,0.1966,2
0.03539,0.1865,2
0.03875,0.19323,2
0.03875,0.1865,2
0.03539,0.18313,2
0.04212,0.19997,2
0.04549,0.19997,2
0.05222,0.19997,2
0.04886,0.1966,2
0.04212,0.19323,2
0.06569,0.19997,2
0.05559,0.20333,2
0.05222,0.20333,2
0.06569,0.2067,2
0.07579,0.2067,2
0.08926,0.20333,2
0.07916,0.20333,2
0.07579,0.20333,2
0.06232,0.20333,2
0.09263,0.20333,2
0.10273,0.1966,2
0.09599,0.19323,2
0.09263,0.19323,2
0.08253,0.19323,2
0.08926,0.19997,2
0.09263,0.19997,2
0.09599,0.1966,2
0.10273,0.1966,2
0.07242,0.19997,2
0.08589,0.20333,2
0.10946,0.20333,2
0.1162,0.1966,2
0.12293,0.1865,2
0.1263,0.1764,2
0.12966,0.16966,2
0.13303,0.15956,2
0.13303,0.14273,2
0.13303,0.12926,2
0.08253,0.09896,2
0.07242,0.09559,2
0.06232,0.09559,2
0.07242,0.09559,2
0.08253,0.09559,2
0.08589,0.09559,2
0.10609,0.10232,2
0.1162,0.11242,2
0.12293,0.11579,2
0.12293,0.13263,2
0.1263,0.13936,2
0.1263,0.15956,2
0.1263,0.16966,2
0.12293,0.17303,2
0.1162,0.17976,2
0.11283,0.18987,2
0.11956,0.1764,2
0.11956,0.1865,2
0.10609,0.19997,2
0.09263,0.2067,2
0.09936,0.2067,2
0.08926,0.21007,2
0.08253,0.21007,2
0.07579,0.21007,2
0.06906,0.21007,2
0.06232,0.21007,2
0.05222,0.2067,2
0.09599,0.09896,2
0.10273,0.09896,2
0.1162,0.10906,2
0.10946,0.10569,2
0.11956,0.11242,2
0.11956,0.12589,2
0.12293,0.12253,2
0.1162,0.11916,2
0.13303,0.12589,2
0.12966,0.13263,2
0.12966,0.13599,2
0.1364,0.13936,2
0.13303,0.14946,2
0.12966,0.14946,2
0.12966,0.13599,2
0.11956,0.12926,2
0.11956,0.12253,2
0.11283,0.11242,2
0.1263,0.12253,2
0.12966,0.12926,2
0.11956,0.12926,2
0.1263,0.14946,2
0.1263,0.15956,2
0.12293,0.1663,2
0.11956,0.15956,2
0.12966,0.1562,2
0.12966,0.14273,2
0.12293,0.12926,2
0.10946,0.10569,2
0.12293,0.12589,2
0.13303,0.13599,2
0.13303,0.1562,2
0.12293,0.1663,2
0.06232,0.09559,2
0.07579,0.09559,2
0.09936,0.10569,2
0.10946,0.10569,2
0.12293,0.12589,2
0.1263,0.14273,2
0.12966,0.15283,2
0.12293,0.1663,2
0.1162,0.1865,2
0.10946,0.1966,2
0.11956,0.19323,2
0.12293,0.18313,2
0.12293,0.17303,2
0.12966,0.16293,2
0.13303,0.1764,2
0.1263,0.18987,2
0.12966,0.1865,2
0.13976,0.16293,2
0.1364,0.1562,2
0.14313,0.14946,2
0.1364,0.17303,2
0.13303,0.18313,2
0.14313,0.14273,2
0.13976,0.15283,2
0.1465,0.16966,2
0.13976,0.1865,2
0.14313,0.17976,2
0.14313,0.15283,2
0.13303,0.19323,2
0.12293,0.1966,2
0.1162,0.2067,2
0.11956,0.19997,2
0.13976,0.1663,2
0.14313,0.17303,2
0.1465,0.15956,2
0.09936,0.21007,2
0.10273,0.21007,2
0.10946,0.21007,2
0.12966,0.20333,2
0.12293,0.2067,2
0.1566,0.1764,3
0.15323,0.1663,3
0.15323,0.15283,3
0.1465,0.14946,3
0.14987,0.1663,3
0.14987,0.17976,3
0.1566,0.18987,3
0.1667,0.2168,3
0.19027,0.2168,3
0.21721,0.2168,3
0.22731,0.19997,3
0.23067,0.17976,3
0.23067,0.14946,3
0.22394,0.13263,3
0.20374,0.12926,3
0.18354,0.12926,3
0.16333,0.13599,3
0.1566,0.16293,3
0.15997,0.2067,3
0.1768,0.21343,3
0.19027,0.21343,3
0.20374,0.21343,3
0.21384,0.20333,3
0.20374,0.2067,3
0.19027,0.2067,3
0.18354,0.2067,3
0.1667,0.20333,3
0.17007,0.21007,3
0.16333,0.19323,3
0.17007,0.1865,3
0.18017,0.1966,3
0.18017,0.19997,3
0.16333,0.1966,3
0.1768,0.1966,3
0.17007,0.1966,3
0.16333,0.19997,3
0.1768,0.20333,3
0.16333,0.18313,3
0.16333,0.16966,3
