@RELATION ds4c2sc8
%
% Katti Faceli, Tiemi C. Sakata, Marcilio C. P. de Souto, and Andr\&\#233; C. P. L. F. de Carvalho. 2010. 
% Partitions selection strategy for set of clustering solutions. Neurocomput. 73, 16-18 (October 2010), 
% 2809-2819. DOI=10.1016/j.neucom.2010.03.028 http://dx.doi.org/10.1016/j.neucom.2010.03.028
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7,8}

@DATA
0.28283,0.88552,1
0.27609,0.86195,1
0.27273,0.84512,1
0.27273,0.82492,1
0.27273,0.78451,1
0.26936,0.81145,1
0.27609,0.76094,1
0.2963,0.77778,1
0.29966,0.81818,1
0.30303,0.86869,1
0.28956,0.85185,1
0.2862,0.81481,1
0.2862,0.78114,1
0.2862,0.79461,1
0.30303,0.83838,1
0.28956,0.75758,1
0.28956,0.73064,1
0.27946,0.74074,1
0.26936,0.76768,1
0.3064,0.77778,1
0.2963,0.74747,1
0.30303,0.80135,1
0.30976,0.84848,1
0.29966,0.85522,1
0.2963,0.87205,1
0.30976,0.76094,1
0.3165,0.79461,1
0.3165,0.83165,1
0.31313,0.73064,1
0.3064,0.74074,1
0.29293,0.72391,1
0.28283,0.71044,1
0.28283,0.73064,1
0.27609,0.75084,1
0.27609,0.72054,1
0.30303,0.72054,1
0.26936,0.74747,1
0.2963,0.70707,1
0.2862,0.83502,1
0.28283,0.86869,1
0.28956,0.69697,2
0.27609,0.6835,2
0.27609,0.6734,2
0.28283,0.69024,2
0.29966,0.67677,2
0.29293,0.6835,2
0.2862,0.6734,2
0.2862,0.64983,2
0.29966,0.68013,2
0.30303,0.65657,2
0.30303,0.633,2
0.30303,0.60269,2
0.29966,0.57239,2
0.3064,0.60269,2
0.31313,0.64646,2
0.30976,0.67677,2
0.30976,0.63973,2
0.28956,0.62626,2
0.29966,0.64646,2
0.2862,0.65993,2
0.27946,0.633,2
0.28283,0.61616,2
0.28283,0.60269,2
0.29293,0.61279,2
0.31313,0.6229,2
0.3064,0.6229,2
0.29293,0.58586,2
0.29293,0.56566,2
0.2862,0.57912,2
0.3064,0.56229,2
0.31313,0.58923,2
0.31313,0.59596,2
0.3165,0.60943,2
0.29966,0.61279,2
0.30303,0.66667,2
0.27609,0.6633,2
0.26936,0.633,2
0.27273,0.64983,2
0.29966,0.69697,2
0.2862,0.58923,2
0.26936,0.61953,2
0.27609,0.60943,2
0.30303,0.59259,2
0.31313,0.57912,2
0.29293,0.59933,2
0.3165,0.65657,2
0.3266,0.62963,2
0.3266,0.60606,2
0.32323,0.6532,2
0.3266,0.63973,2
0.3468,0.6229,2
0.27609,0.59259,2
0.3165,0.71717,2
0.3367,0.6835,2
0.3266,0.6734,2
0.29966,0.6835,2
0.29966,0.6532,2
0.29966,0.63973,2
0.28956,0.6633,2
0.27946,0.6633,2
0.27946,0.63636,2
0.28956,0.60943,2
0.28956,0.62963,2
0.28956,0.6431,2
0.29293,0.68687,2
0.2862,0.68687,2
0.28283,0.6532,2
0.2862,0.61953,2
0.29966,0.633,2
0.29293,0.68013,2
0.30303,0.69697,2
0.28956,0.64646,2
0.28956,0.6229,2
0.27609,0.62626,2
0.27609,0.6431,2
0.3064,0.61279,2
0.29966,0.6229,2
0.27609,0.67003,2
0.27946,0.6835,2
0.28283,0.6431,2
0.2862,0.61616,2
0.28956,0.59933,2
0.29293,0.55219,3
0.31313,0.55219,3
0.2862,0.56229,3
0.2862,0.53199,3
0.27946,0.53535,3
0.2862,0.51515,3
0.28283,0.49832,3
0.28283,0.47811,3
0.29293,0.45455,3
0.30303,0.49495,3
0.29293,0.52862,3
0.30976,0.53535,3
0.3064,0.50842,3
0.31987,0.47811,3
0.30303,0.47811,3
0.2963,0.48148,3
0.28283,0.46465,3
0.2862,0.51515,3
0.30976,0.54209,3
0.3165,0.52525,3
0.29966,0.50842,3
0.29966,0.51852,3
0.29966,0.53535,3
0.29293,0.50505,3
0.30976,0.46801,3
0.29966,0.43771,3
0.30303,0.44781,3
0.31987,0.47138,3
0.31987,0.50505,3
0.32323,0.53535,3
0.3266,0.47811,3
0.31987,0.43771,3
0.30976,0.42088,3
0.3064,0.46128,3
0.30303,0.46465,3
0.28956,0.41751,3
0.28283,0.44444,3
0.3165,0.47138,3
0.33333,0.45791,3
0.31987,0.45455,3
0.30303,0.41751,3
0.35354,0.57239,3
0.33333,0.55556,3
0.31987,0.52189,3
0.2862,0.48485,3
0.27946,0.51515,3
0.2963,0.46128,3
0.31313,0.48822,3
0.33333,0.53199,3
0.35017,0.54545,3
0.30303,0.42761,3
0.32997,0.43434,3
0.34343,0.67677,4
0.33333,0.68687,4
0.34343,0.69697,4
0.36027,0.7138,4
0.34343,0.66667,4
0.36027,0.6633,4
0.38047,0.67677,4
0.38384,0.71044,4
0.367,0.71044,4
0.3569,0.68687,4
0.36027,0.6835,4
0.367,0.6936,4
0.367,0.7037,4
0.35354,0.7037,4
0.39057,0.70034,4
0.38047,0.6835,4
0.367,0.6734,4
0.35017,0.6532,4
0.34343,0.65993,4
0.3771,0.66667,4
0.38721,0.69024,4
0.37374,0.70707,4
0.34343,0.70707,4
0.32997,0.7037,4
0.32997,0.65657,4
0.3468,0.6633,4
0.38047,0.66667,4
0.39394,0.6835,4
0.35354,0.6835,4
0.36027,0.69697,4
0.32323,0.6936,4
0.3266,0.6633,4
0.36027,0.6532,4
0.38047,0.65657,4
0.39394,0.67677,4
0.3771,0.69697,4
0.3569,0.67677,4
0.37037,0.6835,4
0.35017,0.66667,4
0.35017,0.68013,4
0.35017,0.69697,4
0.33333,0.69697,4
0.33333,0.68687,4
0.33333,0.67677,4
0.3367,0.6835,4
0.3367,0.6936,4
0.36364,0.6936,4
0.39057,0.69024,4
0.38047,0.6734,4
0.36364,0.6734,4
0.36364,0.6633,4
0.36027,0.68013,4
0.34343,0.69024,4
0.3569,0.62963,5
0.3468,0.62963,5
0.34343,0.60269,5
0.36027,0.60606,5
0.3367,0.61279,5
0.34007,0.63636,5
0.36027,0.63636,5
0.3569,0.61953,5
0.37037,0.6229,5
0.38047,0.63973,5
0.3468,0.61616,5
0.34007,0.59596,5
0.37037,0.59596,5
0.38384,0.60943,5
0.38384,0.61953,5
0.37374,0.63636,5
0.3468,0.6229,5
0.3569,0.60606,5
0.37374,0.60943,5
0.3771,0.62963,5
0.36027,0.63973,5
0.3367,0.63636,5
0.3367,0.61953,5
0.33333,0.60606,5
0.3468,0.59933,5
0.3569,0.59933,5
0.38384,0.59933,5
0.38721,0.62626,5
0.38721,0.63973,5
0.3468,0.63636,5
0.3367,0.6229,5
0.34007,0.60269,5
0.34343,0.59933,5
0.36364,0.61953,5
0.367,0.63636,5
0.33333,0.6229,5
0.35017,0.633,5
0.3569,0.60606,5
0.37037,0.61279,5
0.34343,0.61279,5
0.33333,0.6229,5
0.33333,0.633,5
0.3367,0.63636,5
0.38384,0.63636,5
0.37037,0.61953,5
0.32997,0.61953,5
0.3266,0.62963,5
0.32997,0.61279,5
0.36027,0.61279,5
0.367,0.60943,5
0.36364,0.63973,5
0.35017,0.6431,5
0.32997,0.6431,5
0.35354,0.6229,5
0.38047,0.62963,5
0.38047,0.60943,5
0.3468,0.59933,5
0.3367,0.59933,5
0.3569,0.61953,5
0.3367,0.61953,5
0.35017,0.62626,5
0.37037,0.62626,5
0.367,0.6431,5
0.35017,0.6431,5
0.35017,0.61953,5
0.37374,0.61616,5
0.35354,0.63973,5
0.34007,0.6431,5
0.34007,0.62963,5
0.3367,0.57912,6
0.32997,0.55556,6
0.34343,0.54545,6
0.367,0.54209,6
0.39731,0.56229,6
0.38047,0.57912,6
0.35354,0.58586,6
0.32997,0.57912,6
0.32997,0.55892,6
0.32323,0.57239,6
0.33333,0.57239,6
0.3367,0.55892,6
0.35354,0.55892,6
0.3771,0.55892,6
0.367,0.57576,6
0.34343,0.57576,6
0.3569,0.56566,6
0.34343,0.54882,6
0.36364,0.55556,6
0.37374,0.55556,6
0.38047,0.54882,6
0.39057,0.56566,6
0.37374,0.57912,6
0.34343,0.57239,6
0.35354,0.55556,6
0.35354,0.54545,6
0.33333,0.55892,6
