% Data from J. Handl
% http://personalpages.manchester.ac.uk/mbs/Julia.Handl/generators.html
% source code: https://github.com/deric/handl-data-generators
% 
% generated with: `./elly -k 5 -d 2 -s 13 > 2d5c13s.dat`
%
@RELATION elly-2d5c13s

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4}

@DATA
-0.585835,-0.401656,0
-1.13392,-0.910653,0
-0.898172,-1.07502,0
-0.365161,-0.379199,0
0.172448,-0.203041,0
-1.43784,-0.83774,0
-0.586947,-0.865428,0
-0.509167,-0.913249,0
0.0160104,-0.265462,0
-0.303003,-0.668266,0
-1.32478,-0.761519,0
-0.789443,-0.604025,0
-0.681078,-0.266194,0
-1.20215,-0.815888,0
-0.588469,-0.547638,0
-0.356192,-0.252426,0
-1.52899,-1.16619,0
-0.571526,-0.525328,0
-1.10776,-0.90191,0
0.0854506,-0.200078,0
-0.0795118,-0.244821,0
-1.58956,-0.82734,0
-0.882815,-1.03291,0
-0.0226562,-0.330175,0
-0.603857,-0.607451,0
-0.939056,-0.923235,0
-1.54462,-1.22342,0
-1.25772,-1.07925,0
-0.638864,-0.791312,0
-0.605087,-0.225404,0
-1.22772,-0.962691,0
-1.59126,-0.955835,0
-0.490727,-0.452298,0
-0.0195369,-0.282084,0
-1.17823,-0.662493,0
-0.226727,-0.630257,0
-0.363046,-0.591963,0
-1.64826,-1.42303,0
-0.938966,-0.583673,0
-0.647177,-1.07351,0
-0.751564,-0.76207,0
-1.60725,-1.33554,0
-0.936239,-0.716931,0
-0.297093,-0.0826591,0
-1.31761,-0.656078,0
-1.50532,-1.16879,0
-1.65098,-1.241,0
-0.321559,-0.48635,0
-0.4488,-0.339232,0
-0.518523,-0.285819,0
-0.643772,-0.539759,0
-0.711098,-0.313798,0
-0.0668361,-0.0328402,0
-0.61127,-0.905858,0
-0.92148,-0.885539,0
-1.02333,-0.968717,0
-1.54719,-1.15118,0
-1.26029,-0.959315,0
-0.319118,-0.466954,0
-0.177719,-0.155611,0
-0.506707,-0.384676,0
0.241723,-0.152738,0
-0.726694,-0.324555,0
-0.766221,-0.581867,0
0.222186,-0.246717,0
-0.564669,-0.697595,0
-1.19146,-1.1202,0
-1.38869,-0.930326,0
-0.211033,-0.0694245,0
-1.74823,-1.02762,0
-1.44603,-1.07043,0
-0.281285,-0.403171,0
0.167996,-0.0711532,0
-0.0854518,-0.141995,0
-0.448893,-0.40739,0
-1.2473,-0.784423,0
0.103036,-0.527119,0
0.10599,-0.121666,0
-0.862378,-0.758065,0
-1.83386,-1.22837,0
-1.00853,-0.923721,0
-1.11958,-1.12774,0
-1.0647,-1.15874,0
-1.13463,-0.985945,0
-0.570435,-1.04625,0
-1.46636,-0.783364,0
-1.64958,-1.17206,0
-0.516398,-0.468889,0
-1.36599,-1.33378,0
-1.30711,-0.645879,0
-0.237667,-0.423474,0
-1.50285,-0.987157,0
-0.97778,-0.588835,0
0.0671051,-0.299607,0
-1.65967,-1.24569,0
-0.366234,-0.466544,0
-0.571356,-0.347466,0
-0.429063,-0.453724,0
-0.98477,-1.10406,0
-0.8123,-0.708308,0
-0.79821,-1.00958,0
-0.579938,-0.761309,0
-0.537748,-0.56848,0
-0.30264,-0.342319,0
-0.842391,-0.732896,0
-1.23492,-0.906338,0
-1.79088,-1.14082,0
-1.26478,-1.1849,0
-0.843117,-0.754856,0
-0.948825,-1.08643,0
-1.50044,-1.04681,0
-0.933405,-1.11914,0
-0.273563,-0.439946,0
-0.369036,-0.416664,0
-1.36042,-1.16305,0
-1.76158,-1.35602,0
-0.197375,-0.592986,0
-0.607059,-0.505345,0
-0.562626,-0.683408,0
0.144665,-0.211468,0
0.220343,-0.34969,0
-0.581623,-0.963184,0
-0.133789,-0.464616,0
-1.21212,-0.824299,0
-1.28217,-1.11003,0
-0.192406,-0.291159,0
-1.63248,-1.04487,0
-0.133453,-0.599766,0
0.0692506,-0.319421,0
-1.4999,-0.907588,0
-1.19433,-0.789085,0
-0.795208,-0.819344,0
-1.52462,-1.24739,0
-0.173608,-0.535402,0
-0.409848,-0.330759,0
-1.58818,-1.14141,0
-0.601206,-0.792217,0
-0.460027,-0.302771,0
-0.481636,-0.669796,0
-0.84439,-0.765982,0
-1.06653,-0.683752,0
-0.671334,-0.614558,0
-1.63227,-1.34141,0
-0.989481,-1.07831,0
-1.40006,-1.03903,0
-1.44438,-1.26208,0
-0.141613,-0.0523385,0
-0.59391,-1.03964,0
-0.16278,-0.417046,0
-0.915247,-0.748029,0
-1.79151,-1.27673,0
-1.28764,-0.984605,0
-0.82374,-1.04987,0
-0.352946,-0.0962342,0
-0.0286291,-0.131426,0
-0.496043,-0.526966,0
-0.190448,-0.396327,0
-1.14499,-0.916689,0
-1.39443,-0.746652,0
-0.908277,-1.02232,0
-1.44719,-0.999583,0
-1.52655,-0.98479,0
-0.825774,-0.777939,0
-0.97136,-1.27296,0
-0.405186,-0.49455,0
-0.535241,-0.181429,0
-1.69591,-1.36152,0
-0.737435,-0.488719,0
-0.35622,-0.306958,0
-0.976388,-0.787457,0
0.101095,-0.232239,0
-0.944946,-1.14355,0
-0.139942,-0.257978,0
-1.22338,-1.1698,0
-0.0528075,-0.113643,0
-1.57894,-1.05312,0
-0.959237,-0.793686,0
-1.16586,-1.2165,0
-0.251113,-0.457571,0
0.135096,-0.249598,0
-0.890729,-0.374777,0
-0.747481,-0.380005,0
-1.58102,-1.21327,0
-0.124202,-0.195426,0
-1.89331,-1.25127,0
-0.664059,-0.767556,0
-0.636296,-0.351712,0
0.0292661,-0.474749,0
-0.841541,-0.721598,0
-1.39087,-0.91469,0
-0.90491,-0.538059,0
-0.349811,-0.277408,0
-1.69179,-1.27489,0
-0.746339,-0.602976,0
-1.69143,-1.26639,0
-1.57171,-1.33745,0
-1.42714,-0.832868,0
-0.55003,-0.331572,0
-0.397511,-0.280216,0
0.134197,-0.511367,0
-0.573617,-0.395324,0
-0.762676,-0.683296,0
-0.575971,-0.512577,0
-0.0654717,-0.568323,0
-1.12754,-0.749128,0
-1.53471,-0.975485,0
-0.271249,-0.522593,0
-1.62913,-1.19313,0
-1.07709,-1.15157,0
-1.36947,-0.991975,0
-0.122351,-0.410563,0
-1.66431,-1.24621,0
-0.722031,-0.649967,0
-0.124531,-0.0843764,0
-1.21959,-0.928482,0
-0.758261,-0.640731,0
-0.246861,-0.447393,0
-0.676403,-0.635794,0
-0.354014,-0.496037,0
-0.84079,-0.885324,0
-0.661796,-0.71473,0
-1.0948,-0.672154,0
-0.922057,-0.793649,0
-1.1749,-0.910883,0
-1.51514,-0.803416,0
-0.415165,-0.442335,0
-1.56453,-1.08796,0
0.215712,-0.1333,0
-0.831961,-0.402142,0
-0.102829,-0.351821,0
-1.12104,-0.75443,0
-0.440818,-0.532678,0
-0.000543608,-0.274342,0
-0.29761,-0.334209,0
-0.490103,-0.140143,0
-1.53428,-1.15939,0
-0.65982,-0.755611,0
-0.108143,-0.237353,0
-0.771305,-1.06554,0
-0.388888,-0.499662,0
-0.937495,-0.868663,0
-0.224424,-0.669784,0
-0.314139,-0.533031,0
-0.408847,-0.604549,0
-0.616944,-0.389137,0
-0.757474,-0.747227,0
-0.499307,-0.894919,0
-0.321554,-0.135676,0
-0.153256,-0.461409,0
-0.523628,-0.218137,0
-0.612442,-0.47551,0
-0.136983,-0.723533,0
0.0182296,-0.137277,0
-0.00989252,-0.622219,0
-0.952265,-0.758731,0
-0.898302,-0.822897,0
-0.656739,-0.80121,0
-0.0905194,-0.339754,0
0.174543,-0.310314,0
-1.19218,-1.13064,0
-1.21802,-1.15835,0
0.0416623,-0.633406,0
-1.52499,-1.30735,0
-1.3545,-1.09739,0
-0.969419,-1.05217,0
-1.07984,-0.541994,0
