% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: gaussian mixture
%
@relation EngyTime

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2}

@data
1.388261,2.076096,1
2.177247,3.102304,1
0.378645,5.30761,1
3.681732,1.622681,1
2.462861,2.777897,1
1.735954,3.82709,1
1.167995,5.518099,1
1.807107,3.250988,1
3.508638,1.843392,1
1.864733,2.401942,1
2.41636,1.533124,1
3.010207,3.569472,1
1.021681,4.510689,1
3.773426,0.228935,1
-0.037831,5.1149,1
1.434476,4.037901,1
3.153464,2.681303,1
3.824689,2.107575,1
3.684099,0.632402,1
1.972013,2.88941,1
-0.26852,5.033146,1
0.505922,5.39605,1
0.86143,4.359509,1
2.310166,1.969608,1
-1.069797,5.405615,1
0.570748,4.664791,1
2.718054,3.861631,1
2.8362,1.784931,1
2.537878,1.713435,1
1.972408,2.981157,1
2.000061,2.730238,1
3.548569,0.171011,1
2.605543,3.27554,1
3.03373,2.663344,1
2.057013,3.528919,1
2.804546,2.139441,1
1.466178,3.175989,1
-0.086155,4.470365,1
2.167506,3.133119,1
4.041429,1.069045,1
2.881386,2.972907,1
3.330619,1.093687,1
2.299863,2.961959,1
0.574807,3.510508,1
3.530596,1.663942,1
2.551374,2.63356,1
1.101316,3.244133,1
2.627421,1.692043,1
3.104758,2.598973,1
0.837921,3.704289,1
0.32023,2.475085,1
3.394892,1.44401,1
2.462968,2.82823,1
2.030358,2.123839,1
0.660533,3.75386,1
0.322904,3.445714,1
4.082401,1.381379,1
0.278453,4.342255,1
0.404281,3.131675,1
1.630747,4.104445,1
2.181931,3.411487,1
0.348454,3.9304,1
1.628854,2.267523,1
0.134034,5.282937,1
2.015903,2.439853,1
3.139473,2.284963,1
0.600268,5.256461,1
2.409418,3.927369,1
3.609415,1.131957,1
0.172927,4.399779,1
1.532463,2.658188,1
2.703953,3.699864,1
1.227166,2.899769,1
1.651628,3.841293,1
0.791982,2.947065,1
1.830479,3.080213,1
2.686312,1.94566,1
1.788338,2.80043,1
1.88781,4.392372,1
1.142304,2.542882,1
2.663808,1.702252,1
2.050741,2.426929,1
2.757167,2.863404,1
1.711938,1.487297,1
2.187469,4.20168,1
3.440252,0.506783,1
1.888755,2.510591,1
0.551063,3.111766,1
2.408435,2.308976,1
2.078915,2.624717,1
1.342428,3.840828,1
3.029948,3.968269,1
0.080491,3.667894,1
3.467719,1.495069,1
0.046595,4.83047,1
4.196617,1.843375,1
4.76816,1.21359,1
4.636842,0.602186,1
0.388109,4.110369,1
3.683261,0.706257,1
2.898413,1.770954,1
2.779493,1.44316,1
2.121609,1.201784,1
1.302668,3.949926,1
1.546031,4.412428,1
1.107236,1.741204,1
0.258203,5.289185,1
1.839877,3.44988,1
3.3353,0.132518,1
1.088286,3.131751,1
0.560137,3.997389,1
4.151038,1.246554,1
3.735874,1.020552,1
2.010641,2.32718,1
2.830056,2.122798,1
2.679015,3.023737,1
1.889237,3.843098,1
5.265826,0.83251,1
1.98333,3.788162,1
2.079112,1.99733,1
2.686597,2.446475,1
1.609369,4.395611,1
4.635246,0.448397,1
2.146264,2.197676,1
2.962285,0.223751,1
3.400234,2.065555,1
2.370047,3.733605,1
1.611562,3.197782,1
0.203241,3.02579,1
1.005024,4.034316,1
1.234614,2.48077,1
3.517007,1.182169,1
1.98404,3.012075,1
1.647244,3.61871,1
1.626629,1.886737,1
0.544809,4.370425,1
0.222913,4.127075,1
0.668699,3.068394,1
0.555888,3.814464,1
2.2456,2.70499,1
3.504892,1.587869,1
-0.146124,4.725159,1
2.100936,3.18784,1
2.70686,3.519002,1
1.225271,3.841086,1
1.981365,2.522537,1
5.021196,0.364448,1
0.006626,6.09668,1
2.460392,1.68215,1
2.877308,3.3756,1
0.732805,4.128457,1
1.803368,2.170132,1
3.674032,1.647682,1
2.758328,1.785428,1
1.072899,4.008426,1
2.151058,4.447417,1
1.610942,5.188661,1
4.133378,-0.357156,1
-0.376646,4.414657,1
1.737216,3.217808,1
3.183626,1.440232,1
0.979658,3.645566,1
1.971059,3.259799,1
3.496655,2.330183,1
-0.475744,5.572314,1
3.147614,2.621865,1
3.852733,1.795365,1
1.048244,3.634696,1
-1.463434,6.172343,1
2.165386,2.366123,1
1.074104,2.823745,1
1.932498,3.375886,1
1.532799,2.949583,1
1.949119,2.892416,1
0.646223,5.179785,1
2.62354,3.588082,1
1.296104,2.613854,1
3.142189,2.121208,1
0.93056,3.779924,1
-0.840943,6.19249,1
0.612387,3.525888,1
3.89431,0.713034,1
1.416131,3.037601,1
4.290669,1.236111,1
0.471155,3.268891,1
4.454617,2.680295,1
4.312336,0.084431,1
1.698012,3.072791,1
2.43487,2.16647,1
0.617396,3.726953,1
3.530309,3.789011,1
2.324263,2.514353,1
2.992314,1.792414,1
4.633944,1.832039,1
0.26396,3.820416,1
3.896361,1.812211,1
2.555869,1.106584,1
2.322241,3.323986,1
1.099443,2.869707,1
1.737493,2.315629,1
1.898828,3.317845,1
3.942105,1.598916,1
1.233473,4.999878,1
3.16703,2.262183,1
2.949834,1.809015,1
3.211064,2.258982,1
2.883848,1.404226,1
4.171766,1.63121,1
-0.71124,5.567749,1
3.802205,2.100058,1
3.952721,2.557747,1
0.713873,2.072531,1
4.529647,1.307886,1
2.028742,2.632523,1
-0.170669,4.924376,1
0.056194,3.842888,1
1.704935,3.877466,1
2.531369,1.433284,1
4.095689,1.351226,1
4.64522,-0.142038,1
0.893191,3.234372,1
1.848396,2.292223,1
0.636715,2.071833,1
0.814623,4.166666,1
1.740019,3.065758,1
1.834553,3.275325,1
1.291187,2.968773,1
2.718653,2.067914,1
2.324044,1.926605,1
1.793465,3.79699,1
0.740648,4.125479,1
1.666042,3.203138,1
1.492903,1.642746,1
1.796996,4.344693,1
2.92179,1.942559,1
1.064578,3.959585,1
1.457626,2.985469,1
2.078331,4.001193,1
-1.563823,6.347326,1
0.574382,4.941747,1
-1.427993,5.552467,1
2.082123,2.574004,1
1.713031,1.945687,1
0.407098,3.582769,1
2.518471,2.087895,1
4.174225,1.379475,1
-0.63435,4.722084,1
