% source Handl, Knowles: MOCK
@RELATION fourty

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}

@DATA
-0.796472,-0.538789,0
1.07415,0.283016,0
-0.0882453,-0.0154108,0
0.238279,-0.0570198,0
0.708839,0.165585,0
0.163807,-0.0402066,0
-0.200248,0.692106,0
0.0641332,-0.47997,0
-0.388032,-0.415745,0
-0.751184,0.672181,0
-0.607715,-0.814858,0
0.26011,0.335198,0
-0.546444,0.251202,0
0.101309,0.424941,0
0.436923,0.784839,0
-0.0189449,0.603242,0
-0.476297,0.00590647,0
0.199583,-0.177538,0
-0.981166,0.472785,0
0.129555,0.156186,0
0.824547,-0.69325,0
0.223874,-0.0875816,0
-0.601323,-0.569979,0
0.762652,0.387553,0
0.120625,0.537594,0
3.01053,-0.212716,1
3.79178,-0.0714351,1
3.97677,0.0425788,1
4.21977,-0.737742,1
4.7352,-0.275757,1
4.29667,-0.0791719,1
3.9759,-0.0661088,1
4.04327,-0.0410543,1
4.01564,0.0331227,1
4.27207,0.113586,1
4.6347,-0.377884,1
3.72788,-0.705706,1
4.55564,-0.0716247,1
3.92393,-1.42917,1
3.11443,-0.239851,1
4.30702,-0.107685,1
4.29674,0.60503,1
4.03765,0.00249412,1
5.15323,0.276954,1
4.29675,0.152049,1
4.00786,-0.0671036,1
3.69175,-0.550353,1
2.87988,0.363631,1
3.74257,1.18664,1
3.97348,0.506361,1
8.32419,-1.17856,2
7.73708,1.44513,2
7.1999,0.28729,2
8.07462,0.337588,2
7.54879,-0.310762,2
7.56662,-0.704622,2
9.24661,-0.121555,2
8.81637,0.276002,2
8.64203,0.415519,2
7.44744,-0.46857,2
7.41791,0.548326,2
8.29063,-0.846479,2
7.9532,-0.955921,2
7.6995,0.31141,2
7.61241,0.37876,2
7.76966,-0.232545,2
8.11709,0.103819,2
7.90047,-0.517087,2
7.65481,-0.248699,2
8.65947,-0.370796,2
7.81227,0.269439,2
8.38809,-0.17127,2
7.56891,0.538494,2
7.61015,0.278909,2
7.84017,-0.790742,2
12.2809,0.303709,3
11.1523,-0.336136,3
11.3569,-0.497622,3
12.4477,-0.291661,3
11.7262,0.552916,3
12.3093,-0.279156,3
11.9166,0.447148,3
12,0.00645392,3
13.0704,0.591449,3
11.6717,0.569751,3
11.4784,0.698509,3
12.8676,-0.979057,3
12.503,-0.280088,3
11.4247,0.0910561,3
13.0199,-0.0895692,3
12.9604,0.265662,3
12.1187,-0.110861,3
13.0311,-0.226739,3
11.2842,0.562014,3
12.2879,0.234708,3
11.9574,-0.36161,3
