@relation gaussians1
% %% generated two Gaussian clouds (R lang)
% cl1 <- cbind(rnorm(100,0.2,0.05),rnorm(100,0.8,0.06))
% cl2 <- cbind(rnorm(50,0.7,0.08),rnorm(50,0.3,0.05))
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2}

@data
0.2295062133,0.8231317126,1
0.2101823209,0.7710729392,1
0.1710677122,0.857589455,1
0.2182434214,0.9136487062,1
0.2507282651,0.8073085602,1
0.1994095722,0.7565814927,1
0.1590357035,0.8881813393,1
0.1743493924,0.8473925476,1
0.3180025733,0.8186812575,1
0.2729018852,0.8354528724,1
0.0937149028,0.7227351659,1
0.1303203585,0.8334381745,1
0.2316561962,0.8951921453,1
0.1903300667,0.8112003412,1
0.1971507791,0.7457021196,1
0.1983478478,0.7614323973,1
0.2175292865,0.7084857016,1
0.2230580237,0.8493925514,1
0.2094968987,0.7810227163,1
0.2553484068,0.7978636125,1
0.2091656314,0.7920226301,1
0.1860555797,0.8474874123,1
0.1504754627,0.8092128803,1
0.1933739477,0.7967288822,1
0.2443930951,0.7927364195,1
0.1599559865,0.7776241195,1
0.1997999767,0.7879802506,1
0.1745159065,0.7726214463,1
0.1993017931,0.788564055,1
0.1906488565,0.7253801069,1
0.1654824344,0.7919097619,1
0.1933897139,0.8274636881,1
0.1440199483,0.8352059722,1
0.2265429151,0.7955684867,1
0.2050613413,0.8259944822,1
0.2272505588,0.8387429834,1
0.1340929211,0.6923955636,1
0.2317055547,0.8588710522,1
0.2220807751,0.8838338257,1
0.168088908,0.700906032,1
0.1780379718,0.73965244,1
0.1865979829,0.6194705074,1
0.2264106998,0.8221386633,1
0.1161104609,0.9163103228,1
0.2550019907,0.6641692659,1
0.2028333753,0.7724065584,1
0.2700145055,0.8434091783,1
0.2286817023,0.8385807524,1
0.2208976732,0.8173210361,1
0.1561094449,0.7917144674,1
0.7493861869,0.360956012,2
0.6191840157,0.3322562009,2
0.7397448033,0.3634553523,2
0.7206264906,0.2829094061,2
0.6989113066,0.3028658052,2
0.6983478486,0.3325899334,2
0.6815415352,0.4268278147,2
0.7708858042,0.31903459,2
0.6490624488,0.2558056944,2
0.6259773821,0.303398458,2
0.8757273278,0.2887807529,2
0.6895577252,0.3054917826,2
0.6067810337,0.3537047857,2
0.7057724515,0.3356996144,2
0.7825946084,0.3000068493,2
0.7971454866,0.2861692643,2
0.7980992111,0.3695142891,2
0.5898914901,0.2728186798,2
0.6181676841,0.3770006718,2
0.5383013211,0.2871725323,2
0.7664987186,0.2128083604,2
0.7043309662,0.2546147103,2
0.6398427399,0.2859645036,2
0.7602595787,0.3373340472,2
0.663136957,0.2443535585,2
0.7568152344,0.2870650189,2
0.7562921495,0.2701112064,2
0.7237906149,0.2432845564,2
0.8088685734,0.3202229747,2
0.6639740458,0.2649469824,2
0.771943148,0.3111529955,2
0.5877914148,0.3553538519,2
0.7580682141,0.2470424468,2
0.654428988,0.2974793534,2
0.626497384,0.3213433179,2
0.6297448813,0.2651138368,2
0.7557800485,0.1721767004,2
0.6615255825,0.3568570948,2
0.6660361056,0.3304213937,2
0.7666968068,0.3009098857,2
0.6792460487,0.3320169928,2
0.687607894,0.2753904011,2
0.6967061454,0.270449802,2
0.718817349,0.3268431085,2
0.7540103256,0.1940821363,2
0.6989133791,0.2768329113,2
0.6977310332,0.2961004933,2
0.6681678382,0.3450773249,2
0.6047427733,0.3291465936,2
0.6832611396,0.3463847482,2
