% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: none, i.e clear defined clusters
%
@relation Hepta

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE z REAL
@ATTRIBUTE class {1,2,3,4,5,6,7}

@data
-0.063274,0.027734,0.022683,1
-0.000731,0.048211,0.069198,1
-0.060767,-0.00908,0.053085,1
0.013252,-0.011876,0.055324,1
-0.054508,-0.003813,0.001738,1
0.02418,0.068275,0.033462,1
-0.029308,0.059849,-0.06326,1
-0.016453,0.013881,-0.013236,1
-0.042361,-0.059942,-0.026487,1
-0.01631,-0.036612,0.047928,1
0.03536,-0.04495,0.041474,1
-0.000287,-0.049496,-0.06343,1
-0.065931,-0.005381,-0.064899,1
0.009049,0.027976,0.01198,1
-0.005335,0.062592,-0.057507,1
-0.004175,0.064646,0.040856,1
0.091024,-0.031446,-0.014774,1
-0.077068,-0.035324,-0.03906,1
0.05515,-0.007045,0.078495,1
-0.033779,0.049066,0.026958,1
0.044954,-0.033716,0.011894,1
0.008785,0.016895,-0.09079,1
-0.061655,-0.023085,0.007996,1
-0.051274,0.054634,0.032257,1
0.04421,-0.062217,-0.018733,1
-0.003343,0.069586,0.069452,1
-0.064487,0.012217,0.040873,1
0.042168,-0.009972,0.047962,1
-0.061495,0.059835,0.025843,1
0.071795,-0.01526,-0.023346,1
0.058733,-0.029135,-0.011721,1
0.078178,-0.014786,-0.00032,1
2.418463,0.490127,0.033581,2
2.805184,0.769746,-0.557435,2
2.983722,-0.983118,-0.165216,2
3.055291,-0.477796,0.370524,2
3.015527,-0.666039,0.126169,2
2.449981,0.175666,-0.531892,2
3.199806,0.201051,0.58676,2
3.266405,0.012518,-0.761892,2
3.74771,-0.41696,0.148884,2
3.411849,0.516665,-0.702665,2
3.733854,0.184758,0.482416,2
3.59214,-0.371411,-0.673235,2
3.59351,0.125884,0.277346,2
2.387269,0.784515,-0.011033,2
3.423791,-0.039296,0.066654,2
2.425059,-0.206822,-0.263965,2
2.407337,-0.015134,0.097093,2
2.923991,-0.262388,-0.672982,2
3.188203,-0.476377,0.051427,2
2.377023,0.498033,-0.382225,2
2.610067,0.787375,0.046041,2
2.918826,-0.8296,-0.198249,2
2.932853,0.719728,-0.347704,2
3.47194,0.322667,0.25302,2
3.266172,0.207763,0.078446,2
2.916963,-0.636281,-0.459655,2
3.020822,-0.491739,0.382338,2
2.844004,-0.078753,-0.660588,2
2.826876,-0.241459,-0.143806,2
2.771511,0.362751,-0.669945,2
-2.69712,0.342837,0.296855,3
-2.57583,-0.752408,-0.225828,3
-3.308062,0.919403,-0.091698,3
-3.970394,-0.017968,0.097194,3
-3.332026,-0.22133,-0.410873,3
-2.679173,0.521163,0.033068,3
-2.186732,-0.536953,-0.08933,3
-3.013009,-0.082401,-0.750346,3
-3.464085,0.458797,-0.745681,3
-2.632916,0.683901,-0.153258,3
-3.315788,0.017903,0.703027,3
-2.833584,-0.684569,0.298511,3
-2.722148,-0.502344,0.245003,3
-2.608905,0.443179,0.447541,3
-2.853364,-0.788934,-0.276868,3
-2.809655,-0.092462,0.719525,3
-3.538035,0.777137,0.091226,3
-2.457811,-0.601538,0.548791,3
-2.762541,-0.540911,0.251193,3
-2.929594,-0.162338,0.427959,3
-3.054864,-0.220749,0.858853,3
-3.632051,-0.045369,0.497112,3
-3.595796,-0.25031,-0.26069,3
-2.285053,0.111547,0.652847,3
-2.664311,-0.035719,0.357768,3
-3.163578,0.286805,-0.843201,3
-2.599157,0.438496,0.094013,3
-3.381994,0.308228,-0.689706,3
-3.961031,-0.111044,0.022821,3
-2.827045,-0.074139,0.54136,3
0.498135,2.895371,0.786843,4
0.218436,3.067538,0.030236,4
0.135451,2.12925,0.320246,4
0.420118,3.055572,0.230617,4
0.659865,3.446317,-0.101455,4
0.619487,3.285343,0.278274,4
-0.294208,3.296888,-0.174357,4
-0.362217,2.657112,0.01996,4
-0.561919,3.334167,0.068536,4
0.186843,3.706688,-0.259004,4
0.450086,2.844335,0.073905,4
-0.047549,3.634562,0.613045,4
0.432449,3.774495,0.096256,4
0.444504,3.491508,-0.745843,4
-0.116409,2.618886,0.576378,4
-0.601582,3.548497,0.101766,4
0.268449,3.662073,-0.103739,4
-0.007967,2.91813,0.390422,4
-0.811876,2.976918,-0.40471,4
-0.003684,2.460306,0.323449,4
0.27221,2.287469,-0.243128,4
-0.003839,3.107724,-0.876719,4
0.175357,3.715249,0.344842,4
-0.350178,2.515348,0.695052,4
0.016665,2.986915,-0.265349,4
0.394178,2.772903,0.583035,4
0.715985,3.467443,-0.171137,4
0.28994,2.60696,0.767379,4
0.854454,2.895231,-0.335877,4
0.308424,3.293211,-0.383773,4
-0.154151,-2.382802,-0.552876,5
0.042376,-3.013402,0.26318,5
0.76406,-2.974825,0.304909,5
0.273431,-3.549045,0.602433,5
0.109072,-2.872739,-0.972276,5
-0.609027,-2.316553,0.05604,5
0.563714,-2.668933,0.272222,5
0.053112,-3.69483,-0.446254,5
0.374246,-3.881493,-0.178669,5
-0.25541,-2.573785,-0.369218,5
-0.05833,-3.539877,0.156878,5
0.436804,-2.849058,-0.705822,5
-0.185927,-2.83419,-0.871306,5
-0.15729,-3.035242,-0.447355,5
-0.253287,-2.355499,0.53801,5
0.856338,-2.928918,-0.105247,5
-0.448767,-2.892567,0.036684,5
-0.763126,-3.121529,0.012815,5
0.50729,-3.69845,-0.126832,5
-0.262387,-2.7936,0.893868,5
0.638189,-2.885896,-0.535134,5
-0.715655,-3.174318,-0.415442,5
-0.148243,-2.348742,-0.198939,5
-0.436461,-3.189614,-0.874082,5
-0.015747,-3.601469,0.678772,5
-0.380327,-2.120669,-0.201018,5
-0.078679,-2.969195,-0.085163,5
0.725907,-2.642703,-0.392598,5
-0.118512,-2.391662,-0.116857,5
0.378156,-3.742474,0.42604,5
-0.646687,-0.257803,2.879026,6
0.862612,-0.257097,3.339622,6
0.58395,0.25262,3.164447,6
-0.106313,0.539686,3.36243,6
-0.447773,-0.165269,2.395462,6
0.278688,-0.67851,3.019065,6
-0.499959,-0.102398,2.918835,6
0.628733,-0.136098,2.961669,6
-0.550777,0.820583,2.888145,6
0.280057,-0.332023,2.280202,6
-0.68149,-0.388565,2.852309,6
-0.150402,0.774676,3.236697,6
-0.175775,0.816718,2.810907,6
0.40849,-0.752991,2.708342,6
-0.687687,0.5331,2.864252,6
0.187892,0.099277,3.3971,6
0.40274,0.309218,2.184721,6
-0.333692,0.726125,2.755337,6
-0.073884,0.856673,3.449364,6
0.074276,-0.44986,2.289555,6
-0.234023,0.508787,2.627695,6
0.33853,-0.722352,2.402052,6
0.777033,0.217745,2.671151,6
0.093523,0.595698,3.532532,6
0.215945,-0.323846,2.195408,6
-0.031152,0.385966,3.106696,6
0.26075,0.391448,2.176698,6
-0.542543,0.386463,2.917456,6
-0.306005,-0.915958,2.884296,6
-0.114414,0.026251,3.899389,6
