% Data generated using R package 'mlbench'
%
% > library("mlbench") 
% > set.seed(1234)
% > data <- mlbench.hypercube(1000)
%
% The created data are \code{d}-dimensional spherical Gaussians with standard
% deviation \code{sd} and means at the corners of a
% \code{d}-dimensional hypercube. The number of classes is \eqn{2^d}.
%
@relation hypercube

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE z REAL
@ATTRIBUTE class {1,2,3,4,5,6,7,8}

@data
-0.1566065972,-0.0141521297,-0.0989518506,1
0.0042370995,0.0613664496,0.0423532409,1
-0.076140664,-0.1743607339,0.0267071226,1
0.1047485663,0.0365787875,0.0550272986,1
-0.1355395837,0.0283819703,0.1166432489,1
0.0400687981,-0.1492603912,0.0690499718,1
0.0343055003,-0.1967491289,-0.0008019409,1
0.0217041932,0.1930586532,0.1116983262,1
-0.0375053474,0.0590400817,0.0078101487,1
0.1007195738,-0.0899165668,0.0082587072,1
-0.0204669371,-0.0231705338,-0.1406907026,1
-0.0461077842,-0.0158907548,0.1280528958,1
-0.0592600881,-0.0711872381,-0.0036187533,1
0.0637811222,0.0210045842,-0.0002297954,1
-0.1151611112,0.0257624028,0.1722826228,1
0.1131886375,0.0255122277,-0.1403312848,1
-0.0845715025,-0.0583074289,0.0544604204,1
0.1004278403,-0.0056734584,0.0625695911,1
0.1408720917,-0.0273403266,0.0745925015,1
-0.1061820706,0.0816619823,-0.0833800579,1
0.0704700991,-0.0539975165,-0.0321699754,1
0.0759431564,-0.0383655829,-0.2053416168,1
-0.0775432642,-0.0839262829,0.1051135065,1
0.0177634359,0.0671517768,0.0443081938,1
0.0837818234,-0.1073884583,0.1499316242,1
0.183707584,0.0375314782,-0.049415068,1
-0.0819228063,-0.1383322302,-0.0907454321,1
0.0574231339,-0.045994472,0.1825054868,1
-0.0653520914,-0.0431741759,0.00360767,1
-0.0776607276,0.0924019317,0.1265656098,1
-0.0467710621,-0.0106853795,-0.1035619821,1
-0.1213377981,-0.0264984958,0.0085986011,1
-0.1594979632,-0.0266763443,-0.0275204686,1
-0.1847680069,-0.1174279436,-0.0205973471,1
0.0390095417,-0.0535924404,0.0425708103,1
-0.0010569857,0.082538202,-0.0078426978,1
0.1699321188,0.1447679586,0.164123622,1
0.1873565644,-0.134530455,0.0909890034,1
0.0683307742,0.1316567683,0.0104388763,1
-0.0088411383,0.0499480533,-0.0119802467,1
-0.0460128737,-0.0375689886,0.0868825864,1
0.0967408321,-0.0481935066,-0.040499364,1
0.1168079905,-0.0444933072,0.1187560572,1
0.0801542119,0.0456204102,-0.1195660577,1
-0.1474713438,-0.0223331247,-0.0223668836,1
0.2034810736,-0.0153138588,0.1432193549,1
-0.1196510071,0.1801510788,-0.1002670091,1
0.0454948633,0.0121130543,-0.0354734459,1
0.0386883891,0.1335320842,-0.1337845498,1
-0.005973781,0.039932571,0.0235636649,1
0.0585306355,0.170680063,-0.0063338173,1
-0.0598566955,0.1200205894,0.0379501911,1
-0.0163089673,0.1507755545,0.0349625492,1
-0.0961994135,-0.0633176935,-0.1143976037,1
-0.0657186654,0.1248069024,-0.0475803907,1
0.0142798769,-0.0217366665,-0.1994316726,1
-0.0646082137,0.0795072835,-0.044486431,1
0.063315496,0.0552478145,-0.0435847782,1
0.0837320346,0.0179986092,0.00003093,1
0.0023699245,-0.0074976434,0.1177493911,1
0.0144270539,-0.0358403419,0.275501685,1
0.0299571931,0.0568841304,0.0712045105,1
0.0364947712,0.0037461118,0.026217319,1
-0.0109763351,0.063299379,0.062317674,1
-0.2140000539,-0.0136592996,-0.0426368435,1
0.0174366137,0.0724194017,0.0742086396,1
-0.0123488056,0.0814446782,-0.0758751459,1
0.0340686669,0.0531964107,-0.1753366173,1
0.1784423604,0.100622764,-0.0283999587,1
0.0248764072,0.2341941747,-0.1211149034,1
0.0150276907,0.0078233331,0.0300175185,1
0.2212451621,0.0189268073,0.1238148521,1
-0.0182808746,0.0720409055,-0.0378675861,1
-0.1375939727,-0.0846255236,0.1663666036,1
0.0002621245,0.0119471684,-0.0080546774,1
0.1871605774,0.0634752107,0.0016165245,1
-0.0052518714,-0.1489895388,0.0772210596,1
-0.0067335372,-0.0551805932,-0.0765262711,1
0.0523615097,-0.1216089069,0.088911978,1
-0.0690677814,-0.0730871105,0.1002301414,1
0.0153879364,-0.0348347221,-0.1039684963,1
0.115962363,-0.1164237997,0.1028640114,1
0.024655883,-0.0393364991,0.0909845726,1
-0.0565770329,-0.0440810388,0.195011857,1
-0.0775218583,0.0709131872,0.0728530454,1
