@RELATION impossible
%
% A dataset inspired by Jain, Anil K. "Data clustering: 50 years beyond K-means."
% Pattern recognition letters 31.8 (2010): 651-666.
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,6,noise}
%
@DATA
-5.5538,0.561013,0
-6.48494,6.32478,0
-5.71956,5.52794,0
-6.38215,5.17034,0
-6.01679,3.07758,0
-6.01846,4.79616,0
-6.01227,6.4737,0
-5.46068,5.22418,0
-5.95261,5.38285,0
-6.46936,6.76123,0
-6.10169,5.76893,0
-4.84795,5.991,0
-5.13455,5.02859,0
-8.62973,3.38394,0
-5.67727,5.40218,0
-3.68992,3.57811,0
-4.93594,4.59442,0
-6.00821,5.42598,0
-5.58433,5.892,0
-6.46587,5.09685,0
-5.51081,3.53541,0
-5.46751,5.62884,0
-4.71418,5.04396,0
-4.25315,3.89072,0
-3.03618,3.91557,0
-5.30597,5.02881,0
-5.00902,6.24916,0
-5.2256,4.47079,0
-2.95128,5.12341,0
-5.89386,5.48168,0
-3.50281,4.99085,0
-4.73937,5.60602,0
-3.01446,6.69575,0
-5.55209,5.47763,0
-5.18979,6.96739,0
-3.69935,6.90111,0
-5.32046,1.6687,0
-6.17828,6.57676,0
-4.80562,5.13304,0
-2.93172,2.82274,0
-5.56137,3.75279,0
-2.58879,7.64645,0
-7.34446,5.88776,0
-3.54352,5.90599,0
-7.54487,7.49871,0
-5.28389,3.48979,0
-5.89679,6.39172,0
-8.20351,4.00773,0
-5.2678,4.78224,0
-6.89723,5.48855,0
-5.24779,5.29832,0
-4.02118,5.09547,0
-3.76136,7.9317,0
-5.57312,0.0,0
-5.78186,6.74538,0
-4.49065,5.20749,0
-5.56968,4.1766,0
-4.40403,6.19029,0
-5.26131,5.19262,0
0.0,8.07708,noise
-5.70507,6.32683,0
-5.28073,5.68546,0
-5.27156,5.35248,0
-4.86771,8.04125,0
-3.66952,3.63414,0
-6.54304,5.62981,0
-6.30769,5.04971,0
-6.59916,5.36963,0
-3.09429,4.73249,0
-5.50309,4.78656,0
-3.7504,6.49037,0
-3.53147,6.74278,0
-6.67045,5.39207,0
-3.91602,5.03638,0
-6.21466,6.88665,0
-7.85139,4.44472,0
-5.83847,0.135315,0
-6.73759,6.07469,0
-7.61748,4.70273,0
-4.27405,6.49548,0
-5.2453,4.04368,0
-5.48382,5.75381,0
-3.44706,4.98879,0
-6.87776,5.13894,0
-5.2738,5.36032,0
-4.45005,6.18035,0
-5.76795,5.3109,0
-5.04493,4.81493,0
-5.6506,5.57812,0
-5.8265,5.74227,0
-5.5969,5.81059,0
-6.61576,6.23329,0
-5.29137,3.04255,0
-6.52524,5.31695,0
-3.48338,3.47071,0
-1.45547,5.9859,0
-4.67045,4.87731,0
-4.57665,5.61729,0
-5.97334,1.85025,0
-4.80221,5.10595,0
-5.2975,5.30875,0
-6.98804,4.97824,0
-5.28091,5.99885,0
-6.24329,6.63446,0
-5.6672,4.18302,0
-5.67329,5.36084,0
-6.37622,3.29395,0
-4.71013,7.16859,0
-4.88565,4.28751,0
-4.77752,5.40051,0
-4.72295,6.47147,0
-3.69642,3.81129,0
-5.28199,5.39181,0
-5.56672,5.53292,0
-5.65014,5.07792,0
-6.75301,5.81844,0
-3.74022,2.03395,0
-5.68839,5.81493,0
-1.8135,5.70912,0
-5.81721,4.12458,0
-5.2726,4.24509,0
-8.82401,4.55835,0
-5.59904,6.31387,0
-2.67894,3.24763,0
-4.94008,4.27141,0
-4.48096,3.62735,0
-4.91782,4.68646,0
-5.25257,5.18581,0
-6.483,4.92648,0
-5.19143,5.16725,0
-4.67479,8.11568,0
-7.63757,5.50164,0
-5.88773,6.31302,0
-5.4719,6.37919,0
-3.5278,4.09364,0
-5.7301,6.316,0
-7.01467,5.40308,0
-5.21825,4.56363,0
-6.09948,6.62598,0
-5.65704,4.13131,0
-5.36179,4.12478,0
-7.1669,5.50285,0
-5.79664,5.246,0
-5.8061,6.83852,0
-4.31766,5.92369,0
-4.7676,5.42981,0
-6.31029,3.46265,0
-6.65716,7.03541,0
-5.26245,5.34371,0
-5.12885,5.36668,0
-4.82417,4.84142,0
-5.48188,4.28607,0
-3.97209,7.60843,0
-5.35507,4.88502,0
-6.27147,6.22418,0
-1.20786,3.40496,noise
-1.67462,5.08064,0
-5.50674,5.58007,0
-5.62181,5.39887,0
-5.78939,5.18031,0
-5.30657,5.5194,0
-5.59321,5.5276,0
-5.28225,4.03601,0
-5.98268,5.67024,0
-4.32628,5.06583,0
-5.21567,5.60019,0
-5.29231,5.51401,0
-4.04873,2.95006,0
-4.61871,6.7088,0
-8.03479,2.83391,0
-4.56367,7.85613,0
-5.68173,4.70178,0
-4.87548,4.56197,0
-4.37665,4.38962,0
-3.64046,7.02725,0
-3.98525,2.12563,0
-6.86249,3.83379,0
-3.63106,6.06056,0
-4.81206,7.63988,0
-4.81147,4.12859,0
-5.67258,5.43565,0
-5.38252,5.99903,0
-0.94738,3.05111,noise
-5.43479,5.30787,0
-5.42517,5.62072,0
-5.76952,7.24627,0
-4.2422,6.08111,0
-5.9218,4.75027,0
-4.76371,8.45842,0
-8.73343,2.86659,0
-7.35093,6.11729,0
-4.79238,5.47254,0
-5.58771,6.76067,0
-5.03205,6.14842,0
-5.20155,5.41052,0
-4.6923,4.21776,0
-5.28197,5.31005,0
-5.5937,5.27969,0
-4.84552,5.467,0
-5.73933,6.42887,0
-7.61598,7.67545,0
-5.85998,4.78645,0
-4.89523,4.42072,0
-2.256,4.71641,0
-6.11863,3.695,0
-5.67648,5.18961,0
-5.03903,6.68495,0
-4.15114,5.23118,0
-5.12058,4.45853,0
-6.58172,4.97398,0
-7.8471,5.31566,0
-5.52456,6.11448,0
-5.65681,5.53708,0
-4.86158,7.84855,0
-5.6757,5.79322,0
-5.08568,5.65391,0
-5.11519,5.97548,0
-5.50236,5.22942,0
-3.37358,6.22002,0
-5.78869,3.30763,0
-4.79959,9.05035,0
-5.47589,5.53221,0
-7.17119,8.00101,0
-3.46775,7.69609,0
-4.78386,6.9909,0
-6.45422,5.53609,0
-5.60936,3.84326,0
-6.33764,5.20983,0
-5.88164,4.90121,0
-7.38612,2.59845,0
-5.71576,5.00764,0
-3.41207,5.37764,0
-5.45824,6.35544,0
-5.01696,4.39406,0
-6.23808,6.85566,0
-8.07851,8.70973,0
-6.02914,3.95256,0
-6.19848,7.00055,0
-4.42593,4.70248,0
-4.70994,3.81558,0
-6.3913,5.04898,0
-6.90067,6.08782,0
-5.38507,5.50826,0
-2.71354,2.30551,0
-5.49997,7.31324,0
-4.94968,5.32843,0
-4.23177,5.06238,0
-4.09216,3.12536,0
-5.31603,3.96169,0
-4.79034,7.84944,0
-5.31585,5.21197,0
-5.11001,4.09634,0
-4.33952,6.43281,0
-3.7726,5.96393,0
-4.64255,7.26951,0
-6.21891,5.53619,0
-5.29181,5.32728,0
-6.11419,3.10017,0
-4.56094,4.70606,0
-4.14328,6.99436,0
-4.86069,5.45554,0
-5.40335,5.264,0
-6.07532,6.5867,0
-6.00423,4.11875,0
-6.14132,5.88148,0
-5.78043,5.60122,0
-7.21674,8.00847,0
-5.03903,5.42108,0
-5.5378,5.63532,0
-2.58413,7.11112,0
-5.28641,5.34819,0
-6.38335,4.68211,0
-5.18446,5.21995,0
-4.66456,5.67293,0
-4.47387,6.79694,0
-5.94827,6.56519,0
-5.34161,5.25864,0
-6.63,4.29736,0
-5.05768,6.85017,0
-6.04643,3.39427,0
-4.49294,4.83375,0
-3.27378,2.51687,0
-5.30807,4.35019,0
-5.85818,4.5588,0
-5.35093,5.14102,0
-5.20708,5.29286,0
-5.27604,5.4013,0
-7.24057,8.8012,0
-2.51788,5.14066,0
-4.19498,3.92938,0
-5.34727,5.24413,0
-4.16614,5.25841,0
-5.02538,5.29219,0
-5.53579,8.10424,0
-5.36093,5.42988,0
-3.3295,4.53768,0
-4.72446,5.0059,0
-5.98474,4.03543,0
-4.16706,4.32612,0
-5.80564,7.1275,0
-3.6536,5.35515,0
-4.62638,4.46167,0
-5.46752,6.28456,0
-6.52619,5.57676,0
-5.33605,3.30966,0
-4.16848,4.98272,0
-1.75811,6.43717,0
-5.82927,5.23711,0
-4.25635,5.09255,0
-6.99348,5.06765,0
-5.36894,2.54626,0
-5.80104,6.74889,0
-5.14512,6.41893,0
-4.78241,3.65379,0
-5.82124,5.70765,0
-6.72731,8.62653,0
-6.28318,5.87249,0
-5.53762,8.37959,0
-4.63137,4.49373,0
-5.56134,4.38589,0
-4.86065,3.94023,0
-4.07309,4.72837,0
-6.85962,6.13945,0
-5.39235,5.33753,0
-4.77739,5.78198,0
-6.7965,5.94547,0
-6.43197,6.83996,0
-7.01702,5.48743,0
-1.35098,3.9078,noise
-4.57464,6.747,0
-4.93414,4.90621,0
-6.73591,4.80888,0
-3.50468,6.63125,0
-5.37743,5.31057,0
-5.5419,5.56046,0
-4.6703,4.76714,0
-4.71633,4.4282,0
-5.045,4.49456,0
-3.69882,3.44702,0
-5.50311,1.89032,0
-7.77628,3.77626,0
-6.90174,7.44852,0
-4.45165,4.05408,0
-6.29679,5.37088,0
-5.22076,5.6527,0
-5.09198,6.08629,0
-5.54663,3.25155,0
-4.65611,3.5427,0
-5.12683,5.92545,0
-5.47359,5.41546,0
-5.63985,5.11637,0
-7.68141,6.83821,0
-4.9435,5.62237,0
-4.78729,4.46869,0
-4.92941,5.38124,0
-5.09215,5.90574,0
-5.0495,4.72186,0
-6.60997,5.82587,0
-4.74503,5.44743,0
-4.64165,4.39156,0
-6.44379,9.61872,0
-5.9776,4.94145,0
-5.38455,5.67128,0
-2.12445,7.57134,0
-4.74973,5.52556,0
-7.15984,2.34965,0
-3.98384,6.52215,0
-5.07466,2.76149,0
-4.62469,3.16661,0
-4.80308,4.50295,0
-5.50898,4.6008,0
-4.44918,5.37934,0
-5.1916,5.14805,0
-5.24048,5.68643,0
-5.61905,4.90499,0
-3.74671,5.08619,0
-5.0075,2.80144,0
-7.29844,6.98398,0
-4.85592,4.42719,0
-3.66653,8.17207,0
-5.16454,5.48286,0
-6.39959,6.89674,0
-5.71906,4.43419,0
-5.67139,5.20428,0
-5.11347,5.6901,0
-4.62497,6.18933,0
-5.14952,5.81897,0
-4.7201,5.56155,0
-6.15781,5.67068,0
-6.42451,3.24626,0
-5.3095,5.06802,0
-4.79471,6.49889,0
-4.808,4.99638,0
-5.90117,3.02873,0
-5.51934,5.44331,0
-6.82518,5.41501,0
-5.3832,5.00242,0
-8.4432,3.7193,0
-5.72857,5.93908,0
-7.03941,5.97801,0
-5.02176,4.98024,0
-4.45739,6.54771,0
-5.03508,5.1507,0
-4.39717,6.84524,0
-7.36682,3.52445,0
-5.30181,5.29866,0
-4.88124,3.62337,0
-7.65862,8.09537,0
-5.99143,6.81863,0
-5.61819,6.06207,0
-4.08461,2.18545,0
-5.99434,5.23584,0
-5.40168,5.25637,0
-3.10086,5.62357,0
-4.04224,5.94057,0
-4.79543,5.5648,0
-5.41252,5.36243,0
-5.1474,5.07209,0
-5.30498,5.71456,0
-6.39377,5.20054,0
-5.53259,4.35852,0
-5.37163,5.48961,0
-5.9132,3.46233,0
-4.81144,5.52512,0
-4.61094,6.22436,0
-5.15191,5.25048,0
-5.30466,5.31614,0
-7.19419,5.7791,0
-6.00306,5.56561,0
-4.29599,4.46415,0
-5.10154,5.33112,0
-5.12035,6.56891,0
-3.92457,4.35968,0
-5.25881,5.08884,0
-6.20308,5.53181,0
-4.0958,5.92708,0
-6.13159,1.33591,0
-4.8138,4.78976,0
-2.72314,4.23687,0
-5.63569,7.40099,0
-5.65631,4.16428,0
-5.24445,4.70822,0
-4.79778,3.91061,0
-5.31532,5.58004,0
-6.0459,3.00573,0
-6.35972,3.00645,0
-7.83728,5.81843,0
-4.66664,6.81013,0
-3.28203,3.21438,0
-5.24269,6.52288,0
-4.71305,5.38234,0
-6.16401,2.72147,0
-5.29672,5.48039,0
-7.14013,6.21093,0
-5.32794,3.66028,0
-3.44444,5.16649,0
-5.71879,5.68079,0
-6.4422,5.24537,0
-5.54992,4.16129,0
-4.38033,4.4014,0
-4.59906,4.89945,0
-4.89962,5.1459,0
-5.70873,5.71043,0
-5.5745,5.67132,0
-5.28203,5.2475,0
-5.37895,5.21315,0
-7.56004,3.41714,0
-5.20353,5.20892,0
-5.06228,4.45055,0
-7.27794,4.09406,0
-4.76551,6.60435,0
-5.39894,6.40181,0
-4.03026,2.6774,0
-5.33011,5.95552,0
-3.53251,3.52269,0
-6.28395,2.80071,0
-7.1171,7.41743,0
-4.96436,4.97018,0
-6.20757,6.39557,0
-5.19256,4.93503,0
-3.06222,3.77457,0
-8.38352,4.00044,0
-8.60342,7.35705,0
-4.98964,5.91564,0
-5.3049,5.45513,0
-3.16273,6.26175,0
-5.98676,8.1314,0
-4.88851,5.57551,0
-7.14419,4.28085,0
-5.42467,5.61549,0
-6.04129,5.68044,0
-5.12412,5.73745,0
-7.52483,6.29485,0
-5.28161,5.34064,0
-7.98411,6.68471,0
-7.6611,6.6746,0
-5.77629,8.63058,0
-7.34072,9.43131,0
-3.88938,5.16736,0
-5.6851,4.43234,0
-6.79058,2.19871,0
-3.3831,7.25243,0
-5.13545,4.13553,0
-5.4812,6.35804,0
-10.0,5.11107,noise
-5.59674,5.37409,0
-4.50515,10.0,0
-7.31812,4.34666,0
-5.34753,5.09001,0
-8.24591,3.62265,0
-4.37963,5.7354,0
-5.46246,5.47205,0
-4.69616,5.70766,0
-6.54775,4.11913,0
-5.48341,5.16163,0
-5.22635,5.16778,0
-7.84026,2.80582,0
-5.25779,4.64985,0
-7.51987,3.03863,0
-7.0339,3.93695,0
-6.97898,3.65561,0
-5.02369,3.14266,0
-6.16531,3.6399,0
-7.59801,5.41252,0
-4.44723,8.54128,0
-4.84029,5.50468,0
-5.10274,5.53384,0
-6.0406,4.3729,0
-6.77924,3.11402,0
-5.96491,6.10358,0
-5.63841,5.4426,0
-5.28079,5.06864,0
-5.49187,7.0736,0
-6.43465,3.55416,0
-4.15561,5.28017,0
-4.63934,4.66791,0
-5.23784,5.26226,0
-6.32277,1.52752,0
-7.43745,5.517,0
-5.2138,5.08794,0
-6.04543,6.97045,0
-4.39968,3.32968,0
-4.98407,4.32588,0
-6.93651,6.98599,0
-5.95819,5.11946,0
-5.46978,5.24906,0
-6.16607,2.48784,0
-7.09145,3.69191,0
-4.54548,5.96068,0
-4.55004,4.66072,0
-5.66484,3.83805,0
-4.94725,4.95708,0
-4.34713,5.97386,0
-5.93635,4.81682,0
-5.01915,6.0838,0
-6.23082,5.95025,0
-5.28232,5.87011,0
-7.36659,3.84984,0
-7.69103,8.49356,0
-5.04675,6.12694,0
-5.35653,5.6008,0
-4.83491,0.652457,0
-5.60336,5.20416,0
-7.49678,6.56601,0
