% Handl, Julia, and Joshua Knowles. "Multiobjective clustering with automatic determination of the number of clusters."
% UMIST, Manchester, Tech. Rep. TR-COMPSYSBIO-2004-02 (2004).
@RELATION longsquare
%
@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5}
%
@DATA
15.464,19.4409,0
17.7983,14.8367,0
15.0522,17.2602,0
15.3265,18.1245,0
17.7211,15.0053,0
16.7703,16.5096,0
14.5202,15.2777,0
13.0365,16.5854,0
12.9726,17.9263,0
15.8985,17.3809,0
17.4951,17.3044,0
15.429,14.2952,0
17.3656,14.5727,0
15.3067,17.2094,0
16.0827,15.4634,0
17.0917,17.56,0
16.9116,14.989,0
17.4422,16.4065,0
16.0756,14.5156,0
15.9407,14.9483,0
16.3072,14.9,0
15.6273,14.0664,0
16.2231,18.0958,0
18.582,18.2984,0
14.6839,12.5133,0
18.0406,14.282,0
16.9226,15.4166,0
16.1448,14.0772,0
15.5834,17.4993,0
15.3563,15.9997,0
15.502,15.2259,0
17.5806,14.6431,0
19.5359,17.3495,0
17.1991,15.8414,0
18.0528,16.1468,0
15.7983,16.6047,0
15.512,17.1197,0
17.0188,18.0452,0
15.0616,13.7979,0
19.2077,14.2998,0
15.2413,14.1172,0
13.48,15.2144,0
17.5143,15.5952,0
19.3998,16.5515,0
14.3853,17.2844,0
12.5038,15.8406,0
14.5953,14.5792,0
16.4044,16.5052,0
14.9307,13.9586,0
16.777,14.848,0
14.9371,14.3088,0
14.8611,14.7618,0
18.4363,16.9572,0
13.6519,17.5881,0
13.0717,20.5201,0
14.8945,15.9053,0
15.8362,15.5648,0
15.2934,16.1949,0
15.8895,14.6806,0
16.476,15.1737,0
14.2752,15.1935,0
18.4192,16.271,0
17.4179,16.3666,0
14.3428,15.3748,0
15.7446,15.1492,0
17.5479,13.6618,0
16.3384,18.499,0
16.5278,16.4721,0
15.7585,14.776,0
17.4294,15.5536,0
14.9692,17.9135,0
14.9882,16.445,0
18.7688,17.8611,0
11.8488,16.2259,0
14.9125,17.3603,0
14.5812,14.6913,0
17.2207,15.2994,0
14.4517,15.2015,0
17.5746,11.7335,1
15.1593,16.7917,0
15.8593,15.7597,0
14.8812,13.6643,0
17.5061,15.6569,0
16.4077,15.9492,0
14.3321,16.4796,0
17.3265,14.7527,0
16.2282,14.7003,0
16.9978,15.0612,0
18.5195,18.0621,0
15.6272,15.1682,0
13.6691,14.7616,0
17.2089,15.851,0
17.9445,13.4884,0
16.6038,15.7889,0
15.5254,15.9746,0
18.127,16.6261,0
17.7556,16.1532,0
18.0631,13.9859,0
15.2447,13.4001,0
16.8611,14.1324,0
16.6306,17.1213,0
16.2315,16.2718,0
15.3492,17.1801,0
16.5457,17.3388,0
15.4792,14.1565,0
15.9852,16.2795,0
14.9367,16.9359,0
14.9714,15.7472,0
15.0812,14.504,0
16.0673,16.6687,0
14.5134,16.4144,0
15.6038,18.5234,0
16.5157,15.1785,0
16.1788,15.6728,0
18.3742,16.2976,0
19.1106,17.5936,0
15.8487,13.0658,0
14.5193,16.6634,0
17.521,19.4902,0
17.7429,18.1655,0
17.6849,16.367,0
17.0571,14.0977,0
13.2984,18.2434,0
16.0727,15.9948,0
17.6686,17.5843,0
18.1393,18.4202,0
13.1623,14.8153,0
17.4634,16.6513,0
17.4023,16.8694,0
14.2923,15.3198,0
17.5792,14.6935,0
14.9105,11.5546,1
14.8898,15.7512,0
16.394,16.6561,0
18.9102,14.4874,0
17.9887,15.1311,0
16.8118,12.1841,1
15.0836,15.3659,0
16.5774,17.569,0
17.9506,15.1076,0
14.517,17.4431,0
15.9166,16.4265,0
16.6646,16.0965,0
15.8347,15.9536,0
15.61,17.9846,0
16.063,15.0598,0
16.7968,16.4879,0
16.5396,14.5664,0
12.9813,16.077,0
17.0785,11.6825,1
15.699,7.32908,1
14.1085,6.94373,1
18.4709,8.60249,1
16.9888,8.29333,1
19.4182,7.62731,1
14.6617,5.08308,1
17.9592,10.0375,1
16.0899,10.4643,1
14.7572,5.59175,1
13.6694,6.54048,1
13.8108,6.6018,1
15.8599,5.92665,1
15.6776,8.29735,1
13.9861,10.271,1
18.0023,6.07867,1
18.8984,9.10032,1
15.8383,8.23948,1
16.1484,6.66557,1
15.9478,9.24739,1
16.9019,7.06773,1
17.2531,6.23929,1
19.5515,8.93252,1
19.0103,9.5994,1
15.9829,8.38472,1
17.2588,8.93734,1
16.5692,8.65011,1
14.0129,7.56813,1
16.8909,8.33322,1
14.8916,8.64276,1
15.4347,4.60389,1
14.2902,8.12746,1
17.7572,5.78679,1
17.4824,7.33767,1
15.9216,9.92918,1
16.7039,6.25332,1
16.5762,10.7403,1
14.8297,9.86756,1
17.5867,7.25238,1
14.8511,7.37453,1
15.5677,9.96748,1
17.4781,10.4769,1
16.1063,6.62133,1
16.2928,8.9168,1
18.338,6.74959,1
17.4109,9.79361,1
20.1779,7.4522,1
16.8988,5.96699,1
16.5832,8.704,1
14.9648,5.78802,1
18.7261,6.80646,1
15.8844,7.2688,1
16.803,9.7472,1
14.2722,8.28467,1
15.9054,9.09486,1
15.2714,8.79806,1
15.3622,9.17853,1
14.5347,6.65277,1
14.8409,5.25403,1
16.4029,11.4222,1
15.5175,11.9222,1
16.0587,8.00488,1
16.2007,8.18439,1
