% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: different variances and inter cluster distances
%
@relation lsun

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3}

@data
3.277701,0.814082,1
0.387577,0.17678,1
0.268546,0.582963,1
2.031145,0.244597,1
0.188677,0.46128,1
3.525472,0.265579,1
2.229583,0.682189,1
3.392074,0.420976,1
3.589815,0.832527,1
1.227873,0.810909,1
1.300699,0.146538,1
3.596968,0.421791,1
3.106757,0.779664,1
0.221139,0.612603,1
1.496841,0.495985,1
2.860498,0.535719,1
1.45071,0.142352,1
1.745799,0.066373,1
1.4048,0.32968,1
1.7696,0.777809,1
0.464511,0.672442,1
2.750803,0.16552,1
1.571006,0.091428,1
1.18166,0.857799,1
0.661957,0.612812,1
0.828567,0.798048,1
3.313914,0.216602,1
3.625645,0.538592,1
3.611238,0.584716,1
2.904519,0.465036,1
3.080431,0.24549,1
3.851167,0.574214,1
0.944956,0.077006,1
3.834215,0.224878,1
2.179064,0.784896,1
2.716449,0.944268,1
0.02978,0.931252,1
0.095525,0.349743,1
3.835506,0.889721,1
1.142732,0.811691,1
3.747439,0.654886,1
0.948862,0.122011,1
0.160755,0.702042,1
3.288779,0.737797,1
1.35625,0.029101,1
0.91626,0.59616,1
1.252876,0.500998,1
2.471178,0.39643,1
2.364922,0.992772,1
2.172301,0.283717,1
0.671267,0.055467,1
2.165402,0.152,1
2.661288,0.467768,1
1.92646,0.74119,1
1.899647,0.649203,1
3.82986,0.726794,1
1.133497,0.516173,1
2.309857,0.767935,1
1.371371,0.956664,1
0.151858,0.284416,1
2.096938,0.411357,1
1.30049,0.720155,1
3.534799,0.181775,1
1.217877,0.460971,1
2.726977,0.699328,1
0.682141,0.054686,1
0.837813,0.912877,1
0.799211,0.501879,1
0.042015,0.689603,1
0.520977,0.079651,1
0.71972,0.445045,1
0.197504,0.36273,1
1.724494,0.670107,1
3.57454,0.08528,1
1.416691,0.723741,1
3.037057,0.548241,1
3.644992,0.349585,1
0.049575,0.013442,1
1.023898,0.977225,1
1.815563,0.32859,1
2.312471,0.520445,1
0.855281,0.42998,1
0.760641,0.724534,1
1.48494,0.793583,1
2.725697,0.764628,1
2.789323,0.243674,1
3.803611,0.25148,1
1.591552,0.431951,1
3.102531,0.674293,1
0.565235,0.679348,1
0.985402,0.187597,1
2.948159,0.311962,1
1.323618,0.644543,1
0.552512,0.648435,1
0.635387,0.474052,1
3.928676,0.204357,1
0.780925,0.800335,1
1.872623,0.814694,1
2.759808,0.162941,1
3.504794,0.648843,1
3.683266,0.59175,1
2.441121,0.097041,1
0.031457,0.462131,1
3.387011,0.07938,1
1.982598,0.588441,1
2.696483,0.24238,1
1.159278,0.190088,1
0.576024,0.996298,1
3.538351,0.281543,1
3.304712,0.77258,1
0.438501,0.884463,1
1.937908,0.82629,1
1.434005,0.338369,1
3.112876,0.655144,1
0.413395,0.150636,1
1.358768,0.479656,1
1.731313,0.95869,1
2.130866,0.004658,1
0.057906,0.933944,1
1.365225,0.699019,1
3.101071,0.982575,1
0.331075,0.263808,1
1.086791,0.353972,1
1.996396,0.528335,1
3.845884,0.795806,1
0.985853,0.434387,1
1.688165,0.938172,1
0.161953,0.829518,1
0.287702,0.857928,1
0.972789,0.916516,1
1.30506,0.621873,1
3.515395,0.462665,1
1.736284,0.812699,1
1.788111,0.112125,1
0.692963,0.831389,1
0.459059,0.283671,1
1.421594,0.942622,1
3.222115,0.997386,1
3.055062,0.603635,1
3.439667,0.514822,1
2.742587,0.603127,1
0.258403,0.395579,1
1.707936,0.209115,1
3.110911,0.81924,1
2.199103,0.812362,1
1.784882,0.387625,1
1.886291,0.684541,1
2.886793,0.942807,1
2.7774,0.706607,1
1.463492,0.491627,1
2.073286,0.916573,1
3.728174,0.954035,1
0.0787,0.263543,1
1.37351,0.62181,1
0.698877,0.482423,1
0.448893,0.098618,1
0.735566,0.119708,1
2.724216,0.58073,1
