% source: http://sse.tongji.edu.cn/zhaoqinpei/Software/

@relation mopsi-finland

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL

@DATA
625983,297439
626146,297440
626144,297456
626004,297394
626018,297437
626038,297518
626022,297440
626027,297472
626021,297440
626070,297485
625962,297276
626019,297437
625978,297249
625968,297485
626017,297441
625981,297481
626021,297439
625975,297482
626019,297440
625991,297464
625994,297461
625987,297485
614736,238677
614544,238485
626142,297433
625908,297411
625919,297426
625904,297404
625910,297417
625902,297402
626189,297614
626181,297432
625969,297458
625988,297454
625958,297456
626023,297432
626008,297468
625950,297473
625984,297424
625810,297954
625963,297886
625994,297751
626019,297594
626023,297493
625991,297480
626149,297427
625979,297433
625978,297432
626009,297451
625999,297456
625981,297445
626000,297458
626051,297386
626044,297394
626045,297396
626044,297396
625985,297434
626005,297476
625979,297488
625970,297500
625989,297457
626149,297439
626151,297439
625982,297437
625981,297437
626153,297438
625980,297480
626000,297456
626150,297435
626203,297661
626306,297743
625989,297429
625986,297435
625980,297443
626037,297458
625986,297430
625985,297431
626118,297723
625999,297461
625987,297458
625983,297483
625980,297429
625984,297445
625963,297470
625948,297480
625985,297430
625769,298102
625779,298081
626009,297513
626023,297495
625983,297445
625780,298076
626014,297644
626021,297644
626021,297621
626153,297439
626124,297322
626145,297411
626142,297472
626152,297442
626150,297427
626153,297454
626151,297435
626152,297428
626155,297464
626150,297439
625778,298077
626016,297603
626017,297603
625984,297589
625988,297602
625972,297595
625987,297594
625979,297441
625983,297433
625983,297437
625912,297608
626010,297457
626150,297430
625977,297432
626029,297000
626200,297000
625979,297444
626086,297465
626016,297527
626151,297439
626152,297437
626149,297447
625981,297444
626028,297624
626029,297628
626155,297424
626149,297437
626150,297433
626305,297743
626303,297743
625980,297451
626004,297431
626006,297432
626026,297446
626028,297448
626038,297453
626002,297430
625985,297435
625981,297448
626037,297457
626008,297609
626010,297610
626134,297416
626015,297463
625981,297443
625986,297446
626256,297728
626025,297483
626080,297548
626014,297477
626122,297943
626061,297521
625994,297459
626086,297546
626003,297469
626644,298071
626022,297492
626161,297645
626003,297484
626169,297630
626011,297477
626474,297949
626140,297644
626101,297589
625968,297457
626000,297402
626158,298194
626100,298300
626166,298293
624738,290294
624754,290377
624900,291338
624926,291454
625481,294121
625687,295067
626057,296430
626147,297415
626150,297435
625981,297445
626194,296941
626033,297449
625980,297442
626227,297004
626189,298151
626023,297495
625940,297754
626047,297988
626046,297994
625950,297590
625981,297445
626108,297598
626097,297636
626145,297687
626154,297690
626189,297676
626193,297682
626194,297687
626190,297706
626187,297712
626169,297756
626075,297760
626076,297731
626031,297609
626025,297606
625992,297573
625993,297587
625988,297592
625997,297625
625996,297628
625990,297659
625995,297651
626011,297660
626011,297664
626010,297659
626011,297646
626015,297640
626021,297646
626024,297649
626031,297652
626032,297656
626040,297638
626036,297634
626035,297643
626028,297627
626030,297622
626031,297614
626028,297622
626022,297625
626015,297616
626013,297616
626010,297611
626007,297606
626008,297597
625999,297528
625961,297486
625961,297484
625987,297456
625982,297436
630918,298107
626029,297619
626040,297452
626039,297445
626182,297087
626142,298283
626146,298282
630970,298025
629282,297818
628590,298549
626181,297724
626186,297700
626140,298277
626030,297615
626028,297616
625981,297443
626041,297450
626183,297071
626011,297638
626010,297616
625806,297647
626000,297432
626000,297434
604530,222868
626067,297420
625979,297436
626011,297430
626150,297419
603178,249658
603177,249657
626005,297426
626006,297417
626009,297404
626010,297401
626041,297332
626042,297295
626043,297285
626061,297296
626060,297307
626060,297318
626059,297328
626058,297330
626061,297334
626058,297335
626058,297337
626019,297456
626015,297472
625979,297453
625985,297439
625981,297432
626154,297417
626160,297782
625991,297666
625998,297658
625997,297657
625997,297655
625998,297654
626000,297655
625998,297656
626161,297740
625980,297437
625998,297449
625991,297443
625981,297437
627625,298280
627626,298281
627625,298277
627624,298280
627636,298272
627628,298272
627631,298268
627633,298268
627683,298267
627683,298265
627682,298273
627680,298286
627678,298279
627677,298273
627678,298275
627674,298268
627757,298468
626151,297436
627671,298264
627641,298232
626029,297619
626029,297616
625995,297441
626028,297438
626257,296322
625980,297448
626161,297618
626130,297611
626129,297501
626030,297417
626029,297420
626041,297644
626096,298261
626153,297420
626151,297443
604550,222559
604773,222992
604803,223052
604803,223038
604881,223114
625978,297471
626058,297373
626046,297407
618922,298248
603929,256553
603104,249686
626148,297426
626152,297429
625980,297441
625977,297442
626005,297611
626008,297621
626009,297616
626009,297614
626008,297616
626007,297622
626006,297617
626003,297620
626009,297611
626145,297354
626172,297292
626137,297368
626134,297399
626008,297598
626013,297602
625980,297434
626146,297430
625995,297657
625986,297439
625984,297436
625986,297437
625990,297654
625970,297709
625970,297707
625972,297710
625910,297364
626278,296077
626387,296962
626386,296966
626387,296964
626386,296959
625912,297362
625916,297363
626150,295029
625492,297381
625759,297109
625978,297598
626003,297622
626153,297432
626306,301273
626308,301266
626315,301278
626616,301145
627429,301544
627878,301591
627883,301589
627885,301588
627993,301552
628032,301533
628032,301531
628025,301199
628020,301186
627721,300510
627314,299649
627173,299032
627155,298745
627152,298694
626150,297428
625999,297639
626143,297409
626149,297431
626150,297431
626147,297425
626324,298387
626325,298388
626328,298389
626381,298274
626130,295573
626096,295600
626082,295653
626080,295660
626051,295714
625812,295869
625678,295678
625670,295660
625664,295641
625657,295623
625642,295585
625620,295567
625285,295365
625269,295365
625254,295366
625252,295366
625238,295369
625152,295428
625096,295496
625091,295502
625088,295506
624852,295338
624666,295515
623984,295741
623933,295701
623925,295692
623922,295689
623918,295684
623913,295678
623909,295674
623907,295670
623904,295666
623559,295342
623148,295139
623145,295142
623144,295143
623049,295689
623061,295756
623316,296321
623317,296314
623318,296312
623317,296310
623331,296292
623332,296291
623325,296299
623325,296305
623322,296304
623316,296314
623315,296315
623648,298357
624279,299297
624341,299056
624350,299038
624371,298939
624401,298903
624413,298910
624423,298913
624585,299034
624586,299041
624814,298738
624886,298629
626148,297431
626002,297630
626148,297433
626203,297661
624506,299604
624500,299615
624499,299614
624472,300148
625020,299926
625132,299728
625202,299682
625214,299650
625214,299640
625221,299607
625223,299598
625233,299477
625230,299393
625223,299352
625673,298620
626016,297521
626016,297525
626153,297439
626155,297441
626153,297442
626148,297450
626149,297436
626150,297433
626141,297393
626037,297502
626014,297616
626010,297637
626002,297682
625998,297731
627050,298802
627049,298801
627050,298800
626477,296979
627756,295510
627778,295500
627780,295502
627766,295492
627764,295490
628510,293689
628514,293681
628518,293670
628524,293667
626155,297428
626154,297444
626162,297751
627202,295347
626671,293551
626663,293542
626656,293540
626136,297417
625989,297437
626288,294121
626286,294131
626502,299061
626578,298991
626589,298987
626736,298957
626738,298955
626774,298956
626787,298963
626807,298964
626889,298902
626894,298897
626897,298894
626905,298886
626907,298883
626909,298881
627039,298735
627043,298736
627050,298745
627052,298749
627054,298755
627049,298805
627042,298844
626149,297427
626150,297426
626151,297425
626152,297424
626147,297406
626134,297411
626120,297433
626108,297446
626058,297500
626046,297526
626030,297508
625480,298122
625477,298137
626155,297405
626168,297705
626013,297428
626015,297428
626037,297439
626032,297555
626018,297620
626019,297620
626148,297429
626156,297413
626120,297342
626129,297361
626131,297367
626135,297374
626063,297292
626072,297299
626074,297304
626076,297307
626080,297316
626081,297318
626037,297371
626036,297369
626036,297362
626046,297242
625997,297442
625978,297433
625977,297435
626038,297630
626060,297605
626049,297627
625595,305572
626135,308186
626454,309286
627033,309999
627536,309964
627694,309800
627701,309720
627704,309721
628047,309332
626170,298322
626101,298320
626095,298315
625829,297040
625183,296992
625180,296993
625921,297227
625917,297250
625928,297277
625933,297286
626143,297432
626147,297438
626159,297461
625977,297486
625982,297440
626235,297145
626027,297463
626018,297478
626150,297624
626149,297655
626077,297767
626077,297770
625996,297594
625980,297442
626177,297509
625983,297439
626051,297500
626059,297487
626057,297488
626057,297494
611694,287711
611680,287695
611669,287676
611670,287679
611684,287699
611692,287690
610644,280947
610648,280911
610650,280914
626113,297881
626125,297919
626124,297921
626124,297918
626551,297004
626817,296578
627431,295994
627753,295477
627734,295352
