% Pathbased dataset, N=300, M=3, D=2
%
% Chang, H. and D.Y. Yeung, Robust path-based spectral clustering. Pattern Recognition, 2008. 41(1): p. 191-203.
%
% source: http://cs.joensuu.fi/sipu/datasets/

@relation pathbased

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3}

@DATA
11.25,5.05,1
10.95,4.7,1
9.85,5.8,1
9.8,5.75,1
9.15,6.8,1
8.65,6.6,1
8.4,7.5,1
7.9,7.75,1
6.95,8.7,1
7.25,9.75,1
7.3,10.25,1
5.9,10.7,1
5.85,11.8,1
6.45,12.05,1
5.7,12.95,1
5.35,13.45,1
5.4,14.65,1
4.7,14.85,1
5.4,15.4,1
5.1,16.25,1
5.75,16.7,1
4.85,17.65,1
5,18,1
6.05,18,1
5.7,19.45,1
5.3,19.55,1
5.85,21.25,1
6.1,21.35,1
6.55,22.15,1
5.9,22.8,1
7.15,23.7,1
6.75,24.25,1
7.95,24.65,1
7.75,25.3,1
8.8,26.05,1
8.85,26.95,1
9.35,27.45,1
9.95,27.1,1
11.25,28.2,1
10.7,28.55,1
11.95,29.45,1
11.95,28.65,1
13.1,30.05,1
13.4,29.3,1
14.7,30.2,1
14.7,30.6,1
16.1,30.4,1
16.1,31.05,1
17.55,30.8,1
17.65,31.75,1
18.55,31.6,1
18.85,30.6,1
19.85,30.9,1
20.1,31.3,1
21.5,31.35,1
20.85,30.4,1
22.95,30.05,1
23.4,30.3,1
24.2,29.9,1
24.75,30,1
25.55,29.3,1
25.55,28.45,1
26.7,28.3,1
26.85,28.75,1
27.6,27.15,1
28.25,27.4,1
29.05,27,1
29.05,26.2,1
29.45,25.55,1
30.05,25.55,1
30.3,23.3,1
30.6,23.95,1
30.9,22.75,1
31,22.3,1
30.65,21.3,1
31.3,20.8,1
31.85,21.2,1
31.45,19.3,1
32.7,19.3,1
31.9,17.9,1
33.05,18.05,1
32.8,16.6,1
32.2,16.3,1
32.4,15.15,1
31.8,14.75,1
32.35,13.25,1
31.65,13.35,1
31.15,12.05,1
32,11.9,1
31.05,10.3,1
31.95,10.4,1
30.05,9.55,1
30.5,8.25,1
29.6,8.25,1
29.8,7.6,1
29,7.05,1
29,6.7,1
27.6,5.95,1
28.15,5.45,1
26.5,4.8,1
26.4,4.4,1
25.8,3.65,1
25.5,4.1,1
31.6,16.6,1
30.7,17.4,1
29.65,17.95,1
29.15,16.5,1
30.5,15.55,1
29.95,13.55,3
30,11.85,1
28.65,14.1,3
27.45,10.85,3
26.4,10.75,3
25.05,10.1,3
26.2,11.55,3
27.2,13.3,3
28.3,14.45,3
27.95,14.65,3
27.95,14.7,3
23.15,11,3
22.9,11.6,3
23.9,11.6,3
24.55,11.6,3
23.85,12.45,3
23.35,13.1,3
24.85,13.2,3
25.1,12.25,3
25.15,12.5,3
25.65,12.9,3
25.7,13.5,3
26.3,13.3,3
27.1,14.55,3
27.15,14.6,3
26.4,14.35,3
26.4,14.35,3
25.75,14.55,3
25.75,14.9,3
25.35,14.65,3
23.7,14.55,3
24.05,14.9,3
23.65,15.3,3
22.75,14.5,3
22,14,3
20.9,12.95,3
20.3,13.1,3
22.2,16.45,3
22.15,16.65,3
22.4,15.15,3
22.15,15.2,3
23.95,15.95,3
24.25,16.1,3
24.8,16.1,3
25.15,16.15,3
25.5,16.7,3
25.75,16.85,3
26.2,16.85,3
26.25,16.9,3
26.25,16.35,3
26.75,16.2,3
27.4,16.15,3
27.6,16.85,3
26.95,17.2,3
26.3,18.1,3
27.55,17.95,3
27.7,17.6,3
28.25,18.25,3
28.8,19.15,3
28.5,19.15,3
28.1,19.35,3
28.05,20.3,3
27.3,20.5,3
27.1,21.6,3
26.75,19.5,3
26.5,20,3
25.9,19.8,3
25.1,19.8,3
24.75,20.7,3
24.35,20.55,3
23.55,20.35,3
24.3,19.7,3
24.9,19,3
24.7,16.8,3
24.35,16.8,3
24.4,17.15,3
24.9,17.3,3
24.35,17.7,3
24.95,17.8,3
24.95,18.05,3
24.4,18.35,3
23.65,18.6,3
22.85,18.9,3
22.4,20.65,3
22.5,17.8,3
22.45,18.25,3
21.6,17.7,3
21.35,18.05,3
21.3,18.25,3
19.95,19.8,3
20.45,20.45,3
20.35,16.95,3
19.7,17.45,3
19.35,17.45,3
12.45,9.15,2
10.1,10.05,2
11.75,12.2,2
9.55,12.4,2
8.65,13.35,2
7.75,13.55,2
8.55,15.15,2
8.05,15.9,2
8.45,15.9,2
8.6,16.85,2
9,17.05,2
9,16.3,2
9.35,16.3,2
9.55,15.3,2
9.65,14.85,2
10.15,15.05,2
10.05,15.6,2
10.4,16,2
10.65,16,2
10.9,15.95,2
10.7,15.35,2
11.35,15.05,2
11.15,14.75,2
11.05,14.6,2
11.15,14.2,2
11.1,13.6,2
12.5,13,2
13.3,12.45,2
13.5,12.4,2
13.95,11.75,2
14.4,12.2,2
15.4,12.2,2
15.25,12.45,2
14.6,12.75,2
14.1,13.05,2
14.2,13.25,2
14.75,13.45,2
13.15,13.4,2
13.05,13.7,2
12.65,13.65,2
15.45,13.75,2
14.65,14.2,2
13.75,14.05,2
13.75,14.5,2
12.95,14.8,2
13.2,14.9,2
13.25,15.5,2
12.1,15.35,2
12.15,15.5,2
11.25,16.4,2
12.7,15.6,2
12.5,16.15,2
12.7,16.6,2
12.15,16.2,2
11.95,16.5,2
11.45,16.8,2
11.05,17.2,2
11.3,17.6,2
11.65,17.6,2
11.25,18.25,2
11.05,18.45,2
11.05,18.55,2
10.55,18.55,2
10.8,19.2,2
7.45,19,1
10.05,20.1,2
9.95,20.5,2
10.65,20.45,2
10.3,22.75,2
11.7,19.6,2
12.2,19.65,2
13.2,20.1,2
13.55,20.05,2
14.15,20.05,2
14.25,21.5,2
13.25,21.4,2
12.85,18.1,2
13.75,18.3,2
14.2,18.35,2
14.25,18.8,2
13.75,16,2
13.75,16.7,2
13.75,17.05,2
14.05,16.8,2
14.5,16.95,2
14.75,16.65,2
15.25,16.05,2
15.4,16.2,2
15.85,16.2,2
15.5,15.55,2
15,14.95,2
16.6,16.15,2
17.9,15.6,2
17.5,18.05,2
16.65,17.5,2
15.45,17.3,2
15.45,17.8,2
15.7,18.4,2
