@RELATION PMF

@ATTRIBUTE PMF-VAF REAL
@ATTRIBUTE AML-VAF REAL
@ATTRIBUTE Relapse-PMF-VAF REAL
@ATTRIBUTE class {0,1,2,3,4}

@DATA
37.6,35.74,41.82,2
37.92,37.96,42.38,2
40.85,44.3,31.28,2
37.98,35.84,34.42,2
0.34,30.32,0,4
14.47,0.44,0,1
37.5,39.02,44.32,2
37.68,33.94,41.14,2
25.45,38.63,33.68,2
39.01,38.75,42.61,2
20.22,0.23,0.1,1
18.14,0.32,0,1
40.16,39.79,43.24,2
37.175,37.45,37.95,0
37.32,37.93,40.38,2
4.02,40.14,30.4,3
29.8,40.45,31.83,2
45.27,41.01,40.9,2
34.23,37.72,36.23,2
0.57,36.6,0.94,4
0,30.88,1.6,4
40.87,35.29,44.98,2
30.85,0.66,0,0
36.72,34.6,42.25,2
41.13,37.55,44.26,2
17.8,0.32,0.18,1
5.27,34.46,33.53,3
39.87,41.27,42.01,2
2.55,33.02,0.3,4
5.93,38.22,34.53,3
5.66,43.85,32.25,3
0.19,35.31,0.66,4
42.66,35.99,39.88,2
5.12,34.66,33.38,3
0.92,31.61,1.74,4
2.76,36.87,31.49,3
30.45,35.37,30.31,2
4.7,35.01,34.51,3
0.3,25.86,0,4
27.22,40.95,33.07,2
38.05,35.58,40.98,2
6.46,39.61,33.51,3
0,27.46,0.39,4
42.54,38.11,41.8,2
1,28.57,1.37,4
38.68,35.29,39.37,2
36.34,35.85,37.28,2
37.59,40.41,40.54,2
36.09,40.32,34.7,2
19.12,0.29,0,1
38.99,45.89,43.62,2
29.9,36.81,30.89,2
0,33.53,0,4
0,32.91,0.74,4
22.49,0,0,1
0.29,33.22,0,4
20.61,0,0,1
39.24,40.8,33.98,2
0.64,28.39,0.19,4
40.83,39.5,35.08,2
4.04,34.23,34,3
0.43,32.76,0.16,4
3.41,32.76,33.62,3
38.37,37.15,35.97,2
38.2,43.1,40,2
2.81,35.23,34.89,3
37.01,40.42,40.32,2
26.09,0,0,1
1.45,33.33,1.42,4
4.76,38.08,35.13,3
0.52,29.21,0.21,4
34.28,40.72,37.68,2
33.86,36.5,38.99,2
