% Three rings generated by RapidMiner

@RELATION Rings

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2}

@DATA
-0.1271919162,-0.194998858,0
-10.0701783728,0.9735995538,2
1.9094508653,-4.0727028619,1
0.5856653495,9.816200347,2
-5.459372178,8.5364175119,2
-0.8106144412,4.214897949,1
5.9413661509,3.4597226477,2
-8.670721924,-0.8959014053,2
1.9218135312,4.6377178844,1
-0.4760192999,-0.1499286642,0
-4.514166101,2.7142891236,1
-0.3721903996,-0.8323995259,0
-2.8160246005,-0.3533909183,0
-1.1939590598,-0.5331376377,0
-10.1989110018,-5.6225810044,2
3.5096384877,-3.9650548041,1
-1.2163256879,-0.8066212555,0
-5.4418282751,-3.2390315669,1
-9.6624474329,5.4201614904,2
0.8723806047,-4.6261969097,2
-6.4149253407,7.1150515473,2
-0.2830224282,0.921686895,0
-1.8952196142,9.9077654615,2
-8.9022744658,0.9246382932,2
0.8602355237,-0.1639980763,2
5.6599951719,-8.4462283224,2
-0.2313010292,-0.3314995223,0
0.238966119,0.1852894972,0
0.0671537889,-0.030669078,0
-0.2332418291,0.2169124923,0
-7.6535500569,2.5932703087,2
4.797329362,3.7237677708,1
-6.3985204492,8.0353717755,2
-4.6533075182,-1.7589544663,1
-2.0004758871,4.0285961063,1
-1.2173703468,3.7424271712,1
3.7853191936,-1.4899503706,1
9.8270653972,-3.5304220942,2
5.116020051,9.8855547753,2
-0.644804827,-0.0885116565,1
4.4527776397,-0.3985479171,1
-0.0281424061,-0.0753809092,0
0.8800142678,0.0451091398,0
5.4010305836,0.5080048081,1
-0.4864959366,0.0240624635,0
-0.3979423325,0.1203579461,0
-6.2500728185,8.3380434713,2
0.2324886097,0.8780359555,0
-0.3381147324,0.1815194555,1
2.4873902433,4.53103682,1
-0.7098778857,-0.0008709311,0
-10.8369527474,-5.4434348541,2
5.8739849392,-7.5561929893,2
-0.0430572013,-0.2413183369,0
-3.1605719294,-1.4811385505,1
3.9774766295,1.7272672554,1
-6.645965845,8.7835054535,2
-5.1922198492,-2.0159312553,1
2.5196652939,-4.7680111911,1
-4.5839418641,2.376648498,1
-0.7227623455,0.3232858308,2
0.4581603353,-0.357079508,0
0.6498243858,-0.3055124453,0
0.0463399401,-0.0365974343,0
0.2584646463,-6.9803774062,2
7.0291908273,8.3809006541,2
-0.2513168903,1.0848808538,0
-0.3582213657,10.9998533057,2
-6.9892013596,5.6749645316,2
-0.3118785429,0.440032932,0
-0.1678371385,0.1773516629,0
-10.4013132886,-3.1915339762,2
1.6170269939,-0.2468563567,0
-3.8933753853,-4.7438380289,1
3.3288615885,2.6553298255,1
-0.4337226585,-0.2583890077,0
-1.1336670543,-0.323222515,0
0.6505500444,-12.9722885972,2
0.6365070899,-0.0091860866,0
2.3812450618,-1.84271095,0
9.6447177532,4.5496723003,2
-6.637693602,-6.7738922681,2
2.1879885881,4.0532227306,1
-0.0089763886,0.011206422,0
0.3543223045,0.1236820694,0
-1.4462653898,4.5826919008,1
-9.4936659308,-6.6247561643,2
-0.3345114295,0.2127088331,0
8.5388682766,5.5205781852,2
-2.666202173,10.7089504727,2
4.9237202615,4.5960018045,2
8.3256745665,-4.5887300815,2
-4.265032076,-3.8222816678,1
9.2279034682,-1.0372931508,2
-0.6111283935,5.4538345322,1
