x,y,class
-0.127192,-0.194999,0
-10.070178,0.9736,2
1.909451,-4.072703,1
0.585665,9.8162,2
-5.459372,8.536418,2
-0.810614,4.214898,1
5.941366,3.459723,2
-8.670722,-0.895901,2
1.921814,4.637718,1
-0.476019,-0.149929,0
-4.514166,2.714289,1
-0.37219,-0.8324,0
-2.816025,-0.353391,0
-1.193959,-0.533138,0
-10.198911,-5.622581,2
3.509638,-3.965055,1
-1.216326,-0.806621,0
-5.441828,-3.239032,1
-9.662447,5.420161,2
0.872381,-4.626197,2
-6.414925,7.115052,2
-0.283022,0.921687,0
-1.89522,9.907765,2
-8.902274,0.924638,2
0.860236,-0.163998,2
5.659995,-8.446228,2
-0.231301,-0.3315,0
0.238966,0.185289,0
0.067154,-0.030669,0
-0.233242,0.216912,0
-7.65355,2.59327,2
4.797329,3.723768,1
-6.39852,8.035372,2
-4.653308,-1.758954,1
-2.000476,4.028596,1
-1.21737,3.742427,1
3.785319,-1.48995,1
9.827065,-3.530422,2
5.11602,9.885555,2
-0.644805,-0.088512,1
4.452778,-0.398548,1
-0.028142,-0.075381,0
0.880014,0.045109,0
5.401031,0.508005,1
-0.486496,0.024062,0
-0.397942,0.120358,0
-6.250073,8.338043,2
0.232489,0.878036,0
-0.338115,0.181519,1
2.48739,4.531037,1
-0.709878,-0.000871,0
-10.836953,-5.443435,2
5.873985,-7.556193,2
-0.043057,-0.241318,0
-3.160572,-1.481139,1
3.977477,1.727267,1
-6.645966,8.783505,2
-5.19222,-2.015931,1
2.519665,-4.768011,1
-4.583942,2.376648,1
-0.722762,0.323286,2
0.45816,-0.35708,0
0.649824,-0.305512,0
0.04634,-0.036597,0
0.258465,-6.980377,2
7.029191,8.380901,2
-0.251317,1.084881,0
-0.358221,10.999853,2
-6.989201,5.674965,2
-0.311879,0.440033,0
-0.167837,0.177352,0
-10.401313,-3.191534,2
1.617027,-0.246856,0
-3.893375,-4.743838,1
3.328862,2.65533,1
-0.433723,-0.258389,0
-1.133667,-0.323223,0
0.65055,-12.972289,2
0.636507,-0.009186,0
2.381245,-1.842711,0
9.644718,4.549672,2
-6.637694,-6.773892,2
2.187989,4.053223,1
-0.008976,0.011206,0
0.354322,0.123682,0
-1.446265,4.582692,1
-9.493666,-6.624756,2
-0.334511,0.212709,0
8.538868,5.520578,2
-2.666202,10.70895,2
4.92372,4.596002,2
8.325675,-4.58873,2
-4.265032,-3.822282,1
9.227903,-1.037293,2
-0.611128,5.453835,1
-3.926787,3.694717,1
-4.129599,6.861558,0
-3.71147,3.065824,1
0.049213,0.091512,0
-0.432606,9.626326,2
-6.033456,0.422913,1
3.562882,8.186227,2
1.581548,3.622208,1
3.302081,-10.933183,2
-10.132258,0.138455,2
-7.761658,7.432367,2
3.70182,-10.320652,2
-4.415492,-0.799505,1
6.38238,4.19164,2
-2.321614,-9.407334,2
-0.035767,-0.007336,0
-0.017504,0.029851,0
-1.527442,-0.448504,0
8.239443,4.212342,2
-1.044381,-9.652918,2
9.176143,5.035753,2
-0.284825,0.058353,0
-0.714132,0.468405,0
2.638983,2.849117,1
6.934009,7.164449,2
-6.102864,6.039519,2
-1.466504,0.855077,0
-0.099793,0.267687,0
0.644314,-6.325642,1
-4.421974,-1.359552,1
-2.394723,-1.333034,0
9.103632,-4.648795,2
2.768696,-9.228997,2
-2.037849,9.139505,2
-7.407908,7.885682,2
-0.451931,0.113907,0
-0.169772,-1.30148,0
0.132933,-0.328455,0
-0.010489,-0.012481,0
5.508217,7.661,2
2.515539,-5.810057,1
0.409329,-0.562282,0
-2.804887,3.945971,1
-9.195992,-3.812652,2
2.771341,2.506459,1
-5.657476,0.043199,2
-0.125789,0.630948,0
