@RELATION s-set1
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
%
@DATA
664159.0,550946.0,14
665845.0,557965.0,14
597173.0,575538.0,14
618600.0,551446.0,14
635690.0,608046.0,14
588100.0,557588.0,14
582015.0,546191.0,14
604678.0,574577.0,14
572029.0,518313.0,14
604737.0,574591.0,14
577728.0,587566.0,14
602013.0,574722.0,14
627968.0,574625.0,14
607269.0,536961.0,14
603145.0,574795.0,14
671919.0,571761.0,14
612184.0,570393.0,14
600032.0,575310.0,14
627912.0,593892.0,14
601967.0,604428.0,14
591851.0,569051.0,14
601444.0,572693.0,14
629718.0,558104.0,14
661430.0,603567.0,14
597551.0,556737.0,14
601182.0,582584.0,14
562704.0,570596.0,14
605107.0,563429.0,14
607214.0,575069.0,14
568824.0,570203.0,14
612485.0,518009.0,14
589244.0,573777.0,14
625579.0,551084.0,14
560237.0,500154.0,14
626224.0,569687.0,14
610666.0,551701.0,14
597428.0,569940.0,14
600582.0,599535.0,14
604168.0,555003.0,14
613871.0,550423.0,14
617310.0,551945.0,14
625728.0,579460.0,14
606300.0,566708.0,14
638559.0,558807.0,14
582176.0,630383.0,14
544056.0,577786.0,14
631297.0,578351.0,14
561574.0,621747.0,14
604973.0,574773.0,14
605284.0,556134.0,14
617910.0,592293.0,14
555904.0,640401.0,14
526559.0,509417.0,14
603849.0,572396.0,14
598634.0,619900.0,14
603359.0,589262.0,14
657455.0,567754.0,14
614279.0,599251.0,14
578496.0,631434.0,14
645171.0,595209.0,14
688015.0,533535.0,14
656477.0,573007.0,14
540029.0,563888.0,14
597418.0,538362.0,14
613545.0,574733.0,14
628696.0,542447.0,14
604157.0,574191.0,14
603126.0,497987.0,14
605850.0,533310.0,14
596179.0,529556.0,14
610330.0,552628.0,14
598184.0,531473.0,14
620438.0,511694.0,14
600202.0,622079.0,14
603021.0,577991.0,14
515612.0,540643.0,14
606548.0,574376.0,14
593490.0,623110.0,14
607084.0,595500.0,14
583728.0,563146.0,14
616044.0,533807.0,14
624452.0,584622.0,14
604438.0,574666.0,14
625709.0,660145.0,14
601376.0,579831.0,14
565148.0,557305.0,14
639418.0,537903.0,14
612799.0,537497.0,14
583653.0,652182.0,14
599808.0,596484.0,14
605250.0,573272.0,14
606738.0,601356.0,14
611044.0,571814.0,14
575440.0,568511.0,14
616329.0,529516.0,14
605927.0,572533.0,14
609286.0,586782.0,14
647354.0,579190.0,14
606929.0,571420.0,14
562920.0,559223.0,14
680357.0,620811.0,14
707100.0,601463.0,14
604294.0,574368.0,14
614917.0,600946.0,14
611508.0,503220.0,14
603789.0,574474.0,14
551740.0,588768.0,14
546031.0,570429.0,14
569197.0,559307.0,14
688712.0,568754.0,14
604067.0,574091.0,14
606809.0,572101.0,14
588597.0,622592.0,14
613840.0,534167.0,14
576263.0,547239.0,14
597077.0,568196.0,14
601339.0,571609.0,14
606011.0,569426.0,14
593398.0,559764.0,14
593166.0,622725.0,14
609796.0,532982.0,14
712648.0,607541.0,14
585048.0,505097.0,14
525967.0,565687.0,14
660327.0,585901.0,14
607604.0,573951.0,14
604001.0,573587.0,14
591484.0,571087.0,14
613868.0,585089.0,14
645464.0,660478.0,14
538571.0,654649.0,14
555429.0,604551.0,14
597620.0,586226.0,14
586097.0,567445.0,14
545235.0,539822.0,14
649088.0,575733.0,14
599123.0,616977.0,14
563763.0,559454.0,14
617717.0,613939.0,14
618869.0,577243.0,14
567188.0,560044.0,14
636628.0,533309.0,14
560362.0,567914.0,14
595014.0,632844.0,14
605876.0,550640.0,14
604352.0,573425.0,14
600679.0,599545.0,14
596891.0,579476.0,14
614943.0,540976.0,14
604415.0,571400.0,14
603698.0,573585.0,14
658199.0,568743.0,14
598759.0,582942.0,14
671269.0,590258.0,14
593317.0,534085.0,14
657985.0,453405.0,13
608557.0,590278.0,14
623004.0,508050.0,14
601900.0,569391.0,14
641031.0,593074.0,14
589658.0,640498.0,14
567565.0,573952.0,14
559078.0,570088.0,14
639431.0,588155.0,14
566609.0,537592.0,14
568570.0,579335.0,14
660650.0,615038.0,14
667639.0,571164.0,14
596796.0,529933.0,14
606111.0,617846.0,14
616060.0,590779.0,14
602873.0,527864.0,14
571334.0,594145.0,14
602167.0,543919.0,14
605100.0,573307.0,14
546640.0,560043.0,14
585195.0,555011.0,14
651740.0,589474.0,14
589112.0,536573.0,14
