% source: http://cs.joensuu.fi/sipu/datasets/
%
% Synthetic 2-d data with N=5000 vectors and M=15 Gaussian clusters with different degree of cluster overlapping.
%
% P. Fränti and O. Virmajoki, "Iterative shrinking method for clustering problems", Pattern Recognition, 39 (5), 761-765, May 2006.
%
% NOTE: Labels were not part of original dataset, added manualy afterwads.
%
@RELATION s-set2
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14}
%
@DATA
845753.0,636607.0,4
812954.0,643720.0,4
868217.0,609046.0,4
920248.0,607272.0,4
841621.0,639394.0,4
843907.0,598777.0,4
817712.0,620917.0,4
865980.0,632292.0,4
876539.0,639944.0,4
805247.0,642901.0,4
829227.0,565484.0,4
834679.0,669557.0,4
851242.0,630615.0,4
890325.0,702688.0,4
832159.0,638667.0,4
833736.0,637738.0,4
778784.0,571492.0,4
844489.0,672382.0,4
825802.0,638894.0,4
875471.0,622426.0,4
879225.0,639387.0,4
819482.0,633447.0,4
818212.0,633262.0,4
839324.0,651033.0,4
817439.0,678071.0,4
876202.0,600942.0,4
841025.0,623927.0,4
850781.0,619234.0,4
754610.0,657392.0,4
842733.0,640979.0,4
881538.0,613492.0,4
804685.0,671123.0,4
877083.0,575129.0,4
847312.0,655073.0,4
827558.0,623170.0,4
896258.0,707205.0,4
829939.0,644422.0,4
880719.0,597439.0,4
828313.0,669762.0,4
778978.0,589645.0,4
832323.0,624353.0,4
838906.0,655174.0,4
913673.0,576755.0,4
875535.0,587227.0,4
797487.0,625675.0,4
893942.0,596033.0,4
770410.0,662419.0,4
814804.0,605047.0,4
832215.0,638387.0,4
840280.0,643770.0,4
833327.0,621905.0,4
763542.0,635170.0,4
825599.0,608689.0,4
813209.0,683512.0,4
938544.0,680392.0,4
834393.0,656902.0,4
787129.0,643393.0,4
801229.0,617139.0,4
886144.0,566002.0,4
865073.0,661021.0,4
796962.0,632416.0,4
822877.0,612926.0,4
835985.0,639514.0,4
908901.0,628142.0,4
807989.0,610817.0,4
823816.0,651852.0,4
818245.0,618659.0,4
827601.0,640196.0,4
846830.0,641704.0,4
829041.0,623258.0,4
858850.0,714281.0,4
835967.0,564514.0,4
835698.0,660461.0,4
843223.0,632872.0,4
880916.0,697241.0,4
813541.0,641007.0,4
913911.0,586519.0,4
707529.0,693451.0,13
846436.0,659041.0,4
865316.0,690133.0,4
