% Data generated using R package 'mlbench'
%
% > library("mlbench") 
% > set.seed(1234)
% > data <- mlbench.shapes(1000)
%
@relation shapes
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4}
%
@data
-0.9173983933,1.3140645692,1
-1.4281361302,1.5268668431,1
-0.88636236,1.3527769438,1
-0.8085286057,1.2744757131,1
-1.2801274078,1.3659883692,1
-1.0563775887,1.2618544966,1
-1.5911913215,1.5159355571,1
-0.9703949654,1.7412650195,1
-1.1537924054,1.4991907004,1
-0.9643144336,1.4819669217,1
-1.0423832493,1.2597369838,1
-0.6344759434,1.7217237676,1
-1.2354838108,1.5018063745,1
-1.1579141225,1.4096438748,1
-1.4542081535,1.7264951398,1
-1.2757556115,1.5582223388,1
-0.6967007805,1.4202669276,1
-0.8495406921,1.1739205567,1
-0.6533427046,1.1293140817,1
-1.0862002948,1.6174399249,1
-0.817822236,1.3488264001,1
-0.8804036889,1.1333057627,1
-1.1209673745,1.5785679909,1
-1.2222890457,1.6355489867,1
-1.1953221819,1.230444496,1
-1.1813428488,1.3914696017,1
-1.4147349895,1.7059297937,1
-1.2506051786,1.3260648184,1
-0.9805623159,1.4979158983,1
-1.1036554435,1.9009245285,1
-1.1376838444,1.6389557369,1
-1.1903443817,1.7228299178,1
-0.8466694976,1.4870356148,1
-1.3666971201,1.4597011068,1
-1.2724042637,1.5251709281,1
-1.0022171645,1.3772837707,1
-1.0989366872,1.6172815665,1
-1.2199847827,1.2377589572,1
-0.9522656113,1.4216719574,1
-1.3012799527,1.6497523294,1
-0.8973252151,1.6350270987,1
-1.0998918321,1.3248928331,1
-0.734249569,1.7106473683,1
-1.0563996609,1.6126371352,1
-0.8894250918,1.75585302,1
-1.0368394802,1.2214224666,1
-0.5722628195,1.3862929323,1
-1.1577065967,1.683516286,1
-0.7837391447,1.3446298141,1
-0.8876036264,1.8650652779,1
-1.179761333,1.3071497305,1
-1.2040191427,1.2295368376,1
-0.9301925874,1.3819869417,1
-0.7719246702,1.5522117627,1
-1.345629603,1.3009999859,1
-0.5151357112,1.594746424,1
-0.9195445172,1.7732295132,1
-1.005059935,1.856209768,1
-0.6130457712,1.4549176015,1
-0.804368714,1.8470662789,1
-0.8642962579,1.4187560183,1
-1.1471367133,1.5370399556,1
-0.876844477,1.4487014231,1
-1.3519171552,1.275247368,1
-1.2834519157,1.4849748226,1
-1.34357134,1.4741657978,1
-1.3133799199,1.5795292695,1
-1.0677202202,1.4684128229,1
-1.0988970437,1.2054688396,1
-1.5442145183,1.905777284,1
-0.8848746864,1.3148720735,1
-0.7937406963,1.1297036662,1
-1.1887317125,1.2477550972,1
-0.9402148502,1.6861790994,1
-1.0971217463,1.3414221989,1
-1.0806775084,1.8523270388,1
-1.2014328718,1.5558628015,1
-0.9248296164,1.6352808975,1
-0.6616153952,0.801877915,1
-1.0967823335,1.4619873741,1
-1.2746172529,1.645910328,1
-1.3258235356,2.0291966549,1
-1.3912727422,1.6094392149,1
-0.9384066046,1.6140623074,1
-0.8868915892,1.6369351339,1
-0.8564487404,1.8957724445,1
-0.9916173486,1.243236677,1
-0.813904636,1.6181179961,1
-0.9890205153,1.5552839975,1
-0.9350641744,1.69540008,1
-0.8823615637,1.5961408129,1
-0.825518654,1.1473353961,1
-1.0152489222,1.449054872,1
-0.8298834214,1.824235297,1
-1.3396798217,1.8462339519,1
-0.8689455507,1.2219147159,1
-0.8794068988,1.5806391292,1
-1.2476029972,1.7614192857,1
-1.2811994379,1.7460494997,1
-0.9905556025,1.5012928381,1
-1.1924794636,1.5145832199,1
-1.3764456612,1.4211103898,1
-0.9517412826,1.7172732116,1
-0.8367769111,1.332431621,1
-0.926719098,1.7908641042,1
-0.8419662579,1.7756634225,1
-1.0730362533,1.5986991652,1
-0.7575114776,1.5320396042,1
-0.9925311905,1.3486552757,1
-0.8669384226,1.4664032712,1
-1.2094441005,1.861284308,1
-0.9870185861,1.3352980585,1
-0.9938754964,1.4766037132,1
-0.8805469423,1.6814389795,1
-0.9674317848,1.6042985571,1
-1.1966521183,1.4565474987,1
-1.1338286454,1.6555715193,1
-1.3431213802,1.3919482024,1
-0.5918925365,1.826222605,1
-1.2129408147,1.393806284,1
-0.7134996347,1.5598134588,1
-0.8585094734,1.1833165093,1
-1.1338695976,1.5539376987,1
-0.8498623971,1.5188902739,1
-0.9723516176,1.7155387208,1
-0.9653248491,1.5295119264,1
-1.1101707789,1.6125738384,1
-0.5088494516,1.5184605161,1
-1.0371680947,1.3740871918,1
-0.87964003,1.7050096658,1
-1.0954044337,1.8440236944,1
-1.3229380323,1.3921570521,1
-1.1232814106,1.7384045171,1
