% Data generated using R package 'mlbench'
%
% > library("mlbench")
% > set.seed(1234)
% > data <- mlbench.simplex(n = 1000, d = 3, sides = 1, sd = 0.1, center=TRUE)
%
% The created data are \code{d}-dimensional spherical Gaussians with standard
% deviation \code{sd} and means at the corners of a
% \code{d}-dimensional simplex. The number of classes is \code{d+1}.
@relation simplex
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE z REAL
@ATTRIBUTE class {1,2,3,4}
%
@data
-0.6334276852,-0.1747867559,-0.2461296285,1
-0.3557550171,-0.2441588032,-0.4230251405,1
-0.4873119757,-0.1989913259,-0.0566129631,1
-0.2515747232,-0.204990863,-0.0968909613,1
-0.3395486602,-0.2925953508,-0.1673059391,1
-0.3594374012,-0.0560413185,-0.1910514046,1
-0.4817592857,-0.3489920045,-0.3448338557,1
-0.3653495309,-0.326514415,-0.1766397182,1
-0.458142263,-0.1111213717,-0.128142491,1
-0.4216551157,-0.4391351556,0.0734647665,1
-0.6600480316,-0.2154502331,-0.1333737647,1
-0.3898025324,-0.2560235165,-0.1980868843,1
-0.5049738861,-0.2038204293,-0.1107628478,1
-0.3830463637,-0.2532277817,-0.3317394313,1
-0.4431572013,-0.2659579191,-0.193441665,1
-0.5486457091,-0.1283622806,-0.368923996,1
-0.5572283965,-0.3295001731,-0.2356481655,1
-0.3428934809,-0.0702206459,-0.1736746838,1
-0.4594010342,-0.4340258988,-0.4228696499,1
-0.5338011414,-0.4043768738,-0.2132026585,1
-0.327636475,-0.0134873096,-0.0618824841,1
-0.4657542392,-0.1798711383,-0.1545786967,1
-0.4850301577,-0.2470734094,-0.15180025,1
-0.4345281789,-0.178209301,-0.2863967263,1
-0.314196912,-0.213062341,-0.2341820478,1
-0.4636035495,-0.1945667504,-0.2507080571,1
-0.4951790375,-0.3493112001,-0.1564429174,1
-0.5675997825,-0.3337503728,-0.2574738903,1
-0.5066746909,-0.1972511835,-0.218983388,1
-0.347100203,-0.2094109205,-0.1672240113,1
-0.4918987774,-0.2139931507,-0.2951551092,1
-0.5839275694,-0.4686280312,-0.2204204412,1
-0.5859059116,-0.3095895572,-0.2252919126,1
-0.4622264973,-0.2807059099,-0.3455199499,1
-0.5344314847,-0.528875085,-0.0190595144,1
-0.3585628284,-0.2716632854,-0.0979300047,1
-0.4589868702,-0.3977501607,-0.3673962331,1
-0.5175851042,-0.0244399491,-0.3071624654,1
-0.5506805666,-0.3702594303,-0.2319515225,1
-0.5344939487,-0.3463105478,-0.3186573067,1
-0.6438986034,-0.3941756112,-0.1098885335,1
-0.4640986027,-0.318187129,-0.1319465608,1
-0.4047678029,-0.3252259622,-0.1526042699,1
-0.4408851852,-0.3431614709,-0.3021936688,1
-0.5561008001,-0.3476838138,-0.0734432769,1
