@RELATION sizes1.arff

% Handl, Julia, and Joshua Knowles. "Multiobjective clustering with automatic determination of the number of clusters."
% UMIST, Manchester, Tech. Rep. TR-COMPSYSBIO-2004-02 (2004).

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2,3}

@DATA
9.28531,14.5879,0
12.3977,8.4489,0
8.73624,11.6803,0
9.10197,12.8327,0
12.2948,8.67373,0
11.027,10.6794,0
8.02699,9.03695,0
6.04861,10.7805,0
5.96348,12.5684,0
9.86468,11.8412,0
11.9935,11.7392,0
9.23873,7.7269,0
11.8208,8.09689,0
9.07566,11.6126,0
10.1102,9.28457,0
11.4556,12.08,0
11.2155,8.65196,0
11.9229,10.542,0
10.1008,8.02085,0
9.9209,8.59777,0
10.4096,8.53336,0
9.50307,7.42181,0
10.2975,12.7944,0
13.4427,13.0645,0
8.24522,5.35108,0
12.7208,7.70933,0
11.2301,9.22207,0
10.193,7.43631,0
9.44458,11.999,0
9.14173,9.99963,0
9.33594,8.96782,0
12.1075,8.19083,0
14.7146,11.7994,0
11.5988,9.78853,0
12.7371,10.1957,0
9.73108,10.8062,0
9.3493,11.4929,0
11.3584,12.7269,0
8.74875,7.06392,0
14.277,7.7331,0
8.98839,7.48958,0
6.63999,8.95249,0
12.019,9.46032,0
14.533,10.7353,0
7.84702,11.7126,0
5.33838,9.78748,0
8.12712,8.10559,0
10.5392,10.6736,0
8.57425,7.27815,0
11.036,8.46403,0
8.58285,7.74504,0
8.48151,8.34905,0
13.2484,11.2762,0
6.8692,12.1175,0
6.09561,16.0267,0
8.52603,9.87376,0
9.7816,9.41973,0
9.05791,10.2599,0
9.85262,8.24078,0
10.6347,8.8983,0
7.70024,8.92462,0
13.2256,10.3613,0
11.8905,10.4887,0
7.79037,9.16634,0
9.6595,8.86563,0
12.0638,6.88238,0
10.4512,13.332,0
10.7037,10.6295,0
9.67796,8.36794,0
11.9059,9.40477,0
8.62556,12.5514,0
8.65089,10.5933,0
13.6918,12.4815,0
4.46508,10.3012,0
8.54994,11.8137,0
8.10825,8.25509,0
11.6276,9.0659,0
7.93566,8.93538,0
12.0995,4.31138,0
8.87907,11.0555,0
9.81235,9.67958,0
8.50823,6.88579,0
12.0082,9.5426,0
10.5436,9.93228,0
7.7761,10.6394,0
11.7687,8.33691,0
10.3043,8.26709,0
11.3303,8.74822,0
13.3593,12.7495,0
9.5029,8.89098,0
6.89216,8.34875,0
11.6119,9.80137,0
12.5926,6.65122,0
10.8051,9.71849,0
9.36716,9.96609,0
12.836,10.8349,0
12.3408,10.2043,0
12.7508,7.3146,0
8.99295,6.53347,0
11.1482,7.50987,0
10.8409,11.4951,0
10.3086,10.3625,0
9.1322,11.5735,0
10.7276,11.785,0
9.30566,7.542,0
9.98021,10.3726,0
8.5823,11.2478,0
8.62857,9.66298,0
8.77491,8.00527,0
10.0897,10.8916,0
8.01785,10.5525,0
9.47169,13.3645,0
10.6876,8.90464,0
10.2383,9.56372,0
13.1656,10.3968,0
14.1475,12.1248,0
9.79824,6.08769,0
8.02572,10.8846,0
12.028,14.6536,0
12.3239,12.8874,0
12.2465,10.4894,0
11.4095,7.46356,0
6.3978,12.9913,0
10.0969,9.99308,0
12.2247,12.1124,0
12.8525,13.2269,0
6.21638,8.42039,0
11.9512,10.8684,0
11.8697,11.1593,0
7.72302,9.09301,0
12.1057,8.25801,0
8.5473,4.07281,0
8.51972,9.66828,0
10.5254,10.8748,0
13.8802,7.98323,0
12.6516,8.84141,0
11.0824,4.91214,0
8.77808,9.15448,0
10.7698,12.0919,0
12.6008,8.8102,0
8.02262,11.9241,0
9.88875,10.5687,0
10.8861,10.1287,0
9.77966,9.93818,0
9.48003,12.6462,0
10.084,8.74642,0
11.0625,10.6505,0
10.7195,8.08855,0
5.97507,10.1027,0
11.438,4.24336,0
9.59868,9.10545,0
7.47802,8.59164,0
13.2945,10.8033,0
11.3185,10.3911,0
14.5576,9.50309,0
8.21559,6.11077,0
12.6122,12.7167,0
10.1198,13.2858,0
8.3429,6.78901,0
6.89259,8.05398,0
7.08104,8.13574,0
9.81318,7.23553,0
9.5701,10.3965,0
7.31482,13.028,0
12.6697,7.43822,0
13.8645,11.4671,0
9.78445,10.3193,0
10.1979,8.22076,0
9.93044,11.6632,0
11.2026,8.75698,0
11.6708,7.65239,0
14.7353,11.2434,0
14.0138,12.1325,0
9.97716,10.513,0
11.6784,11.2498,0
10.7589,10.8668,0
7.35056,9.42417,0
11.1878,10.4443,0
8.52211,10.857,0
9.24623,5.47186,0
7.7203,10.1699,0
12.3429,7.04905,0
11.9765,9.1169,0
9.89544,12.5722,0
10.9386,7.67109,0
10.7683,13.6537,0
8.43957,12.4901,0
12.1157,9.00317,0
8.46814,9.16604,0
9.42364,12.6233,0
11.9708,13.3025,0
10.1417,8.16177,0
10.3905,11.2224,0
13.1173,8.33278,0
11.8812,12.3915,0
15.5706,9.2696,0
11.1983,7.28932,0
10.7777,10.9387,0
8.61968,7.05069,0
13.6348,8.40862,0
9.84587,9.02506,0
11.0707,12.3296,0
7.69622,10.3796,0
9.87384,11.4598,0
9.02847,11.0641,0
9.1496,11.5714,0
8.04627,8.20369,0
8.45447,6.33871,0
10.5373,14.5629,0
9.35666,15.2297,0
10.0783,10.0065,0
10.2676,10.2459,0
11.1909,7.76906,0
10.437,11.3347,0
10.4619,10.3161,0
11.5578,11.8791,0
12.1924,8.95816,0
12.237,9.06315,0
12.5455,8.44122,0
9.46512,9.01636,0
6.80068,10.5643,0
11.5569,10.3326,0
11.2113,15.1372,0
12.7987,13.2023,0
11.2226,9.04498,0
10.8073,8.50124,0
8.32831,9.57361,0
