@RELATION smile2

% Handl, Julia, and Joshua Knowles. "Multiobjective clustering with automatic determination of the number of clusters."
% UMIST, Manchester, Tech. Rep. TR-COMPSYSBIO-2004-02 (2004).

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2,3}

@DATA
-0.303573,0.72294,0
-0.288011,0.692245,0
-0.306319,0.708402,0
-0.30449,0.714163,0
-0.288526,0.693369,0
-0.294865,0.703397,0
-0.309865,0.695185,0
-0.319757,0.703903,0
-0.320183,0.712842,0
-0.300677,0.709206,0
-0.290033,0.708696,0
-0.303806,0.688634,0
-0.290896,0.690484,0
-0.304622,0.708063,0
-0.299449,0.696423,0
-0.292722,0.7104,0
-0.293923,0.69326,0
-0.290385,0.70271,0
-0.299496,0.690104,0
-0.300396,0.692989,0
-0.297952,0.692667,0
-0.302485,0.687109,0
-0.298512,0.713972,0
-0.282786,0.715323,0
-0.308774,0.676755,0
-0.286396,0.688547,0
-0.293849,0.69611,0
-0.299035,0.687182,0
-0.302777,0.709995,0
-0.304291,0.699998,0
-0.30332,0.694839,0
-0.289463,0.690954,0
-0.276427,0.708997,0
-0.292006,0.698943,0
-0.286314,0.700978,0
-0.301345,0.704031,0
-0.303253,0.707465,0
-0.293208,0.713635,0
-0.306256,0.68532,0
-0.278615,0.688666,0
-0.305058,0.687448,0
-0.3168,0.694762,0
-0.289905,0.697302,0
-0.277335,0.703676,0
-0.310765,0.708563,0
-0.323308,0.698937,0
-0.309364,0.690528,0
-0.297304,0.703368,0
-0.307129,0.686391,0
-0.29482,0.69232,0
-0.307086,0.688725,0
-0.307592,0.691745,0
-0.283758,0.706381,0
-0.315654,0.710587,0
-0.319522,0.730134,0
-0.30737,0.699369,0
-0.301092,0.697099,0
-0.30471,0.7013,0
-0.300737,0.691204,0
-0.296826,0.694491,0
-0.311499,0.694623,0
-0.283872,0.701807,0
-0.290547,0.702444,0
-0.311048,0.695832,0
-0.301703,0.694328,0
-0.289681,0.684412,0
-0.297744,0.71666,0
-0.296482,0.703148,0
-0.30161,0.69184,0
-0.290471,0.697024,0
-0.306872,0.712757,0
-0.306746,0.702967,0
-0.281541,0.712407,0
-0.327675,0.701506,0
-0.30725,0.709069,0
-0.309459,0.691275,0
-0.291862,0.69533,0
-0.310322,0.694677,0
-0.289503,0.671557,0
-0.305605,0.705278,0
-0.300938,0.698398,0
-0.307459,0.684429,0
-0.289959,0.697713,0
-0.297282,0.699661,0
-0.31112,0.703197,0
-0.291157,0.691685,0
-0.298479,0.691335,0
-0.293348,0.693741,0
-0.283203,0.713748,0
-0.302485,0.694455,0
-0.315539,0.691744,0
-0.291941,0.699007,0
-0.287037,0.683256,0
-0.295975,0.698592,0
-0.303164,0.69983,0
-0.28582,0.704174,0
-0.288296,0.701021,0
-0.286246,0.686573,0
-0.305035,0.682667,0
-0.294259,0.687549,0
-0.695796,0.707476,1
-0.698457,0.701812,1
-0.704339,0.707868,1
-0.696362,0.708925,1
-0.703472,0.68771,1
-0.700099,0.701863,1
-0.707088,0.706239,1
-0.706857,0.698315,1
-0.706125,0.690026,1
-0.699551,0.704458,1
-0.709911,0.702762,1
-0.702642,0.716823,1
-0.696562,0.694523,1
-0.698808,0.697819,1
-0.684172,0.701984,1
-0.679263,0.710624,1
-0.701009,0.680438,1
-0.709871,0.704423,1
-0.68986,0.723268,1
-0.68838,0.714437,1
-0.688767,0.702447,1
-0.692953,0.687318,1
-0.718011,0.714956,1
-0.699515,0.699965,1
-0.688876,0.710562,1
-0.685738,0.716134,1
-0.718918,0.692102,1
-0.690244,0.704342,1
-0.690651,0.705796,1
-0.711385,0.695465,1
-0.689472,0.69129,1
-0.707263,0.670364,1
-0.707401,0.698341,1
-0.697373,0.704374,1
-0.680599,0.689916,1
-0.686742,0.694207,1
-0.694588,0.674561,1
-0.70611,0.695772,1
-0.696151,0.71046,1
-0.686996,0.694051,1
-0.709887,0.709621,1
-0.700556,0.702843,1
-0.69557,0.700643,1
-0.701102,0.699691,1
-0.7026,0.713231,1
-0.69958,0.693732,1
-0.694688,0.703253,1
-0.696403,0.690443,1
-0.720125,0.700513,1
-0.69281,0.671217,1
-0.702007,0.695527,1
-0.71261,0.692958,1
-0.683527,0.704017,1
-0.693408,0.701956,1
-0.677212,0.697515,1
-0.708922,0.680554,1
-0.686939,0.713583,1
-0.699401,0.716429,1
-0.708285,0.683945,1
-0.715537,0.69027,1
-0.714595,0.690679,1
-0.700934,0.686178,1
-0.702149,0.701982,1
-0.713426,0.71514,1
-0.686651,0.687191,1
-0.680677,0.707335,1
-0.701078,0.701597,1
-0.69901,0.691104,1
-0.700348,0.708316,1
-0.693987,0.693785,1
-0.691646,0.688262,1
-0.676323,0.706217,1
-0.679931,0.710663,1
-0.700114,0.702565,1
-0.691608,0.706249,1
-0.696205,0.704334,1
-0.713247,0.697121,1
-0.694061,0.702221,1
-0.707389,0.704285,1
-0.703769,0.677359,1
-0.711398,0.70085,1
-0.688285,0.685245,1
-0.690117,0.695584,1
-0.700523,0.712861,1
-0.695307,0.688355,1
-0.696159,0.718269,1
-0.707802,0.71245,1
-0.689422,0.695016,1
-0.707659,0.69583,1
-0.702882,0.713117,1
-0.690146,0.716513,1
-0.699291,0.690809,1
-0.698048,0.706112,1
-0.684413,0.691664,1
-0.690594,0.711957,1
-0.672147,0.696348,1
-0.694008,0.686447,1
-0.696112,0.704693,1
-0.706902,0.685253,1
-0.681826,0.692043,1
-0.700771,0.695125,1
-0.694646,0.711648,1
-0.711519,0.701898,1
-0.700631,0.707299,1
-0.704858,0.70532,1
-0.704252,0.707857,1
