% Data_4_3 or AD_4_3: This data is in 3-d space, and has 4 clusters.
% The total number of  points is 400.
%
%  If you use this data, please quote the following references:
%
% S. Bandyopadhyay and U. Maulik, ``Nonparametric genetic clustering: Comparison validity indices'',  IEEE Transactions on Systems, Man and Cybernetics, Part C, vol. 31, no. 1, pp. 120-125, 2001
%
% S. Bandyopadhyay and U. Maulik, ``Genetic Clustering for Automatic Evolution
% of Clusters and Application to Image Classification'',  Pattern Recognition, vol.35,
% pp. 1197-1208, 2002
%
% S. Bandyopadhyay and S. K. Pal, ``Classification and Learning Using Genetic
% Algorithms: Applications in Bioinformatics and Web Intelligence", Springer,
% Heidelberg, 2007
%
% source: http://www.isical.ac.in/~sanghami/data.html
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE z REAL
@ATTRIBUTE class {1,2,3,4}

@DATA
-0.13,1.39,0.33,1
1.21,-0.18,0.65,1
1.14,-0.17,0.13,1
-0.51,1.29,1.15,1
1.08,0.33,1.35,1
0.95,-0.14,1.40,1
0.87,0.12,-1.05,1
0.73,0.49,-0.08,1
-0.12,-0.64,-1.11,1
0.40,-1.66,-1.02,1
-0.52,1.85,0.55,1
0.26,-1.26,1.16,1
-0.25,0.50,1.40,1
0.79,0.72,-0.09,1
0.08,1.81,-0.26,1
0.80,0.99,-0.84,1
0.23,-0.19,-0.22,1
0.38,0.82,-0.26,1
-1.43,0.40,-1.04,1
0.45,0.28,1.55,1
0.36,1.33,0.01,1
-1.59,0.75,0.64,1
0.98,-0.25,-0.58,1
0.22,-1.37,0.25,1
-0.84,0.67,-1.17,1
-0.17,0.76,-0.54,1
0.83,-0.95,-1.27,1
-0.28,-1.69,-0.87,1
-0.44,-0.12,0.92,1
1.02,0.12,0.58,1
1.44,-1.08,-0.64,1
0.71,1.32,-1.00,1
0.37,-0.47,1.09,1
-1.57,-0.31,0.91,1
-1.50,0.89,0.48,1
-0.35,-1.04,-0.54,1
0.93,0.05,0.23,1
1.18,-0.29,-1.48,1
-0.38,0.22,-1.52,1
-0.82,-1.19,-1.16,1
-0.83,-1.36,-0.47,1
0.24,-0.53,-1.37,1
0.81,1.26,0.89,1
-0.74,0.60,1.75,1
-1.27,-0.39,0.42,1
1.55,0.91,0.81,1
0.59,1.83,-0.43,1
-1.05,-0.43,-0.89,1
-1.04,1.18,-1.14,1
1.37,-0.13,0.10,1
-0.23,-0.83,1.77,1
0.37,-0.98,0.05,1
-0.05,-0.16,1.44,1
0.62,-1.20,-0.13,1
-0.25,-0.61,-1.39,1
0.24,-0.72,-1.56,1
-1.58,-0.37,0.14,1
-0.20,1.72,0.43,1
0.70,-0.28,1.30,1
-0.93,0.11,1.27,1
1.10,1.08,-0.97,1
0.71,0.30,-0.22,1
1.21,0.62,0.46,1
0.47,-0.09,-1.69,1
-1.21,-0.45,-0.38,1
-1.07,0.76,0.61,1
1.29,-0.07,-1.11,1
0.87,-1.74,0.31,1
0.92,-1.30,-1.21,1
0.51,-0.75,-0.91,1
-0.19,-0.48,1.40,1
0.51,-0.21,1.01,1
0.84,-0.84,0.50,1
1.80,-0.40,0.16,1
-0.70,0.82,-1.57,1
-1.26,-0.92,-0.34,1
0.88,1.64,-0.67,1
-0.32,-0.41,1.72,1
-0.73,1.26,0.46,1
-1.24,-0.38,-0.18,1
1.92,0.55,-0.01,1
-1.65,-0.47,-0.24,1
1.15,0.63,0.71,1
0.51,0.04,-1.34,1
0.76,0.48,-1.29,1
-1.75,-0.43,0.57,1
1.10,0.14,-0.83,1
0.40,0.19,1.62,1
-1.11,-0.12,-0.01,1
-0.02,0.48,-0.48,1
-0.28,-0.27,0.42,1
0.83,-0.44,-0.31,1
-1.22,1.00,-0.55,1
0.46,-0.12,-0.47,1
-0.21,0.32,0.52,1
0.50,-0.99,0.55,1
0.31,-0.71,-0.24,1
-0.15,0.35,0.01,1
0.05,-0.87,0.22,1
0.05,1.11,0.85,1
3.29,4.27,5.91,2
5.89,7.57,4.71,2
3.91,4.44,6.44,2
4.86,3.36,5.63,2
4.57,4.36,3.07,2
4.38,2.58,4.43,2
3.39,4.85,6.15,2
4.48,6.99,4.37,2
5.06,4.91,5.70,2
4.51,7.12,5.20,2
6.12,3.46,3.18,2
6.81,5.93,4.70,2
5.72,4.57,4.10,2
6.29,6.23,5.48,2
4.37,5.36,5.59,2
4.74,3.30,6.09,2
5.31,7.68,4.82,2
3.09,5.41,4.70,2
4.89,3.78,2.55,2
5.14,6.72,6.89,2
4.76,5.76,4.04,2
3.95,5.25,3.50,2
6.71,4.30,5.68,2
4.27,7.30,5.06,2
4.92,3.38,4.94,2
4.32,6.23,5.39,2
4.31,5.35,4.79,2
3.80,6.98,5.64,2
4.88,6.05,2.67,2
3.96,5.09,5.73,2
5.44,6.63,5.57,2
5.69,3.04,3.44,2
4.16,3.51,5.23,2
3.46,3.72,4.98,2
4.94,5.23,2.45,2
4.70,6.02,3.87,2
3.96,5.25,7.33,2
5.10,4.13,2.85,2
6.25,2.80,4.54,2
4.83,6.25,5.78,2
4.43,7.02,6.94,2
5.48,3.29,5.60,2
5.00,6.78,4.57,2
3.44,4.36,4.00,2
6.08,4.82,7.23,2
4.68,4.72,4.11,2
4.98,7.74,5.66,2
3.42,5.58,6.31,2
5.86,6.14,3.74,2
4.06,5.32,6.87,2
5.96,4.99,3.85,2
3.89,4.89,5.34,2
4.61,5.34,6.27,2
3.18,5.46,5.99,2
4.83,4.62,2.22,2
5.65,3.62,3.79,2
4.13,7.11,5.22,2
3.84,3.91,3.00,2
3.19,4.41,5.19,2
3.82,5.32,2.97,2
5.20,7.57,6.09,2
6.58,4.80,6.33,2
3.87,6.71,6.46,2
5.45,7.31,4.67,2
4.56,6.25,7.62,2
5.27,6.90,4.47,2
3.28,5.06,4.70,2
5.87,5.49,2.78,2
5.36,4.91,5.10,2
4.24,4.14,5.16,2
5.31,3.57,3.52,2
5.40,6.93,4.74,2
5.18,3.93,4.82,2
5.17,7.16,4.45,2
5.19,5.71,4.84,2
4.56,7.88,5.24,2
3.52,6.13,5.33,2
5.36,3.70,5.86,2
5.30,7.08,4.86,2
5.04,7.82,4.04,2
4.17,5.73,4.00,2
4.85,4.62,7.90,2
3.96,2.71,4.01,2
6.83,4.94,5.39,2
6.00,5.70,6.79,2
5.15,3.63,5.58,2
6.26,5.81,7.03,2
3.56,3.57,5.48,2
5.47,5.25,6.70,2
3.43,4.49,5.37,2
4.52,6.79,5.09,2
4.53,4.59,6.06,2
5.97,6.11,4.52,2
5.52,4.77,6.08,2
5.45,5.84,2.33,2
5.75,5.28,4.92,2
3.93,2.62,5.79,2
5.30,4.08,2.66,2
4.23,6.43,3.88,2
3.55,4.33,3.45,2
12.61,10.32,9.76,3
9.90,9.95,11.06,3
7.99,10.72,10.59,3
8.51,8.39,10.35,3
10.46,9.45,11.13,3
11.77,11.55,9.75,3
12.76,9.78,10.52,3
9.49,9.36,11.70,3
10.09,9.65,9.84,3
10.04,8.87,8.52,3
8.61,10.48,10.39,3
7.28,9.28,9.88,3
9.17,9.19,8.87,3
9.85,11.55,10.88,3
10.85,9.73,9.06,3
10.89,9.61,10.83,3
9.30,10.73,8.44,3
8.20,9.12,10.10,3
12.74,9.89,10.40,3
9.98,10.34,10.41,3
8.66,11.03,8.91,3
8.14,11.22,10.35,3
10.80,11.86,10.35,3
11.00,10.75,10.35,3
8.73,8.35,9.86,3
11.14,9.61,10.71,3
9.98,11.47,10.78,3
10.07,9.42,11.03,3
8.64,8.93,10.01,3
8.54,9.61,11.66,3
7.56,8.97,10.28,3
9.48,9.05,8.36,3
9.26,11.25,11.16,3
8.74,10.33,9.28,3
11.11,10.05,10.62,3
9.31,9.86,9.55,3
9.61,10.54,9.38,3
10.85,10.57,9.68,3
8.19,8.57,10.10,3
11.39,9.72,9.12,3
10.20,9.41,8.84,3
9.97,8.19,10.21,3
10.24,8.15,9.43,3
10.69,9.05,11.01,3
11.66,9.80,10.52,3
8.71,11.59,10.58,3
8.74,9.97,8.95,3
8.67,10.71,8.95,3
11.69,9.09,11.26,3
10.66,9.29,10.98,3
8.04,10.19,10.62,3
10.71,11.17,10.77,3
11.70,9.98,10.79,3
8.83,10.94,9.08,3
8.42,10.77,9.90,3
9.35,10.56,10.58,3
7.48,10.23,10.61,3
11.55,10.74,8.84,3
10.83,8.92,8.60,3
12.58,10.41,10.26,3
11.61,9.50,10.74,3
8.68,9.74,11.54,3
8.94,11.06,9.26,3
9.42,8.94,11.28,3
10.76,9.45,8.43,3
11.04,9.49,8.53,3
9.28,8.98,9.83,3
8.01,9.10,9.58,3
8.12,9.78,10.14,3
9.99,11.25,9.87,3
10.40,11.03,8.74,3
8.44,11.37,10.75,3
10.33,11.73,10.30,3
10.70,9.39,9.02,3
8.55,8.34,10.10,3
11.61,8.56,10.21,3
9.70,11.23,9.31,3
8.87,9.90,11.21,3
12.46,10.83,10.73,3
12.20,11.34,9.98,3
9.53,9.01,10.89,3
12.41,9.20,9.65,3
8.38,10.60,11.08,3
9.69,9.60,11.24,3
10.37,9.57,11.43,3
11.19,10.47,10.22,3
9.15,9.87,11.00,3
9.85,9.57,11.43,3
8.93,11.60,9.10,3
10.24,11.08,11.26,3
10.18,11.42,10.33,3
8.95,10.45,8.64,3
10.82,8.72,10.09,3
11.19,8.95,9.19,3
9.53,8.92,11.13,3
11.09,9.58,11.67,3
7.76,10.28,10.26,3
8.50,9.88,8.44,3
12.23,10.90,10.41,3
7.86,9.80,11.34,3
15.46,12.77,14.46,4
14.61,13.90,13.72,4
17.06,16.28,15.79,4
16.22,17.30,15.65,4
13.03,14.02,17.00,4
13.92,16.30,14.34,4
13.77,15.04,14.21,4
15.18,13.49,16.89,4
12.48,15.36,16.21,4
15.02,13.03,17.24,4
16.20,16.42,14.12,4
13.99,13.98,13.44,4
14.44,16.42,16.68,4
17.66,15.76,16.08,4
16.51,15.52,15.08,4
16.37,14.15,15.08,4
14.12,15.65,13.72,4
14.53,12.85,15.74,4
14.52,15.21,17.28,4
14.97,15.38,16.69,4
16.07,12.74,14.39,4
16.35,13.50,13.79,4
16.49,17.02,16.06,4
13.82,16.45,15.96,4
12.94,16.26,14.02,4
13.62,14.53,14.67,4
16.92,14.55,15.52,4
15.93,13.58,14.82,4
12.45,15.90,15.10,4
12.82,14.51,16.85,4
14.17,13.34,16.42,4
15.59,14.55,16.71,4
14.56,13.12,14.39,4
14.60,12.62,16.50,4
14.93,14.95,15.37,4
14.44,16.94,16.40,4
16.92,14.34,12.97,4
14.77,13.14,13.00,4
12.42,14.61,14.91,4
14.58,16.44,17.08,4
15.14,13.08,17.28,4
15.59,15.91,13.89,4
17.38,16.40,15.66,4
16.21,15.88,15.78,4
14.14,13.90,15.23,4
14.49,15.75,12.98,4
14.93,15.73,14.77,4
14.85,12.82,16.56,4
15.36,17.73,16.07,4
15.40,12.52,14.12,4
15.92,14.37,16.06,4
15.56,17.33,16.02,4
14.84,17.29,13.94,4
13.97,16.04,14.47,4
13.73,16.08,12.95,4
15.81,14.10,13.81,4
17.50,14.51,13.72,4
15.40,12.94,13.10,4
16.60,17.10,15.01,4
15.64,13.10,16.09,4
15.32,14.08,12.67,4
14.54,15.84,12.27,4
15.48,15.40,15.34,4
15.50,16.90,16.22,4
15.60,14.93,17.87,4
13.81,14.71,16.42,4
14.44,14.97,13.29,4
15.53,13.16,14.35,4
16.09,17.60,15.27,4
16.87,15.61,13.97,4
15.38,14.37,13.51,4
15.98,13.99,14.38,4
12.93,14.26,14.37,4
13.65,14.71,14.74,4
17.26,13.45,15.58,4
14.47,15.48,17.70,4
16.55,13.70,15.06,4
14.42,13.18,13.38,4
15.19,16.30,16.33,4
15.78,16.29,12.72,4
13.02,14.96,16.85,4
14.32,13.49,14.46,4
13.33,15.05,16.67,4
13.90,16.42,13.81,4
17.29,16.10,13.80,4
14.66,16.28,17.25,4
14.23,13.40,12.89,4
14.20,13.88,12.46,4
16.92,14.76,15.70,4
15.33,13.76,15.91,4
15.37,14.22,13.94,4
13.78,13.20,16.60,4
13.41,14.41,15.96,4
16.12,16.74,16.55,4
15.88,13.42,13.42,4
13.70,15.21,14.37,4
16.20,15.87,17.59,4
15.41,13.19,16.65,4
16.47,17.32,15.91,4
16.56,16.75,15.16,4
