% Data_5_2 or AD_5_2: This data is in 2-d space, and has 5 clusters.
% The total number of  points is 250.
%
% If you use this data, please quote the following references:
%
% S. Bandyopadhyay and U. Maulik, ``Nonparametric genetic clustering: Comparison validity indices'',  IEEE Transactions on Systems, Man and Cybernetics, Part C, vol. 31, no. 1, pp. 120-125, 2001
%
%
%
% S. Bandyopadhyay and U. Maulik, ``Genetic Clustering for Automatic Evolution
% of Clusters and Application to Image Classification'',  Pattern Recognition, vol.35,
% pp. 1197-1208, 2002
%
% S. Bandyopadhyay and S. K. Pal, ``Classification and Learning Using Genetic
% Algorithms: Applications in Bioinformatics and Web Intelligence", Springer,
% Heidelberg, 2007
% source: http://www.isical.ac.in/~sanghami/data.html
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
11.11,10.14,1
8.68,9.76,1
10.04,10.63,1
8.79,10.13,1
10.53,8.95,1
10.58,9.72,1
11.19,11.60,1
8.14,10.21,1
9.62,10.83,1
11.31,9.70,1
9.95,8.16,1
9.84,10.93,1
10.05,10.35,1
9.41,11.39,1
10.91,11.33,1
10.13,11.76,1
8.51,11.30,1
10.20,10.89,1
9.94,10.10,1
8.25,9.49,1
8.93,10.87,1
8.16,10.69,1
10.74,8.36,1
11.79,9.77,1
9.33,10.64,1
10.86,11.30,1
9.04,11.66,1
8.19,9.17,1
9.06,10.10,1
11.49,10.43,1
9.03,10.04,1
10.84,10.82,1
11.09,10.28,1
11.11,10.39,1
9.77,8.33,1
8.24,10.66,1
9.88,9.48,1
8.87,10.72,1
11.42,9.34,1
9.20,8.49,1
9.46,9.88,1
10.86,11.78,1
9.88,10.23,1
10.37,9.72,1
9.26,8.63,1
11.42,9.06,1
8.96,10.78,1
10.38,8.92,1
8.78,9.96,1
11.19,10.71,1
11.81,6.15,2
10.40,6.66,2
9.15,5.55,2
11.43,7.07,2
8.61,6.62,2
10.60,7.27,2
9.49,5.97,2
10.99,5.51,2
8.45,6.57,2
10.69,7.42,2
10.14,4.86,2
11.52,7.39,2
10.04,6.87,2
11.70,5.99,2
10.26,6.71,2
10.06,5.87,2
10.62,4.81,2
11.25,7.51,2
8.17,5.62,2
8.83,7.48,2
10.15,6.99,2
8.76,7.00,2
10.27,7.40,2
10.91,5.35,2
9.87,5.55,2
11.48,5.00,2
10.05,7.96,2
10.73,6.30,2
11.89,5.97,2
9.03,6.44,2
10.27,7.35,2
8.86,4.74,2
9.23,5.94,2
11.24,6.37,2
10.22,5.51,2
8.68,7.15,2
8.48,5.08,2
9.97,4.86,2
8.79,6.09,2
10.80,7.26,2
9.87,5.59,2
9.62,5.06,2
8.63,7.52,2
9.24,7.04,2
8.88,7.35,2
10.91,7.76,2
9.87,7.84,2
9.16,6.18,2
9.25,4.29,2
11.37,5.50,2
13.74,11.70,3
