% Data_6_2: This data is in 2-d space, and has 6clusters.  The total number of  points is 300.
%
% If you use this data, please quote the following reference:
%
% S. Bandyopadhyay and U. Maulik, ``Genetic Clustering for Automatic Evolution
% of Clusters and Application to Image Classification'',  Pattern Recognition, vol.35,
% pp. 1197-1208, 2002
%
%
% source: http://www.isical.ac.in/~sanghami/data.html
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6}

@DATA
14.860000,16.600000,1
14.130000,16.280001,1
17.100000,16.639999,1
14.820000,17.400000,1
17.160000,15.540000,1
16.719999,16.530001,1
15.370000,15.950000,1
17.260000,14.750000,1
14.270000,15.990000,1
17.510000,16.420000,1
16.290001,14.130000,1
15.720000,17.850000,1
15.920000,16.709999,1
15.860000,16.040001,1
14.190000,15.320000,1
14.540000,15.710000,1
16.180000,15.570000,1
15.580000,16.980000,1
16.629999,15.600000,1
17.299999,16.240000,1
14.940000,14.790000,1
14.610000,16.840000,1
17.940001,16.280001,1
15.790000,17.879999,1
17.690001,16.370001,1
15.340000,16.580000,1
15.080000,16.540001,1
15.330000,14.520000,1
16.129999,15.580000,1
15.430000,16.500000,1
16.400000,15.090000,1
16.500000,15.460000,1
15.800000,14.870000,1
17.030001,16.170000,1
15.680000,16.600000,1
16.820000,15.140000,1
16.299999,15.700000,1
16.150000,16.290001,1
15.620000,14.810000,1
16.500000,17.799999,1
14.770000,15.240000,1
15.760000,16.639999,1
17.639999,15.590000,1
14.240000,16.059999,1
15.460000,16.090000,1
17.540001,16.340000,1
16.100000,17.690001,1
16.020000,15.050000,1
15.990000,14.110000,1
15.940000,15.010000,1
5.110000,3.080000,2
4.060000,3.690000,2
3.180000,4.340000,2
4.650000,4.450000,2
5.080000,4.530000,2
5.920000,6.270000,2
5.120000,5.160000,2
4.270000,4.200000,2
5.180000,5.990000,2
4.780000,4.300000,2
3.740000,4.560000,2
5.610000,3.530000,2
4.770000,4.660000,2
5.400000,5.220000,2
5.770000,4.880000,2
4.220000,3.180000,2
4.410000,6.600000,2
5.300000,3.640000,2
6.590000,5.740000,2
5.160000,6.930000,2
5.690000,5.290000,2
3.540000,4.390000,2
5.640000,4.500000,2
5.410000,6.070000,2
3.400000,4.350000,2
4.720000,3.980000,2
5.080000,5.700000,2
3.950000,4.310000,2
6.620000,5.400000,2
4.050000,4.540000,2
3.670000,5.040000,2
3.890000,6.560000,2
3.690000,6.510000,2
3.740000,5.000000,2
5.070000,3.070000,2
3.560000,4.630000,2
4.000000,6.480000,2
6.510000,4.730000,2
6.220000,4.690000,2
5.630000,5.470000,2
5.690000,5.710000,2
4.290000,5.340000,2
4.280000,6.150000,2
5.580000,4.000000,2
6.450000,4.830000,2
6.080000,6.280000,2
6.060000,6.680000,2
5.310000,5.860000,2
5.730000,5.940000,2
6.460000,5.160000,2
8.680000,9.720000,3
9.620000,9.970000,3
7.650000,9.810000,3
8.540000,7.080000,3
10.460000,7.640000,3
8.300000,7.280000,3
9.100000,8.250000,3
9.520000,9.080000,3
7.930000,9.480000,3
9.280000,10.190000,3
7.500000,8.120000,3
10.300000,8.270000,3
7.200000,8.420000,3
8.920000,9.310000,3
8.600000,9.600000,3
7.760000,10.520000,3
8.950000,9.470000,3
7.700000,9.570000,3
9.330000,8.390000,3
10.500000,8.770000,3
8.930000,8.150000,3
8.880000,8.920000,3
9.600000,10.290000,3
9.890000,10.420000,3
9.850000,8.070000,3
10.510000,10.030000,3
9.870000,7.370000,3
7.430000,9.900000,3
8.840000,7.040000,3
9.020000,9.830000,3
9.900000,10.250000,3
7.730000,8.330000,3
10.320000,8.070000,3
9.570000,10.630000,3
10.450000,10.330000,3
8.970000,9.270000,3
8.620000,9.680000,3
8.190000,9.370000,3
8.690000,9.640000,3
9.350000,10.650000,3
9.760000,8.430000,3
9.880000,8.430000,3
9.200000,9.790000,3
9.720000,8.730000,3
7.820000,8.540000,3
9.620000,8.720000,3
9.190000,9.050000,3
9.330000,10.440000,3
8.210000,7.260000,3
9.490000,8.650000,3
21.920000,20.469999,4
21.860001,20.559999,4
19.700001,19.020000,4
20.830000,21.219999,4
19.129999,18.250000,4
20.709999,18.290001,4
19.070000,21.580000,4
20.280001,20.240000,4
19.129999,20.180000,4
19.129999,19.840000,4
21.520000,20.510000,4
19.370001,21.160000,4
18.950001,19.420000,4
18.809999,19.040001,4
21.620001,20.879999,4
21.430000,19.139999,4
19.850000,19.559999,4
19.420000,18.270000,4
20.629999,20.139999,4
20.129999,21.840000,4
19.490000,19.600000,4
19.500000,20.420000,4
19.139999,21.420000,4
19.889999,20.290001,4
21.090000,19.990000,4
20.080000,21.110001,4
20.190001,21.320000,4
18.580000,19.240000,4
21.379999,20.750000,4
18.400000,19.910000,4
19.459999,20.610001,4
19.400000,20.340000,4
20.059999,19.860001,4
20.670000,20.820000,4
20.260000,21.090000,4
19.870001,21.110001,4
19.139999,21.209999,4
21.420000,20.920000,4
19.070000,20.730000,4
19.170000,19.709999,4
18.959999,20.280001,4
18.549999,20.629999,4
19.670000,20.860001,4
18.219999,20.660000,4
20.030001,21.150000,4
20.809999,20.070000,4
19.400000,20.770000,4
19.010000,19.570000,4
19.430000,20.840000,4
20.410000,19.629999,4
4.090000,19.840000,5
4.410000,21.570000,5
3.730000,20.480000,5
5.800000,19.190001,5
6.490000,19.070000,5
4.520000,20.990000,5
4.520000,18.420000,5
6.090000,19.510000,5
4.080000,18.459999,5
6.800000,20.610001,5
