x,y,CLASS
14.86,16.6,1
14.13,16.280001,1
17.1,16.639999,1
14.82,17.4,1
17.16,15.54,1
16.719999,16.530001,1
15.37,15.95,1
17.26,14.75,1
14.27,15.99,1
17.51,16.42,1
16.290001,14.13,1
15.72,17.85,1
15.92,16.709999,1
15.86,16.040001,1
14.19,15.32,1
14.54,15.71,1
16.18,15.57,1
15.58,16.98,1
16.629999,15.6,1
17.299999,16.24,1
14.94,14.79,1
14.61,16.84,1
17.940001,16.280001,1
15.79,17.879999,1
17.690001,16.370001,1
15.34,16.58,1
15.08,16.540001,1
15.33,14.52,1
16.129999,15.58,1
15.43,16.5,1
16.4,15.09,1
16.5,15.46,1
15.8,14.87,1
17.030001,16.17,1
15.68,16.6,1
16.82,15.14,1
16.299999,15.7,1
16.15,16.290001,1
15.62,14.81,1
16.5,17.799999,1
14.77,15.24,1
15.76,16.639999,1
17.639999,15.59,1
14.24,16.059999,1
15.46,16.09,1
17.540001,16.34,1
16.1,17.690001,1
16.02,15.05,1
15.99,14.11,1
15.94,15.01,1
5.11,3.08,2
4.06,3.69,2
3.18,4.34,2
4.65,4.45,2
5.08,4.53,2
5.92,6.27,2
5.12,5.16,2
4.27,4.2,2
5.18,5.99,2
4.78,4.3,2
3.74,4.56,2
5.61,3.53,2
4.77,4.66,2
5.4,5.22,2
5.77,4.88,2
4.22,3.18,2
4.41,6.6,2
5.3,3.64,2
6.59,5.74,2
5.16,6.93,2
5.69,5.29,2
3.54,4.39,2
5.64,4.5,2
5.41,6.07,2
3.4,4.35,2
4.72,3.98,2
5.08,5.7,2
3.95,4.31,2
6.62,5.4,2
4.05,4.54,2
3.67,5.04,2
3.89,6.56,2
3.69,6.51,2
3.74,5,2
5.07,3.07,2
3.56,4.63,2
4,6.48,2
6.51,4.73,2
6.22,4.69,2
5.63,5.47,2
5.69,5.71,2
4.29,5.34,2
4.28,6.15,2
5.58,4,2
6.45,4.83,2
6.08,6.28,2
6.06,6.68,2
5.31,5.86,2
5.73,5.94,2
6.46,5.16,2
8.68,9.72,3
9.62,9.97,3
7.65,9.81,3
8.54,7.08,3
10.46,7.64,3
8.3,7.28,3
9.1,8.25,3
9.52,9.08,3
7.93,9.48,3
9.28,10.19,3
7.5,8.12,3
10.3,8.27,3
7.2,8.42,3
8.92,9.31,3
8.6,9.6,3
7.76,10.52,3
8.95,9.47,3
7.7,9.57,3
9.33,8.39,3
10.5,8.77,3
8.93,8.15,3
8.88,8.92,3
9.6,10.29,3
9.89,10.42,3
9.85,8.07,3
10.51,10.03,3
9.87,7.37,3
7.43,9.9,3
8.84,7.04,3
9.02,9.83,3
9.9,10.25,3
