@RELATION square3

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2,3}

@DATA
7.28531,12.5879,0
10.3977,6.4489,0
6.73624,9.68033,0
7.10197,10.8327,0
10.2948,6.67373,0
9.02703,8.67945,0
6.02699,7.03695,0
4.04861,8.78055,0
3.96348,10.5684,0
7.86468,9.84118,0
9.99347,9.73924,0
7.23873,5.7269,0
9.82083,6.09689,0
7.07566,9.61258,0
8.11022,7.28457,0
9.4556,10.08,0
9.21546,6.65196,0
9.92294,8.54198,0
8.10084,6.02085,0
7.9209,6.59777,0
8.40957,6.53336,0
7.50307,5.42181,0
8.29751,10.7944,0
11.4427,11.0645,0
6.24522,3.35108,0
10.7208,5.70933,0
9.2301,7.22207,0
8.193,5.43631,0
7.44458,9.99901,0
7.14173,7.99963,0
7.33594,6.96782,0
10.1075,6.19083,0
12.7146,9.79938,0
9.59882,7.78853,0
10.7371,8.19569,0
7.73108,8.80624,0
7.3493,9.49292,0
9.35841,10.7269,0
6.74875,5.06392,0
12.277,5.7331,0
6.98839,5.48958,0
4.63999,6.95249,0
10.019,7.46032,0
12.533,8.73529,0
5.84702,9.71259,0
3.33838,7.78748,0
6.12712,6.10559,0
8.53917,8.67358,0
6.57425,5.27815,0
9.03597,6.46403,0
6.58285,5.74504,0
6.48151,6.34905,0
11.2484,9.27621,0
4.8692,10.1175,0
4.09561,14.0267,0
6.52603,7.87376,0
7.7816,7.41973,0
7.05791,8.25993,0
7.85262,6.24078,0
8.63471,6.8983,0
5.70024,6.92462,0
11.2256,8.36132,0
9.8905,8.48874,0
5.79037,7.16634,0
7.6595,6.86563,0
10.0638,4.88238,0
8.45122,11.332,0
8.70368,8.62953,0
7.67796,6.36794,0
9.9059,7.40477,0
6.62556,10.5514,0
6.65089,8.59332,0
11.6918,10.4815,0
2.46508,8.30123,0
6.54994,9.81373,0
6.10825,6.25509,0
9.62755,7.0659,0
5.93566,6.93538,0
10.0995,2.31138,0
6.87907,9.05554,0
7.81235,7.67958,0
6.50823,4.88579,0
10.0082,7.5426,0
8.5436,7.93228,0
5.7761,8.63942,0
9.76867,6.33691,0
8.30426,6.26709,0
9.33034,6.74822,0
11.3593,10.7495,0
7.5029,6.89098,0
4.89216,6.34875,0
9.61186,7.80137,0
10.5926,4.65122,0
8.80505,7.71849,0
7.36716,7.96609,0
10.836,8.83486,0
10.3408,8.20427,0
10.7508,5.3146,0
6.99295,4.53347,0
9.14819,5.50987,0
8.84085,9.49512,0
8.30862,8.36246,0
7.1322,9.57351,0
8.72761,9.78502,0
7.30566,5.542,0
7.98021,8.3726,0
6.5823,9.24782,0
6.62857,7.66298,0
6.77491,6.00527,0
8.0897,8.89156,0
6.01785,8.55247,0
7.47169,11.3645,0
8.68765,6.90464,0
8.23833,7.56372,0
11.1656,8.39682,0
12.1475,10.1248,0
7.79824,4.08769,0
6.02572,8.8846,0
10.028,12.6536,0
10.3239,10.8874,0
10.2465,8.48935,0
9.40946,5.46356,0
