% Also sometimes referred to as st900_2_9. This data is in 2-d space, and has 9 clusters.
% The total number of  points is 900.
%
% If you use this data, please quote the following references:
%
%  S. Bandyopadhyay, C. A. Murthy and S. K. Pal, ``Pattern Classification Using Genetic Algorithms'',
%   Pattern Recognition Letters, vol. 16, pp. 801-808, August 1995
%  S. Bandyopadhyay and S. K. Pal, ``Classification and Learning Using Genetic Algorithms:
%  Applications in Bioinformatics and Web Intelligence", Springer, Heidelberg, 2007
%
% source: http://www.isical.ac.in/~sanghami/data.html
%
@relation st900

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9}

@DATA
-1.357818,-2.071201,7
-0.011177,1.705894,2
0.984379,0.236823,6
-3.032441,1.158165,1
-0.653970,2.226539,2
-0.197106,2.102319,2
0.662488,1.460443,2
0.555874,1.461527,2
-2.414818,1.722120,1
-2.225339,-1.938249,7
2.040196,1.818911,3
2.052167,0.863156,6
-2.714617,-2.528982,7
-1.690757,-2.763342,7
-0.067806,0.761232,5
2.281874,1.472221,3
-1.534681,1.003197,4
-2.432296,-2.455307,7
-1.882905,0.783619,4
-0.731151,1.971621,2
3.089637,-0.982379,6
2.015626,1.972188,3
-1.260170,-0.879110,7
2.553107,1.682078,3
2.874399,0.887695,6
1.917710,2.139633,3
-2.228993,-0.323981,4
2.030653,1.623340,3
2.241880,2.492965,3
1.544266,-0.049730,6
0.031953,-1.131856,8
1.600776,-1.207922,9
-2.213644,2.678879,1
-1.953524,-0.540983,4
-2.310441,-1.740028,7
-2.450011,-2.749208,7
0.547534,2.003953,2
2.119233,1.736949,3
1.608189,-1.687368,9
2.431226,-1.647599,9
-2.472206,2.896035,1
-2.766330,1.271111,1
1.862631,2.903640,3
-1.830787,-0.956537,7
-2.547740,-2.758177,7
-2.412839,1.896345,1
1.588090,-1.787020,9
0.699396,0.854389,5
-2.147214,-1.876566,7
-1.422819,0.366605,4
1.235696,-0.337979,6
-0.603490,2.662569,2
-2.068476,-2.073554,7
1.856359,2.206405,3
1.721161,0.915932,6
2.268337,2.119233,3
0.015024,2.209096,2
-0.293286,3.079113,2
-2.796668,1.606939,1
-2.179661,-0.160263,4
1.992580,-1.712844,9
1.531772,-1.842810,9
-2.407333,1.926278,1
1.765358,2.210373,3
2.377331,2.654129,3
2.081909,1.901207,3
-2.578824,-2.184458,7
2.330289,-0.321658,6
-0.798469,-1.324846,7
1.649773,0.605566,6
2.740383,2.313730,3
2.826119,-3.031671,9
2.232127,0.508126,6
-1.772403,-0.037906,4
0.422896,0.735702,5
-2.080470,-0.936886,7
1.585240,-2.920118,9
0.196311,-1.452191,8
-2.148916,-1.755827,7
0.232224,-0.158228,5
0.537458,-2.937201,8
-0.468848,-0.317975,5
2.048164,-2.755992,9
-0.968905,2.500413,1
-1.807281,0.192393,4
1.476616,2.504746,3
2.614687,-2.057552,9
-0.181780,-1.132572,8
1.788158,-1.530593,9
1.885692,0.180628,6
-1.905536,-1.678553,7
-1.616724,-2.507085,7
-0.339427,1.835793,2
-0.362855,-1.772884,8
-2.153675,0.328536,4
0.007859,-0.948759,5
-0.356383,0.803076,2
-1.949320,2.086108,1
2.388919,1.389215,3
1.641647,-1.748375,9
-0.583847,-2.093609,8
0.659985,1.954799,2
-1.820247,-2.322608,7
-0.077935,0.172182,5
0.474140,2.181734,2
0.171313,1.035007,2
0.565853,0.135109,5
0.151562,2.761806,2
-0.071831,0.865405,5
-2.659099,-2.788335,7
-2.190950,-0.544252,4
-0.564519,0.221028,5
2.035783,-0.065882,6
2.277224,-2.259873,9
-2.083773,2.867428,1
-2.189510,1.882033,1
0.096262,1.018594,2
-3.090128,-0.018239,4
0.824706,0.979255,2
-0.257792,-2.281115,8
-0.160670,1.464974,2
-2.355891,-2.167071,7
2.654129,0.371813,6
0.532402,-2.420488,8
1.389739,1.151589,3
-1.637695,-2.720729,7
-1.958493,2.689939,1
2.303274,-0.742137,6
-1.921685,-1.136607,7
-0.328164,1.094403,2
-1.119252,-1.616950,7
-1.793501,0.020898,4
0.477018,-0.193278,5
-2.385077,-1.322945,7
1.842042,-2.172273,9
1.019886,-1.409278,9
-0.353545,-2.428322,8
-0.177223,1.319707,2
2.020575,-1.625014,9
-1.434849,2.906251,1
0.817384,-0.317922,5
-0.449587,-2.149274,8
-1.508695,-2.506759,7
-0.618234,-1.840280,8
1.845830,-0.887945,6
-1.949031,1.698587,1
-1.171933,0.420136,5
-2.564659,-2.897058,7
-0.402263,0.199634,5
1.856538,0.199353,6
