% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: outlier
%
@relation target

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {5,4,6,3,1,2}

@data
-3.0,-3.0,5
-3.0,3.0,4
3.0,-3.0,6
3.0,3.0,3
-0.417091,0.114782,1
0.054031,0.296411,1
-0.337597,0.346704,1
-0.0469,-0.319833,1
0.000955,-0.07788,1
0.163704,-0.171811,1
-0.140118,0.163781,1
0.228946,-0.032098,1
0.379642,-0.006396,1
-0.38736,-0.217393,1
-0.077707,-0.28845,1
-0.141468,-0.132688,1
0.132764,-0.312654,1
-0.157673,-0.279198,1
-0.25882,-0.08331,1
0.032572,-0.274695,1
-0.333664,0.15261,1
-0.48088,0.023882,1
-0.06806,-0.368618,1
0.36105,-0.001467,1
0.276191,-0.309596,1
-0.198664,0.024887,1
-0.256391,-0.000411,1
-0.028428,-0.240332,1
-0.055645,0.395318,1
0.074451,-0.493023,1
-0.026067,0.361214,1
0.383108,-0.118063,1
-0.021727,0.357367,1
0.102986,-0.30644,1
0.468553,0.087124,1
0.12418,-0.466284,1
-0.257262,-0.344154,1
0.164727,-0.305763,1
0.1532,-0.166946,1
-0.196484,0.361061,1
-0.164265,-0.423242,1
-0.115913,0.141906,1
0.234838,-0.284737,1
0.435577,-0.065952,1
-0.289824,-0.281036,1
-0.218331,0.339873,1
-0.202617,-0.282583,1
-0.026528,0.28171,1
-0.483938,-0.054453,1
0.254847,0.029124,1
0.151301,0.328701,1
0.363223,0.115736,1
0.289041,0.174952,1
-0.150278,0.013699,1
-0.339199,0.258462,1
-0.350247,-0.233266,1
0.344694,0.26715,1
-0.114448,0.455282,1
0.244537,-0.131137,1
0.225986,0.374462,1
0.020745,-0.433563,1
-0.395291,0.212906,1
0.116611,-0.11174,1
0.257534,-0.282931,1
0.343805,0.324066,1
0.251776,0.116866,1
0.086153,-0.20082,1
0.356909,0.277047,1
0.312987,-0.043657,1
-0.114046,-0.111282,1
0.298053,0.181913,1
0.118238,-0.21706,1
-0.173326,-0.154074,1
0.030702,0.199872,1
0.213141,0.051191,1
0.251399,0.427102,1
-0.269086,-0.108423,1
0.033437,0.399934,1
0.457203,0.110673,1
-0.074223,0.193374,1
-0.359819,0.249111,1
0.124456,-0.352495,1
0.341155,0.098995,1
-0.005881,0.104674,1
-0.112263,0.451392,1
0.072218,0.175771,1
0.334987,0.147189,1
-0.245983,0.431956,1
0.187681,0.127815,1
0.367402,-0.045258,1
0.086355,-0.484465,1
-0.055052,-0.032666,1
-0.120351,-0.165883,1
0.185503,0.009657,1
-0.063001,-0.215206,1
0.412701,0.272724,1
0.418969,-0.23997,1
0.265939,0.203513,1
-0.414731,0.061117,1
0.122346,-0.059322,1
-0.237728,-0.371516,1
0.203956,-0.136592,1
-0.246536,0.373248,1
-0.255736,-0.148834,1
-0.261775,-0.14916,1
-0.078347,-0.301668,1
-0.109616,0.014732,1
0.407264,-0.279452,1
-0.376277,-0.265622,1
0.136678,-0.202126,1
-0.226188,0.06653,1
-0.209745,-0.27916,1
0.319662,-0.278387,1
-0.155399,-0.170747,1
-0.250948,0.155745,1
