% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: almost touching clusters
%
@relation tetra

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE z REAL
@ATTRIBUTE class {1,2,3,4}

@data
1.295428,0.050829,-0.385217,1
1.409178,-0.035191,-0.25198,1
1.096803,0.246365,-0.415011,1
1.463328,0.265354,-0.513488,1
1.603284,0.080577,-0.470257,1
1.001833,-0.083266,-0.681399,1
1.517445,0.286702,-0.547891,1
1.617901,-0.158504,-0.301126,1
1.083162,-0.371103,-0.358668,1
1.669991,0.0866,-0.280595,1
1.457644,-0.401268,-0.407497,1
0.914329,0.242193,-0.310915,1
1.643737,0.153696,-0.241876,1
1.595419,-0.310447,-0.368662,1
1.153698,-0.25427,-0.87687,1
1.524989,0.162923,-0.877225,1
1.247658,-0.333062,-0.037487,1
0.826074,-0.31543,-0.389405,1
0.877268,0.354988,-0.618269,1
0.809343,0.313444,-0.296642,1
1.546564,0.055433,0.057049,1
1.555207,0.48368,-0.659155,1
1.570894,-0.469775,-0.218926,1
0.9618,0.345034,-0.838026,1
0.948567,-0.327407,-0.020961,1
1.527893,-0.082015,-1.018224,1
0.788416,-0.376902,-0.297599,1
0.90298,-0.180361,0.045153,1
1.834789,-0.1316,-0.725146,1
1.369116,-0.0194,-1.095284,1
1.248246,-0.632417,-0.625915,1
1.554125,-0.002265,0.175737,1
1.757288,-0.461343,-0.29954,1
1.868755,-0.024153,-0.790365,1
1.302702,0.689971,-0.424533,1
1.924263,-0.075534,-0.683471,1
1.269947,-0.495785,-0.961158,1
1.094222,-0.623419,-0.759255,1
1.990546,-0.038016,-0.442557,1
1.755073,0.169729,0.057506,1
1.633957,0.323377,0.090103,1
0.693121,-0.379451,-0.683644,1
0.532497,-0.093011,-0.520972,1
1.214785,0.741492,-0.523834,1
1.495177,0.560867,-0.002043,1
1.049537,-0.025452,-1.177026,1
0.994137,0.078633,-1.15429,1
1.258023,0.567255,0.081931,1
1.348109,-0.054338,0.324059,1
1.215102,-0.759198,-0.258057,1
1.645533,0.691991,-0.414455,1
1.896597,0.060015,-0.92773,1
0.813372,-0.451022,-0.915658,1
1.595849,0.468001,-1.018286,1
1.672338,0.038413,0.250135,1
1.138984,0.795001,-0.276674,1
1.812173,-0.440793,-0.894565,1
1.41094,0.810588,-0.558598,1
1.511001,0.181599,0.327558,1
1.573745,-0.776984,-0.460695,1
1.154986,-0.031269,-1.278567,1
2.090848,-0.145125,-0.340549,1
0.423861,0.072789,-0.41346,1
1.563656,-0.780312,-0.622889,1
0.873642,-0.545259,-0.993664,1
1.967473,0.323425,-0.047633,1
0.788993,0.525355,-0.945737,1
1.496743,-0.842129,-0.328981,1
1.87889,0.040344,0.185959,1
0.844426,0.572656,0.070963,1
2.070226,-0.374627,-0.433219,1
1.050955,-0.392183,0.319538,1
1.833459,0.553213,-0.026761,1
1.892107,-0.557534,-0.072407,1
1.382171,0.218436,-1.332147,1
2.087972,0.327809,-0.70549,1
0.858115,-0.631101,-0.978525,1
1.838192,0.242957,-1.132464,1
1.161382,-0.205692,-1.341069,1
1.903102,-0.031523,-1.119995,1
0.541289,-0.55812,-0.350911,1
0.442275,0.192988,-0.087258,1
1.584697,-0.711383,0.061698,1
1.496522,0.89135,-0.227743,1
1.931225,0.600832,-0.133303,1
1.639036,-0.519435,0.252474,1
1.537661,0.199144,0.442314,1
1.964698,-0.076565,0.200502,1
1.752882,-0.648626,-0.958114,1
0.972497,0.18899,0.441773,1
1.98307,-0.298888,0.120726,1
1.376106,-0.751302,-1.041932,1
0.826883,-0.804229,-0.158685,1
0.465236,-0.175502,0.077741,1
