% Data generated using R package 'mlbench'
%
% > library("mlbench")
% > set.seed(1234)
% > data <- mlbench.threenorm(n=1000,d=2)
%
@relation threenorm
%
% The inputs of the threenorm problem are points from two Gaussian
% distributions with unit covariance matrix. Class 1 is drawn with
% equal probability from a unit multivariate normal with mean
% \eqn{(a,a,\ldots,a)} and from a unit multivariate normal with mean
% \eqn{(-a,-a,\ldots,-a)}. Class 2 is drawn from a multivariate normal
% with mean at \eqn{(a,-a,a, \ldots,-a)}, \eqn{a=2/d^{0.5}}.
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2}
%
@data
0.2709225881,-1.3642489243,2
-1.6396131979,-2.5794390311,1
2.39217506,0.5163441457,1
-1.1826666952,-1.5305489287,2
0.6871136113,-0.3831255661,2
1.7721640137,-2.8042037117,2
1.288195024,-1.6455256963,2
-3.4166475029,-1.9247617063,1
1.5776843748,-1.557616883,2
-1.488942108,-0.2248066347,1
0.4994511346,-3.4465823128,2
-2.6877111266,-2.3420475581,1
2.3588917683,-1.1773954354,2
-0.5431320911,-4.1437299718,1
2.1864947374,-0.346576665,2
2.4121853174,1.1917110127,1
-1.6198789133,-2.1814474097,1
1.4109471116,0.2726911527,2
-2.6024021683,0.2266183708,1
-0.287773909,1.1367830206,1
4.3375351757,-0.8319629026,2
-1.9962384835,-3.0752106008,1
3.7870698002,-0.746603796,2
-2.127838583,-1.1802975816,1
-1.1567160036,-0.4199053519,1
1.1604547038,-2.2972301815,2
1.4495737482,-2.6068518548,2
-1.8929200531,-1.4153910754,1
1.064476679,0.9196461088,1
1.3518931866,1.9941441395,1
1.2306923939,-2.2242409851,1
2.3088033348,-1.2150634431,2
-0.1489139352,-2.2306581991,2
-1.8724797002,-1.3121028854,1
0.167877354,0.1156464567,1
2.0578276146,1.3686106731,1
0.8751501175,0.1051919955,2
3.408215747,2.3171142206,1
1.2331775504,-1.8101506776,2
1.8094100372,-1.8641590398,2
1.9174534913,-0.5145206448,2
1.9028897948,0.6864540426,1
1.5677657875,-0.3365128157,2
2.7427676664,-0.7048967366,2
-2.3653407152,-0.9740566977,1
-1.8726253911,-3.5921813677,1
2.9580879714,1.5012091198,1
-0.2688227151,-0.8614017174,2
1.6079855356,-0.8939697616,2
1.0234396723,0.5985876924,1
-0.2700573159,-1.5694256998,2
-0.2854746182,1.5015017772,1
1.3751400888,1.1763544246,1
2.2209179284,-1.1960597773,2
-1.4519118067,-2.3993035428,1
0.641484959,-0.5814229164,2
1.6259390324,-1.5274354541,2
-0.4399474229,1.8229397453,1
2.4331469735,0.0393697987,2
0.6779046615,-1.2022756096,2
1.1269519754,-1.2715618383,2
1.95968892,-0.8364550248,2
1.2814281148,-1.3805045911,2
-1.4408239922,-2.2132465383,1
-1.7492365927,-1.4879792102,1
2.5778260253,2.0258445795,1
-2.8519780293,-1.254651825,1
-0.5596618849,-2.6767264642,1
1.4657096917,-0.5731832287,2
3.3587869962,-0.6274133529,2
0.4687315033,-0.3450768252,1
-2.3384716469,-3.0966523669,1
2.1094244806,1.8514342775,1
-1.1415558155,-0.9513615236,1
0.6425354923,-1.8571510439,2
1.9853073132,-1.0849172639,2
0.7620222759,-2.4594819755,2
1.3828054861,1.0271565103,1
-1.3670045188,-0.1572127473,1
1.9373851691,1.5838016653,1
0.3752264554,1.167510107,1
-0.812268609,-3.2300235261,1
-1.8170044874,-3.3219458888,1
1.3970722843,-1.3528901917,2
-1.768225729,-1.697847794,1
1.6175076128,1.3804792421,1
0.780751849,0.1694426817,1
-1.2776101847,-1.2115778314,1
0.3032414503,-1.8515172932,1
-0.3093952653,-0.5838021974,1
1.1930542512,-1.3209477608,2
2.17156616,0.313532226,1
2.280172164,1.1204228109,1
0.4675196301,-0.1175891194,1
1.2273173788,0.9733711332,2
-2.5273417402,-0.6430056521,1
-0.6592698306,-1.7341923869,1
2.5776727796,-2.5205583764,2
1.0580823714,-2.1025710095,2
0.9229726751,-1.8565551795,2
2.3312070986,-0.5013050553,2
0.6210313718,-0.9673402885,2
3.1253394342,-1.9204281576,2
1.7668772754,-0.3849676772,2
0.8259411909,1.9293631046,1
-0.6841726504,-1.3892764765,1
-0.9526405592,-1.890440372,1
1.8501112714,-0.4385576603,2
1.8926443495,0.231137758,2
0.4521177841,-1.6882660694,2
1.9740493713,-1.7804205343,2
-0.0003044409,-0.4860832178,1
-0.0755270543,-1.9735125798,2
-1.7539769248,-1.5885967808,1
-2.0684511126,-1.58456403,1
1.4306504122,-1.6263954882,2
1.804334113,2.1547928917,1
-0.2630318853,1.0637106292,1
0.3791498811,2.582575506,1
1.6793356124,1.5564864933,1
0.3116496945,-0.788220297,2
-1.121241439,-1.6734328435,1
2.3849515952,-0.0265336653,2
-1.057799657,-1.5115027122,1
1.8986260833,2.6052213866,1
0.8495018554,-0.4428259646,2
-1.1909915972,-1.8583464007,1
2.699126883,-1.2831305777,2
2.5792108662,0.9365456804,1
0.6425889311,3.0955349888,1
-1.1886749359,-2.9127842796,1
-2.6585063306,-1.4240189571,1
0.9680645821,1.2512293511,1
3.0693787836,-1.9676688904,2
-2.6471021501,-1.3732906775,1
1.6531469314,-0.6030890279,2
3.0851106387,1.2534464546,1
0.835906247,1.5933511661,1
-1.8299768377,-2.0606955295,1
-0.9404800963,-1.9346415261,1
1.020453648,0.9375111118,1
-0.8502697093,-2.0768015731,1
1.373481576,0.0870376861,2
0.503785278,-1.2352004648,2
2.2016736833,-0.3136662337,2
1.3693133844,0.7924927544,2
0.0904837404,-1.8669781299,1
-0.2436850157,-2.9508852334,1
2.5226047792,-0.1696788664,2
-1.7215449348,-3.5792965894,1
1.7541218396,-1.4194019105,2
-1.5453675003,-1.986765802,1
0.3844891867,-0.8409411501,2
1.8335424163,-2.1294831924,2
2.6653894988,0.8582619251,1
1.9991714718,-0.6237383877,2
-1.87633001,-1.2362652918,1
2.4018255406,-1.6423329676,2
2.7216444753,-1.3360838193,2
0.8110955187,0.5143902791,2
0.0773474515,-0.1476540348,2
0.0676446752,-0.6107215671,1
-2.3457053393,-0.3143208119,1
1.8046703171,0.0680917541,2
2.7954335814,-3.1056075594,2
-0.577571923,-2.476914633,1
1.8919324701,-0.8179081564,2
1.0515251937,-0.1259698257,2
2.1739823848,3.1995376283,1
2.1755038808,1.4057797052,1
-2.4931573092,-1.7623455973,1
0.3827752988,-1.1656612063,2
1.6128017339,-1.7620009351,2
2.1858198527,-3.1086329393,2
0.944527141,-1.0592949996,2
-1.0393122742,-3.0429031122,1
1.9082595634,-2.7152816269,2
-2.2385520646,-1.6851407164,1
1.033326113,1.492189653,1
1.5310568151,-1.5379668735,2
1.4578674954,-2.1477558429,2
1.1435669754,-0.4079074933,2
-1.8729881546,-2.4039091778,1
-1.7886525437,-1.2577979805,1
1.758435646,-1.9104309107,2
2.4384705681,0.2517697103,2
0.5649141057,-0.6852632151,2
1.134670041,0.7798814,1
1.6928077832,1.196561689,1
0.6958359091,2.3773432988,1
2.2486041112,-1.8366315487,2
0.804346661,-3.5536686701,2
0.535066416,2.6436204434,1
1.490700069,-1.7038242252,2
1.2580251296,-1.2652394989,2
1.3233083648,-2.0884049611,2
0.4367700566,-2.0690257923,2
-1.7789067697,-0.8475147876,1
-3.0145070683,-0.5658885607,1
-2.3983607784,-2.4302594827,1
-0.083785694,0.0451055636,2
3.0805204765,-2.0404501588,2
-1.2284708243,-2.0585932669,1
1.2722612699,-1.3040033625,2
1.5611145037,-2.6192803241,2
1.6448946516,0.7250839712,1
-0.0851284,2.326647946,1
-1.027180651,-2.4438191866,2
-0.135375488,-1.0343874958,1
3.060796175,-1.3158119459,2
0.156441108,-1.3639168047,2
1.4912014273,2.1409972187,1
0.9787089608,-0.296701181,1
1.6671798698,1.8600346821,1
0.4646070704,1.2766372779,1
1.0551098824,-0.2223487208,2
1.707883802,-1.3187496909,2
3.7480816698,-0.3591844939,2
1.2060506147,-1.6383687318,2
-0.3274189588,-2.1992943238,2
1.6833999134,-3.0209574567,2
-1.011466765,0.057652183,1
-0.2187583979,0.5153637154,2
2.4266144914,-2.7246810211,2
-0.3490809772,1.9612076988,1
-0.3664943117,-2.2317180907,1
-0.7953196771,0.3005562381,1
-2.6916282214,-0.464122561,1
0.7693094888,2.3844924402,1
-1.6247744564,-0.7796616859,1
0.6370556344,1.2645087598,1
-1.716642746,-2.7039508498,1
0.7208459327,-3.5993221355,2
1.9611258265,-2.4639875079,2
0.9694329276,1.1779141972,1
-1.2729610042,-2.835256076,1
0.7168820123,-1.8460266642,2
-2.8068018112,-2.3500461718,1
2.079851682,-0.9929944754,2
1.7414158286,2.2180356283,1
0.9914957121,0.4653022558,2
1.2517093435,2.1782068895,1
0.9560300834,-0.7981584122,2
-1.420396367,-2.9535959781,1
3.136364777,-1.353330601,2
1.5826337417,-2.3335941731,2
-0.9084627394,-1.0357632631,1
