% source Handl, Knowles: MOCK
@RELATION fourty

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}

@DATA
0.0673908,0.648651,0
0.184058,0.285643,0
0.216653,-0.626459,0
-0.230196,-0.277555,0
-0.343994,0.952639,0
0.516222,0.527655,0
-0.340626,0.372044,0
-0.891206,-0.0338618,0
0.0231218,0.0798055,0
-0.0480045,-0.112795,0
-0.549665,-0.185131,0
0.610166,0.0548585,0
0.240708,-0.00879581,0
-0.0952792,0.612275,0
0.629652,-0.400976,0
0.535674,0.531926,0
-0.0295303,-0.307669,0
-0.725821,0.361157,0
-0.284648,0.409727,0
0.357847,-0.115821,0
0.153626,-0.909621,0
0.286176,0.13731,0
-0.897728,0.152465,0
-0.895161,0.137934,0
-0.591967,0.218019,0
-0.445756,0.398878,0
0.242248,0.337062,0
-0.420387,-0.315739,0
0.0443506,-0.628764,0
-0.124006,0.499045,0
0.112187,-0.358485,0
-0.0236469,0.134742,0
0.174311,0.170205,0
0.025102,-0.162716,0
-0.293906,-0.0332021,0
-0.50098,0.0855036,0
-0.0341769,0.374567,0
-0.812607,-0.124809,0
-0.39211,-0.06304,0
-0.247678,-0.550145,0
1.06066,0.37034,0
0.241095,0.354813,0
0.675214,0.165773,0
0.346748,0.425497,0
-1.03046,0.814915,0
0.607113,-0.270217,0
-0.671951,0.418234,0
0.371304,-0.360211,0
-0.866275,0.336349,0
-0.0924798,0.385889,0
5.23032,0.0733765,1
3.98709,0.290578,1
4.23755,-0.279124,1
4.05608,0.612748,1
5.35788,0.27984,1
4.08401,-0.435649,1
3.79528,0.139738,1
2.89531,0.617328,1
4.35429,0.316387,1
4.17686,0.124034,1
4.38816,0.140594,1
4.70558,-0.328459,1
4.51607,-0.0782005,1
4.59905,0.343144,1
3.251,0.159402,1
3.01802,-0.353557,1
3.92826,-0.211247,1
3.80549,0.0196756,1
4.08564,0.586435,1
3.71035,-0.00805321,1
4.77432,0.16693,1
4.38432,0.169625,1
4.87446,0.0507428,1
4.67376,-0.144914,1
3.59141,0.892578,1
3.82578,0.932617,1
4.1505,0.301503,1
4.43412,-0.186553,1
3.79532,-0.112176,1
3.23263,0.321166,1
3.97525,0.472507,1
3.98389,0.659611,1
3.49448,-0.434678,1
4.52451,-0.180956,1
4.3327,-0.505153,1
5.07539,0.0267725,1
4.90042,-0.605792,1
3.11646,0.152985,1
4.96567,-0.112223,1
4.56492,0.837235,1
3.33208,0.459567,1
3.75286,-0.0387904,1
3.8966,-0.109682,1
4.2599,0.23564,1
4.3199,-0.466008,1
3.39795,-0.275024,1
